Wall time,Step,Value
1702563026.065907,16384,-942.2626342773438
1702563042.4718163,32768,-829.29541015625
1702563057.7956486,49152,-434.2294006347656
1702563073.261066,65536,-543.0473022460938
1702563089.0836105,81920,-572.3486328125
1702563104.8374937,98304,-720.2088012695312
1702563120.2504275,114688,-561.6156616210938
1702563135.1323738,131072,-528.7826538085938
1702563150.0250337,147456,-430.2930603027344
1702563164.6727915,163840,60.33057403564453
1702563179.3351982,180224,361.9454345703125
1702563193.6727245,196608,843.6110229492188
1702563208.5976589,212992,1103.12158203125
1702563223.021895,229376,1324.224609375
1702563237.7405462,245760,1755.312744140625
1702563252.7954597,262144,1837.4952392578125
1702563267.5746398,278528,1952.27001953125
1702563281.640085,294912,2176.760009765625
1702563295.560814,311296,2442.527587890625
1702563309.4099698,327680,3352.038330078125
1702563323.1007519,344064,4148.328125
1702563336.8704126,360448,4505.91552734375
1702563350.6116412,376832,4995.158203125
1702563364.6477113,393216,6178.2734375
1702563378.4921136,409600,6892.48583984375
1702563392.3941247,425984,7802.11474609375
1702563406.2749634,442368,8511.2783203125
1702563420.1278143,458752,9488.501953125
1702563434.0099592,475136,10566.8134765625
1702563448.0584493,491520,11210.296875
1702563461.939751,507904,12294.90234375
1702563475.7873704,524288,12944.6259765625
1702563489.7051232,540672,13732.076171875
1702563503.53855,557056,14971.26171875
1702563517.33719,573440,16039.1806640625
1702563531.0694833,589824,17177.572265625
1702563544.8672798,606208,18365.33203125
1702563558.5961394,622592,19443.1875
1702563572.4250352,638976,20760.322265625
1702563586.187225,655360,21754.697265625
1702563599.9647567,671744,22829.599609375
1702563613.7738903,688128,23504.328125
1702563627.5061479,704512,24742.017578125
1702563641.2767162,720896,24678.59765625
1702563654.8910367,737280,25493.943359375
1702563668.6515112,753664,26425.16015625
1702563682.3250904,770048,26814.14453125
1702563695.962372,786432,27702.93359375
1702563709.7062764,802816,27954.46484375
1702563723.5810413,819200,27963.28515625
1702563737.4049742,835584,28038.0625
1702563751.0882921,851968,28457.138671875
1702563764.8748229,868352,28819.15234375
1702563778.559536,884736,29315.322265625
1702563792.31383,901120,29797.23046875
1702563805.9800196,917504,29815.892578125
1702563819.6515121,933888,30283.458984375
1702563833.3789115,950272,30903.556640625
1702563847.157645,966656,31312.162109375
1702563860.8865628,983040,31343.65625
1702563874.382863,999424,31828.23828125
1702563888.178726,1015808,31588.02734375
1702563901.9826066,1032192,31612.544921875
1702563915.6216252,1048576,31616.771484375
1702563929.226858,1064960,31429.109375
1702563942.8089857,1081344,31566.00390625
1702563956.5231762,1097728,31584.8671875
1702563970.1597593,1114112,31370.57421875
1702563983.955298,1130496,31409.291015625
1702563997.6029,1146880,31878.44921875
1702564011.4513505,1163264,31643.037109375
1702564025.1227338,1179648,31624.05859375
1702564038.8280065,1196032,31975.23828125
1702564052.6461544,1212416,31710.212890625
1702564066.2784593,1228800,31761.1171875
1702564080.0184574,1245184,31772.728515625
1702564093.6795292,1261568,32173.396484375
1702564107.2532554,1277952,32695.333984375
1702564120.780803,1294336,33249.94921875
1702564134.3049855,1310720,33226.75390625
1702564147.8470416,1327104,33284.01953125
1702564161.2009013,1343488,33439.9140625
1702564174.7514765,1359872,33357.43359375
1702564188.3392076,1376256,33697.14453125
1702564201.8202755,1392640,33709.4921875
1702564215.287387,1409024,34197.0234375
1702564228.8838246,1425408,33698.0546875
1702564242.321457,1441792,33783.94921875
1702564256.099758,1458176,33678.5546875
1702564269.5551958,1474560,33548.078125
1702564283.0227854,1490944,33636.578125
1702564296.5015087,1507328,33927.47265625
1702564309.993745,1523712,33910.71875
1702564323.4922962,1540096,34009.19921875
1702564336.9360049,1556480,34054.8515625
1702564350.5060039,1572864,34078.484375
1702564364.0807793,1589248,34294.79296875
1702564377.6835585,1605632,33936.71484375
1702564391.128848,1622016,34233.94921875
1702564404.6448853,1638400,34114.06640625
1702564418.2042034,1654784,33995.12109375
1702564431.6535943,1671168,33766.15234375
1702564445.2331126,1687552,33995.61328125
1702564458.7362366,1703936,33982.8984375
1702564472.2700698,1720320,34229.19140625
1702564485.8116446,1736704,33701.12890625
