Wall time,Step,Value
1700150344.5394864,65536,-1529.6170654296875
1700150453.9229007,131072,-1401.81494140625
1700150563.0458355,196608,-1454.16650390625
1700150672.6945703,262144,-1463.7197265625
1700150781.9794369,327680,-1412.23583984375
1700150892.1199157,393216,-1398.7122802734375
1700150999.2124264,458752,-1307.434814453125
1700151104.1700654,524288,-1357.2352294921875
1700151207.238132,589824,-1288.679931640625
1700151308.9404852,655360,-1328.357177734375
1700151408.6577685,720896,-1440.585693359375
1700151506.0961244,786432,-1380.8035888671875
1700151602.1206741,851968,-1220.329345703125
1700151698.47106,917504,-1088.0372314453125
1700151793.1718035,983040,-846.1531372070312
1700151887.2246912,1048576,-686.19677734375
1700151978.5000732,1114112,-602.8384399414062
1700152070.2601118,1179648,-520.6822509765625
1700152162.7323682,1245184,-581.2615356445312
1700152253.1689022,1310720,-550.04248046875
1700152342.973991,1376256,-129.64108276367188
1700152433.034834,1441792,313.1676940917969
1700152523.547712,1507328,322.95721435546875
1700152614.3154192,1572864,232.95118713378906
1700152703.7671022,1638400,313.1610107421875
1700152793.0953684,1703936,439.7754211425781
1700152883.7486415,1769472,708.43408203125
1700152973.5746403,1835008,969.2725219726562
1700153063.3155346,1900544,933.7530517578125
1700153152.8150904,1966080,1103.0322265625
1700153240.2096357,2031616,867.8358764648438
1700153327.2570083,2097152,1105.05322265625
1700153413.9273753,2162688,1313.913330078125
1700153500.0929966,2228224,1632.384765625
1700153585.4940753,2293760,1926.927490234375
1700153670.2907064,2359296,2162.273193359375
1700153754.7865114,2424832,2358.66796875
1700153839.554432,2490368,2452.456298828125
1700153922.7203863,2555904,2724.2890625
1700154005.8845592,2621440,2956.170166015625
1700154089.3542464,2686976,3387.1767578125
1700154171.5842342,2752512,4446.51904296875
1700154254.3579237,2818048,5497.54638671875
1700154336.6762593,2883584,5868.84228515625
1700154419.1770046,2949120,6573.0361328125
1700154501.9567938,3014656,7829.47802734375
1700154585.0437686,3080192,8628.49609375
1700154667.5591269,3145728,9664.3994140625
1700154749.9512641,3211264,10677.1484375
1700154832.2198298,3276800,11289.1474609375
1700154914.8415258,3342336,12219.7734375
1700154996.9719265,3407872,12723.0283203125
1700155079.0333931,3473408,13739.9521484375
1700155163.3845782,3538944,13618.2802734375
1700155248.4692924,3604480,13617.849609375
1700155333.3370786,3670016,14367.3291015625
1700155416.5010006,3735552,14857.5908203125
1700155499.0840805,3801088,15423.830078125
1700155581.6278517,3866624,15306.5302734375
1700155663.7280169,3932160,15962.513671875
1700155745.90263,3997696,16375.9140625
1700155827.999943,4063232,16923.7734375
1700155910.020792,4128768,17072.1875
1700155992.216225,4194304,17468.8359375
1700156074.1518903,4259840,18027.697265625
1700156156.2996957,4325376,18493.607421875
1700156238.2508907,4390912,19341.4375
1700156320.3012254,4456448,19521.7890625
1700156402.2172496,4521984,19392.24609375
1700156484.3220434,4587520,19245.65234375
1700156566.2116606,4653056,19924.58984375
1700156648.038821,4718592,19998.2578125
1700156729.8315952,4784128,20089.927734375
1700156811.747237,4849664,20138.775390625
1700156893.448187,4915200,20474.546875
1700156975.446219,4980736,20098.890625
1700157057.2695763,5046272,19783.1328125
1700157140.0587246,5111808,20324.24609375
1700157221.6482313,5177344,21321.419921875
1700157302.6629348,5242880,22087.689453125
1700157383.5017717,5308416,22681.3984375
1700157464.7710993,5373952,22961.376953125
1700157546.5405824,5439488,23551.49609375
1700157628.512587,5505024,23274.763671875
1700157710.3681717,5570560,23546.8359375
1700157792.1949701,5636096,23726.302734375
1700157873.5729365,5701632,23853.521484375
1700157954.9884818,5767168,23847.248046875
1700158036.7979264,5832704,23067.560546875
1700158118.4828644,5898240,22246.0
1700158200.048121,5963776,22462.5390625
1700158281.7986133,6029312,23132.19921875
1700158362.8555493,6094848,23151.662109375
1700158444.200299,6160384,24050.287109375
1700158525.5724895,6225920,23971.94140625
1700158606.6290898,6291456,25204.771484375
1700158687.8578267,6356992,25413.24609375
1700158768.7708879,6422528,26743.08984375
1700158849.7419958,6488064,28258.873046875
1700158930.9297817,6553600,28562.2578125
1700159012.0758586,6619136,28926.380859375
1700159092.9936965,6684672,30045.595703125
1700159174.282336,6750208,29977.078125
1700159255.296173,6815744,30629.787109375
1700159336.1372535,6881280,30659.2734375
1700159416.5713582,6946816,31445.345703125
1700159497.3523006,7012352,30466.697265625
1700159578.2260685,7077888,30729.560546875
1700159659.513282,7143424,30629.10546875
1700159740.069908,7208960,31127.45703125
