Wall time,Step,Value
1701358961.2586467,65536,-1440.4666748046875
1701359070.5775738,131072,-1532.9302978515625
1701359180.097336,196608,-1576.1654052734375
1701359287.4069147,262144,-1577.60205078125
1701359397.6195464,327680,-1542.4296875
1701359507.2883487,393216,-1540.3115234375
1701359615.546164,458752,-1454.9837646484375
1701359721.8773603,524288,-1441.62255859375
1701359827.9584074,589824,-1413.7503662109375
1701359929.2599092,655360,-1261.1390380859375
1701360027.8859787,720896,-1257.33251953125
1701360121.6998188,786432,-1028.9647216796875
1701360215.9519272,851968,-956.7557373046875
1701360307.5552673,917504,-770.3941040039062
1701360398.1659563,983040,-802.27294921875
1701360487.8319814,1048576,-659.086181640625
1701360581.3037703,1114112,-557.2724609375
1701360673.687884,1179648,-433.1979064941406
1701360767.251993,1245184,-131.06210327148438
1701360858.038312,1310720,-336.1759948730469
1701360947.6333578,1376256,-322.93927001953125
1701361037.8260863,1441792,-403.72308349609375
1701361126.9810567,1507328,-214.11927795410156
1701361214.3769424,1572864,98.02677154541016
1701361300.564869,1638400,380.77166748046875
1701361388.6272428,1703936,541.2962036132812
1701361475.726507,1769472,717.7387084960938
1701361564.7849007,1835008,899.0390625
1701361653.9700165,1900544,1119.017822265625
1701361741.150838,1966080,1205.3280029296875
1701361827.4519892,2031616,1298.5875244140625
1701361913.3297014,2097152,1304.65625
1701361999.8623812,2162688,1382.890869140625
1701362085.1101441,2228224,1326.993408203125
1701362171.3713644,2293760,1215.4451904296875
1701362261.3873198,2359296,1297.5115966796875
1701362349.1786816,2424832,1366.4744873046875
1701362437.3161397,2490368,1361.776123046875
1701362528.1117744,2555904,1449.303466796875
1701362615.6671884,2621440,1592.2581787109375
1701362705.4008265,2686976,1630.8687744140625
1701362792.5167074,2752512,1652.1417236328125
1701362879.9591863,2818048,1656.76904296875
1701362964.1136615,2883584,1771.3870849609375
1701363048.253588,2949120,1838.2137451171875
1701363132.523769,3014656,1987.0357666015625
1701363217.4732337,3080192,2104.564697265625
1701363302.3368652,3145728,2276.376953125
1701363387.6764934,3211264,2393.582275390625
1701363473.6246614,3276800,2613.6357421875
1701363558.1943464,3342336,2847.4814453125
1701363642.0625718,3407872,3246.249267578125
1701363725.5637205,3473408,3649.998291015625
1701363806.567019,3538944,4156.46533203125
1701363887.0822973,3604480,4700.86181640625
1701363967.7361634,3670016,5231.02587890625
1701364048.7482946,3735552,5725.52880859375
1701364131.6744547,3801088,6191.7568359375
1701364213.8859594,3866624,6650.24609375
1701364296.6445358,3932160,7127.9306640625
1701364380.0826364,3997696,7646.64404296875
1701364462.544938,4063232,8098.2333984375
1701364544.9971533,4128768,8570.375
1701364627.1154792,4194304,8989.9921875
1701364709.113734,4259840,9461.736328125
1701364790.6572702,4325376,9927.8134765625
1701364872.2454839,4390912,10088.3525390625
1701364954.8498101,4456448,10367.3984375
1701365036.3159144,4521984,10533.3310546875
1701365116.041079,4587520,10887.55078125
1701365195.665244,4653056,10891.6611328125
1701365275.9025092,4718592,11076.2822265625
1701365356.1585374,4784128,11252.890625
1701365436.4698064,4849664,11618.7431640625
1701365517.2207654,4915200,11594.953125
1701365597.6930823,4980736,11533.9658203125
1701365678.0199864,5046272,12071.6064453125
1701365758.0140676,5111808,12190.921875
1701365837.9911678,5177344,12759.3896484375
1701365917.864995,5242880,13255.6669921875
1701365997.8358808,5308416,13384.2314453125
1701366077.5155709,5373952,13900.7841796875
1701366157.4840877,5439488,14295.7421875
1701366237.2236362,5505024,14866.37109375
1701366317.0147812,5570560,15100.0625
1701366396.7616305,5636096,15604.2197265625
1701366476.5596843,5701632,16043.396484375
1701366556.4616108,5767168,16258.447265625
1701366636.0935826,5832704,16710.8359375
1701366715.8363216,5898240,17430.08203125
1701366795.7865114,5963776,17182.154296875
1701366875.6865582,6029312,17264.431640625
1701366955.7022882,6094848,17084.822265625
1701367035.462381,6160384,17196.697265625
