Wall time,Step,Value
1701374767.3102782,65536,-1482.9957275390625
1701374877.1270397,131072,-1500.743408203125
1701374985.14469,196608,-1478.668701171875
1701375093.9073973,262144,-1530.4400634765625
1701375202.2329133,327680,-1519.3148193359375
1701375313.11423,393216,-1453.7835693359375
1701375421.9614377,458752,-1390.3868408203125
1701375530.4563532,524288,-1357.4677734375
1701375637.4551628,589824,-1356.380859375
1701375742.820597,655360,-1396.6201171875
1701375847.1798713,720896,-1240.9073486328125
1701375948.736842,786432,-1317.1697998046875
1701376046.062164,851968,-1208.9908447265625
1701376140.826329,917504,-848.2344970703125
1701376233.8837895,983040,-822.9026489257812
1701376326.0533965,1048576,-966.4375
1701376415.6805875,1114112,-802.9222412109375
1701376504.5338519,1179648,-535.1614379882812
1701376591.233667,1245184,-509.45489501953125
1701376677.7194452,1310720,-521.497314453125
1701376763.1244702,1376256,-288.5738830566406
1701376847.3830686,1441792,-312.3135986328125
1701376932.053836,1507328,-107.05831909179688
1701377016.0217853,1572864,-61.098480224609375
1701377099.6045618,1638400,102.54166412353516
1701377183.0696144,1703936,136.12591552734375
1701377267.0514312,1769472,418.6470031738281
1701377351.118893,1835008,684.8890991210938
1701377435.2999945,1900544,1077.69140625
1701377519.3395545,1966080,1439.6505126953125
1701377603.3817766,2031616,1911.1910400390625
1701377687.6709983,2097152,2268.2294921875
1701377770.913999,2162688,2613.396484375
1701377854.211362,2228224,2764.99560546875
1701377937.8007722,2293760,2832.349609375
1701378020.7956908,2359296,2887.99658203125
1701378104.268576,2424832,2938.825927734375
1701378187.2824159,2490368,2960.629638671875
1701378270.1510017,2555904,3071.876953125
1701378352.42719,2621440,3053.28076171875
1701378435.5316606,2686976,3114.16015625
1701378518.2589972,2752512,3118.731689453125
1701378601.7376392,2818048,3161.7197265625
1701378683.9445448,2883584,3272.641845703125
1701378767.2186663,2949120,3275.29931640625
1701378849.831726,3014656,3320.05078125
1701378932.0611174,3080192,3409.056640625
1701379014.100796,3145728,3474.119140625
1701379096.4616868,3211264,3662.69677734375
1701379178.7371,3276800,3745.371337890625
1701379260.6669972,3342336,3978.597412109375
1701379342.65086,3407872,4124.0029296875
1701379424.7479913,3473408,4275.52978515625
1701379506.7465289,3538944,4465.0625
1701379588.7741904,3604480,4777.40185546875
1701379670.4750335,3670016,5087.32275390625
1701379752.5812871,3735552,5629.31005859375
1701379834.3161373,3801088,6339.61181640625
1701379915.9836907,3866624,7582.72509765625
1701379997.413086,3932160,8703.9853515625
1701380079.3687956,3997696,10072.1171875
1701380160.9023685,4063232,11387.0849609375
1701380242.327251,4128768,12753.841796875
1701380323.467771,4194304,14187.462890625
1701380404.8752599,4259840,15402.1328125
1701380486.189421,4325376,16795.076171875
1701380567.9131775,4390912,17889.841796875
1701380649.4837139,4456448,18962.513671875
1701380730.9852777,4521984,19966.103515625
1701380812.367064,4587520,20637.669921875
1701380893.798035,4653056,21699.42578125
1701380975.4539967,4718592,22261.3671875
1701381056.7880723,4784128,22856.970703125
1701381137.9211888,4849664,22352.16015625
1701381219.5204859,4915200,22368.203125
1701381301.0410824,4980736,22069.537109375
1701381382.6534562,5046272,22000.44921875
1701381464.0145533,5111808,21087.27734375
1701381545.488348,5177344,20473.58984375
1701381627.2392716,5242880,19436.560546875
1701381709.0791893,5308416,19228.076171875
1701381790.9019296,5373952,18960.84375
1701381873.3983598,5439488,18015.9609375
1701381955.4453084,5505024,17207.15625
1701382037.6714635,5570560,16569.306640625
1701382119.6263924,5636096,16233.5322265625
1701382201.5449026,5701632,16564.23828125
1701382283.0802927,5767168,16456.962890625
1701382364.7384808,5832704,15948.8623046875
1701382446.904215,5898240,15509.31640625
1701382529.4240775,5963776,14974.4140625
1701382611.061784,6029312,15202.443359375
1701382693.439105,6094848,15237.7734375
1701382775.1688678,6160384,15522.5224609375
1701382857.1944127,6225920,16194.140625
1701382939.1440575,6291456,16399.62109375
1701383021.074489,6356992,16565.359375
1701383102.5383332,6422528,16658.93359375
1701383184.8270292,6488064,15647.4775390625
1701383266.8753746,6553600,15910.8134765625
1701383348.97613,6619136,16601.234375
1701383431.158571,6684672,17143.49609375
1701383513.231468,6750208,17605.208984375
1701383595.4166102,6815744,17979.453125
1701383677.692812,6881280,18275.337890625
1701383759.8293285,6946816,18032.439453125
1701383842.3151135,7012352,17293.041015625
1701383924.2492735,7077888,17278.791015625
1701384006.4655795,7143424,17084.93359375
1701384088.4362626,7208960,17088.552734375
1701384170.8689902,7274496,16874.109375
1701384252.5879743,7340032,17397.796875
1701384334.4943373,7405568,17793.755859375
1701384416.6223938,7471104,17298.953125
1701384498.3611996,7536640,17866.06640625
1701384580.575622,7602176,18154.66015625
1701384663.1997032,7667712,17779.9375
1701384745.351556,7733248,18586.6796875
1701384827.2617486,7798784,18869.505859375
1701384909.1410816,7864320,19406.12109375
1701384991.260898,7929856,19991.00390625
1701385072.649357,7995392,20956.91796875
1701385154.8478985,8060928,21787.97265625
1701385236.8206692,8126464,21327.755859375
1701385318.7357883,8192000,21847.25
1701385401.0316906,8257536,21495.349609375
1701385483.0318108,8323072,22380.48828125
1701385565.1980069,8388608,22567.275390625
1701385647.224817,8454144,22797.115234375
1701385728.8169105,8519680,22639.267578125
1701385810.4907887,8585216,23147.591796875
1701385892.04586,8650752,23638.064453125
1701385973.7941983,8716288,23936.6640625
1701386055.1883004,8781824,24102.109375
1701386136.8779936,8847360,24073.814453125
1701386218.4616938,8912896,24434.81640625
1701386299.9657857,8978432,25956.99609375
1701386381.3089974,9043968,26762.05078125
1701386462.8689303,9109504,27426.0234375
1701386544.6165454,9175040,28360.4296875
1701386626.365085,9240576,29790.81640625
1701386707.9499516,9306112,30747.80078125
1701386789.4851878,9371648,31690.443359375
1701386870.9478843,9437184,32421.71875
1701386952.8142664,9502720,33213.85546875
1701387034.6053932,9568256,34259.55859375
1701387116.594122,9633792,35107.68359375
1701387198.8637486,9699328,35757.0
1701387280.937336,9764864,36821.52734375
1701387362.6489847,9830400,37276.87109375
1701387444.6637485,9895936,37667.59375
1701387525.9604528,9961472,38791.6796875
1701387607.4240844,10027008,39424.0234375
