Wall time,Step,Value
1702529779.5876338,16384,-1907.9542236328125
1702529796.7634087,32768,-1914.5865478515625
1702529813.8905797,49152,-1964.94970703125
1702529830.9602008,65536,-1954.361572265625
1702529848.0365,81920,-1978.0537109375
1702529864.6114054,98304,-2079.260009765625
1702529881.190973,114688,-2133.92236328125
1702529897.6990783,131072,-2070.396240234375
1702529913.9588695,147456,-2016.5550537109375
1702529929.9967413,163840,-1916.6981201171875
1702529946.6462896,180224,-1959.0789794921875
1702529962.7186897,196608,-1939.2706298828125
1702529978.674043,212992,-1944.024658203125
1702529995.038468,229376,-1908.22265625
1702530011.4683042,245760,-1776.6605224609375
1702530027.580319,262144,-1791.5570068359375
1702530043.6304362,278528,-1784.148681640625
1702530059.5544953,294912,-1795.5643310546875
1702530075.4586499,311296,-1752.606201171875
1702530091.4317527,327680,-1587.4364013671875
1702530107.1597726,344064,-1544.7181396484375
1702530122.3861287,360448,-1546.0198974609375
1702530138.089999,376832,-1613.31787109375
1702530153.368481,393216,-1639.440673828125
1702530168.4306822,409600,-1567.5777587890625
1702530183.710825,425984,-1640.5426025390625
1702530198.7233436,442368,-1702.050537109375
1702530213.9634953,458752,-1727.08740234375
1702530228.91081,475136,-1826.16943359375
1702530243.690713,491520,-1781.4163818359375
1702530258.474732,507904,-1814.04345703125
1702530272.7565894,524288,-1814.3753662109375
1702530287.2679164,540672,-1857.39990234375
1702530301.4898827,557056,-1873.780029296875
1702530315.951651,573440,-1879.184326171875
1702530329.8173585,589824,-1860.2808837890625
1702530344.011519,606208,-1800.73046875
1702530357.827823,622592,-1726.0552978515625
1702530371.7388418,638976,-1628.4093017578125
1702530385.0453234,655360,-1478.580810546875
1702530398.4008498,671744,-1235.49462890625
1702530411.8542085,688128,-948.1207275390625
1702530425.0804324,704512,-645.4509887695312
1702530438.3432095,720896,-333.6086120605469
1702530451.7294185,737280,219.41201782226562
1702530465.0287266,753664,627.4224243164062
1702530478.422472,770048,1065.4945068359375
1702530491.952444,786432,1799.036376953125
1702530505.352999,802816,2354.134765625
1702530518.75782,819200,2921.62158203125
1702530532.1646984,835584,3591.875244140625
1702530545.6569736,851968,4477.501953125
1702530559.015896,868352,5226.51708984375
1702530572.471314,884736,5926.63671875
1702530585.8861156,901120,6641.94482421875
1702530599.4472687,917504,7533.7998046875
1702530612.781173,933888,8352.5185546875
1702530626.1421258,950272,9124.9384765625
1702530639.6648676,966656,10137.05859375
1702530653.1347463,983040,10832.1005859375
1702530666.6016912,999424,11859.53125
1702530680.0320587,1015808,12550.916015625
1702530693.5553112,1032192,13617.927734375
1702530706.9361355,1048576,14486.6318359375
1702530720.2474911,1064960,15313.1572265625
1702530733.7231965,1081344,16571.76953125
1702530747.0490448,1097728,17512.41796875
1702530760.3927252,1114112,18530.833984375
1702530773.8386111,1130496,19698.474609375
1702530787.1486316,1146880,20508.759765625
1702530800.468414,1163264,21373.21875
1702530813.7512178,1179648,22174.1875
1702530827.1698267,1196032,23208.314453125
1702530840.4579682,1212416,23922.02734375
1702530853.9362516,1228800,24585.533203125
1702530867.4936202,1245184,25408.5546875
1702530881.0020635,1261568,26089.083984375
1702530894.4680305,1277952,26690.638671875
1702530907.9897642,1294336,27440.943359375
1702530921.4554558,1310720,27906.044921875
1702530934.8989472,1327104,28391.8828125
1702530948.4467092,1343488,29033.609375
1702530961.8830917,1359872,29467.69140625
1702530975.2111926,1376256,29929.162109375
1702530988.8336375,1392640,30527.623046875
1702531002.3602026,1409024,30988.927734375
1702531015.8800414,1425408,31556.2890625
1702531029.325979,1441792,31956.333984375
1702531042.9313953,1458176,32474.498046875
1702531056.470774,1474560,32858.59375
1702531069.9627855,1490944,33222.984375
1702531083.5616283,1507328,33792.61328125
1702531097.0802326,1523712,34163.1171875
1702531110.6074967,1540096,34493.84375
1702531124.1920576,1556480,34899.5
1702531137.7206542,1572864,35137.1328125
1702531151.1650212,1589248,35254.3984375
1702531164.5325427,1605632,35418.703125
1702531178.0174549,1622016,35448.046875
1702531191.415424,1638400,35422.1953125
1702531204.9265223,1654784,35650.26171875
1702531218.357839,1671168,35685.4765625
1702531231.8512669,1687552,35695.94140625
1702531245.2091398,1703936,35817.25390625
1702531258.6655145,1720320,35990.66015625
1702531271.991831,1736704,36067.765625
1702531285.4286866,1753088,35949.37109375
1702531298.735376,1769472,35880.578125
1702531312.1880963,1785856,35814.19140625
1702531325.5901282,1802240,35855.0234375
1702531339.13834,1818624,35507.74609375
1702531352.4927473,1835008,35313.3125
1702531365.9465313,1851392,35361.1484375
1702531379.4142833,1867776,35226.01171875
1702531392.7602854,1884160,35093.66015625
1702531406.1938896,1900544,34814.05078125
1702531419.7277954,1916928,34239.984375
1702531433.1536787,1933312,34154.41796875
1702531446.588901,1949696,33794.0390625
1702531459.9374034,1966080,33860.6171875
1702531473.4250693,1982464,33498.0546875
1702531486.7861595,1998848,33463.32421875
1702531500.1782765,2015232,33469.5
1702531513.5613906,2031616,33498.42578125
1702531526.9948175,2048000,33167.9453125
1702531540.307271,2064384,33364.0625
1702531553.7059422,2080768,33337.74609375
1702531567.199368,2097152,33209.6484375
1702531580.6506755,2113536,32909.64453125
1702531594.0478206,2129920,32814.453125
1702531607.5354984,2146304,32324.515625
1702531620.9583223,2162688,31986.193359375
1702531634.3933754,2179072,31902.07421875
1702531647.9118621,2195456,31965.6171875
1702531661.8266473,2211840,30644.662109375
1702531675.160625,2228224,30725.1640625
1702531688.6853757,2244608,30759.697265625
1702531702.0362875,2260992,30723.59375
1702531715.5200787,2277376,31057.43359375
1702531728.9664264,2293760,31033.60546875
1702531742.4525912,2310144,31131.931640625
1702531755.9445388,2326528,31279.50390625
1702531769.3632722,2342912,31332.25
1702531783.1021364,2359296,31670.55078125
1702531796.6041944,2375680,31656.91015625
1702531810.072625,2392064,31736.951171875
1702531823.8080394,2408448,30709.458984375
1702531837.458551,2424832,30350.923828125
1702531851.179202,2441216,29918.7265625
1702531864.8961544,2457600,29539.7890625
1702531878.6061342,2473984,28897.53125
1702531892.2550437,2490368,29122.400390625
1702531905.945407,2506752,28798.50390625
1702531919.6291294,2523136,29030.1796875
1702531933.2517235,2539520,28765.626953125
1702531947.1329694,2555904,27520.564453125
1702531960.726999,2572288,28430.1328125
1702531974.3496192,2588672,28269.005859375
1702531987.9643183,2605056,28228.927734375
1702532001.648944,2621440,27395.095703125
1702532015.1829555,2637824,27342.791015625
1702532028.7185352,2654208,27120.392578125
1702532042.2366598,2670592,27134.9765625
1702532055.8292255,2686976,27338.78125
1702532069.329531,2703360,27188.837890625
1702532082.948754,2719744,26997.275390625
1702532096.3701322,2736128,27094.193359375
1702532109.9221005,2752512,27938.365234375
1702532123.2953293,2768896,28044.63671875
1702532136.7446778,2785280,28602.185546875
1702532150.2950356,2801664,28647.087890625
1702532163.7441878,2818048,29324.373046875
1702532177.3666399,2834432,29713.125
1702532190.8868628,2850816,29965.2734375
1702532204.3330646,2867200,29836.26953125
1702532217.8903916,2883584,30053.021484375
