Wall time,Step,Value
1702415156.8568974,65536,-1351.3677978515625
1702415255.0229297,131072,-1380.575439453125
1702415352.3207903,196608,-1133.8006591796875
1702415450.1505356,262144,-1311.218994140625
1702415545.647074,327680,-1021.9572143554688
1702415638.2893195,393216,-787.7442626953125
1702415731.0087183,458752,-647.0556640625
1702415823.7041185,524288,-891.8301391601562
1702415913.5496907,589824,-374.9139404296875
1702416003.0947561,655360,-185.55694580078125
1702416092.6269689,720896,-115.7876205444336
1702416179.9377282,786432,305.9858093261719
1702416266.1271708,851968,1049.0574951171875
1702416350.9633327,917504,2090.281005859375
1702416435.5016823,983040,3028.29052734375
1702416519.3896575,1048576,4208.67333984375
1702416603.456553,1114112,4913.35546875
1702416686.9100668,1179648,5938.6337890625
1702416770.1019268,1245184,7001.9384765625
1702416853.1797838,1310720,7760.7255859375
1702416935.5677109,1376256,9131.1220703125
1702417017.4768147,1441792,10848.3896484375
1702417099.2182972,1507328,11752.9013671875
1702417181.4567838,1572864,12593.7939453125
1702417263.053097,1638400,13707.9501953125
1702417345.054277,1703936,15019.748046875
1702417426.2559235,1769472,16540.92578125
1702417507.8959177,1835008,17774.384765625
1702417588.8727274,1900544,19089.427734375
1702417669.9380975,1966080,20404.087890625
1702417750.8902488,2031616,21436.5703125
1702417832.1146355,2097152,22786.673828125
1702417913.0095675,2162688,24019.3984375
1702417994.3996785,2228224,24537.0390625
1702418075.4570248,2293760,24941.087890625
1702418156.834549,2359296,25420.31640625
1702418237.7931347,2424832,26045.3125
1702418319.0572093,2490368,26692.25390625
1702418399.961683,2555904,27262.4375
1702418481.06742,2621440,27910.21875
1702418562.3080285,2686976,28153.134765625
1702418643.37436,2752512,28463.716796875
1702418724.3595412,2818048,28999.126953125
1702418805.4175804,2883584,29044.93359375
1702418886.6455896,2949120,28867.25390625
1702418967.623965,3014656,29075.4609375
1702419049.1272624,3080192,29071.69921875
1702419129.9884832,3145728,29300.083984375
1702419210.3103876,3211264,29492.76171875
1702419291.8708458,3276800,29577.8359375
1702419373.0594475,3342336,29562.93359375
1702419454.6452966,3407872,29613.54296875
1702419535.8901124,3473408,29691.115234375
1702419617.1506894,3538944,29727.142578125
1702419697.6118064,3604480,29890.287109375
1702419778.3671443,3670016,30143.154296875
1702419859.21951,3735552,30081.234375
1702419939.8012323,3801088,30090.693359375
1702420020.7531195,3866624,29949.318359375
1702420101.5013156,3932160,29946.21484375
1702420182.8816326,3997696,29879.47265625
1702420264.188271,4063232,29832.48828125
1702420345.623771,4128768,29637.83984375
1702420427.1692188,4194304,29634.447265625
1702420508.3210976,4259840,29630.068359375
1702420590.4330926,4325376,29632.31640625
1702420671.665604,4390912,29676.259765625
1702420753.4350474,4456448,29670.365234375
1702420834.7547507,4521984,29531.818359375
1702420916.521923,4587520,29402.876953125
1702420998.0635471,4653056,29033.21484375
1702421079.7302868,4718592,28996.533203125
1702421161.0167003,4784128,28863.236328125
1702421242.2391608,4849664,28918.0703125
1702421323.7901182,4915200,28948.1953125
1702421405.521435,4980736,28952.892578125
1702421486.8794627,5046272,29101.09765625
1702421568.8694885,5111808,28802.80859375
1702421650.3992543,5177344,28695.03515625
1702421731.9706,5242880,28348.29296875
1702421813.4334428,5308416,28516.521484375
1702421894.9264336,5373952,28490.978515625
1702421976.3192866,5439488,28442.490234375
1702422057.943264,5505024,28304.787109375
1702422139.673407,5570560,28134.662109375
1702422221.3876991,5636096,27966.888671875
1702422302.5945957,5701632,27986.001953125
1702422384.4636998,5767168,27721.611328125
1702422465.9082987,5832704,27546.8046875
1702422547.6452665,5898240,27237.671875
1702422629.3259351,5963776,26958.482421875
1702422711.054408,6029312,26547.21875
1702422792.2449336,6094848,26710.228515625
1702422873.8919938,6160384,26462.865234375
1702422955.8558362,6225920,26323.63671875
1702423037.7590213,6291456,25949.5078125
1702423119.159197,6356992,25476.205078125
1702423200.5209503,6422528,25424.37890625
1702423281.8000338,6488064,25203.068359375
1702423362.9037294,6553600,25305.330078125
1702423443.9166818,6619136,25353.58203125
1702423525.6787345,6684672,25240.671875
1702423606.9483252,6750208,25244.232421875
1702423688.4857013,6815744,25336.94140625
1702423769.388184,6881280,25310.908203125
1702423850.6461883,6946816,25667.349609375
