Wall time,Step,Value
1702231560.6810887,65536,-1470.61376953125
1702231674.048052,131072,-1522.3299560546875
1702231785.697138,196608,-1514.4835205078125
1702231897.3443754,262144,-1489.9375
1702232008.9488456,327680,-1437.583251953125
1702232119.6519995,393216,-1443.978271484375
1702232229.612198,458752,-1525.1597900390625
1702232338.0349488,524288,-1480.8880615234375
1702232444.2003129,589824,-1400.811279296875
1702232548.8278446,655360,-1291.35400390625
1702232651.1489644,720896,-1365.0517578125
1702232751.0289662,786432,-1228.7559814453125
1702232850.697834,851968,-1104.602783203125
1702232949.3295074,917504,-1247.075439453125
1702233046.0761974,983040,-1268.222900390625
1702233142.9303868,1048576,-1388.900390625
1702233237.6922379,1114112,-1581.3310546875
1702233331.615043,1179648,-1688.57177734375
1702233424.6045797,1245184,-1854.520263671875
1702233516.5616286,1310720,-2014.898681640625
1702233607.4706793,1376256,-1987.3651123046875
1702233697.1867929,1441792,-2222.423583984375
1702233787.6820626,1507328,-2266.352783203125
1702233876.0291922,1572864,-2097.289794921875
1702233964.0705113,1638400,-2126.801025390625
1702234052.30429,1703936,-1848.0595703125
1702234141.2767646,1769472,-1509.0772705078125
1702234230.0558805,1835008,-1279.2275390625
1702234318.0542579,1900544,-1030.3931884765625
1702234406.7351112,1966080,-819.1906127929688
1702234494.5380192,2031616,-386.6648254394531
1702234583.4177277,2097152,-181.21929931640625
1702234673.3383026,2162688,218.7732696533203
1702234761.7847888,2228224,540.4521484375
1702234850.1138804,2293760,670.4833984375
1702234939.7737925,2359296,761.5740966796875
1702235028.4156728,2424832,1104.7764892578125
1702235115.8601167,2490368,1565.90576171875
1702235203.4861693,2555904,1710.9090576171875
1702235290.927445,2621440,1878.2431640625
1702235378.2273624,2686976,2137.24658203125
1702235465.437929,2752512,2583.139404296875
1702235552.4022017,2818048,2878.295166015625
1702235639.0529802,2883584,3215.712890625
1702235725.7457898,2949120,3555.35986328125
1702235811.702128,3014656,3956.848388671875
1702235897.8864775,3080192,4153.99951171875
1702235984.0702739,3145728,4514.36474609375
1702236070.150817,3211264,4852.849609375
1702236156.4062722,3276800,5250.15478515625
1702236242.0524545,3342336,5806.47802734375
1702236327.730415,3407872,6311.9794921875
1702236413.5844655,3473408,6615.88232421875
1702236499.5249422,3538944,6875.67333984375
1702236585.9604862,3604480,7301.9453125
1702236671.941706,3670016,7419.79638671875
1702236758.0781162,3735552,7538.9345703125
1702236843.9512837,3801088,7894.2265625
1702236930.0137384,3866624,8221.5537109375
1702237015.9772577,3932160,8477.5341796875
1702237101.9002702,3997696,9059.22265625
1702237187.8344717,4063232,9497.0400390625
1702237273.2969027,4128768,9805.0234375
1702237358.8586493,4194304,10359.197265625
1702237444.5164297,4259840,10986.171875
1702237530.0144064,4325376,11481.4833984375
1702237615.5225213,4390912,11930.900390625
1702237701.356363,4456448,12840.525390625
1702237787.031594,4521984,13601.52734375
1702237872.4022121,4587520,14456.0
1702237957.5613592,4653056,15272.296875
1702238042.878179,4718592,16214.1865234375
1702238128.808274,4784128,17033.908203125
1702238213.795185,4849664,17752.30078125
1702238298.8766892,4915200,18432.279296875
1702238384.3554044,4980736,19302.421875
1702238469.863768,5046272,20194.44140625
1702238555.1413717,5111808,21020.97265625
1702238640.725374,5177344,21362.232421875
1702238726.560029,5242880,21861.666015625
1702238811.8467417,5308416,22556.376953125
1702238896.9912643,5373952,23229.259765625
1702238982.4141986,5439488,23845.54296875
1702239067.7646265,5505024,24454.171875
1702239153.1186938,5570560,24573.86328125
1702239238.3991518,5636096,24770.427734375
1702239323.5533478,5701632,25124.734375
1702239408.7556787,5767168,25169.89453125
1702239494.09224,5832704,25124.734375
1702239579.4574673,5898240,25058.607421875
1702239664.6732602,5963776,25008.783203125
1702239749.625584,6029312,25264.19921875
1702239834.955046,6094848,25418.390625
1702239920.1270888,6160384,26108.107421875
1702240005.286753,6225920,26435.126953125
1702240090.4164033,6291456,26288.390625
1702240175.5790942,6356992,26100.705078125
1702240261.0676613,6422528,25239.39453125
1702240346.2380493,6488064,25550.982421875
1702240431.2658055,6553600,25943.75
1702240516.6776228,6619136,26094.931640625
1702240601.8206575,6684672,26739.720703125
1702240687.276616,6750208,27439.73046875
1702240772.4997838,6815744,27866.814453125
1702240858.1538076,6881280,28630.33984375
1702240943.8984702,6946816,28550.775390625
1702241028.5219946,7012352,29160.400390625
1702241113.623139,7077888,29457.4453125
1702241198.9277594,7143424,29580.607421875
1702241284.5867066,7208960,30487.859375
1702241370.4737904,7274496,30752.974609375
1702241456.1910572,7340032,31788.7421875
1702241541.7648323,7405568,32986.45703125
1702241627.7805474,7471104,33210.59375
1702241713.3948772,7536640,33230.91796875
1702241799.2689252,7602176,33900.91015625
1702241884.998126,7667712,34048.0625
1702241970.3500073,7733248,34753.98828125
1702242056.2293415,7798784,35103.25390625
1702242141.865888,7864320,35186.96875
1702242227.644889,7929856,35913.2578125
1702242313.210315,7995392,36013.79296875
1702242398.9184635,8060928,36183.68359375
1702242484.5268762,8126464,36782.3046875
1702242569.9366374,8192000,37450.59375
1702242655.3050253,8257536,38042.8828125
1702242740.9412184,8323072,37722.34765625
