Wall time,Step,Value
1703181830.338659,16384,45.70338439941406
1703181853.9332335,32768,168.27883911132812
1703181877.6695843,49152,323.5659484863281
1703181901.692238,65536,208.72561645507812
1703181925.828605,81920,140.75880432128906
1703181949.360704,98304,178.33177185058594
1703181971.4967942,114688,235.671630859375
1703181994.9625905,131072,467.7609558105469
1703182017.6194522,147456,495.75604248046875
1703182038.819174,163840,506.9145202636719
1703182059.5735588,180224,522.5814819335938
1703182080.8343816,196608,517.7562255859375
1703182101.8890412,212992,544.8538818359375
1703182122.685026,229376,527.0386352539062
1703182143.3314748,245760,542.8779907226562
1703182165.4872704,262144,565.7069702148438
1703182187.1545854,278528,470.38446044921875
1703182208.1818264,294912,473.2413330078125
1703182228.9514005,311296,491.8094787597656
1703182249.8316565,327680,510.2712707519531
1703182270.9577658,344064,463.41387939453125
1703182291.6151097,360448,478.4470520019531
1703182313.0757895,376832,514.2974243164062
1703182333.7419302,393216,510.0438232421875
1703182354.7115824,409600,570.7589721679688
1703182375.5389192,425984,578.0331420898438
1703182396.1524446,442368,572.8226318359375
1703182416.999808,458752,588.4478149414062
1703182437.7549672,475136,562.8357543945312
1703182459.056085,491520,573.208984375
1703182480.164525,507904,625.3833618164062
1703182500.8561478,524288,625.473876953125
1703182522.5509048,540672,707.9736328125
1703182543.4317412,557056,721.6527709960938
1703182564.3812084,573440,743.3359375
1703182585.3005216,589824,734.9624633789062
1703182606.1555586,606208,732.1067504882812
1703182627.093977,622592,743.064453125
1703182648.459035,638976,788.8368530273438
1703182670.0307882,655360,873.4366455078125
1703182691.1076255,671744,870.5145874023438
1703182712.2555637,688128,856.02197265625
1703182733.5108602,704512,855.736572265625
1703182754.551508,720896,879.4515380859375
1703182775.564707,737280,887.367919921875
1703182796.3418214,753664,882.4301147460938
1703182817.3063965,770048,855.452392578125
1703182838.2642012,786432,856.20458984375
1703182858.9577281,802816,877.1080322265625
1703182880.1515527,819200,894.4653930664062
1703182900.8574188,835584,860.2625732421875
1703182921.6617315,851968,887.6768798828125
1703182942.666339,868352,897.1455078125
1703182963.6726327,884736,926.6665649414062
1703182984.5071657,901120,935.7525024414062
1703183005.6361465,917504,952.4577026367188
1703183026.862269,933888,949.4035034179688
1703183047.6731296,950272,967.709228515625
1703183069.018007,966656,977.5432739257812
1703183089.9793067,983040,1008.5682373046875
1703183110.914553,999424,1021.8025512695312
1703183131.9053807,1015808,1047.6827392578125
1703183153.1741953,1032192,1059.100341796875
1703183174.640501,1048576,1083.866943359375
1703183195.2650275,1064960,1111.4681396484375
1703183215.9238405,1081344,1132.55908203125
1703183236.532241,1097728,1144.659423828125
1703183257.2513835,1114112,1137.063720703125
1703183278.2506173,1130496,1147.7294921875
1703183298.9931679,1146880,1137.2803955078125
1703183320.606241,1163264,1179.761962890625
1703183341.0408099,1179648,1192.75927734375
1703183362.3457582,1196032,1232.0875244140625
1703183383.2726164,1212416,1213.7918701171875
1703183404.0718884,1228800,1188.8341064453125
1703183424.885526,1245184,1221.67333984375
1703183445.6736798,1261568,1234.9805908203125
1703183466.667128,1277952,1243.814208984375
1703183487.7402048,1294336,1242.8924560546875
1703183508.7929842,1310720,1247.0087890625
1703183530.164305,1327104,1247.9197998046875
1703183551.1842513,1343488,1270.3946533203125
1703183572.7750685,1359872,1240.0340576171875
1703183593.709225,1376256,1262.879150390625
1703183615.2586246,1392640,1252.259521484375
1703183636.3184135,1409024,1239.4544677734375
1703183657.6335492,1425408,1193.1029052734375
1703183678.717816,1441792,1219.3013916015625
1703183700.3339572,1458176,1188.5867919921875
1703183721.1817853,1474560,1176.6004638671875
1703183742.5265994,1490944,1110.024658203125
1703183763.524979,1507328,1084.64453125
1703183784.3549542,1523712,1087.405517578125
1703183805.252998,1540096,1083.3795166015625
1703183826.1737933,1556480,1065.392822265625
1703183847.2681947,1572864,1064.10986328125
1703183867.862601,1589248,1059.431640625
1703183888.5916023,1605632,1069.0870361328125
1703183909.4560084,1622016,1093.4302978515625
1703183929.962843,1638400,1111.5611572265625
1703183950.8216903,1654784,1131.878173828125
1703183971.331228,1671168,1139.2283935546875
1703183991.9136994,1687552,1145.924072265625
1703184012.6345184,1703936,1180.4366455078125
1703184033.3599234,1720320,1163.156982421875
1703184054.126931,1736704,1180.74658203125
1703184075.081879,1753088,1192.5797119140625
1703184095.754754,1769472,1205.773681640625
1703184116.4088519,1785856,1235.5479736328125
1703184136.952728,1802240,1265.7957763671875
1703184157.6245797,1818624,1285.574951171875
1703184178.7761598,1835008,1307.297119140625
1703184199.3993444,1851392,1329.5440673828125
1703184220.1460042,1867776,1423.341064453125
1703184240.7170057,1884160,1459.1900634765625
1703184261.6688807,1900544,1513.1947021484375
1703184282.2910914,1916928,1543.352783203125
1703184302.9055173,1933312,1599.3681640625
1703184323.7425628,1949696,1680.95361328125
1703184344.2813773,1966080,1745.3177490234375
1703184365.3824399,1982464,1779.3216552734375
1703184385.8889492,1998848,1815.805908203125
1703184406.991468,2015232,1904.7757568359375
1703184427.7785118,2031616,1968.457763671875
1703184448.4894226,2048000,1979.9940185546875
1703184469.8194299,2064384,1974.5416259765625
1703184490.596575,2080768,1981.1593017578125
1703184511.4023263,2097152,2045.8681640625
