#{"t_start": 1702388375.987774, "env_id": "cpg_plainEnv"}
r,l,t
-970.381142,560,1.570915
-2453.257995,1082,2.516121
2552.275968,1274,3.646712
-4025.004838,993,4.522969
-2937.203171,879,5.332959
18.013201,691,5.965016
-2342.99425,1056,6.896059
-1323.54834,942,7.726598
-2639.198388,507,8.221428
-3367.20361,921,9.078212
-1078.243428,933,9.922548
5838.604243,1271,11.063834
-2039.706303,614,11.686388
-2825.369997,816,12.545771
-2095.305841,812,13.27668
2994.678532,1404,14.475161
-1589.705729,718,15.134123
-2751.580606,597,15.702748
-1019.866011,503,16.182343
-781.783286,557,16.751572
-1659.069523,364,17.12964
-2070.884814,1210,18.197016
-1031.089879,798,18.923891
-2.855033,543,19.428011
225.473184,1108,20.378384
15.22877,1207,21.450149
-2211.437965,431,21.933733
-2841.188705,916,22.819628
-3402.5963,1240,23.921015
-782.274723,1019,24.875831
-2543.864708,678,25.514246
-2483.395687,703,26.169987
-2843.266032,844,26.967753
-1729.113629,551,27.485042
1760.753486,1081,28.424703
-3075.907152,938,29.234541
-1973.485267,606,29.844724
-3007.863084,697,30.49846
-2405.246671,888,31.313742
-1408.714185,396,31.71102
-1469.816313,591,32.261105
2439.183132,1826,33.776554
-3131.389876,717,34.435076
2167.637702,1103,35.381153
-2984.110919,929,36.194743
961.325474,1032,37.091861
-1262.487082,1663,38.486481
-135.078433,621,39.066098
-2854.791255,1870,40.611846
-740.432706,461,41.055689
-1619.554906,745,41.736829
-3118.003067,792,42.46074
-1850.560456,697,43.100425
-642.552787,755,43.787271
-713.054458,813,44.522165
-2211.47892,471,44.977197
-2646.061799,956,45.811565
-2678.509078,528,46.319304
-2609.216171,771,47.010708
11.063649,748,47.680612
-3880.578869,853,48.426076
-668.175736,290,48.747019
-806.477393,665,49.37106
-1567.543974,451,49.806062
-2238.640186,948,50.655696
602.941146,869,51.423325
-1676.948631,695,52.061118
2253.362507,1352,53.232333
611.157822,879,54.031549
-1403.847116,767,54.758281
-995.142343,711,55.421816
1768.191363,1006,56.28376
-3299.10368,842,57.038459
-1325.750738,501,57.496798
-1216.088778,670,58.099085
-1969.702483,741,58.759908
-1240.45816,535,59.266719
-3456.870108,1392,60.964072
-1913.055842,892,61.77855
-2078.114048,695,62.401831
3943.423236,2269,64.372657
-3649.307934,1052,65.285219
-961.886383,485,65.77927
-2995.486852,1218,66.848418
-1662.250066,1014,67.775039
79.006434,583,68.358938
-1147.115416,488,68.866685
-1646.493887,942,69.709345
-1613.217287,407,70.138796
-1033.926985,571,70.703118
-1418.282533,599,71.281475
-61.34335,665,71.887475
-2544.179854,588,72.482585
2175.201667,1041,73.406771
-3104.925426,774,74.106049
-2187.533996,732,74.777448
-2323.770822,779,75.500381
-1155.371923,1052,76.439347
-1441.195113,573,76.984299
-2430.734499,489,77.518023
-1932.34966,366,77.929539
-652.585763,497,78.417315
-1854.822775,724,79.062089
-234.47222,580,79.598206
-1623.859858,599,80.153453
176.878094,789,80.857483
-1760.090906,549,81.386295
-1790.636304,1826,82.923921
-1697.808849,529,83.423889
-2460.080976,785,84.121731
-2735.165685,930,84.938025
-2626.592184,764,85.627106
-2302.854542,726,86.28817
-3084.199306,917,87.102321
-947.433465,1165,88.081592
15779.399931,2992,90.506532
-1158.058324,1388,91.668839
-1973.163968,715,92.305386
-1042.660669,499,92.768273
-1197.444451,631,93.340495
-3107.285795,667,93.956617
-2110.54062,803,94.699026
8409.021973,2249,96.541571
-2216.991552,874,97.312848
-1889.546775,748,97.996112
2523.435787,1791,99.572451
-1198.856451,1156,100.596623
-1826.507841,1002,101.513705
16.781565,1665,102.962979
-3119.371476,1214,104.071216
-1439.444269,651,104.704903
-430.296084,567,105.249995
-1184.169646,890,106.133367
-2300.115191,777,106.858234
-2926.163792,1321,107.985356
-681.625951,1002,108.858744
-2040.907831,567,109.384352
-1306.472018,682,110.01284
-874.794713,531,110.509352
-1785.286199,724,111.161553
-2295.758442,907,111.960216
1669.165856,556,112.473261
-3072.173534,786,113.17021
5964.57805,2294,115.109342
-25.351813,1274,116.184459
-2208.958007,1103,117.201506
1318.038716,899,117.994841
-2268.177996,921,118.855515
-1721.281358,398,119.280965
-2412.561808,640,120.404398
-1273.112772,1026,121.444739
142.383773,704,122.134476
-618.250982,914,122.981715
-1790.304258,794,123.743075
-523.351368,1208,124.858312
253.578071,968,125.732255
-2222.423025,732,126.420018
-399.168444,812,127.163154
-1833.809921,533,127.674157
4219.896332,2814,130.041903
-1376.988676,466,130.530408
-2380.145402,853,131.31157
-2839.701772,756,131.994177
-1048.735674,539,132.529018
-802.255484,590,133.100433
-722.710598,1012,133.979445
-1670.028552,404,134.386253
-1954.788677,571,134.922719
-625.217213,982,135.779823
-2055.747848,591,136.321282
-1939.976559,434,136.754005
-2496.353451,523,137.26862
-380.367272,715,137.918269
-1873.596414,1179,138.927541
-1249.23952,682,139.574981
-741.037763,856,140.449334
-3457.216859,773,141.154056
-2795.360965,766,141.843238
-1591.551612,683,142.47336
-1205.158676,929,143.305619
-594.539949,556,143.87489
-1141.812042,1083,144.840441
-3659.53094,1017,145.779178
-1424.220713,562,146.354384
