#{"t_start": 1702520121.3066661, "env_id": "cpg_plainEnv"}
r,l,t
-2472.762615,946,1.860082
-1456.719275,462,2.362162
-1218.618867,328,2.752348
3656.317375,2185,4.576899
-1557.896335,744,5.236889
31.467325,722,5.888321
2797.466506,1837,7.431353
-437.673752,601,7.98365
-2762.188018,733,8.625847
3387.834796,1216,9.660686
-2091.325385,988,10.507573
-2704.730944,715,11.165463
-1175.097955,1153,12.147547
2583.185275,1164,13.139223
-2640.991456,1139,14.112499
-1606.857799,626,14.707223
-512.601216,1139,15.888444
-637.870116,929,16.700339
-140.651181,1742,18.183844
-1664.005763,752,18.860982
97.105478,991,19.719964
4451.348721,1894,21.294545
-1898.415473,870,22.079546
-584.074341,1103,23.044093
-3093.019869,1035,23.943959
-2109.929719,749,24.608958
-2156.633836,709,25.252131
-2183.419505,546,25.772268
-1754.701544,508,26.260624
-4009.198476,1157,27.234954
-1270.97884,471,27.693689
-128.077647,1292,28.783163
-229.145733,798,29.536459
-715.252291,951,30.576142
-1307.192801,325,30.928634
-2301.032042,881,31.700309
-834.968768,457,32.138173
3698.183368,1030,33.034981
-1818.080619,839,33.773234
-2863.10692,946,34.595505
-2717.232914,702,35.228851
-1332.617065,638,35.820685
-1414.401845,486,36.287097
-1557.350884,619,36.862433
-339.311388,718,37.516909
-1763.749949,1298,38.628606
-892.040337,480,39.094564
1230.401772,819,39.81855
-1948.32068,1085,40.755327
-1595.592671,1160,41.752519
-1730.078595,532,42.261146
7167.228511,1979,43.870074
-1228.77964,399,44.275595
-633.50493,1116,45.445938
-2228.639236,659,46.046959
898.965076,566,46.572035
-1395.161986,470,47.034074
-2461.226473,1013,47.920363
-1652.48184,517,48.423585
-1174.97166,711,49.068251
-2181.329945,664,49.687134
-1357.284372,578,50.233342
-2562.430797,791,50.932954
-1528.646507,673,51.548409
-2488.331621,1013,52.416312
-2556.017102,621,52.989945
-1150.574131,490,53.465542
-964.200588,950,54.310052
2041.84698,1013,55.188834
-1645.773362,607,55.7589
-291.032239,504,56.237283
-1891.672883,1143,57.20567
-1792.273072,820,57.91172
-2598.378185,649,58.508788
-1702.455662,854,59.272353
-720.26788,305,59.593717
-1583.216281,426,60.221277
-2814.048132,723,60.871296
-1031.237829,549,61.395975
-193.817698,741,62.065365
-1722.06326,612,62.632036
-1533.263829,871,63.406974
-295.435249,747,64.078129
-1202.140224,695,64.698781
-213.608708,1032,65.578961
-1349.271545,767,66.272978
3369.168713,1174,67.275978
-1814.406009,781,67.996786
-2106.994183,798,68.713682
-2273.115535,751,69.394252
-3345.789011,919,70.203636
-661.688729,579,70.728091
-1402.460594,573,71.26549
-1957.598925,718,71.922947
-826.462941,666,72.529246
-1876.186425,442,72.964298
-778.172304,598,73.517494
-1810.205916,701,74.158583
-2834.579068,736,74.815907
-2731.591237,734,75.680093
-733.256325,932,76.482259
-1011.343684,795,77.198656
-3329.87115,1413,78.396682
-1559.467311,374,78.818483
61.465311,1123,79.790727
7169.224664,1882,81.350039
-969.463351,303,81.678725
-873.651531,674,82.285933
-2108.404245,901,83.088645
15.390012,831,83.831387
-685.699655,349,84.194547
-2663.023264,1668,85.58681
6590.373258,1611,86.936157
3259.245258,946,87.763034
-1618.000756,926,88.586963
-1742.571025,649,89.177094
-1148.759173,442,89.825729
-1883.582942,308,90.158826
-1444.421614,293,90.483304
-3221.875005,1126,91.464939
-1012.065339,510,91.952102
-1768.246156,683,92.566491
6246.772077,1097,93.52143
129.405745,834,94.270112
-648.783152,769,94.957028
-2101.043112,642,95.552625
-1108.070096,530,96.055537
-970.292561,559,96.58044
-1693.779856,394,96.978904
-1354.981738,543,97.487901
2451.348176,1729,98.950806
-1332.090015,464,99.40447
-1489.322098,617,99.960727
-2067.512012,753,100.634602
-2083.827855,821,101.370574
-836.469137,314,101.709891
-884.855932,306,102.039107
-1124.533266,542,102.539459
-3515.73889,741,103.219694
-2430.093261,759,103.904522
-548.048624,455,104.344268
-1427.415709,598,105.109931
-2576.763746,626,105.692605
-2905.259461,635,106.277263
-676.803556,534,106.780307
-1117.867457,419,107.195438
-2333.256412,710,107.838326
-1524.911178,389,108.23296
-567.018983,285,108.545156
-1037.339567,626,109.124195
-1484.610562,445,109.560609
-533.557318,766,110.256452
-2901.060701,782,110.960607
-1306.930883,1248,112.029167
-2278.457227,612,112.644808
-553.279331,481,113.110476
-2324.666075,552,113.631225
-2303.686019,845,114.385844
-1700.546108,1498,115.671634
-1645.356464,612,116.246731
-2122.870565,708,116.894365
-1340.938648,405,117.305824
-1741.183732,1248,118.366382
-1953.2972,873,119.155684
-1710.897989,379,119.54942
-1433.688378,813,120.482355
-1483.003811,1047,121.397036
-127.924466,409,121.806596
-1768.292069,608,122.38816
-2931.380573,673,123.025641
-2272.732019,499,123.497509
-1330.976327,426,123.920277
-2496.930831,428,124.352441
-1177.665682,549,124.862494
-2162.497971,1022,125.764048
-1744.643795,831,126.521585
-954.983404,392,126.906194
-1935.169949,729,127.573812
-1051.676569,955,128.405371
-1224.391742,1014,129.278318
-679.438949,575,129.812899
-2383.753324,725,130.473141
-2179.271791,393,130.870298
-1791.038404,442,131.313983
-3814.110431,992,132.190433
-15.61138,692,132.817114
-589.173913,320,133.160318
-462.51264,787,133.837533
-252.452686,756,134.519291
-2298.430732,1685,136.17571
325.071815,1782,137.65048
-2431.082366,781,138.365539
-2022.149956,749,139.042133
-1523.94072,403,139.456107
-737.190083,1314,140.571446
-2285.00798,842,141.321968
-1386.027076,1023,142.218105
-2043.697733,916,143.066708
-2358.108428,741,143.745374
-1456.219157,643,144.336527
-2061.393787,667,144.961817
1126.910689,979,145.808618
-1656.754018,454,146.263561
-2544.492936,557,146.792381
-1160.183165,288,147.099256
-871.826885,634,147.679488
-1807.248363,766,148.384881
-826.738271,861,149.142685
-1671.890371,550,149.655906
-603.368946,1099,150.816314
-1133.502129,537,151.325695
3616.48812,1253,152.397635
-1686.951867,712,153.055547
-1498.257887,368,153.434357
1533.122331,1594,154.773184
-977.22164,340,155.127558
-2617.837942,1281,156.240962
1636.108073,1218,157.285915
-1462.086221,369,157.690857
-2054.413303,750,158.377729
-1493.68578,644,158.99442
-1164.585258,627,159.568415
-3307.446899,857,160.333672
-1496.719012,341,160.698067
-3548.004029,962,161.554401
-1578.859985,388,161.945788
-1288.004468,902,162.74196
-1875.399829,699,163.377012
-2719.33021,954,164.206888
630.10714,527,164.690758
-1541.057692,383,165.079374
-1272.48243,638,165.878099
-919.06865,393,166.272086
-2189.421595,1212,167.325302
-1387.519059,1134,168.333636
-1071.119693,601,168.903123
-1586.882168,600,169.465576
-2308.28259,390,169.866698
-1253.283696,755,170.538026
-2299.506752,676,171.162307
-1867.282362,679,171.786483
-1892.422872,437,172.225339
-899.062966,417,172.637719
-773.57176,375,173.016932
-1200.290137,694,173.650851
-1653.871146,1570,174.981533
-1186.735705,310,175.323931
-1730.977341,729,175.988972
-1014.187743,383,176.379775
-1382.619675,815,177.117198
-1724.933334,536,177.622855
-1477.91411,622,178.216412
-2274.001294,877,178.993758
-3402.493624,1259,180.062695
-1035.969124,541,180.81409
-2474.339968,484,181.284528
6306.682209,2212,183.099976
-1371.983756,303,183.43377
-964.959809,310,183.770643
-1524.227538,664,184.382558
-2517.82167,625,184.956078
-2220.50874,760,185.678457
-1037.969931,389,186.076391
-3001.36556,776,186.795529
-1461.649105,987,187.656448
-495.084361,585,188.197207
-1889.054119,532,188.703621
-1112.204076,620,189.279664
-2165.782507,746,189.961045
-1548.527269,590,190.504416
-41.573501,658,191.095152
1082.996614,924,191.893442
-2743.512388,786,192.603825
-1433.859315,323,192.954421
-1462.915408,1370,194.11972
14108.156117,3650,197.292119
-2457.232206,807,198.036657
-1831.845665,465,198.484426
-778.637523,439,198.912562
-864.546269,456,199.370707
-1547.661571,425,199.804724
-2091.448593,516,200.305099
-1247.201369,460,200.753089
-1032.38585,406,201.150957
480.73223,2388,203.092655
-3271.561456,849,203.856478
-3209.95292,1260,204.949996
-1049.936959,334,205.304097
-1196.994393,557,205.833102
-817.564988,644,206.433505
-387.178637,1151,207.433518
-2692.434819,1140,208.417996
1336.517727,1651,209.822651
-1050.357962,302,210.156161
-2002.374063,363,210.764986
3246.467636,1158,211.766152
-1507.342874,367,212.157346
-1482.468846,416,212.57808
-1258.056002,369,212.965468
-993.898696,349,213.331069
-1704.016296,807,214.044596
-1735.559934,449,214.497955
-647.126896,402,214.901169
47.594773,1145,215.88433
-4160.779249,2091,217.611821
-2101.99924,591,218.166787
-963.211575,1054,219.073251
3538.646772,1692,220.51548
-1128.061577,899,221.304706
5528.845259,2244,223.156872
-1076.163463,361,223.53407
-3155.057731,1136,224.524436
-1442.777233,274,224.849759
-1083.049408,468,225.516381
-2743.958738,1044,226.412822
-56.423442,911,227.215177
-1413.369575,770,227.905519
-1207.193128,426,228.346841
-2050.005311,624,228.928938
-3640.246995,1470,230.161196
-1006.321283,379,230.57969
-731.795094,342,230.932853
-1888.368637,535,231.450471
-1132.027466,421,231.869822
-3049.474667,775,232.576783
-1203.356546,940,233.401531
-1537.038421,676,234.019636
-861.600349,1049,234.944706
