#{"t_start": 1702605229.3618777, "env_id": "cpg_plainEnv"}
r,l,t
-1580.602656,390,1.510375
-1473.714378,606,2.185907
-549.668734,561,2.755686
-2395.597253,598,3.356169
2457.260331,1758,5.119479
-3121.930827,677,5.820666
-1097.997651,562,6.483465
-1579.023866,971,7.417363
-301.818631,920,8.322134
-2937.877332,988,9.345816
-2111.205356,482,9.883083
-1449.37173,1073,10.924927
-2380.759699,647,11.609951
-1119.951246,639,12.291272
-1947.747219,924,13.300727
-66.902966,1380,14.540591
-1010.834924,630,15.141966
-2506.259365,609,15.713362
545.219549,1133,16.729795
-377.256649,708,17.39363
-1580.819289,609,18.231163
-2268.046234,864,19.056311
-3072.71413,1026,20.059001
-1227.581906,862,20.910588
-1546.438962,694,21.559606
-1402.191781,705,22.259846
-1014.483136,622,22.892119
-1530.492786,411,23.319036
-3557.26688,835,24.104213
-3106.861355,762,24.851992
-152.654389,554,25.460867
-1431.895313,639,26.100835
-1755.492919,614,26.813372
1801.646097,1210,27.933904
-1708.039939,501,28.444842
-2662.625363,625,29.056014
-2131.979312,349,29.459976
2107.982342,1345,30.702897
4450.108379,1790,32.319412
-1347.91295,931,33.176387
-1279.914834,859,34.190505
-744.584856,375,34.5945
-2158.954958,584,35.178866
-1351.323238,664,35.824775
8081.216988,2477,37.94134
-3336.857011,1123,38.950674
-1142.2799,505,39.450569
-2794.297869,859,40.233982
-48.9613,959,41.108291
4938.7897,1461,42.393819
-2003.904811,1567,43.762064
-441.70041,703,44.428056
-1359.113844,410,44.860986
-991.802575,1020,45.786986
-2159.454849,544,46.325741
-1280.153147,1086,47.302071
-1565.611663,835,48.161814
-1140.614699,603,48.826007
3724.694436,1013,50.090465
893.534404,1090,51.127829
5971.474646,2354,53.179412
9240.326701,2692,55.582476
-3790.592781,909,56.422051
7713.700648,1569,57.949627
-1601.733328,1278,59.127277
-1107.626413,557,59.729219
-3989.326998,776,60.477871
-454.278132,960,61.352637
-1162.928222,656,61.960819
-1273.666951,703,62.631939
-1493.820062,608,63.222184
-1536.423451,713,63.908148
-946.151846,494,64.402164
-1641.847207,532,65.157291
572.970277,535,65.684033
1014.206311,1620,67.141682
-1100.547711,819,67.915184
-1449.445799,1202,68.993299
-1707.338112,757,69.710245
-1217.375428,1338,70.922514
1353.961604,1208,72.003887
1398.782132,1242,73.167036
-3337.377131,774,73.973117
-712.229622,1550,75.48428
-1689.338633,464,76.020446
3658.876258,1573,77.475635
-528.95446,387,77.879513
1850.640751,1429,79.194404
-3201.604703,996,80.160531
-2341.805318,701,81.088215
-2498.815539,596,81.685268
-1547.850315,739,82.424067
-1429.11409,395,82.845605
-1502.332019,491,83.354054
215.033567,850,84.199273
-1646.49833,601,84.835727
-661.826303,634,85.54793
-1452.820503,792,86.458348
-679.111055,487,87.021504
-2408.01287,517,87.632895
-1973.6232,427,88.123451
-988.646805,551,88.737312
-417.561898,754,89.536776
-709.480435,654,90.166089
1971.79832,1384,91.453697
212.526462,969,92.374654
-1705.655264,755,93.097002
-1416.5534,562,93.706647
-1065.205744,808,94.470459
-907.527206,414,94.885048
-1907.466325,648,95.524354
-2198.879327,481,96.029102
-1863.147039,750,96.743529
-3714.714876,707,97.415061
