#{"t_start": 1702402355.2606225, "env_id": "cpg_slopeEnv"}
r,l,t
-1702.153989,577,1.320969
-1517.932602,310,1.88954
-1590.274934,410,2.537461
825.524301,1638,4.72316
-1289.531228,436,5.408058
-1543.511656,280,5.870418
-1663.323747,319,6.383978
-1386.317413,321,6.947252
-1730.079649,316,7.473358
-1908.533314,518,8.250954
-2347.722784,555,9.073795
-1273.706416,529,9.853223
-1654.533006,549,10.658758
-2538.318544,725,11.722269
-1462.974966,467,12.483778
-1448.70216,510,13.248784
-1621.338275,611,14.134175
-1277.397921,399,14.734566
-1095.88707,311,15.239878
-1416.478373,443,15.894259
-1970.666246,428,16.545834
-1561.278904,313,17.055937
-1716.635139,440,17.716427
-1272.508426,427,18.354065
-1974.393852,435,19.013157
-1157.081965,275,19.471862
-1570.181336,675,20.422921
-2274.10657,534,21.19531
-1371.570312,433,21.839673
-1162.991566,530,22.605833
-294.492616,1014,23.984733
-1448.92335,489,24.703062
-472.366817,557,25.512788
-1398.536874,353,26.073014
-1494.2482,287,26.542528
-1436.517664,272,26.998641
-1429.650341,365,27.569462
-1293.2412,281,28.033579
-1680.285615,528,28.799616
-1084.26009,421,29.440736
-1920.617348,666,30.383288
-1703.195345,429,31.026135
-1938.147313,298,31.508645
83.021565,857,32.711296
-1584.231074,344,33.273459
-1552.221399,454,33.971375
-1206.707122,402,34.59742
-1351.261694,264,35.048031
-1820.059768,508,35.795414
2587.784312,2026,38.462956
-1455.662596,374,39.04438
-2064.395975,546,39.837676
-597.479657,932,41.10903
-1450.418653,265,41.559829
-1408.983093,351,42.129014
-1854.096664,552,42.955479
-2109.127006,606,43.836238
-1255.781627,1159,45.390961
-1259.236723,361,45.966383
-1742.994429,353,46.534163
-1703.957673,706,47.534274
-1345.466574,227,47.944684
-991.671598,1245,49.617365
-1338.767962,325,50.138578
-1247.054017,393,50.738678
-912.01291,454,51.429862
-1589.224026,357,52.001059
-643.559164,442,52.663286
-1521.753556,488,53.396792
-1167.243693,575,54.236142
-1331.516834,290,54.708324
-1532.920954,419,55.343547
-1411.22115,266,55.79828
-1155.550642,663,56.749483
-766.130544,868,57.952264
-622.106248,707,58.97654
-1353.741187,320,59.495815
-1536.132618,222,59.895206
-1434.523959,320,60.412749
-1907.170519,540,61.197982
-1705.3514,380,61.788115
1310.415317,1085,63.251973
-1435.962999,300,63.739193
-1293.806128,437,64.393837
-1541.389244,436,65.051052
2498.426486,1433,66.929381
-1450.838107,279,67.389763
-1426.816356,353,67.947728
-1283.539185,348,68.516603
-1625.061523,338,69.047021
-1417.831243,337,69.57663
-1526.86444,247,69.994134
-1293.154158,290,70.467259
-1693.143529,632,71.367001
-1942.757752,569,72.189421
-1397.888618,333,72.716764
-1370.511056,389,73.320985
-1159.155242,656,74.275208
-2025.228543,644,75.184385
-2071.59806,356,75.749892
-708.218072,856,76.944372
-917.795148,857,78.132549
-1364.043232,248,78.592016
160.660122,794,79.673503
564.050097,1000,81.01733
-330.955007,623,81.903461
-1040.634658,328,82.42568
-2044.824183,460,83.115106
-705.893571,547,83.926216
-1285.839235,246,84.345165
-1726.63097,483,85.061491
-1343.029667,495,85.793786
-941.851733,321,86.311506
-2092.430513,401,86.938169
-1149.759409,241,87.353095
-1433.635868,390,87.943373
-1231.442219,289,88.417335
-1296.109694,336,88.953701
-1864.340226,873,90.141766
-1519.941785,487,90.890221
-1048.137607,373,91.473368
-1736.2694,451,92.163271
-1259.162591,475,92.869552
-1418.348337,325,93.390723
-1444.775128,795,94.497458
-1283.169271,339,95.032175
-1759.526672,632,95.942191
-1139.219025,565,96.764559
-1255.722975,385,97.358567
342.805997,943,99.151331
-1706.990501,427,99.808593
-622.904389,650,100.74388
-1416.887686,637,101.661202
-180.180917,788,102.760303
-2179.067005,652,103.693899
-1233.576979,262,104.144925
-1741.088079,473,104.858961
-1773.476144,272,105.316645
-1246.824703,349,105.871743
-1442.716719,536,106.651498
-1454.279095,267,107.108484
-983.506093,691,108.090222
-1552.954603,708,109.109851
