#{"t_start": 1702415058.2036784, "env_id": "cpg_slopeEnv"}
r,l,t
-1432.865446,471,1.163129
-1116.869133,273,1.629565
-1284.239319,489,2.364927
-1174.721081,547,3.15563
-825.508081,634,4.074867
-1616.25122,243,4.501294
-1109.318592,371,5.085605
-1111.570921,422,5.73369
-1388.485959,228,6.139607
-1381.642264,203,6.519291
-1694.053383,383,7.129938
-1184.540508,306,7.639055
-1780.839972,437,8.29765
-1671.008859,408,8.93845
-2579.125609,666,9.888939
-1308.012848,236,10.298144
-1748.403924,490,11.034381
-1426.484298,208,11.414923
-1009.303117,340,11.950431
-1729.087356,483,12.668891
-2030.56536,472,13.379687
-1532.703833,209,13.761967
-2446.243615,639,14.670816
-1900.356093,326,15.194942
-1099.251511,779,16.288862
-1401.40757,424,16.958906
-2114.535105,525,17.725337
-1742.466023,375,18.306036
-2464.583154,789,19.389626
-1830.49238,525,20.156361
-1522.607153,393,20.75921
1652.987846,1421,22.71267
-1604.431631,435,23.37749
-1452.14876,340,23.923165
-1618.758895,622,24.827364
-1781.653709,487,25.543836
-1128.481371,431,26.202886
-1658.71132,235,26.647218
-1209.52166,447,27.322644
-1362.454441,563,28.147043
-1093.077366,231,28.553412
-870.818144,350,29.099512
-1440.461623,247,29.515288
-1794.611978,480,30.229198
-1714.371274,742,31.269392
-2065.145037,609,32.174007
-1490.484865,342,32.709211
-1011.120093,431,33.359963
346.089511,940,34.643118
-1285.224085,439,35.304364
-1489.658546,689,36.281123
-1324.090795,461,36.995549
-1227.142401,461,37.690621
-1751.456137,376,38.278284
-1367.330852,417,38.919424
-1494.517871,610,39.805639
-1550.422388,281,40.272089
-1681.714998,712,41.29375
-588.374233,805,42.411831
-1987.686849,454,43.139953
-1267.716043,516,43.908449
-1555.980271,584,44.754739
-1602.444614,517,45.518504
-1221.448837,437,46.179698
-1752.119896,500,46.91358
-1203.805608,441,47.576353
-1437.071036,635,48.489129
-1210.673953,425,49.138189
-1536.907036,385,49.737163
-1970.496685,406,50.374827
2100.642649,1480,52.351974
-1496.401745,422,52.998954
-1599.826898,541,53.779874
-1784.269983,448,54.447336
-1524.560125,659,55.397225
-1416.58184,224,55.794774
-1808.803496,469,56.489271
-1555.620147,297,56.970151
-1926.387844,334,57.500904
-1389.536538,458,58.195423
-1438.364568,321,58.714483
-1683.452624,295,59.191982
-1701.148197,347,59.73389
-1465.670543,357,60.301703
-1253.888506,474,61.007756
-1506.237686,265,61.460445
-1220.169533,283,61.927716
-1087.343313,460,62.625392
-1506.768297,380,63.208514
-1866.0735,409,63.832474
-1237.576734,385,64.422465
-1918.622617,598,65.270501
-1479.305487,484,65.994248
-1720.640988,769,67.075315
-1340.399571,284,67.576191
-1518.923667,444,68.232479
-1070.756135,238,68.643831
-1135.45923,501,69.392896
-1617.522585,376,69.969796
-1171.801578,822,71.10159
-1140.706269,286,71.573931
-1467.388565,847,72.751271
-1555.502773,457,73.445855
-879.285433,647,74.35796
-2532.561504,872,75.580858
2687.309707,1242,77.23428
-1374.78353,442,77.940334
-1452.502451,619,78.833673
-913.035029,1083,80.299364
-1782.291222,522,81.063298
-1314.79746,596,81.912786
-1284.242151,447,82.585624
-263.941703,881,83.809908
-1555.589116,364,84.383511
-981.833892,459,85.074717
-1470.658407,671,86.020433
-1073.982704,345,86.56104
-1555.435765,512,87.327574
-1248.454984,287,87.825516
-1489.905708,255,88.269286
-1231.694392,482,88.982638
-1476.048224,469,89.690073
-1268.122829,528,90.463391
-1082.169518,268,90.917347
-1647.584254,312,91.433514
-1705.647618,784,92.515243
-1160.96474,345,93.072114
-1437.450093,593,93.926069
-1078.75583,296,94.407045
-2334.459624,399,95.010867
-1479.045121,301,95.510603
-1622.01633,424,96.159208
-1776.050421,664,97.114394
-1445.841062,324,97.638029
-1498.682513,568,98.983497
-1484.321701,382,99.579029
-958.127485,565,100.408323
-1235.999436,420,101.053479
-1332.417193,499,101.790749
-1856.0505,395,102.402313
-1579.32165,413,103.040268
-1800.03135,264,103.498822
-1138.506454,469,104.215809
-1584.661444,354,104.788631
-900.822907,606,105.670468
-1896.949838,495,106.397042
-1624.091578,262,106.849729
-843.920012,295,107.328844
2312.367083,1328,109.117254
-2467.868455,671,110.073777
-2254.281313,687,111.039811
-1588.990003,870,112.264498
-1393.884397,373,112.849787
-1416.604813,452,113.540648
-1608.973355,342,114.094142
-614.069785,962,115.408738
-1269.738445,387,116.014009
-1072.543068,714,117.026853
-1055.737771,391,117.626733
-1649.240877,525,118.401139
-1592.820147,383,119.030175
-1693.792973,347,119.575287
-1193.512509,320,120.093385
-1499.051924,210,120.47698
-1537.478255,519,121.254097
-1363.533359,229,121.663499
-1678.84594,372,122.242596
-1154.557967,377,122.828969
-1457.725936,319,123.355515
-889.69683,407,123.989764
-1238.469611,904,125.251355
-1326.298572,770,126.337696
-1683.150967,621,127.237383
-1164.059623,355,127.80798
-1184.968072,408,128.444501
-1512.016505,429,129.10137
-1386.466454,401,129.731238
-1252.215829,230,130.139463
263.23843,979,131.538643
-1600.401467,486,132.261255
-1645.176499,282,132.729158
-1401.595796,450,133.403327
-1479.196386,340,133.940757
-1783.51225,308,134.450565
-1727.656876,322,134.97293
-1328.198967,383,135.578808
-1851.315791,367,136.159233
-1554.496061,662,137.104759
-1101.073042,248,137.527508
-1292.627277,579,138.367037
-466.974691,1125,139.884642
-1278.27744,437,140.566713
-1402.343574,384,141.169125
-1403.678897,288,141.641589
-1948.666574,1133,143.159844
