#{"t_start": 1703386765.990707, "env_id": "cpg_slopeEnv"}
r,l,t
-1348.981275,297,0.955367
-1277.036494,398,1.572952
-1516.130433,445,2.249889
-2265.106208,702,3.258558
-1167.106142,640,4.193206
-1410.147017,380,4.7896
-1345.88303,333,5.32571
-1212.40002,733,6.366078
-893.857182,674,7.323247
-1494.916004,342,7.866477
-1303.677886,465,8.577882
-1526.261607,697,9.575744
-1696.633926,375,10.166296
-1156.559195,273,10.629547
-1828.286104,399,11.24655
-1047.890898,779,12.33827
-1209.202205,298,12.827948
-1520.950185,271,13.289498
-1275.621907,287,13.77125
-1397.387988,574,14.61958
-1197.56585,275,15.110454
-2650.744743,650,16.045283
-1431.511344,422,16.700056
-54.064623,1316,18.474462
-1193.665877,634,19.389132
-1232.097681,911,20.64422
-1494.68859,469,21.358451
-2039.554944,469,22.065287
-1453.339671,476,22.787448
-1398.961064,639,23.7001
-1311.147132,325,24.233112
-2239.722765,509,24.994604
-1515.186301,503,25.753684
-1608.345922,318,26.271026
-1305.761037,242,26.689959
-2535.218553,607,27.576807
-2243.702225,951,28.899042
-2718.160671,1434,30.828409
233.61316,697,31.81195
-1081.861564,431,32.473599
-1269.001249,346,33.017796
-2575.022157,724,34.063849
-1794.197339,336,34.608336
-2438.710687,560,35.438556
-1398.835746,343,35.984353
-1357.074979,382,36.579423
-1600.320161,467,37.289248
-1483.958334,245,37.715215
-1617.598206,472,38.430693
-1508.414336,288,38.915754
-1257.946959,358,39.499404
-1680.870106,307,40.007072
-2688.772604,548,40.811779
-1256.20849,234,41.223755
-1964.452066,620,42.123981
-1395.113344,469,42.835879
-1033.478494,321,43.360072
-1138.082345,483,44.090268
-2265.596274,373,44.6818
1908.407697,1393,46.558512
-1653.501223,393,47.164661
-770.353846,573,48.007294
-1758.86463,609,48.891587
-980.056336,488,49.624708
-2146.81226,496,50.357144
-1295.226831,290,50.832211
-1387.286678,503,51.590038
-1015.437976,368,52.1739
-912.147021,831,53.337832
-1373.458755,409,53.990672
-1029.691181,450,54.669969
-1370.049964,434,55.325165
-1219.951575,226,55.732766
-1452.651541,378,56.331506
-1348.619504,501,57.08798
-1328.956338,451,57.786958
-2244.678512,529,58.574708
-1275.54456,287,59.048844
-1789.11482,327,59.578752
-2682.749295,666,60.535373
-1753.583002,381,61.127228
