#{"t_start": 1703163392.2287314, "env_id": "cpg_slopeEnv"}
r,l,t
-1434.479905,436,1.126681
-1423.387478,310,1.666822
-1605.0881,263,2.13974
-2030.419086,446,2.829071
-1606.417298,290,3.30104
-1547.832728,347,3.837745
-1929.859133,823,4.978225
-1400.618403,1159,6.571631
-1065.522954,263,7.026428
-1470.899719,358,7.598668
-1192.828872,284,8.07228
-1366.73678,651,9.02326
-1399.353588,674,9.997818
-1363.393623,304,10.527805
-1324.972266,281,10.995339
-1540.539599,278,11.473825
-1401.521718,428,12.158445
-2306.931388,591,13.037371
-1631.432553,443,13.708925
442.763187,1383,15.5618
-1477.632822,262,16.012922
-1424.556669,286,16.481549
-1619.7914,236,16.885396
-2223.341158,569,17.714348
-1306.411483,303,18.213666
-962.286742,394,18.811081
-1763.476939,495,19.540831
-1068.447835,395,20.143946
-2441.527751,541,20.924712
-962.166337,675,21.876909
275.656231,1051,23.31383
-1714.905204,328,23.837083
-2621.168971,760,24.898803
-1627.973441,385,25.854929
-1362.793725,502,26.60211
-717.312984,611,27.492768
-1533.999179,388,28.09888
-1335.366075,691,29.083425
-3526.140963,930,30.358351
-969.574067,446,31.029549
-1551.542156,365,31.610582
-1550.67715,336,32.147139
-1175.593402,399,32.761834
-1597.32073,758,33.856451
745.74819,1249,35.531587
-1733.313754,286,36.009534
-1622.829184,272,36.479697
-1704.58985,291,36.963422
-2288.35636,692,37.948858
-1535.167847,356,38.531271
-2345.420277,506,39.288796
-2350.23809,495,40.027229
-1155.661154,324,40.551282
-1309.884135,310,41.062835
-1411.526641,291,41.542037
-1273.315835,425,42.201642
-2296.040256,692,43.183958
-1532.866259,329,43.716483
-1414.965323,410,44.353564
-1798.384009,523,45.125405
-735.817028,735,46.168011
-1544.453252,556,47.01438
-1702.042605,299,47.505608
-2228.4067,524,48.285563
-1843.420987,338,48.831743
-1517.693248,260,49.285177
-2013.627555,530,50.436654
-1614.078014,461,51.142862
-1989.628132,358,51.719689
-1584.604764,413,52.369507
-1590.031796,381,52.966763
-1419.181956,311,53.486028
-1247.096104,522,54.255263
-1380.411848,291,54.736662
-1449.065254,317,55.256285
-1464.129929,419,55.904368
-1422.332175,462,56.611853
-1251.715027,254,57.063633
-1490.729488,224,57.465751
-1233.584673,480,58.181349
-1231.011971,356,58.772389
-1706.67865,286,59.248912
-625.414174,395,59.859306
-781.890152,468,60.569537
-1258.792095,381,61.168942
-1936.367733,457,61.873044
-1629.684422,242,62.295506
-1151.880374,448,62.977828
-1292.08516,286,63.454016
-936.087025,361,64.027097
-1579.070771,446,64.710694
-1453.293002,287,65.18601
-956.001979,339,65.726986
-1753.074815,415,66.367826
-1668.059173,309,66.884571
-3019.76806,652,67.827537
-2089.447182,449,68.494796
-1500.957144,432,69.1567
-1449.566623,455,69.855344
-1496.858891,437,70.526969
-1381.245518,286,71.004684
-1257.229198,422,71.653086
-1395.447335,258,72.104924
-1501.025308,409,72.747641
-1385.46849,685,73.732418
-1568.701559,336,74.27139
-2151.935157,441,74.941782
-1059.76485,241,75.362585
-1557.401034,534,76.504488
-1461.726536,399,77.127594
-1655.381299,363,77.709086
-1667.366462,314,78.229034
-1234.642128,282,78.70227
-2334.295382,683,79.663621
-1424.329139,438,80.332132
-1223.789855,829,81.498027
-1460.777025,437,82.170034
-1598.92317,392,82.780312
-1129.366372,487,83.509083
-914.261829,332,84.040963
-1243.819642,522,84.816209
-1572.789505,399,85.433059
-732.998502,662,86.376804
-1218.090277,329,86.912274
-1521.51355,414,87.554903
-1090.004417,324,88.07915
-1075.42965,206,88.465376
-1854.586412,761,89.526429
-1038.833587,308,90.051103
-1588.713341,410,90.69085
-1056.058111,417,91.3361
-1179.747542,304,91.84476
-1877.38858,424,92.49689
-1306.420196,364,93.077538
-1613.647893,427,93.739973
-1223.217587,342,94.278221
-1291.814019,418,94.9305
6.852266,860,96.134072
-413.763368,641,97.065633
1835.184421,1100,98.567501
-1260.54663,258,99.019043
-1479.742611,371,99.610334
-1145.619663,269,100.070955
-1737.123346,324,100.598557
-1573.105473,432,101.270898
-1071.083874,339,102.171056
-1904.630332,406,102.816327
-1580.884996,309,103.330883
-1606.814462,258,103.781759
-1466.9874,296,104.26997
-1440.927854,217,104.66908
-983.667029,316,105.192523
-1286.678986,312,105.709983
-1601.568412,441,106.388539
-1123.732126,387,106.988994
-1569.113707,366,107.573456
-1185.918245,385,108.176136
-1622.230804,278,108.644793
-1223.986066,329,109.176085
-1317.894733,492,109.917098
405.824132,623,110.818192
-1268.2584,324,111.346441
-1552.355652,352,111.920099
-1599.41629,461,112.620142
-1270.181703,185,112.972178
-1241.139691,585,113.832004
-1266.423301,300,114.323986
-1062.174322,459,115.027193
-1976.662348,394,115.641737
-1157.350697,422,116.298682
-1380.440246,252,116.747446
-1250.72995,288,117.228165
-1465.88321,249,117.655353
-1692.426142,387,118.264924
-1623.723647,233,118.683107
-906.821745,429,119.340016
-1907.126808,413,119.988376
-1450.30503,208,120.382047
-1363.660055,417,121.029979
-1189.408549,659,121.986812
-992.177034,1093,123.49053
-1437.218554,414,124.140393
-1642.960312,317,124.668159
-1628.594151,411,125.315369
-1064.762551,307,125.830824
-255.367575,1019,127.253886
-1462.858281,318,128.176988
-1109.502173,168,128.515537
-1776.793005,347,129.074876
-1847.114855,439,129.752644
-1086.214782,253,130.201495
-1252.165717,412,130.843914
-1324.052205,274,131.312795
-502.065776,608,132.210535
-1695.45349,330,132.748101
-1560.374455,292,133.23159
-1761.487795,311,133.747174
-1212.371242,403,134.387959
-1834.541301,789,135.510385
-1354.746737,621,136.42248
-1305.947864,239,136.84181
-1816.374029,328,137.372215
-816.135735,605,138.267218
-1639.842987,280,138.738176
-1766.336576,348,139.293284
-1394.255063,261,139.742712
-1230.499939,335,140.277228
-1261.683673,234,140.684288
-1462.080924,241,141.101362
-1554.275519,303,141.608982
-1524.096071,342,142.15489
-1268.567065,300,142.640938
-1508.648212,306,143.15309
-1496.563184,295,143.638023
-1482.333174,218,144.041872
-1290.758879,315,144.561372
-1477.399423,326,145.084999
-1607.173861,336,145.61985
-1099.506633,237,146.040641
-1537.236117,277,146.511369
-1641.627776,312,147.023284
-1112.789829,281,147.494742
-1366.351868,274,147.958908
-1197.749511,335,148.495155
2353.673704,1237,150.189773
-1088.36706,257,150.645304
-1373.041409,492,151.377906
-2234.579755,560,152.20694
-1392.633975,311,152.722073
-1268.925916,333,153.258668
-1190.940824,330,153.790751
-1840.675534,366,154.78677
-1346.343965,247,155.214066
-1040.029892,430,155.87284
-1329.258464,354,156.448441
-1246.299169,327,156.978673
-2118.512193,419,157.6308
-1579.682962,430,158.300478
-1310.379068,391,158.914267
-1377.665663,637,159.838981
-1524.843403,279,160.311374
-1925.919819,433,160.983057
-1109.75865,294,161.466263
-1245.946729,266,161.925862
-1435.16115,243,162.345861
-1135.102712,320,162.872646
-1815.422745,332,163.413679
-1389.313111,313,163.933493
-1453.495519,336,164.467505
-1132.422688,269,164.92907
-1470.292719,301,165.437056
-1865.151114,418,166.09431
-1380.846983,277,166.563628
-982.17169,393,167.172163
-1672.074749,370,167.759117
-1131.114075,379,168.356288
-1623.244121,730,169.392082
-1444.881561,261,169.86008
-2019.650526,307,170.376875
-1057.404115,217,170.778975
-1687.339978,313,171.299184
-1458.382039,461,172.014178
-1292.572559,411,172.663996
-1257.810218,280,173.131644
-1751.255123,498,173.878324
-1860.493392,360,174.4584
-1280.010954,439,175.132453
-1029.662004,369,175.722876
-1454.399355,289,176.202445
-1639.684943,261,176.655347
-1620.630406,440,177.322562
-1219.981235,220,177.724902
-1278.39848,294,178.202753
-1214.489349,366,178.786013
-863.478754,701,179.804265
-1323.315327,253,180.263644
-1217.594149,249,181.060875
-1366.839874,315,181.580347
-1533.751079,312,182.09948
-1625.039966,401,182.741247
-1057.390809,387,183.340731
-1531.94844,225,183.744104
-551.495693,786,184.834993
-1475.411457,329,185.386917
-1169.566218,304,185.896902
-1301.813114,240,186.316951
-1296.227176,309,186.82952
-1248.666314,246,187.252829
-1253.753333,499,187.990795
-683.263877,666,188.948474
-2155.930085,522,189.730641
2651.484232,1238,191.425815
-1638.159714,321,191.950913
-1188.389248,546,192.754882
-1097.218289,265,193.215404
-1115.556662,241,193.632218
-1495.951557,275,194.097955
-1471.963565,336,194.63508
-1250.694097,267,195.097779
-1124.670261,403,195.73723
-1448.390498,257,196.193408
-1605.516373,603,197.083634
-1265.270708,438,197.757422
-1336.142693,542,198.556485
-914.281053,209,198.948414
-1432.669086,290,199.432112
-1606.415705,300,199.922319
-1398.608259,332,200.455121
-1857.715241,418,201.105557
-1457.98063,291,201.586355
-1244.945627,319,202.111732
-1898.692657,649,203.045133
-1109.99326,245,203.469477
-1135.293005,376,204.063311
-1472.940627,376,204.656785
-1092.748778,318,205.179276
-1464.590672,215,205.572454
-1462.54403,250,206.003434
-1216.260133,447,206.680685
-1633.909424,446,207.717465
-1400.069801,347,208.273077
-1886.680235,526,209.065164
-1215.169985,488,209.801624
-1417.566409,339,210.34629
-1641.547534,251,210.789135
-1583.182782,414,211.434928
-1363.857827,259,211.887674
-748.520361,972,213.245695
-1003.348743,398,213.871743
-1196.353325,287,214.352947
-1065.736687,469,215.071733
-1996.733291,356,215.649022
-1420.42283,497,216.396057
-1396.870376,515,217.174589
-981.426074,390,217.778368
-1635.597552,389,218.388462
-2230.330621,635,219.314895
-1131.218366,656,220.275152
-1555.373051,440,220.94802
739.927599,788,222.061219
-695.325451,433,222.732663
-1587.486402,758,223.811648
-998.938596,272,224.279685
-1585.094445,619,225.170266
2597.482663,1356,227.003429
-1470.604274,236,227.430306
-1145.530428,905,228.716829
-1626.081971,660,229.679536
-1329.715128,340,230.22561
-1073.118023,414,230.871792
-1432.234217,340,231.421439
-891.648138,272,232.268763
-1662.963306,325,232.804921
-1521.016234,458,233.510246
-1316.453068,558,234.342338
-1040.097986,578,235.191128
-1169.779297,404,235.82767
-1968.471794,401,236.461826
-1485.922744,338,237.00759
-1329.154671,303,237.516699
-1724.998318,339,238.061487
-1440.211582,495,238.798348
-1198.289254,475,239.515719
-1448.375469,330,240.050662
-1091.344127,335,240.586727
-1253.947567,294,241.073229
-1416.150001,298,241.557772
-1657.607783,324,242.083973
-1554.190017,339,242.620825
-1158.842153,314,243.140061
-1417.416833,517,243.913501
-1340.712209,284,244.389482
-1659.405432,356,244.964415
-1126.866054,338,245.504289
-1653.686896,658,246.466866
-1043.432956,412,247.107942
2705.114904,1580,249.230794
-2085.673914,499,249.973198
-1259.616376,486,250.701337
-1467.653364,492,251.438275
-1341.667453,283,251.912721
-1434.356359,423,252.573705
-1426.894281,375,253.166382
2084.558529,916,254.447203
-1172.772047,261,254.909681
-1836.672416,467,255.62103
-1217.997614,268,256.082765
-1216.652377,648,257.020601
-1433.004652,384,257.996277
-1339.251481,415,258.643196
-1757.053285,651,259.588184
-1407.477119,367,260.175063
-2145.019045,479,260.906279
-1706.86295,666,261.862193
-761.734809,349,262.41171
-1141.460287,517,263.190517
-2176.864625,662,264.170625
-930.327113,419,264.814389
