#{"t_start": 1702431837.2896414, "env_id": "modulating_plainEnv"}
r,l,t
-1449.203214,265,1.314104
-1787.989051,380,1.744507
-3391.009761,568,2.33915
-1227.103818,265,2.634554
-2327.941306,387,3.046839
-2538.959386,570,3.59231
-1329.151571,303,3.913493
-1381.261129,251,4.199847
-2050.964003,369,4.584985
-2188.304856,349,4.95648
-1526.217778,411,5.359397
-2335.987229,576,5.916615
-1187.826356,296,6.236258
-1686.157743,317,6.582252
-2967.661016,541,7.115664
-1879.139638,419,7.531156
-1664.084481,267,7.834048
-1906.040525,543,8.353931
-2629.553972,444,8.804033
-2606.989633,468,9.264596
-1520.867328,274,9.56971
-2131.085603,330,9.922346
-1955.40762,290,10.245228
-2033.347683,309,10.582164
-2141.021067,690,11.23037
-1750.777576,331,11.587052
-1443.868628,237,11.863059
-1930.447481,379,12.26026
-1500.537478,424,12.67653
-3480.63312,787,13.392513
-2814.394932,849,14.170448
-1405.494603,278,14.479943
-1850.404881,437,14.919636
-2763.913999,377,15.310209
-2220.619423,401,15.718724
-2878.31288,519,16.223955
-1238.973617,273,16.537694
-1439.709446,294,16.862507
-1982.624726,372,17.243565
-2353.599106,378,17.639018
-2734.376175,414,18.064589
-2025.122785,472,18.526862
-1473.621098,346,18.883313
-1290.151372,382,19.275039
-2067.963898,320,19.624669
-1922.534776,401,20.02634
-2164.091634,375,20.405396
-2075.701166,344,20.776634
-1895.96576,310,21.119032
-2687.475131,515,21.62571
-1801.37586,378,22.023662
-852.960553,662,22.6395
-2591.414549,690,23.274597
-2767.25212,588,23.833239
-2532.17666,415,24.256774
-1483.430202,223,24.517874
-2294.981291,338,24.877
-3881.976024,682,25.492483
-1595.010631,318,25.825364
-1336.106203,340,26.174449
-1308.887519,272,26.479992
-2630.264048,451,26.936377
-2162.105743,467,27.406054
-1652.386567,430,27.832855
-1911.697038,545,28.340198
-1248.929106,305,28.665544
-2821.09139,654,29.286539
-2089.738372,340,29.648742
-1849.470065,466,30.117502
-2017.263986,358,30.493848
-1539.36409,240,30.774454
-1466.278461,240,31.058065
-1185.514177,264,31.351677
-2871.109249,453,31.807124
-1121.251995,287,32.120579
-1646.82969,239,32.398336
-2127.900314,314,32.736704
-1398.788809,320,33.075814
-2594.584408,361,33.451834
-1459.145533,331,33.808607
-2328.001761,388,34.209388
-2269.480465,527,34.711434
-2240.997376,533,35.246986
-2314.095249,482,35.725218
-2174.75784,364,36.111299
-1642.618742,399,36.500426
-2312.82304,353,36.867362
-1810.019094,276,37.179754
-1378.893773,362,37.543637
-1825.313805,353,37.912306
-2078.648421,351,38.284579
-1958.916572,391,38.667853
-1890.587557,307,39.003798
-1824.996408,351,39.373019
-1967.989778,355,39.750024
-2301.199176,369,40.137136
-1551.177247,260,40.434069
-2198.358374,360,40.812086
-1634.704854,247,41.099296
-2054.333598,488,41.588148
-2030.863555,408,42.015289
-2621.593049,557,42.56123
-1325.804512,266,42.864451
-1937.18411,287,43.185687
-2197.814404,491,43.648299
-1852.563462,301,43.974273
-1425.163738,265,44.275803
-3001.198453,508,44.780004
-2121.398715,307,45.116591
-2080.619267,314,45.456244
-1397.307441,307,45.792135
-3023.56889,603,46.369267
-1803.422124,317,46.715697
-1975.522583,358,47.103117
-2505.914486,854,47.886233
-1473.83768,697,48.52375
-2311.613039,372,48.9143
-1059.943123,328,49.257555
-4097.517799,1756,50.749722
-2218.669474,353,51.128894
-3643.324968,910,51.937965
-1736.798488,301,52.27266
-1319.932337,324,52.625437
-1704.375977,340,52.978719
-1364.534188,270,53.284394
-3180.536749,561,53.828052
-1809.603142,389,54.218909
-2140.367803,346,54.581721
-1562.911714,270,54.888524
-1389.526706,284,55.206088
-1795.521163,466,55.653941
-1960.861569,319,55.998788
-2502.006065,615,56.561992
-1533.706936,240,56.840858
-2632.311305,357,57.211521
-2516.722098,464,57.666873
-2675.035558,473,58.132747
-2396.742726,392,58.534587
-1692.619361,360,58.914158
-1674.529473,396,59.325388
-1429.844995,259,59.62413
-2153.648981,341,59.986488
-2015.132004,376,60.377541
-1278.527382,266,60.672019
-1302.986182,243,60.956531
-3380.857272,693,61.591554
-840.253509,328,61.934258
-1403.643739,295,62.264574
-3758.918786,509,62.76477
-1705.430432,287,63.087506
-3224.04481,707,63.759247
-3872.194886,825,64.483673
-2555.052487,601,65.070431
-2028.881793,342,65.430169
-1433.48547,273,65.741968
-2095.327171,380,66.14026
-1228.383866,266,66.440817
-1710.764188,268,66.741213
-2163.524303,323,67.088822
-2168.577796,455,67.547977
-1651.102624,270,68.34893
-2501.400118,460,68.825087
-2083.268746,306,69.164205
-1809.202308,358,69.53854
-2242.098935,341,69.901552
-1878.433441,287,70.228968
-1499.299423,328,70.579823
-1399.583316,251,70.866613
-2481.832664,498,71.355838
-2456.592352,380,71.752165
-2506.667558,375,72.144721
-1518.945096,257,72.444727
-2346.773715,396,72.855717
-2002.981781,322,73.207444
-2116.887883,302,73.544877
-1751.581405,466,74.000997
-2202.880363,350,74.374786
-1328.277471,271,74.684429
-2026.727396,322,75.033298
-3228.679903,614,75.624935
-708.050949,304,75.950423
-1158.679097,285,76.268179
-2037.231365,534,76.785808
-1960.955681,332,77.147528
-1697.812954,288,77.472211
-1731.742806,259,77.771749
-2041.550458,370,78.159456
-1310.772712,275,78.467515
-2703.763782,524,78.978965
-1224.406122,356,79.350349
-1461.350826,275,79.663211
-2646.567185,476,80.13948
-2482.198794,433,80.579203
-1871.70031,508,81.071005
-1068.169501,264,81.364959
-3167.86046,678,82.004856
-2058.268112,536,82.510561
-2302.995185,413,82.929566
-1027.007774,312,83.26415
-1160.130298,463,83.713023
-2391.447321,422,84.144633
-2006.953723,365,84.529899
-1283.093931,267,84.837536
-1463.319316,282,85.157989
-2293.867795,350,85.529892
-1421.227,265,85.832006
-1887.060264,416,86.25481
-2493.699251,464,86.727097
-1623.032373,268,87.03411
