#{"t_start": 1702529761.5525098, "env_id": "modulating_plainEnv"}
r,l,t
-1389.718974,275,1.309072
-1154.67906,263,1.643238
-2857.962573,514,2.188585
-2173.327996,555,2.730268
-1300.817477,339,3.082814
-2115.3759,290,3.404376
-1297.148537,335,3.747536
-1023.724771,292,4.061248
-2418.078029,510,4.566204
-1617.499224,273,4.870101
-2804.273735,535,5.392314
-1342.053427,252,5.680675
-2792.835868,533,6.187841
-1179.23118,233,6.460004
-1234.520923,354,6.824315
-1861.049623,257,7.118941
-2332.807577,425,7.539003
-1310.18268,238,7.813533
-2411.570502,384,8.213979
-1268.52151,356,8.567239
-2472.82052,402,8.978974
-1982.912344,409,9.39535
-1186.234417,286,9.705048
-2638.751015,356,10.072126
-1608.54765,268,10.373087
-1145.790686,315,10.702985
-2548.731662,359,11.077086
-1348.997384,306,11.412577
-2022.607124,332,11.768834
-1509.944552,303,12.091314
-2336.462081,434,12.52984
-1528.913247,285,12.843762
-2591.844498,399,13.257343
-1998.24304,320,13.607371
-2186.6625,444,14.05718
-1438.957985,338,14.41933
-2058.891934,425,14.851952
-3070.801246,638,15.432349
-1744.609988,342,15.787772
-2035.905985,345,16.15156
-1986.56863,401,16.556849
-1770.05568,326,16.903032
-2943.39596,614,17.473593
-1858.69233,529,18.213978
-1385.518169,340,18.571281
-2123.044604,504,19.074831
-2788.059939,711,19.72816
-1434.269209,318,20.070777
-2234.866749,374,20.460135
-2520.992296,579,21.026251
-1380.314696,276,21.33666
-1930.853634,412,21.739372
-2456.85842,358,22.116661
-1224.31147,302,22.444283
-1595.357221,309,22.788183
-2530.966192,445,23.246762
-1536.353591,297,23.581763
-1273.716394,276,23.894736
-3371.210831,726,24.583923
-1663.74573,359,24.957962
-2517.78031,428,25.392454
-3362.079956,559,25.92808
-1600.803186,375,26.320216
-1901.341351,420,26.749063
-2067.119905,313,27.092127
-2248.135131,373,27.475241
-1953.202936,293,27.799852
-2074.531555,386,28.203502
-2068.568,424,28.638468
-1453.933877,285,28.952067
-949.290908,307,29.282836
-1685.302021,447,29.730291
-1706.250183,457,30.181697
-1786.717497,309,30.518624
-1004.297866,285,30.829501
-1555.488753,293,31.158924
-2186.666459,385,31.562444
-1755.107149,480,32.034828
-1826.140998,339,32.398796
-1743.520544,304,32.725206
-2589.92732,409,33.14033
-1599.59171,713,33.802943
-2218.059012,359,34.182286
-1760.142477,271,34.491729
-1774.695001,359,34.870485
-2282.843716,338,35.469499
-2213.096991,338,35.8291
-1839.223288,336,36.192066
-1646.455458,356,36.554753
-3459.2172,637,37.148162
-2193.226877,304,37.483403
-2620.240115,414,37.910028
-2315.32765,335,38.268771
-2859.856642,634,38.861219
-1366.016135,239,39.140901
-2179.802675,304,39.476223
-1383.914456,356,39.84191
-2435.929627,436,40.287286
-1152.128279,308,40.619223
-1314.56924,269,40.92695
-1838.510891,328,41.276668
-1318.231747,308,41.61666
-2707.83946,545,42.148531
-2324.359138,363,42.533336
-1113.073354,369,42.919416
-1115.779943,283,43.231475
-2971.411218,601,43.817997
-2504.746613,328,44.167641
-2369.603386,385,44.568866
-1058.521459,327,44.926601
-2197.558729,345,45.299571
-1861.312608,284,45.614752
-1364.735549,274,45.925343
-1056.748239,422,46.333077
-2286.623157,331,46.687601
-2613.430993,443,47.138375
-2154.932897,409,47.558481
-1989.91925,389,47.960777
-2145.560174,307,48.296262
-1426.571733,260,48.600632
-1776.540774,271,48.905711
-2022.241588,683,49.544539
-887.678376,438,49.96454
-1655.462121,306,50.296689
-1666.796897,286,50.621127
-2271.789019,376,51.015922
-3262.456615,811,51.767707
-2559.086898,635,52.568097
-2782.117542,624,53.162732
-3140.393241,593,53.737867
-1702.725487,404,54.134603
-1899.732047,306,54.471217
-1996.596074,428,54.900545
-1893.078224,302,55.233191
-1986.085621,340,55.603032
-2070.338992,330,55.958027
-1500.866535,291,56.28359
-1742.991462,601,56.844429
-1137.631791,227,57.112702
-2276.695802,327,57.460837
-2484.273651,386,57.860304
-2550.296876,469,58.331291
-2161.091624,343,58.694024
-3553.309844,662,59.319507
-1904.886471,580,59.87799
-1542.757038,328,60.228173
-1478.397216,410,60.640234
-1226.869084,292,60.958489
-3828.786836,784,61.659057
-2150.535325,301,61.98511
-1061.159671,257,62.275025
-1538.779074,290,62.597418
-1104.493515,267,62.896072
-1642.456453,320,63.243148
-2798.62953,568,63.798915
-2452.208447,381,64.193769
-1322.408695,329,64.53388
-1142.969266,285,64.852064
-3408.501351,545,65.3865
-2267.08596,349,65.755449
-1735.055627,317,66.101138
-2090.904465,449,66.552892
-1555.070999,291,66.877596
-1410.079689,279,67.191761
-1737.125201,260,67.487556
-1281.00206,385,67.872911
-2631.133389,545,68.406326
-2280.931403,365,68.792897
-1587.205306,246,69.072292
-1547.41846,242,69.567638
-1504.95654,255,69.862368
-2421.41335,361,70.238705
