#{"t_start": 1699135201.7334774, "env_id": "modulating_plainEnv"}
r,l,t
-2933.403269,548,1.506886
-2325.867131,420,1.941747
-1589.403341,251,2.239204
-2378.487858,358,2.644973
-1459.005684,295,2.971113
-1750.838211,425,3.463702
-2110.207942,354,3.881627
-1383.825149,362,4.304513
-1902.314571,340,4.683253
-1679.863284,397,5.093055
-2773.038762,487,5.577339
-2053.56565,498,6.076871
-2068.525653,480,6.554756
-2244.740569,349,6.925433
-1443.432013,258,7.213904
-1153.261296,349,7.56703
-2426.009293,664,8.182959
-1793.38359,283,8.496472
-1401.011108,299,8.818571
-1377.147269,426,9.24383
-2278.702812,350,9.607471
-1610.337609,404,9.999013
-1406.100197,272,10.297662
-1473.873657,295,10.623083
-2620.368883,395,11.031697
-1348.586232,248,11.314688
-1559.532717,266,11.611981
-2786.603715,949,12.449995
-1740.158402,297,12.78043
-1937.275495,343,13.145482
-1688.950923,305,13.470587
-1630.151543,232,13.745615
-1135.166612,278,14.053647
-1524.459406,284,14.372881
-3149.291283,660,14.998962
-2279.953488,356,15.373502
-2119.630417,362,15.752249
-1576.523206,397,16.149698
-886.439788,298,16.473207
-2193.277695,317,16.810252
-3009.183155,600,17.387652
-1794.073704,313,17.731776
-1326.080772,252,18.019697
-1949.716371,377,18.740509
-1583.948784,283,19.053176
-3474.944771,696,19.698029
-1675.646483,404,20.093672
-1931.394743,336,20.451227
-2248.547434,328,20.803844
-2222.287704,342,21.166115
-1499.946296,288,21.480865
-3719.705562,644,22.076488
-1362.954373,411,22.483055
-1986.392169,276,22.790787
-2445.666883,390,23.192425
-1943.14288,319,23.538378
-1779.777536,268,23.840935
-1109.720279,284,24.151559
-1328.457894,338,24.504154
-1499.333303,273,24.81318
-2473.109369,352,25.184845
-3093.594328,393,25.586798
-1435.680435,245,25.872921
-1632.225917,360,26.247892
-1428.547425,333,26.593464
-1780.221836,711,27.240242
-2670.991844,439,27.684325
-1891.193378,404,28.08468
-2953.447937,492,28.576945
-3291.32076,755,29.246481
-1749.774188,298,29.563563
-2154.402361,476,30.029102
-1334.753073,295,30.348139
-3050.987045,459,30.812544
-1391.684942,228,31.082505
-1470.43146,243,31.366709
-2503.925042,325,31.71916
-1472.913495,265,32.015735
-1480.316026,339,32.371332
-1983.664061,320,32.718869
-1305.516961,380,33.106958
-1175.646474,310,33.435999
-1459.956748,225,33.707519
-2601.318887,680,34.326771
-2713.299701,437,34.774836
-1902.239958,339,35.136766
-2241.646348,443,35.919209
-2080.297898,367,36.302947
-2754.764194,532,36.80813
-2474.721811,694,37.450241
-2115.023547,366,37.833263
-2300.991716,363,38.213818
-1740.764203,290,38.535371
-1519.886393,268,38.835435
-1588.845422,321,39.183638
-2068.477621,380,39.576614
-1972.933816,372,39.968859
-3563.868556,564,40.519562
-3332.205954,654,41.136649
-2017.495628,410,41.561513
-1244.744025,233,41.834034
-2574.776702,437,42.272068
-1589.862937,237,42.552861
-1366.983932,226,42.820874
-1926.592035,359,43.195066
-2511.070379,386,43.596476
-1392.210517,254,43.882534
-1985.19247,329,44.233186
-1824.105661,308,44.573075
-2414.958734,649,45.178788
-2530.38867,388,45.582923
-2037.407606,288,45.900902
-1350.562768,281,46.217004
-1415.825101,384,46.60358
-3266.866042,710,47.269213
-2501.311982,586,47.821836
-1764.111273,322,48.169538
-1588.52321,406,48.587278
-2527.944837,398,48.996886
-1954.887623,300,49.322626
-1893.401897,255,49.618776
-2283.528577,494,50.103867
-1891.703477,358,50.481719
-2015.980867,467,50.933636
-2042.692175,386,51.33654
-1907.804359,347,51.701528
-1497.770845,371,52.081159
-1512.45302,270,52.383617
-2074.704023,490,53.18422
-1685.321778,297,53.515532
-1394.847463,277,53.821546
-1573.393641,250,54.112429
-2403.896921,487,54.601274
-2351.189214,476,55.070111
-2525.450051,605,55.644374
-1310.993386,290,55.964962
-2103.974518,957,56.809874
-1705.905904,370,57.201342
-1407.914561,333,57.558488
-1767.643903,387,57.951502
-1444.708083,389,58.348937
-1688.80194,349,58.719897
-2255.955974,368,59.103067
-1885.562598,365,59.481575
-1572.266126,294,59.809308
-1489.600564,308,60.144124
-1541.422911,429,60.567443
-3060.517521,806,61.314812
-1004.829995,319,61.656769
-1592.520746,309,61.989143
-1764.447942,465,62.444078
-1789.266976,255,62.73981
-2575.985703,499,63.227559
-3174.896288,437,63.668409
-1399.127348,346,64.02977
-1584.033313,375,64.4212
-2688.670863,562,64.974771
-1876.496519,381,65.374246
-957.942827,423,65.801304
-1126.789382,341,66.154145
-1563.828374,431,66.587744
-2423.596408,548,67.116152
-1334.586799,285,67.427185
-2388.184611,552,67.946873
-1615.084426,255,68.242216
-3236.197619,992,69.132466
-2256.76217,397,69.864532
-2868.615895,456,70.319836
-2521.413593,459,70.780509
-1830.868907,424,71.198844
-1960.099313,359,71.575437
-1869.541277,403,71.980293
-1528.263661,344,72.341485
-1963.317323,372,72.720546
-1872.735788,309,73.058191
-2723.50188,493,73.545361
-1755.411299,335,73.899578
-1354.846773,226,74.171041
-2085.755038,535,74.694299
-1519.598025,266,74.998814
-2688.905684,743,75.690162
-2429.601134,480,76.162987
-1280.392938,326,76.511235
-1573.10633,354,76.880751
-1803.858928,363,77.257225
-2329.551577,360,77.637771
-1887.526621,359,78.014032
-2849.471983,796,78.717831
-1301.874133,378,79.096803
-2399.276777,395,79.508716
-3232.297791,578,80.045335
-945.261033,281,80.354473
-3326.87746,1032,81.2554
-1344.560025,251,81.549862
-2061.888416,306,81.880469
-1580.801597,258,82.17623
-1674.743889,342,82.540553
-1397.254626,448,82.982207
-1903.895002,358,83.362297
-1859.162024,444,83.803514
-2022.640353,473,84.255487
-2128.201578,365,84.628555
-2772.766437,447,85.077058
-1722.719654,301,85.407143
-1701.472517,292,85.725078
-2558.229131,425,86.498165
-1408.665983,356,86.869268
-3153.804427,595,87.44267
-2209.692302,596,88.013469
-1841.172533,353,88.379726
-1295.708514,345,88.741755
-2937.055695,868,89.52545
-1527.579348,391,89.921696
-1775.564033,317,90.265388
-2364.307849,336,90.623691
-1838.158223,309,90.96218
-1318.508538,393,91.364238
-1297.541642,290,91.677696
-2022.269753,369,92.060075
-2010.156775,304,92.397605
-1401.875914,365,92.776209
-1928.073275,352,93.147296
-2728.521014,478,93.616209
-2614.593396,464,94.083642
-1101.504338,361,94.450689
-2813.797463,440,94.893489
-2417.694655,340,95.258123
-1487.244761,391,95.65925
-2030.147375,342,96.021179
-1423.769676,314,96.353707
