#{"t_start": 1700150235.7791853, "env_id": "modulating_slopeEnv"}
r,l,t
-1527.466591,234,0.90039
-2171.506396,344,1.466914
-1656.354794,307,1.981648
-1112.959071,302,2.48907
-2139.995213,351,3.051306
-1888.860796,325,3.575773
-1612.377736,416,4.221609
-2261.224902,301,4.732123
-1335.764503,258,5.208862
-1634.370362,263,5.682841
-1227.359067,468,6.411207
-1572.0834,263,6.876306
-1849.738106,562,7.727362
-1440.748727,242,8.155986
-1330.574775,258,8.624153
-1211.332347,266,9.08229
-1413.38202,257,9.532301
-1400.119379,222,9.943186
-1565.615226,278,10.419899
-1646.540574,260,10.877331
-1107.300923,898,12.146275
-1292.064653,303,12.679578
-2296.662726,436,13.34582
-1112.54137,268,13.815366
-1518.822817,280,14.308562
-1641.045933,340,14.856364
-1776.480061,261,15.311944
-1520.678537,241,15.728508
-1734.648853,337,16.271334
-1443.419258,277,16.739631
-1322.983475,243,17.158988
-1206.051917,351,17.728482
-2562.595376,410,18.366952
-1393.125088,261,18.816499
-1388.392144,329,19.349566
-1663.860389,398,19.996897
-1192.504026,259,20.45652
-1342.285596,236,20.880336
-1489.009871,294,21.397749
-1081.69204,247,21.826726
-1540.868355,244,22.248077
-2199.11544,434,22.920235
-1366.042372,286,23.404383
-1190.371385,299,23.907572
-1262.43488,263,24.364506
-2079.194869,364,24.945523
-1588.699683,242,25.364312
-1297.428417,249,25.820354
-1490.365566,322,26.359792
-1811.166405,257,26.810387
-1688.123961,396,27.44066
-1433.644535,336,27.980826
-1213.832016,224,28.382431
-876.601121,286,28.852573
-1383.552815,379,29.441831
-1394.055853,278,29.911483
-1743.052195,285,30.392073
-2485.893259,353,30.973903
-1751.651159,284,31.451675
-1415.344611,251,31.898867
-1638.531553,313,32.424601
-759.844401,270,32.906481
-1967.015716,384,33.504163
-2113.243815,421,34.158955
-2353.264036,456,34.846786
-1242.617882,274,35.319696
-1822.607606,348,35.870341
-1677.728428,417,36.527342
-1509.554225,257,36.976551
-1051.592943,205,37.363541
-1094.924021,301,37.872071
-1282.503096,231,38.271223
-1175.289409,248,38.697953
-1373.281458,396,39.31012
-1688.455385,429,39.973173
-1260.020603,316,40.495157
-1728.980623,422,41.155789
-1253.531553,221,41.552741
-1632.210797,407,42.204324
-1364.986934,230,42.615915
-1327.248953,258,43.063043
-1272.779571,238,43.477848
-1724.22763,270,43.939382
-1410.829051,260,44.401862
-1316.27703,237,44.816053
-1437.092044,269,45.281313
-1410.951401,386,45.912884
-1856.663098,372,46.504879
-1077.392744,322,47.026331
-1356.133682,276,47.4965
-1755.586764,407,48.14261
-1110.137699,331,48.67609
-733.581277,287,49.166137
-1630.434259,434,49.849071
-1282.979874,292,50.329815
-1592.956232,472,51.055316
-959.853763,298,51.538068
-1645.544525,390,52.144484
-3083.686244,649,53.068913
-2181.434319,409,53.707588
-1318.648011,242,54.125356
-1560.519536,296,54.608409
-1777.794583,319,55.12945
-1260.08888,239,55.543849
-1294.117752,251,55.986753
-1212.053067,392,56.600488
-1811.975284,343,57.148012
-1509.059919,267,57.608385
-2101.588663,473,58.327256
-1084.238785,219,58.722048
-1309.769214,229,59.129463
-1630.130898,278,59.599149
-1567.549825,298,60.092839
-1355.864425,263,60.551317
-1396.320536,340,61.104623
-1557.380164,270,61.578002
-1710.23915,304,62.080943
-2328.915263,309,62.611862
-1207.09276,249,63.042317
-2284.757576,371,63.628381
-1474.613057,448,64.31605
-1687.520229,289,64.812188
-1660.121478,261,65.264457
-742.025222,297,65.745998
-1628.339511,331,66.279378
-1672.109787,315,66.796139
-2006.043098,334,67.33526
-1563.145628,260,67.783648
-1006.510058,283,68.255359
-1100.982273,270,68.716937
-1521.934949,256,69.165977
-1899.841119,369,69.757267
-1354.467777,264,70.217787
-1193.076531,284,70.691647
-2241.841478,383,71.304471
-1260.873651,276,71.785865
-2005.254577,375,72.402214
-1556.184108,348,72.963658
-1571.238791,273,73.427896
-1975.915403,319,73.948369
-1382.868933,278,74.418988
-2348.842604,389,75.030151
-1283.02947,273,75.49824
-888.00091,256,75.946374
-1419.187023,313,76.468084
-1967.150326,267,76.942053
-1535.958711,257,77.402385
-1399.632255,552,78.244901
-1792.848059,279,78.723448
-1547.39372,260,79.182083
-2152.437912,540,79.965488
-1979.924472,366,80.555264
-743.244925,259,81.001803
-1069.137814,268,81.45449
-1385.116241,271,81.912261
-1386.674081,259,82.364043
-1668.644442,284,82.841491
-1635.253592,367,83.424753
-1343.446267,255,83.869083
-1685.573114,259,84.317306
-973.385788,287,84.785743
-1483.792811,247,85.205237
-2331.169736,374,85.800695
-1416.638984,261,86.249566
-1600.956928,284,86.724454
-966.036734,331,87.258981
-1958.991318,298,87.741317
-1182.624937,222,88.142733
-1124.749607,621,89.031209
-1711.667354,268,89.489029
-1289.848094,239,89.899775
-1605.588355,456,90.608475
-1662.503268,434,91.278593
-2174.339787,407,91.916252
-1856.802362,407,92.551909
-1476.326496,233,92.962292
-1337.817225,312,93.481291
-1137.423662,237,93.889023
-1533.413575,451,94.593184
