#{"t_start": 1701358850.7635214, "env_id": "modulating_slopeEnv"}
r,l,t
-1327.366962,275,0.949378
-1251.269311,378,1.56227
-879.412491,402,2.187093
-1124.221981,303,2.734438
-2074.465828,322,3.286539
-1343.026509,304,3.812333
-1265.333148,279,4.286344
-1468.89867,336,4.840894
-1540.184765,304,5.380284
-1718.128074,335,5.933008
-1308.356067,287,6.415718
-1341.432696,264,6.893955
-980.825707,338,7.4642
-1734.958523,295,7.984282
-2099.631701,321,8.553156
-1451.174194,283,9.047494
-1702.382557,303,9.561541
-1470.445846,305,10.078724
-1522.735745,292,10.577338
-1460.309509,524,11.393274
-1456.735825,360,11.976243
-1595.655877,335,12.527984
-1484.173988,274,13.00819
-1862.028099,358,13.60267
-1406.465997,252,14.058679
-1781.91432,297,14.563367
-1412.760897,239,14.991799
-1772.638238,356,15.568009
-1509.277452,270,16.040753
-2008.651573,327,16.585052
-1585.294005,250,17.019424
-1346.19065,340,17.563108
-1781.715856,268,18.032701
-2341.049506,555,18.906212
-1361.14521,261,19.37968
-1424.563261,359,19.971767
-1525.43592,286,20.471958
-1164.008297,309,20.996226
-1364.719327,288,21.495547
-1474.731916,224,21.901714
-1623.085738,337,22.452399
-2326.181408,341,23.012085
-1516.331169,355,23.593699
-1179.948565,322,24.131629
-2102.387667,489,24.874741
-1009.870176,258,25.324865
-1768.977253,296,25.808568
-1413.445004,274,26.27133
-1372.148199,382,26.872314
-1395.012616,237,27.305754
-1210.176038,347,27.854352
-1655.576206,290,28.330163
-1194.459772,237,28.736787
-1286.735294,273,29.195246
-1419.661207,306,29.712928
-2098.03744,460,30.426739
-1571.65749,263,30.88092
-1309.765791,234,31.293183
-1770.48719,303,31.802482
-1191.291334,272,32.263569
-1826.322857,306,32.783946
-1088.991531,299,33.275797
-1487.243302,339,33.833229
-1172.649194,231,34.243206
-1368.188994,299,34.752143
-1738.045752,698,35.762403
-1648.007838,302,36.286555
-1113.5444,240,36.723133
-1308.28212,341,37.275493
-1484.883491,516,38.072974
-1176.605443,244,38.502508
-1396.526142,282,39.024126
-1846.531618,298,39.523419
-779.850917,407,40.17338
-1068.307441,268,40.671721
-1514.074169,277,41.175754
-1670.3939,339,41.748968
-1303.636513,388,42.394087
-1137.713142,261,42.866776
-1634.520768,265,43.347613
-1305.50554,317,43.894962
-1836.489446,308,44.437918
-1375.610674,256,44.899552
-1125.650624,241,45.340106
-1477.035846,281,45.82336
-1462.805339,256,46.288583
-1438.235255,271,46.801021
-1612.995149,507,47.649388
-1577.632185,295,48.195463
-1221.713098,322,48.73757
-1407.965166,300,49.227033
-2037.663779,359,49.836185
-1399.842028,279,50.337896
-1376.862273,235,50.758068
-1529.445251,412,51.459517
-1804.557369,503,52.260289
-1677.383696,518,53.056519
-1775.822838,274,53.542732
-1318.616539,330,54.124182
-818.775747,263,54.595752
-1321.097872,274,55.087042
-1388.737884,305,55.636535
-1415.338768,310,56.186924
-2246.540676,422,56.879091
-1313.41568,300,57.42427
-1471.925656,293,57.935972
-1247.596983,276,58.485705
-1282.092356,258,58.959982
-1834.739321,351,59.666277
-1533.269676,306,60.240583
-1243.53907,233,60.680131
-1524.575182,318,61.276663
-1029.381331,286,61.763025
-1377.70413,312,62.293765
-1347.712365,335,62.875453
-1174.873188,258,63.330442
-1611.120113,275,63.798331
