#{"t_start": 1702231448.726966, "env_id": "modulating_slopeEnv"}
r,l,t
-1579.175405,343,1.058311
-937.053237,294,1.575866
-1719.856317,285,2.08531
-1711.248236,497,2.88585
-1536.494856,415,3.574585
-1226.052743,232,4.00847
-1964.852684,421,4.706242
-1165.147276,251,5.220641
-1158.194375,232,5.655352
-919.802231,253,6.116742
-1595.604641,320,6.681288
-1248.131552,263,7.192151
-1762.859135,381,7.817318
-2004.25096,503,8.618021
-2166.438793,539,9.467515
-1253.147066,224,9.894417
-1408.206125,313,10.432907
-1570.302176,309,10.962277
-1666.293745,306,11.481128
-2022.175736,435,12.163596
-1101.725551,255,12.623868
-1656.113082,295,13.119803
-1514.647128,483,13.872478
-1198.652664,261,14.337253
-1604.916217,346,14.896512
-1361.010143,236,15.317132
-1754.50047,261,15.783904
-1448.991483,339,16.33883
-1830.113453,316,16.873647
-1407.150487,235,17.298954
-1509.173554,265,17.771594
-1474.534541,321,18.311609
-1420.787228,288,18.813578
-1245.534973,486,19.565168
-1452.506317,245,19.995482
-2864.604678,469,20.724943
-1282.99286,261,21.189189
-1287.049617,292,21.68333
-1075.044775,298,22.185439
-1511.439232,332,22.737472
-1324.706097,284,23.229104
-1430.461093,272,23.704527
-1126.147596,338,24.25946
-996.586375,406,24.920318
-1562.488079,299,25.419976
-1422.916537,364,26.017814
-1133.269741,303,26.539355
-1145.301141,210,26.935353
-1734.051724,279,27.414865
-1897.140132,462,28.149935
-1449.02413,268,28.626449
-624.277888,291,29.116436
-1095.657045,406,29.774788
-1318.486655,278,30.254364
-1616.563156,291,30.744539
-1433.284753,290,31.239291
-1499.327412,259,31.702914
-1123.698006,409,32.363345
-814.899383,276,32.837319
-1655.712292,281,33.31589
-1990.660818,304,33.836807
-1241.791334,250,34.276892
-1255.119591,245,34.7114
-1375.209229,325,35.257372
-1147.467294,238,35.67977
-1104.598397,434,36.364624
-1280.697369,267,36.841132
-2471.452762,352,37.42343
-919.527949,474,38.158151
-1625.386314,324,38.699351
-1299.625125,238,39.115956
-1403.349158,256,39.577178
-809.885009,338,40.130075
-1906.948596,653,41.09279
-2170.251569,330,41.639678
-1544.409488,278,42.120669
-2126.707213,335,42.669291
-1344.416675,269,43.142588
-1642.447701,351,43.715775
-1785.091699,292,44.207016
-1475.49006,271,44.676045
-1674.912772,315,45.216074
-1155.587142,248,45.65462
-1505.871349,290,46.149823
-877.459989,287,46.633651
-1688.46355,262,47.097955
-1480.346503,251,47.547927
-1190.995092,300,48.050895
-1728.355292,305,48.574235
-1489.764757,256,49.032141
-1192.943216,274,49.508297
-1069.010337,244,49.937808
-1527.402125,288,50.426433
-1234.585466,292,50.916342
-1344.750062,220,51.325127
-1632.811212,287,51.819561
-1723.241192,410,52.476684
-2142.762812,399,53.112846
-1499.149779,286,53.606354
-1884.576484,566,54.47333
-1350.396894,261,54.940243
-1232.154244,257,55.403041
-1041.321182,262,55.873096
-1220.232223,271,56.354551
-1692.684149,314,56.886785
-1465.685892,348,57.454329
-937.290828,313,57.988393
-1725.362998,500,58.768439
-1400.747685,283,59.263635
-1735.711673,282,59.74688
-1220.862608,273,60.225821
-1502.939063,357,60.815677
-1403.201713,267,61.289725
-1635.458556,303,61.823289
-2151.213904,429,62.510171
-1214.697421,299,63.011287
-1548.786252,235,63.433283
-1517.380948,279,63.916797
-1616.861899,305,64.448945
-1438.997922,419,65.117094
-1093.297692,338,65.674067
-1342.610108,287,66.166959
-1660.640426,270,66.644681
-1498.402914,324,67.1891
-1420.57086,295,67.690056
-1578.403479,273,68.164982
-1332.638782,233,68.582257
-1632.336415,281,69.064831
-1174.079991,259,69.527355
-1441.178404,236,69.947216
-865.552574,262,70.409412
-1677.161706,292,70.904418
-1466.224874,445,71.592284
-1488.824431,290,72.094905
-1793.210149,514,72.887226
-1363.152017,229,73.304893
-1128.347034,376,73.915216
-1249.824723,224,74.325288
-1616.173978,323,74.874208
-1365.384581,261,75.339305
-1871.22489,287,75.832937
-908.768753,304,76.357837
-1066.129913,268,76.835039
-1224.219722,300,77.343442
-1740.864479,287,77.82901
-1358.004161,253,78.288702
-1342.38972,252,78.745863
-1229.374988,227,79.159653
-1454.609413,312,79.693447
-1785.552373,288,80.18841
-928.041328,292,80.68288
-1565.050314,275,81.164944
-1727.725749,291,81.658371
-1308.563608,250,82.09313
-1384.376323,264,82.566848
-1468.824396,327,83.116246
-1364.620599,267,83.589888
-652.001912,435,84.278446
-1703.198026,325,84.823059
-1378.908038,322,85.36329
-1279.775517,286,85.85849
-1488.842905,295,86.366823
-1564.696357,437,87.059296
-1312.966197,251,87.517776
-1701.128794,297,88.019968
-1575.608094,292,88.518559
-1413.955546,271,88.999871
-1434.956977,357,89.59873
-1347.579391,253,90.062247
-1692.953283,270,90.544662
-1675.640386,279,91.026974
-1195.734112,231,91.445081
-1437.276955,320,91.987972
-1646.289669,275,92.46562
-739.007239,281,92.945561
-3027.155205,433,93.620501
-1020.942567,331,94.170437
-1448.614086,260,94.63969
-1226.702659,402,95.296628
-1509.011573,317,95.832492
-1885.31544,428,96.513952
-1732.360391,299,97.016936
-1539.434918,269,97.489037
-2260.11048,319,98.026831
-1439.912893,251,98.487634
-1114.42621,304,99.010403
-1533.238354,306,99.545334
-1476.530967,265,100.020313
-1446.17319,324,100.566547
-1356.740169,239,100.991727
-1939.261034,375,101.604795
-2207.676475,316,102.139133
-1686.052406,292,102.638793
-1169.384276,256,103.099517
-2040.706347,327,103.64641
-1400.75217,357,104.236902
-933.658965,544,105.058771
-2025.583428,352,105.646123
-1583.539778,298,106.151758
-1018.275798,308,106.677196
-1363.912632,242,107.10559
-1483.024375,265,107.576746
-1084.208013,379,108.190383
-1895.607966,299,108.690423
-1608.582693,255,109.148159
-1276.513449,243,109.584152
-1765.373851,316,110.118385
-1155.439755,349,110.685125
-1264.171159,282,111.170384
-1610.316413,432,112.418519
-1822.183825,439,113.117895
-1491.491043,348,113.685263
-1750.491939,296,114.187917
-2278.162572,384,114.813724
-1231.340756,251,115.277714
-1977.870125,305,115.809784
