#{"t_start": 1703123947.7063107, "env_id": "modulating_slopeEnv"}
r,l,t
-1043.86982,306,1.005684
-1236.914396,267,1.505723
-924.952702,254,1.99725
-1661.670587,283,2.505744
-1552.668843,448,3.183037
-1350.192321,253,3.665705
-1244.028917,258,4.11937
-1438.280171,298,4.639774
-1123.655593,574,5.486177
-1610.853448,273,5.96005
-1183.783219,676,6.942734
-2042.570226,402,7.608679
-1761.929035,259,8.115541
-1528.928733,302,8.709723
-1210.675398,227,9.156941
-1537.733471,239,9.598667
-1584.434776,258,10.051717
-1680.645835,277,10.522301
-1109.946444,274,10.986298
-1515.715263,309,11.493336
-1461.138727,362,12.073665
-1095.142933,281,12.543061
-1167.272279,287,13.015298
-1677.641667,252,13.457536
-1191.805923,253,13.903358
-1518.280013,277,14.367295
-710.426482,265,14.818826
-1181.139819,219,15.214346
-2268.359923,374,15.802072
-1616.521546,272,16.260569
-1384.997398,276,16.719905
-1789.265836,329,17.245504
-2099.331599,413,17.900843
-1606.832063,270,18.358687
-1345.533904,268,18.819719
-1590.526593,390,19.419379
-2095.4808,342,19.955445
-1446.867343,280,20.419611
-1699.672269,351,20.989334
-1734.87471,306,21.49285
-1389.764357,306,22.002729
-1148.901732,454,22.698944
-1574.329779,249,23.123664
-1844.242554,326,23.652935
-1280.758847,419,24.297214
-1910.945985,375,24.885504
-1075.237766,259,25.3357
-1344.72329,301,25.839908
-1792.58812,440,26.514502
-1358.627049,246,26.933794
-1343.941719,253,27.379603
-2564.703955,330,27.908913
-1183.077077,247,28.327401
-2246.253183,414,28.972409
-1373.727992,262,29.421388
-2010.410182,287,29.897112
-1071.972217,224,30.296661
-1436.337598,243,30.71416
-1174.914868,301,31.218159
-1182.043464,230,31.623116
-1524.505299,262,32.074538
-1118.440948,273,32.533775
-694.732402,291,33.009564
-1160.768501,217,33.403275
-1395.674736,278,33.861645
-1120.703677,226,34.262432
-1372.596076,239,34.675548
-1152.455262,285,35.146415
-1373.271722,340,35.688421
-2142.920046,379,36.283219
-1343.453056,251,36.721897
-1345.724752,445,37.389851
-1412.04327,264,37.843832
-1092.598818,232,38.249834
-1765.070993,315,38.762708
-1475.103015,280,39.23315
-1551.545882,298,39.716661
-1557.75134,281,40.18544
-1348.556073,231,40.591058
-1558.720403,272,41.054654
-1942.559622,498,41.789315
-1263.874517,283,42.259139
-1183.804952,284,42.727637
-1131.917412,299,43.213652
-895.503019,254,43.658668
-1470.152586,351,44.227926
-1471.953654,288,44.704045
-1058.667285,489,45.4357
-798.33938,256,45.875718
-1242.502178,288,46.351681
-1053.794058,267,46.804856
-1288.446843,250,47.230709
-1305.821424,262,47.685956
-1565.993958,268,48.146627
-1555.804322,427,48.807236
-1600.928009,405,49.445766
-1512.784675,448,50.11834
-1610.11447,246,50.539665
-1587.997834,452,51.236721
-2043.445853,293,51.707883
-1635.841085,319,52.223839
-1961.233435,314,52.743983
-2160.071471,343,53.283878
-963.300531,432,53.94771
-1593.884728,277,54.415204
-1779.554337,318,54.930064
-1320.940621,259,55.380293
-1179.361493,315,55.897298
-2020.865013,301,56.399752
-1197.827338,247,56.81886
-1398.172746,297,57.299344
-1503.938795,256,57.746349
-2535.821784,661,58.687058
-1223.930066,212,59.072149
-1260.097261,282,59.543524
-2652.713634,495,60.275962
-867.224885,276,60.735821
-1165.653648,218,61.131112
-1598.296077,347,61.677097
-1563.046444,245,62.093051
-1460.873767,331,62.620648
-1704.648243,264,63.073005
-1492.840658,344,63.617067
-916.965157,334,64.149871
-1104.199518,324,64.672383
-1034.335464,285,65.141973
-1344.627273,312,65.653481
-1107.456455,230,66.060689
-1249.688773,232,66.467618
-1415.499816,266,66.92265
-1510.32453,339,67.463144
-1058.751824,283,67.928597
-1585.652504,264,68.385043
-1655.165275,339,68.921334
-1401.81462,371,69.505644
-1226.860478,225,69.905752
-1573.13414,266,70.361322
-1696.928966,288,70.829925
-1257.778007,282,71.30071
-1764.515187,321,71.823964
-2616.936745,501,72.576777
-1315.71722,227,72.982358
-1815.885304,433,73.646785
-1031.707768,282,74.113318
-1979.122077,338,74.649298
-1423.54952,242,75.062802
-1972.904416,407,75.703037
-2108.319308,492,76.435811
-2507.02149,450,77.109239
-1592.285283,258,77.556549
-1369.962131,415,78.203362
-1545.083325,259,78.6501
-1365.789375,243,79.066007
-1848.226154,288,79.544298
-1009.828915,303,80.048072
-1677.917338,298,80.529409
-1221.656765,233,80.937374
-2055.661815,388,81.537953
-2188.910165,310,82.045317
-1396.704939,278,82.50761
-1760.936155,281,82.979214
-1774.377021,306,83.482574
-1578.739327,229,83.886708
-1201.961315,261,84.336538
-1617.787911,232,84.741327
-1266.983856,286,85.21358
-1854.860524,276,85.677699
-1448.849068,454,86.374861
-1260.282641,228,86.779922
-2369.453346,398,87.393417
-1537.251598,258,87.843814
-1592.178303,363,88.42058
-1464.241254,426,89.079119
-1437.034018,274,89.540366
-890.612054,284,90.007999
-2310.671881,377,90.595958
-808.083546,346,91.142451
-649.972214,275,91.601081
-1014.637257,227,92.004752
-1025.203986,239,92.420269
-1518.656961,439,93.083882
-1098.412308,231,93.489182
-1274.926565,251,93.930011
-1370.526499,379,94.522456
-1724.827926,244,94.941311
-1231.369866,249,95.364964
-1144.819771,260,95.811012
-1736.624513,295,96.295404
-1435.005813,255,96.742403
-1935.489345,470,97.445689
-1421.582056,230,97.851381
-1396.110264,263,98.303984
-2042.209665,319,98.821753
-1599.6925,287,99.295886
-1526.595983,242,99.710269
-1860.235165,320,100.225498
-1775.921059,281,100.69806
