#{"t_start": 1699557649.5839655, "env_id": "modulating_slopeEnv"}
r,l,t
-1509.473087,311,0.98003
-627.81248,272,1.456182
-1202.557583,279,1.94455
-1333.704124,316,2.486098
-919.493894,342,3.058954
-2379.717674,357,3.640029
-829.541569,418,4.328639
-774.847133,411,4.985998
-1825.367381,295,5.47859
-885.892974,342,6.025397
-1783.348564,392,6.642621
-1498.218787,281,7.137019
-1539.662933,292,7.643905
-1399.382782,262,8.106694
-1382.865588,365,8.696614
-1393.267329,289,9.178729
-1220.428551,276,9.646754
-1370.525183,326,10.183056
-1213.360738,269,10.654278
-2277.796638,387,11.280786
-1163.269029,224,11.719112
-1530.675546,259,12.210932
-1317.035138,264,12.676425
-1399.718381,322,13.206346
-1544.301525,247,13.629603
-1360.446852,243,14.051336
-1878.663441,281,14.535114
-1374.204684,297,15.03716
-1636.072771,291,15.53446
-1342.912302,258,16.020015
-1869.546296,331,16.573039
-1408.281127,311,17.11114
-1429.164743,282,17.597522
-2359.958858,470,18.324684
-1481.614409,350,18.905662
-1412.874632,249,19.337247
-1381.525719,266,19.798577
-1416.470586,234,20.211872
-1626.095123,263,20.672771
-1629.697788,257,21.129398
-1391.272868,460,21.851661
-1492.353071,262,22.315892
-1230.039546,324,22.845094
-1561.265266,352,23.424527
-1448.005012,240,23.837126
-1882.984365,342,24.382153
-1264.631554,419,25.038519
-1796.122851,349,25.595467
-1234.299484,266,26.060969
-1468.421544,233,26.476459
-1281.52446,246,26.902992
-1667.624619,357,27.525919
-945.717608,378,28.380678
-2126.101289,445,29.074094
-1499.750061,326,29.616034
-913.481808,365,30.217279
-1584.235472,281,30.703112
-1612.798085,270,31.184843
-1852.490113,264,31.667866
-1117.195208,271,32.155443
-1484.014039,292,32.652872
-3073.409423,569,33.511682
-1187.212679,274,33.99967
-1400.683369,251,34.461492
-1410.574466,286,34.956024
-1465.286449,245,35.400701
-1709.166513,325,35.95342
-1281.826518,249,36.392297
-1145.559008,323,36.944265
-1562.429948,334,37.518597
-1013.16866,308,38.073252
-1418.123208,273,38.577094
-1170.91993,278,39.097872
-1192.18344,257,39.591668
-1683.97289,282,40.115973
-1331.4179,265,40.604925
-1221.743035,251,41.064635
-1461.274057,250,41.535114
-895.214271,348,42.10579
-1492.034949,320,42.678017
-1295.140312,328,43.287771
-1969.102011,310,43.863159
-1692.814405,377,44.513779
-1617.123972,308,45.055825
-1546.182435,277,45.544973
-1847.189104,442,46.247135
-1595.337851,293,46.779528
-1751.95677,294,47.277084
-1864.225638,325,47.825563
-1409.000277,267,48.29264
-1830.609421,406,48.987761
-1278.199478,396,49.664522
-970.421647,300,50.20035
-1734.106564,331,50.772812
-2162.315705,325,51.325023
-1675.550573,296,51.873255
-1254.601091,218,52.325194
-988.623024,270,52.818828
-1599.382973,240,53.296614
-1047.477411,265,53.807783
-2213.669336,326,54.363648
-1518.235142,241,54.809966
-1903.895816,313,55.364517
-2081.33776,409,56.056955
-1460.130445,300,56.572726
-1658.871955,280,57.068062
-1837.648841,511,58.10081
-1471.564137,233,58.528932
-1109.075965,267,59.014519
-1471.997428,228,59.44149
-605.722509,258,59.910837
-865.872845,313,60.45499
-1844.651328,269,60.930653
-1605.747001,565,61.798074
-867.942363,245,62.245228
-1117.464752,287,62.747642
-1343.652335,265,63.226802
-1304.413726,252,63.709922
-1394.894531,336,64.279006
-1482.554915,296,64.790572
-1271.52457,326,65.331186
-1713.15908,363,65.969031
-1436.368751,254,66.468976
-1178.232314,305,67.012673
-1499.296874,388,67.655817
-1827.738882,415,68.331893
-1593.787812,239,68.785432
-1005.103769,268,69.254098
-1692.49648,277,69.761797
-1162.775337,219,70.195277
-2022.44115,336,70.837341
-945.509566,261,71.421729
-2147.40442,329,71.985733
-1329.845598,280,72.467535
-1670.585981,426,73.156257
-2012.386651,392,73.799263
-1068.705072,260,74.269333
-1337.272038,213,74.702179
-1377.76367,314,75.263584
-1228.007683,248,75.755504
-1560.882134,325,76.335261
-1808.915539,263,76.90572
-1534.37636,262,77.413507
-1243.684936,248,77.887077
-1805.712731,289,78.41606
-1890.773635,400,79.046703
-1404.967128,305,79.610435
-842.938283,762,80.735863
-2321.126681,380,81.358462
-1006.810441,295,81.858622
-1922.088902,509,82.655561
-1364.98732,277,83.147124
-2266.674046,394,83.795413
-1360.950194,277,84.302222
-1477.75005,295,84.82127
-1408.56853,244,85.257093
-1893.407327,355,85.848245
-1435.504665,255,86.568337
-1952.62622,349,87.145923
-1293.969019,239,87.573986
-2057.541386,410,88.254847
-1395.772717,301,88.783143
-1539.159905,349,89.365422
-1329.971387,884,90.652637
-1758.469255,399,91.292101
-1152.652777,244,91.724697
-1704.03608,482,92.465226
-1648.390062,261,92.930363
-1471.828829,566,93.831702
-1868.024761,313,94.400278
-1587.986176,260,94.863796
-2308.955664,391,95.487834
-1337.303388,249,95.927037
-1570.99141,285,96.433142
-1907.291049,413,97.119518
-1646.591194,305,97.654892
-1098.383351,272,98.129598
-1731.798798,381,98.75328
-1046.943003,294,99.250782
-1347.627249,323,99.800138
-1955.799026,294,100.308484
-1443.086991,260,100.76707
-2697.27046,392,101.403067
-1520.894017,273,101.874581
-1438.109923,310,102.402468
-1235.049315,552,103.244046
-1800.947548,331,103.798422
-1506.958953,277,104.282344
-1688.442826,276,104.766127
-1544.47437,254,105.234443
-1322.688669,295,105.730654
-1574.871743,251,106.189942
-1296.214726,279,106.674387
-1744.693349,405,107.33777
-1457.049318,275,107.816484
-1766.595691,421,108.489951
-909.172616,402,109.147039
-1146.001901,258,109.628016
-1696.978296,314,110.170119
-2329.98985,410,110.837678
-1115.793195,264,111.313708
-1469.901987,290,111.814179
-1610.418636,274,112.305749
-1941.917553,370,112.915532
-1160.794677,227,113.333871
