#{"t_start": 1703135304.479577, "env_id": "modulating_slopeEnv"}
r,l,t
-1366.08684,310,0.942003
-2116.566206,375,1.555694
-1542.018809,290,2.043167
-1495.049942,276,2.518847
-1316.23734,273,2.987626
-1404.457565,521,3.808835
-1434.773344,320,4.35242
-1850.257412,368,4.935335
-962.078691,256,5.378632
-1256.320597,302,5.880894
-1126.72345,269,6.338791
-1130.991796,312,6.843671
-2033.245916,311,7.352365
-3635.370595,764,8.409486
-1867.556239,320,8.939969
-1307.696194,334,9.468797
-1448.022331,280,9.936727
-1070.339527,294,10.417941
-1517.555275,280,10.886106
-798.233061,308,11.394849
-1309.229111,322,11.916364
-1475.131797,267,12.370096
-1916.514029,290,12.839165
-1278.436169,323,13.363085
-812.924823,325,13.886652
-1905.769552,346,14.429334
-1228.257345,296,14.910537
-1396.2758,322,15.437049
-1906.304683,280,15.900822
-1239.642951,265,16.353339
-1453.953394,278,16.815971
-1414.820536,343,17.356308
-1857.377011,422,18.001539
-1230.989569,282,18.473114
-1643.179669,269,18.932013
-1308.31515,279,19.394913
-1292.748452,273,19.849248
-1397.607911,519,20.618285
-1347.661203,314,21.134443
-1496.884227,262,21.584458
-1258.21443,252,22.025634
-2679.421156,589,22.851308
-1017.691429,360,23.424187
-1590.621886,251,23.860709
-540.033196,285,24.325995
-1767.956099,307,24.835408
-1294.077458,261,25.284298
-1660.472959,299,25.762045
-3089.472491,516,26.523626
-1345.563024,326,27.452013
-1626.249397,300,27.947813
-1888.672501,357,28.521731
-1615.05729,295,29.009125
-1404.169276,230,29.423067
-2114.643354,497,30.156245
-1347.217433,346,30.706828
-1101.48769,264,31.162204
-1498.925316,306,31.67572
-2018.870623,467,32.394882
-1364.197187,275,32.856854
-1372.226894,254,33.3044
-1682.727278,278,33.780181
-1425.715809,276,34.245882
-1371.572521,311,34.764027
-1409.080216,287,35.237654
-1212.281759,365,35.817058
-1377.446851,253,36.258835
-1224.98163,305,36.765479
-1954.815658,426,37.424292
-1773.864472,314,37.937387
-1222.624805,264,38.390971
-1587.844631,292,38.868083
-1380.112462,240,39.286465
-1846.85245,402,39.913682
-2082.083611,346,40.456159
-1845.337576,302,40.966439
-1835.044861,341,41.511851
-1101.045822,302,42.017952
-1915.191057,263,42.474717
-1891.830226,397,43.096419
-1494.132614,298,43.584908
-1634.676008,271,44.043701
-1272.676909,289,44.521377
-1709.07349,325,45.053176
-1765.594196,295,45.539003
-1478.771141,293,46.023862
-1195.342491,261,46.480298
-1749.381732,331,47.016514
-1225.699725,269,47.472283
-1797.502102,300,47.959538
-1603.937189,470,48.672715
-1448.548917,297,49.158136
-1660.036111,288,49.635285
-1233.009103,279,50.105033
-1995.703718,426,50.767145
-1954.022611,306,51.269669
-1383.735151,294,51.752321
-1587.173802,273,52.217253
-1362.519007,297,52.703712
-1702.915621,273,53.168434
-1501.152347,323,53.698522
-1427.08947,322,54.601724
-1754.150435,291,55.082926
-1713.634606,477,55.805691
-1477.369244,324,56.337986
-1503.207518,290,56.823989
-1627.751462,362,57.406486
-1397.936184,275,57.872624
-1469.113612,292,58.356669
-1307.776263,291,58.837156
-1210.0307,221,59.237643
-1286.236598,265,59.697138
-1549.752592,227,60.104197
-1439.092919,246,60.529452
-1212.234173,300,61.019981
-1017.728967,286,61.501088
-1572.313531,280,61.973425
-1388.781185,266,62.431755
-1581.45783,304,62.946865
-1133.575842,246,63.371136
-2270.925419,303,63.873507
-1728.860468,355,64.448744
-1240.218958,295,64.937039
-1934.968594,370,65.523993
-1307.003265,287,66.003791
-1219.890604,260,66.46
-1327.962721,361,67.040363
-1858.240135,448,67.729783
-1276.815813,272,68.196126
-833.249633,287,68.67039
-1977.133724,340,69.211139
-1773.165146,279,69.679012
-1407.191326,272,70.145938
-1469.545306,241,70.566542
-1478.530935,317,71.085529
-1407.275264,277,71.559616
-1446.167373,275,72.03374
-1277.392196,242,72.453592
-1460.938047,338,72.997121
-1497.677577,266,73.458181
-1645.594315,282,73.930961
-1998.18255,318,74.452787
