#{"t_start": 1703424405.33243, "env_id": "modulating_slopeEnv"}
r,l,t
-1425.002744,302,0.980009
-2021.876356,425,1.673287
-1817.921891,469,2.393732
-1468.712476,262,2.848586
-1171.817423,260,3.297775
-1325.805049,260,3.749174
-1270.770911,275,4.20894
-1294.238042,304,4.722139
-1740.352694,274,5.182524
-1341.292929,270,5.643813
-1450.200866,236,6.049462
-1567.753101,267,6.505213
-1337.759656,436,7.178613
-1826.511253,340,7.714146
-1467.521243,269,8.173035
-1775.400791,288,8.654137
-1188.53328,561,9.475544
-1433.210297,323,10.001127
-1595.770118,287,10.475286
-933.102287,301,10.980144
-926.675073,266,11.431875
-1690.296464,349,11.978201
-1285.114873,283,12.445297
-1025.308366,349,12.990191
-1961.939174,651,13.935572
-1848.822869,321,14.458226
-1523.88582,282,14.926074
-1370.951189,278,15.393311
-1313.01348,332,15.935037
-1373.530181,229,16.336709
-1812.361536,343,16.876168
-1430.694783,283,17.347631
-1528.117965,303,17.852945
-1752.477419,331,18.382396
-1551.467316,303,18.889292
-1316.612449,260,19.339704
-1416.678919,236,19.751423
-1428.772179,259,20.203762
-877.261103,338,20.73757
-1096.924447,343,21.279109
-1173.10233,294,21.7586
-1667.847953,287,22.233178
-1532.50908,268,22.694208
-2461.125459,544,23.487786
-1997.074513,313,24.000233
-1511.44743,240,24.416953
-1445.319433,280,24.887908
-1430.838584,272,25.351494
-1276.243017,334,25.887886
-1960.449206,304,26.39574
-1760.741463,332,26.928856
-1407.579208,269,27.786909
-1137.931614,281,28.260996
-1095.456035,298,28.752749
-1347.162831,248,29.177087
-1373.338056,285,29.651712
-1307.74141,340,30.194362
-1448.915874,285,30.669698
-1695.748372,306,31.18257
-1181.703053,312,31.698759
-1585.714874,260,32.144619
-1627.146332,300,32.631281
-1587.37152,309,33.143405
-1237.161149,319,33.667653
-1115.123373,419,34.319322
-1561.192725,298,34.807805
-1942.292016,276,35.273498
-2011.407233,319,35.796639
-1388.891301,280,36.271673
-1653.369853,270,36.730484
-1424.320255,261,37.184071
-1390.060181,239,37.596495
-1573.200704,307,38.107254
-1292.087918,259,38.555838
-1288.595364,282,39.032116
-1419.972415,285,39.505512
-1276.722046,287,39.982104
-1169.109733,242,40.401063
-2159.393689,387,41.001493
-1128.239539,247,41.435449
-1733.422214,260,41.88906
-1690.318426,375,42.487744
-1997.886552,353,43.053404
-518.293172,515,43.82885
-2092.211804,338,44.370277
-1582.555296,273,44.832546
-1423.988731,298,45.323711
-1554.37478,293,45.805932
-1296.0684,297,46.286764
-1502.66854,271,46.745796
-856.149207,320,47.26569
-1561.788797,254,47.71354
-1106.073168,263,48.168815
-1427.879813,265,48.624279
-1562.747504,313,49.141948
-1271.866555,274,49.611908
-2134.672136,466,50.324779
-1454.446585,396,50.933755
-2658.045756,507,51.699235
-982.360862,412,52.345306
-872.58308,453,53.046189
-1569.891966,268,53.503735
-1383.82956,270,53.964518
-1789.673675,331,54.503032
-1320.427677,273,55.331259
-1716.60524,295,55.819466
-1587.081937,345,56.367604
-1289.531987,312,56.88484
-1167.95745,266,57.343033
-1522.745641,262,57.796111
-1833.343227,310,58.308147
-126.36475,777,59.410156
-1304.116037,276,59.908988
-840.559094,276,60.371394
-1601.406396,285,60.850915
-1238.864322,363,61.43323
-1037.783556,339,61.971935
-1777.753598,275,62.437635
-1268.275685,267,62.893348
-1550.820707,251,63.332414
-1620.232687,305,63.839065
-1074.779715,420,64.478061
-1487.874942,246,64.899087
-1810.55314,271,65.361532
-1611.388485,324,65.885763
-1445.809722,277,66.354048
-2112.54693,437,67.020467
-1682.118269,296,67.512255
-1459.881323,404,68.142567
-770.446627,287,68.614228
-1524.732989,253,69.059814
-1534.32314,286,69.534801
-1374.202275,296,70.020671
-1233.131527,326,70.543934
-1475.947971,261,70.998409
-1363.67514,291,71.473531
-1235.663379,232,71.882221
-1554.237333,305,72.393049
-1545.4902,290,72.872871
-1158.7661,289,73.345357
-1443.672628,245,73.760265
-1395.220572,287,74.239872
-1500.921123,287,74.713512
-1964.722174,324,75.241876
-1261.473228,338,75.779949
-1492.226007,224,76.180702
-1630.889707,301,76.684184
-1229.980952,303,77.192246
-2018.302516,370,77.781201
-2314.795289,439,78.453057
-1468.336634,268,78.910145
-1333.077816,271,79.372701
-1528.694786,252,79.812586
-1354.855085,261,80.263074
-1197.153001,219,80.654186
-1428.568117,311,81.172405
-1512.04512,299,81.656169
-1767.107152,303,82.514288
-1591.782262,355,83.094227
-1328.02507,399,83.713181
-1408.874156,288,84.192787
-1336.018264,278,84.659444
-1338.98889,283,85.129323
-1324.679974,256,85.579153
-1245.9194,292,86.060413
-2076.673191,298,86.549324
-1567.313585,258,86.999523
-1291.215803,266,87.459802
-1202.009574,240,87.873961
-1423.277519,282,88.351111
-1513.118207,423,89.010005
-1009.739482,491,89.746309
-2013.993692,417,90.396771
-1489.098656,326,90.928511
-1793.963559,378,91.523335
-1491.804892,337,92.062602
-1760.974529,291,92.542403
-1330.949476,281,93.016517
-1696.865807,301,93.520783
-1441.943599,327,94.055772
-1483.107192,262,94.507795
-1081.958912,288,94.982114
-782.012189,418,95.630293
-1250.351731,286,96.106816
-1308.946101,283,96.579008
-1430.419313,282,97.050861
-1461.27347,493,97.792745
-2165.652061,361,98.364485
-1999.761075,274,98.827328
-2035.468424,341,99.363987
-1507.988642,267,99.821605
-1913.871036,322,100.346215
-1318.378836,260,100.800007
-1418.186384,268,101.259032
-1454.804669,310,101.771579
-1487.098233,293,102.264968
-904.691411,297,102.751383
-1596.783946,276,103.218311
-1514.932034,331,103.747102
-2994.203062,608,104.624796
-1171.513612,253,105.071642
-1737.519404,310,105.590185
-1544.988757,513,106.360381
-1702.02452,308,106.874402
-1489.970578,318,107.396294
-1550.221655,246,107.819722
-1107.57032,387,108.429678
-993.150627,390,109.405822
-1391.854406,259,109.86253
-1280.963084,271,110.33374
-1613.24636,285,110.812491
-1370.252014,249,111.242632
-1803.423829,323,111.778123
-2565.424999,718,112.796343
-1559.709621,277,113.270624
-1735.679261,318,113.797159
-1565.397157,264,114.257834
-942.748022,381,114.854053
-1738.362578,255,115.305648
-1329.969891,267,115.764068
-1552.047073,425,116.417466
-1550.50885,317,116.943769
-2703.032379,421,117.605488
-1121.519664,281,118.079101
-2118.393979,479,118.791393
-1487.100297,275,119.255576
-1550.378043,258,119.707361
-1700.049329,281,120.186066
-1254.657187,264,120.646435
-1686.571744,460,121.350674
-1703.270123,289,121.836784
-1292.834632,298,122.321241
-1405.39808,306,122.834698
-1366.767495,256,123.2888
-1280.750172,261,123.743176
-1449.456506,268,124.204025
-1155.887249,276,124.675174
-1595.866324,350,125.229733
-1780.384572,402,125.866
-1653.877291,313,126.387093
-1635.270613,215,126.785818
-1616.95691,295,127.27451
-2398.726981,504,128.037195
-1553.828512,303,128.552135
-2183.734458,331,129.090312
-1560.282732,299,129.581467
-1572.42051,275,130.048731
-1320.756183,268,130.526258
-1227.632798,239,130.940784
-1692.023631,276,131.411582
-664.226638,556,132.236407
-1578.194262,470,132.95947
-1249.849196,287,133.436165
-1178.416309,257,133.886889
-2068.240069,421,134.537251
-2032.559597,325,135.072814
-1228.298863,495,135.817997
-1287.935671,243,136.615272
-1572.667156,247,137.037765
-2286.710107,440,137.71386
-1453.341969,276,138.181886
-1746.384096,281,138.656556
-1158.501687,302,139.163033
-2185.613802,557,139.980885
-2307.625398,596,140.839914
-1727.58853,566,141.684331
-1028.885996,387,142.287589
-2718.656916,555,143.106238
-1324.288993,440,143.779939
-1661.790904,219,144.175161
-1682.391799,400,144.791759
-1087.559467,314,145.307361
-1851.579106,299,145.787508
-2000.23704,322,146.313841
-1447.020343,325,146.843146
-1673.594584,246,147.287311
-1487.263245,323,147.836811
-1427.791858,326,148.367179
-1155.282948,358,148.933125
-1483.706171,269,149.393864
-1345.804006,299,149.881218
-1453.151436,389,150.484599
-1693.061503,259,150.935693
-2305.352561,349,151.476928
-1624.909334,296,151.960836
-1150.519235,403,152.596384
-1610.456466,319,153.122545
-1281.310733,269,153.585297
-1506.863791,371,154.169191
-1119.650421,247,154.593008
-1271.828482,330,155.127032
-1314.435712,274,155.594852
-2519.844296,515,156.36908
-1958.974972,365,156.948661
-1341.908554,378,157.545714
-1372.872357,324,158.071282
-846.631283,297,158.552469
-1527.020715,270,159.014765
-2224.928178,330,159.540695
-2739.440991,475,160.2586
-1647.746167,398,160.862711
-1544.258693,445,161.523474
-1116.803803,394,162.132721
-2123.464775,300,162.977602
-1253.269112,319,163.500392
-1393.677891,312,164.018223
-1335.145665,287,164.497998
-1775.501033,333,165.031848
-1049.678422,250,165.466578
-1966.824894,364,166.051606
-1731.991728,264,166.50982
-1618.811665,292,166.996966
-1788.544283,304,167.508429
-1457.623184,336,168.048876
-1959.52548,287,168.52458
-467.387748,633,169.43937
-627.782491,302,169.968419
-1384.50347,330,170.504182
-1947.258325,337,171.044151
-946.027213,531,171.829034
-1406.200734,302,172.340329
-1583.843504,373,172.931238
-1316.742157,299,173.423499
-1597.930518,439,174.098248
-1483.685289,353,174.67871
-1743.594852,275,175.143815
-1170.618029,248,175.569648
-1463.818728,355,176.140468
