#{"t_start": 1702353365.5986526, "env_id": "ppo_plainEnv"}
r,l,t
2052.967665,601,1.461567
552.464033,456,1.864577
921.379321,563,2.337434
-443.153053,293,2.618919
2169.719946,623,3.130677
686.477587,486,3.551522
2221.401003,578,4.069765
-340.053459,361,4.411016
1087.66175,507,4.855162
499.729743,416,5.229359
1063.098548,540,5.687915
-440.407179,279,5.963635
86.514325,437,6.345357
-236.590527,327,6.656167
18.296477,394,7.017491
2151.961899,591,7.506963
1059.48425,659,8.05293
526.430562,375,8.399746
-107.567529,353,8.727293
1490.81457,515,9.179324
3544.354634,808,9.832054
1525.991917,587,10.322932
831.115756,504,10.760688
465.795068,356,11.0888
1535.221056,483,11.513075
1932.931125,597,12.022783
-286.876903,305,12.318502
91.917884,338,12.639047
2034.220508,584,13.128357
541.310414,439,13.523015
300.243854,426,13.904267
120.225539,360,14.240793
49.62849,424,14.619633
1278.723406,415,14.994666
-771.655323,255,15.252167
2162.867699,605,15.761376
277.167184,467,16.169023
1611.457186,552,16.643486
1432.876588,642,17.177394
1100.481248,495,17.606251
-550.06334,270,17.877373
2518.098074,559,18.351496
-1131.217813,250,18.608147
-160.587666,348,18.937756
284.566153,431,19.320403
190.312519,498,19.744468
135.727609,456,20.148565
1074.520628,437,20.541655
988.055983,518,20.985138
-140.85434,517,21.429528
1251.92154,499,21.865468
3214.651267,587,22.359288
2120.436322,607,22.872525
-147.974528,296,23.161289
439.66573,373,23.50776
-313.75758,446,23.904408
-581.350372,296,24.186464
377.843833,378,24.539048
1150.013525,492,24.961357
1680.924635,558,25.428484
145.199414,331,25.742811
1116.819869,466,26.153368
1951.073243,675,26.701954
493.52759,441,27.090233
2312.539287,539,27.544272
-297.050314,457,27.941973
2125.049491,560,28.414217
1404.169635,544,28.878632
-37.26649,320,29.183821
177.156108,403,29.550842
651.744622,431,29.93824
-536.606316,299,30.229336
436.206736,444,30.623653
1086.653418,648,31.160053
670.35013,518,31.600462
-466.442724,433,31.988851
506.649566,353,32.31919
1007.537621,417,32.689504
1463.551976,580,33.178788
1605.132141,442,33.571172
743.884076,636,34.097829
910.088935,476,34.516066
772.756075,494,34.937873
-56.467418,317,35.23916
1225.375535,477,35.656691
365.066636,453,36.05916
1029.982476,540,36.516162
-260.955708,328,36.826943
305.934292,407,37.191525
-53.17152,556,37.665644
-24.608704,402,38.032088
961.367862,626,38.54832
1190.095168,507,38.982657
1414.697103,459,39.388007
-346.442781,284,39.666839
-847.040985,240,39.92639
-388.557527,346,40.25433
-13.047526,410,40.621258
833.266912,378,40.969063
-901.483683,248,41.222583
1016.023729,504,41.660357
-14.737598,396,42.022862
496.383256,402,42.386404
1463.580763,490,42.806714
542.590778,508,43.239854
1638.167752,579,43.724866
301.576413,389,44.077241
817.195659,404,44.440794
1041.857826,424,44.819768
1387.454589,583,45.30921
338.912602,438,45.70276
533.693571,395,46.066681
-827.083607,264,46.335451
775.847179,458,46.737056
1755.177792,519,47.186398
1180.520422,478,47.604709
-24.14848,593,48.095288
-506.584853,307,48.395462
176.232477,317,48.694852
-98.880473,406,49.063611
1048.974674,523,49.509115
26.229223,369,49.849609
926.500495,453,50.245622
-584.147024,334,50.562146
-307.784998,562,51.035875
