#{"t_start": 1702508863.3092346, "env_id": "ppo_plainEnv"}
r,l,t
812.465058,405,1.358594
1107.892168,521,1.856199
-492.979314,365,2.208574
1336.293274,489,2.634454
844.306957,509,3.076712
-859.715907,269,3.341041
-835.336289,286,3.624748
1176.761259,485,4.041732
1220.970862,488,4.458737
1337.21035,743,5.053721
1147.399301,714,5.623374
-786.690014,411,5.990798
-646.10188,294,6.276455
735.991917,482,6.684173
1406.590236,519,7.119509
916.297787,605,7.616595
1941.95774,553,8.082399
713.682224,421,8.459641
949.846508,568,8.932541
1393.425135,454,9.327156
1123.362331,563,9.795212
646.826721,464,10.200639
-661.429711,313,10.501343
505.173232,409,10.864271
-231.824004,445,11.259657
-10.386285,348,11.579283
805.721515,474,11.989505
1064.08875,410,12.351215
1116.970247,426,12.730237
582.67887,406,13.09529
-598.240281,289,13.374289
258.740205,394,13.732425
758.705982,460,14.132506
2466.082056,698,14.691313
815.488574,443,15.077335
18.950378,323,15.60921
140.876009,359,15.947168
172.60385,337,16.265839
736.366664,440,16.649514
2487.867385,642,17.179389
-742.765566,231,17.421832
221.121848,376,17.767179
869.988276,481,18.188711
-514.901094,414,18.564128
3382.513118,826,19.217546
1531.081706,606,19.716524
173.380016,669,20.260375
-304.999853,323,20.56564
-10.758948,315,20.870769
-565.369298,440,21.264975
330.671343,409,21.636314
778.793472,512,22.072748
404.921371,523,22.534396
112.816939,430,22.913881
1583.453615,604,23.409728
1506.66234,464,23.815314
2175.996174,590,24.303819
-328.074027,371,24.637232
-159.920308,443,25.027617
129.92589,395,25.388587
1526.676549,612,25.901376
1025.511132,459,26.30483
-273.189503,471,26.715625
1906.428237,615,27.228572
1430.720712,597,27.73066
80.013275,426,28.10617
91.455454,351,28.435502
-242.301107,714,29.025284
-1134.152496,403,29.39153
812.790216,590,30.09769
777.231851,397,30.458623
641.276802,473,30.872518
550.632506,382,31.227453
286.812201,519,31.673957
246.927721,410,32.042552
1306.424524,570,32.52484
-97.39253,382,32.875318
2316.114901,649,33.414497
-245.011728,349,33.744395
516.333405,454,34.144784
-130.725195,335,34.461825
-592.926111,477,34.87748
412.588183,444,35.274208
1112.743559,465,35.683559
750.16416,476,36.1043
604.767422,553,36.578704
1261.242481,508,37.022899
-60.3235,433,37.40152
977.839475,405,37.771808
380.47579,462,38.174006
947.557402,556,38.64367
2348.004531,502,39.075253
2819.7826,628,39.600122
457.129112,492,40.022477
-995.246065,248,40.278415
396.022418,389,40.636998
473.0761,350,40.966598
763.386586,421,41.347018
370.502045,529,41.802026
-129.234625,438,42.194997
402.582786,369,42.540376
216.87084,322,42.848212
407.7901,436,43.242302
922.273246,426,43.628726
571.508546,460,44.037001
1088.500784,381,44.386534
-674.186348,339,44.919229
-53.651619,436,45.305543
1425.767904,541,45.771269
887.037236,448,46.170154
-773.965535,266,46.439208
-931.994512,295,46.730542
1033.659243,564,47.206728
218.996325,397,47.570377
-419.982761,323,47.879453
-131.725886,491,48.314621
1418.325359,592,48.813967
-495.39324,263,49.081725
-704.449273,265,49.348581
101.79846,1075,50.196633
-241.63548,308,50.496577
914.796696,448,50.896363
2109.939943,631,51.416977
2075.866637,552,51.885472
256.066936,615,52.40331
1634.85376,466,52.812667
64.939831,413,53.185411
152.022439,421,53.566138
348.269595,385,53.917566
690.714555,452,54.320543
325.686571,384,54.677561
894.020885,474,55.089655
225.629111,348,55.417413
1480.608693,450,55.817925
741.315576,514,56.264742
-56.158289,285,56.548548
-360.980012,423,56.924924
56.507868,412,57.291276
197.517291,369,57.632511
479.540571,442,58.026582
2795.542212,609,58.542893
1545.182495,681,59.097606
-29.075205,398,59.666513
1647.912005,556,60.13718
-872.411098,229,60.379561
1232.251617,551,60.843693
2355.97446,556,61.320212
1834.450708,468,61.737908
36.282835,338,62.055909
2852.098566,570,62.544338
892.391062,440,62.936588
-25.415008,335,63.257007
1325.007219,485,63.677322
1242.790921,403,64.04224
186.56635,414,64.420142
-497.244857,319,64.723536
2348.934106,569,65.204053
1067.347179,518,65.65399
-233.98236,292,65.938109
404.647629,2147,67.570352
2446.295883,588,68.069362
702.842151,1000,68.859053
252.131734,366,69.203198
1394.556439,492,69.631075
314.15701,428,70.010878
1375.756076,438,70.401922
473.119588,429,70.79025
-225.475354,387,71.14847
207.092707,358,71.480183
396.508444,415,71.855187
-46.900335,387,72.213333
1466.544532,478,72.627104
922.362097,441,73.018013
821.796155,430,73.405037
972.346677,5001,77.327804
-758.695077,2087,78.896458
-945.550566,756,79.511902
1436.100568,546,79.970886
1741.237418,510,80.446388
1364.282947,461,80.843989
121.632131,372,81.182596
114.836013,331,81.493112
1793.323621,730,82.085493
-368.343458,294,82.370966
-222.100133,289,82.654893
-605.183715,1652,83.921108
-188.888208,284,84.198145
55.979282,308,84.49627
1012.513989,453,84.897538
-221.844275,587,85.405298
439.498794,378,85.754325
-46.352896,412,86.123235
1028.76369,418,86.495454
390.847115,388,86.849844
-118.249961,2714,89.079603
709.217394,1476,90.205323
757.707367,465,90.639867
-192.972726,315,90.942668
1158.787337,670,91.499492
-658.439854,246,91.747801
558.49155,3112,94.051925
91.891997,2643,96.031471
1045.874562,4794,99.554329
196.040777,373,99.896363
-34.006149,5001,103.802541
1169.767676,476,104.212315
532.322485,4618,107.628992
694.006376,391,107.984204
-267.976539,301,108.276662
620.833391,5001,111.967088
-242.221366,328,112.275985
1731.392286,5001,116.174088
-262.566556,5001,119.839489
634.015512,5001,123.539979
902.385894,5001,127.449886
403.437827,5001,131.162751
626.210279,427,131.543524
1748.343894,5001,135.23604
-272.465045,335,135.548777
1119.924484,5001,139.455302
135.652386,5001,143.161656
-401.248718,323,143.470498
1968.100865,4216,146.609599
880.061896,5001,150.499683
967.425836,345,150.847177
183.436468,639,151.396235
1924.815873,570,151.874104
1599.336641,5001,155.555324
-428.048619,3055,157.830176
3976.72744,5001,161.529587
708.095786,476,161.936868
965.709586,418,162.308373
674.816267,377,162.864474
930.25173,5001,166.565383
1840.884178,602,167.072528
305.956073,794,167.717609
263.810862,549,168.189124
3106.814125,764,168.816044
1668.007707,5001,172.51142
1709.751054,5001,176.410149
1750.06069,519,176.853551
681.862639,342,177.174093
2398.068999,5001,180.876873
996.871517,414,181.272251
1879.047053,448,181.676158
1898.611321,5001,185.354318
2779.666861,627,185.876626
2310.341788,2865,188.244893
298.861099,339,188.564713
2806.528633,5001,192.259914
1591.410172,5001,195.941365
2072.167284,5001,199.622844
1488.602891,5001,203.558031
2245.116984,655,204.10189
1937.323303,1464,205.228819
1626.734693,424,205.602722
1917.485217,604,206.114594
1428.148815,401,206.490931
1981.724536,502,206.930989
2011.348418,3439,209.494395
1576.758722,420,209.872455
2512.773584,4813,213.676627
1885.659758,3578,216.336555
872.349683,616,216.864697
2298.77455,618,217.384084
2559.014263,2362,219.167058
2084.677886,870,219.860632
2148.003377,750,220.471683
1692.245802,479,220.888794
1474.566209,680,221.452473
857.254673,544,221.927603
3002.610999,5001,225.629788
1412.128997,5001,229.60907
24.702506,5001,233.359263
1462.709457,904,234.087208
2146.863636,430,234.470717
1932.426685,5001,238.1965
1007.368105,1103,239.275527
1034.876959,5001,243.03424
1321.811227,3276,245.476344
2559.235217,750,246.096793
2156.784991,4412,249.413243
1464.979115,419,249.788069
1015.201166,5001,253.784937
1363.932604,3341,256.304987
2236.785175,2328,258.083962
1409.712501,5001,261.842787
1645.944247,5001,265.814138
1693.212652,5001,269.55937
3856.340322,4732,273.159519
2645.490818,1486,274.307784
1576.080004,964,275.079304
733.257659,5001,279.05093
1930.862411,627,279.578283
1672.965225,3116,281.953005
964.801768,5001,285.692859
1482.496915,1385,286.791963
1478.015552,406,287.169498
870.518976,733,287.776582
688.602284,871,288.481031
1878.351199,395,288.841535
1270.38605,727,289.67102
1430.335552,771,290.303832
1980.085892,735,290.900406
2656.206048,663,291.453384
1497.613871,385,291.806132
1784.94791,3991,294.799501
2683.817075,675,295.358313
2978.086554,5001,299.053499
1301.229496,4489,302.603191
920.710548,345,302.931992
2187.103758,5001,306.665419
3035.83722,5001,310.370353
1640.948502,5001,314.087443
1860.626736,5001,318.004025
837.986644,5001,321.798731
2760.498802,486,322.224993
1482.591508,520,322.675672
1262.820352,361,323.01667
1263.134243,5001,326.740473
751.140901,5001,330.691598
744.690478,5001,334.442187
1891.159708,5001,338.143594
2482.15452,5001,342.12308
2458.62623,586,342.620103
3532.839384,5001,346.372203
1357.038127,5001,350.112964
1606.129668,492,350.544327
1554.369662,400,350.914442
1228.550282,328,351.226035
2020.255713,408,351.595198
709.506416,5001,355.537893
2274.985249,5001,359.254452
3331.388653,5001,363.030873
2729.12218,5001,366.982281
3103.165019,5001,370.754542
1722.150193,5001,374.487512
1547.741844,854,375.179015
2020.064165,629,375.696317
3287.678421,4026,378.909636
1781.856683,5001,382.6322
16.979468,234,382.881192
3224.154669,5001,386.617676
1245.63953,5001,390.564865
1705.822525,5001,394.301289
1836.532919,396,394.67542
1371.182658,3778,397.510341
980.94346,5001,401.301701
1948.474317,413,401.677496
2743.689466,457,402.083599
1899.102896,5001,406.070841
