#{"t_start": 1702333074.2035742, "env_id": "ppo_slopeEnv"}
r,l,t
451.047289,460,1.0624
-292.310975,340,1.558486
1144.99026,507,2.250926
41.879242,376,2.792519
1082.594484,427,3.387168
450.464081,449,4.006068
-290.706671,349,4.526015
541.542444,588,5.3233
96.195953,476,5.982249
-1035.654498,222,6.344942
-706.260698,513,7.042209
489.711945,406,7.615723
-396.961557,388,8.162143
-861.669778,266,8.580638
324.899013,635,9.455689
-435.500841,317,9.929186
833.971772,529,10.650918
982.111488,620,11.517723
-912.326866,292,11.961492
323.491465,380,12.512401
1002.005563,586,13.292343
-29.262271,503,13.98985
-841.034068,273,14.409047
-116.75251,476,15.061291
-913.039032,397,15.624582
677.139912,561,16.379644
-213.268921,374,16.919294
-606.158817,266,17.335604
-427.08156,433,17.939698
1113.027466,480,18.589303
623.428576,462,19.244121
-1031.458529,242,19.619203
-926.580756,225,19.985699
73.479373,461,20.631943
-831.593434,279,21.060754
-601.962709,514,21.769645
734.920363,447,22.380188
149.174367,386,22.921431
1153.781334,563,23.676459
610.985533,449,24.290612
2436.280656,648,25.130998
445.883952,470,25.783151
-286.218264,335,26.275957
-828.942471,235,26.650922
229.609294,337,27.141114
-583.978307,274,27.561608
219.434857,413,28.144467
-293.936155,390,28.698905
1546.212994,510,29.386645
-956.722544,371,29.922145
1114.660645,557,30.671622
709.010139,464,31.314149
-705.378082,393,31.868191
1080.173179,468,32.514565
3291.167265,705,33.431588
1517.081155,606,34.244518
486.461177,451,34.878228
-788.337125,263,35.296674
158.271892,390,35.842454
871.935975,517,36.550516
-50.220229,397,37.1075
1590.323837,901,38.257316
296.68887,406,38.864141
-686.08137,251,39.268049
859.425625,503,39.960062
-699.702317,277,40.386596
1518.950856,658,41.260313
-1189.494822,268,41.681735
-176.394144,448,42.293715
-200.944411,402,42.881999
-630.104561,396,43.438488
-338.492708,460,44.076313
351.588463,324,44.556141
1528.556285,662,45.425965
1205.035292,516,46.124555
-647.338498,256,46.534106
-210.922213,463,47.181693
665.869386,399,47.741422
-724.678081,250,48.126043
875.235422,461,48.769468
-985.109578,265,49.200494
888.866456,525,49.919449
-929.265889,251,50.325836
189.353543,427,50.924402
20.412772,362,51.452077
21.013131,423,52.05413
1129.908254,532,52.768743
-531.437237,287,53.208713
-622.484319,487,53.874644
298.597501,550,54.608314
328.991763,394,55.160558
288.883688,606,55.986645
2694.855535,730,56.91731
-536.320387,317,57.393403
17.329391,320,57.869999
-3.807301,459,58.513332
1176.208032,559,59.274092
112.81461,396,59.829461
926.312882,522,60.534633
295.699957,494,61.199356
290.138882,398,61.753402
-731.875189,417,62.34938
701.943818,523,63.054111
-190.641831,800,64.070506
-765.664805,335,64.582409
-188.029035,381,65.132284
611.727812,448,65.747622
157.153368,439,66.350351
-336.175433,501,67.052461
-332.929713,324,67.529724
1349.150748,575,68.296045
200.265501,442,68.904736
666.994461,435,69.504557
-638.86589,273,69.928712
1007.126815,593,70.702055
52.850172,438,71.310493
-548.164796,336,71.802499
505.125478,404,72.381755
-404.194186,374,72.922078
594.002719,376,73.462143
-201.67716,312,73.933625
-125.880023,390,74.48357
315.745627,411,75.067464
302.737212,486,75.72999
645.663725,490,76.391207
-1005.098189,223,76.761101
-740.090929,319,77.241374
-443.360665,454,77.884654
-916.069685,290,78.320424
1089.608961,482,78.971713
-1077.672254,249,79.357164
273.425465,425,79.950512
-641.940167,261,80.364842
216.884305,457,81.003633
448.063938,433,81.604821
-527.308612,291,82.053229
652.804732,783,83.044922
