#{"t_start": 1703181806.441046, "env_id": "ppo_slopeEnv"}
r,l,t
-786.309479,265,0.862828
376.733275,510,1.567855
409.142343,430,2.169813
-232.150831,334,2.662729
-305.351315,396,3.219604
-312.120477,304,3.687895
-1001.91254,253,4.091856
-145.109603,324,4.574503
244.83263,385,5.118864
413.536972,487,5.775799
1060.184561,596,6.55231
-440.554837,414,7.139537
-1023.299028,253,7.548305
-769.129225,371,8.094889
119.151163,392,8.644878
-572.773829,292,9.085402
86.084419,374,9.624871
-631.272034,399,10.186461
36.01963,353,10.707395
-177.096586,276,11.132798
-647.159935,247,11.515878
-335.164225,501,12.202367
982.594723,497,12.868603
148.489154,434,13.469477
-776.834234,241,13.847677
1099.727261,545,14.578551
466.525306,471,15.226867
174.536981,358,15.755533
614.743453,418,16.340221
398.921406,500,17.013394
-286.123306,579,17.804307
910.286472,524,18.521736
554.404607,406,19.106205
-817.118262,248,19.493267
-485.136848,425,20.095657
1561.867777,526,20.8011
373.902473,366,21.329028
1210.846648,497,21.99984
-316.013964,321,22.483284
1428.894183,502,23.171917
-736.956186,274,23.59687
-382.922272,342,24.4454
860.562202,454,25.090583
1656.9,735,26.041358
962.085108,459,26.689011
495.658066,420,27.293393
8.636604,283,27.731457
-499.502821,366,28.271387
176.695212,388,28.831713
-340.785677,391,29.391353
440.41327,394,29.952119
66.528549,372,30.496547
1597.762927,560,31.247625
2186.111946,523,31.963768
-253.958081,281,32.39848
1391.855871,523,33.110584
838.04798,504,33.819771
507.776817,446,34.439249
-170.860732,363,34.975194
793.957084,440,35.588995
159.153991,497,36.259002
-3.536924,347,36.762727
-662.886601,293,37.201629
956.481346,505,37.908726
-398.755881,355,38.446144
-17.12381,350,38.950902
1548.841639,775,39.947603
574.210221,409,40.535096
-101.316891,399,41.102528
-333.220401,314,41.582195
235.881593,371,42.125098
-45.51255,422,42.725154
1483.66032,506,43.424418
97.136372,328,43.908503
-754.711118,250,44.300417
-183.103026,343,44.801833
-335.639454,315,45.283321
-378.684101,369,45.825509
44.361614,396,46.390112
-631.729392,321,46.867201
54.472811,424,47.837825
482.819739,427,48.442117
2684.176561,542,49.174222
596.105456,440,49.791717
-343.013643,402,50.385977
402.5107,398,50.95583
300.981017,450,51.574153
-55.067259,372,52.116959
466.831806,448,52.740276
1010.550166,458,53.38633
1000.77217,433,53.994515
1145.658505,484,54.664115
171.650783,379,55.220874
34.049434,370,55.766325
1196.917301,562,56.532758
1888.196416,610,57.360904
-396.991407,361,57.90062
-331.538542,416,58.502627
13.277536,378,59.057137
562.42234,439,59.675778
-660.81348,340,60.184018
602.741196,488,60.849146
-193.202078,384,61.402312
-219.64964,288,61.843179
-104.201913,367,62.386665
1761.375643,470,63.048353
-303.708327,323,63.540278
879.281405,366,64.078289
-87.185877,374,64.62995
-243.938918,337,65.130429
357.518686,440,65.745985
1914.746013,702,66.68114
43.992665,344,67.184992
-660.176456,286,67.626788
-924.912375,242,68.016468
1290.11751,604,68.838002
-117.144317,347,69.346122
800.646852,415,69.947068
399.72177,390,70.503301
994.453111,457,71.520685
391.560263,487,72.192289
1614.787323,498,72.861133
-162.55653,485,73.537338
-107.159331,371,74.087316
1250.953356,528,74.80883
45.469633,380,75.359859
1562.384225,549,76.100461
-730.326789,412,76.704757
1130.257207,691,77.625863
-572.450135,340,78.132548
-204.465774,304,78.609583
-672.379408,313,79.092784
1668.447919,482,79.757331
-543.010082,422,80.372455
667.766505,366,80.907708
1616.259315,567,81.679908
68.925898,367,82.217599
-206.766097,346,82.726891
-660.424672,231,83.103262
-110.497222,358,83.64017
883.130277,535,84.372373
-516.172688,395,84.937626
-1492.179427,591,85.738323
-787.832434,250,86.133994
-665.865568,264,86.557224
-748.841015,276,86.986944
623.066595,423,87.593479
505.364343,530,88.320005
1872.649695,628,89.168336
825.042063,452,89.812431
-937.585786,263,90.236393
-356.458839,386,90.785693
-700.433284,242,91.171892
-332.907699,376,91.729409
-454.726646,388,92.296441
-424.345872,413,92.890194
-311.481077,292,93.338114
410.023565,424,93.939819
-227.375461,333,94.442597
-5.234554,378,95.003628
-1156.872828,295,95.801502
-75.870261,287,96.244817
-361.447541,425,96.855303
-742.035801,273,97.282238
-84.960479,519,98.016636
956.640441,594,98.820305
1367.205226,553,99.583371
-803.248155,348,100.094959
477.868354,426,100.706562
-810.138008,250,101.100961
545.193945,475,101.764478
57.482814,554,102.525066
2608.484437,575,103.294513
900.864439,409,103.890327
-241.246189,349,104.40578
-191.223713,301,104.873343
-221.627688,312,105.354166
-205.801547,269,105.779301
441.440406,402,106.366723
2050.140449,515,107.079672
-609.026436,371,107.634454
1373.641123,553,108.389181
339.917809,484,109.059438
-712.175744,341,109.566159
-555.481369,331,110.061158
-546.871393,276,110.492005
-452.712271,366,111.043156
1541.861918,492,111.722041
464.247366,446,112.348144
143.528107,369,112.893371
-97.590046,323,113.381343
-587.220509,266,113.803105
674.177884,430,114.40949
-220.33938,291,114.852061
-888.515909,267,115.278525
-325.256882,351,115.814245
-709.899386,291,116.257415
-722.402309,388,116.820123
1702.910445,559,117.5797
1967.461146,528,118.299699
-219.116785,319,118.781354
-788.450835,240,119.165836
260.642862,346,120.013001
499.041312,396,120.587695
927.75955,413,121.17891
-141.922891,470,121.849082
1089.580437,468,122.505287
1956.747794,898,123.655173
1049.18399,430,124.271509
-705.096385,300,124.72714
-85.28093,369,125.266536
2621.930464,705,126.193301
958.935173,429,126.797436
-283.426745,474,127.461554
-596.399541,504,128.177949
166.59411,423,128.791744
718.154225,471,129.451444
-285.785662,360,129.991028
295.358327,353,130.519332
85.722241,364,131.058489
709.979964,399,131.625384
-423.686435,328,132.12278
-544.169974,321,132.609185
-266.188031,252,133.018079
2503.176001,539,133.747741
-653.150786,292,134.196697
-359.578982,299,134.646744
293.307027,425,135.253417
-444.801843,308,135.733327
1819.782525,509,136.431655
2037.947244,630,137.266603
1703.246641,580,138.043311
41.331823,433,138.659761
-415.291122,563,139.443962
254.932525,401,140.036902
-714.702212,249,140.426864
-346.662723,339,140.928993
939.964136,512,141.638823
835.128687,452,142.280028
984.370652,453,143.285255
120.297512,405,143.883897
1188.314931,438,144.50631
212.842986,488,145.185132
-252.351461,362,145.733432
-600.374645,216,146.099117
-94.829067,2054,148.759795
684.802716,318,149.247658
-143.242906,323,149.729277
1429.247294,1519,151.682149
1277.415594,476,152.354795
63.790097,316,152.851794
-814.774781,1207,154.450735
71.863873,320,154.935933
2866.84147,10001,168.058231
143.023211,478,168.74019
1775.941373,567,169.508384
-0.106267,353,170.045797
0.404788,397,170.613006
891.872763,475,171.271998
925.857328,441,171.900965
774.472577,424,172.508369
-651.213361,307,172.986121
769.477755,467,173.642281
1605.397929,385,174.192121
-210.215903,323,174.686091
343.106128,378,175.234696
-340.782854,308,175.717845
479.59381,378,176.272271
1732.490368,508,176.983846
-251.282813,327,177.477251
227.043856,319,177.961367
1260.660185,539,178.692739
350.091615,332,179.190268
-63.970372,367,179.739715
350.040163,298,180.186894
1522.917817,516,180.89996
914.432503,537,181.641506
1398.866017,501,182.335437
-74.240456,339,182.837155
-30.015761,351,183.369593
2557.997301,627,184.207412
2327.608507,641,185.051762
-0.49274,376,185.601686
3350.709677,790,186.629263
569.643186,411,187.243032
147.567618,507,187.966784
443.22337,398,188.899856
716.431592,376,189.45342
-494.074549,4429,194.975811
-77.639166,496,195.670919
-226.768724,329,196.168857
582.875256,714,197.136526
-512.498443,647,198.012395
1757.364204,677,198.927587
282.645058,356,199.46775
1817.936709,505,200.184976
856.686316,420,200.780618
39.958283,332,201.28242
1159.075844,656,202.182009
-27.650014,358,202.719666
602.123425,367,203.262959
793.726679,492,203.957014
42.956224,291,204.403568
119.911922,349,204.917421
-48.585101,298,205.372596
705.128335,535,206.117569
-3.498214,2182,208.924993
1229.40369,399,209.490589
122.841488,358,210.02838
-663.446552,294,210.481755
60.612479,7856,220.716192
-598.924927,326,221.211723
2136.996445,464,221.860519
1816.363813,529,222.583816
-134.10794,2669,225.949144
-172.450704,4425,231.435125
1507.865125,428,232.040866
-344.498744,7026,241.031737
1920.765097,466,241.680312
-416.85375,10001,254.695096
1153.05504,499,255.377589
182.963126,453,256.019503
-279.869474,243,256.402998
587.738024,422,257.004871
-589.71318,10001,269.356803
219.226747,378,269.907749
-286.963888,280,270.349494
495.793673,10001,283.281531
1688.086489,504,283.989995
2194.174015,636,284.82891
-426.927463,10001,297.776858
313.010148,367,298.324887
2245.933537,525,299.043819
495.349906,349,299.551638
-786.726161,10001,311.816576
-1045.347819,10001,324.579123
1567.915773,514,325.289161
-89.077107,10001,337.96879
-709.814865,252,338.403366
-284.048368,271,338.836406
69.817793,319,339.320249
1442.170945,10001,351.922898
290.824376,389,352.479162
171.451232,377,353.026603
799.31533,404,353.615644
1069.557499,418,354.21338
-516.972559,317,354.693604
464.969871,364,355.229959
2078.749264,525,355.945891
550.905116,444,356.587793
1124.421065,481,357.246093
1485.40719,547,357.98778
237.688769,516,358.700555
337.283865,375,359.617099
-235.667078,383,360.171994
235.422596,373,360.72219
307.509114,328,361.215865
980.580819,470,361.874439
-127.098605,290,362.321723
-71.852871,10001,374.900443
-438.829336,329,375.396016
-548.924823,270,375.825194
-136.130625,324,376.315254
-732.572176,259,376.729682
-491.640004,10001,389.494321
91.755509,316,389.979538
1176.134298,417,390.573501
-142.941974,306,391.050322
309.458477,358,391.580694
1095.828089,435,392.186256
911.310693,10001,404.962049
2605.985524,620,405.796421
463.193731,512,406.508584
-349.849605,10001,418.800324
181.296502,10001,431.493023
1608.196513,458,432.13342
1570.796216,523,432.840775
2016.608976,518,433.543502
106.236831,297,433.984963
397.573816,607,434.803793
2605.467882,513,435.503276
724.130152,10001,448.170496
1678.726883,523,448.885052
286.743214,499,449.57444
-241.717003,313,450.058983
147.574371,360,450.595099
149.10988,10001,462.978108
124.385837,478,463.649622
1009.24259,10001,476.478085
712.341355,10001,489.250866
1265.829817,397,489.812457
3345.076426,10001,502.488803
493.278072,367,503.034269
-143.327391,323,503.527243
1315.284495,457,504.17472
220.468061,273,504.598366
431.326675,10001,517.367523
1172.084732,10001,530.196913
721.236263,592,530.993803
257.233805,10001,543.304135
2424.581955,516,544.009953
3695.598145,573,544.790581
410.972487,327,545.285965
472.915845,10001,558.106941
199.023855,280,558.53963
831.930231,433,559.145856
689.917467,10001,571.902651
14.938135,10001,584.256807
-253.121862,10001,596.951916
1275.035403,10001,609.496782
357.226688,10001,622.184927
647.024326,381,622.735389
-178.65514,253,623.148665
28.241924,273,623.575841
481.706304,10001,636.311976
2565.668839,602,637.127901
1336.281832,384,637.688059
592.538538,341,638.186671
641.187022,401,638.768159
77.740486,474,639.429161
-1144.026278,457,640.081415
2020.545318,10001,653.006219
1235.205455,445,653.637371
636.909388,422,654.241044
173.976453,293,654.68868
-106.081506,324,655.181074
1090.26652,10001,667.657073
793.116785,10001,680.357038
1195.791087,562,681.126777
477.219872,10001,693.382844
1494.051141,498,694.056756
2873.384557,10001,707.14217
360.906061,413,707.737077
2013.343658,490,708.420393
845.058453,465,709.078149
1075.038727,386,709.630893
892.507596,542,710.368329
135.262439,365,710.911178
631.524016,322,711.396609
577.806396,331,711.888228
622.156753,382,712.441354
1010.776873,10001,725.244946
