#{"t_start": 1703003240.6892703, "env_id": "modulating_plainEnv"}
r,l,t
-1803.580575,411,1.403235
-1953.676509,387,1.806078
-2375.815565,407,2.22012
-1321.097639,353,2.593966
-2494.744817,378,2.992574
-2164.10433,488,3.482166
-896.342547,355,3.838305
-2298.74549,552,4.362272
-2529.363789,686,5.006391
-2037.484302,363,5.385723
-1533.342608,262,5.682614
-1739.91069,234,5.958215
-1948.639354,396,6.364388
-1682.826493,273,6.661657
-1228.893546,235,6.930619
-1443.32069,304,7.265795
-2634.63997,482,7.741369
-2476.722964,441,8.176153
-1916.718137,322,8.521104
-1976.36821,406,8.930815
-1966.601758,329,9.283398
-1923.106815,328,9.63537
-1727.364456,359,10.021275
-2036.340097,360,10.39055
-2188.887602,422,10.811453
-1125.170914,308,11.137914
-1467.174646,275,11.439765
-1396.212507,272,11.740139
-2151.35094,373,12.121786
-1365.463692,224,12.379561
-1437.042382,257,12.668489
-1822.118274,290,12.983154
-1499.424444,263,13.274557
-1405.991176,243,13.55461
-2998.45212,894,14.356194
-1278.554555,428,14.78786
-1364.047749,278,15.095929
-1767.701154,325,15.437918
-1541.341999,437,15.868894
-2182.297891,405,16.290113
-2540.55916,627,16.884426
-2071.034083,365,17.268302
-1668.493905,293,17.587871
-2261.540012,373,17.973916
-1357.00768,335,18.331059
-2302.616711,383,18.732517
-2221.584967,380,19.126239
-1277.087641,265,19.420176
-2378.878408,497,19.911445
-2632.795344,525,20.424773
-1979.676271,417,20.850021
-1689.749357,274,21.147896
-1633.584237,283,21.461059
-1520.659759,275,21.769034
-1356.189188,304,22.1045
-2347.640035,444,22.548739
-2048.22859,374,22.937752
-1142.51176,237,23.214041
-1458.940408,288,23.536268
-2586.791182,705,24.20071
-1762.809189,308,24.535795
-1251.138299,244,24.807845
-909.513334,278,25.117973
-1193.754574,297,25.437285
-2493.395927,397,25.844141
-1155.958071,246,26.130863
-1964.97256,341,26.491294
-2129.492779,354,26.86772
-1886.863745,311,27.206255
-2969.653811,719,27.876307
-1453.648175,265,28.178455
-2226.709648,359,28.552118
-2705.155795,558,29.082778
-2222.234875,358,29.452363
-1519.67296,390,29.8484
-1992.921359,424,30.275764
-1554.872622,323,30.62511
-2898.900724,656,31.242705
-1323.23056,279,31.55694
-1257.65997,245,31.838961
-1646.061531,263,32.12918
-1855.46755,371,32.518775
-1768.157202,341,32.878244
-1908.206573,399,33.294039
-1757.063062,350,33.668605
-2239.973387,1124,34.651286
-1233.056246,312,34.990905
-1678.480122,338,35.353397
-2335.917627,558,35.887313
-2168.467463,331,36.236392
-1817.132975,294,36.559145
-1470.523034,259,36.853365
-3367.627006,783,37.573095
-2241.078418,394,37.975688
-2687.496555,543,38.507117
-2041.538757,452,38.95177
-2265.485495,614,39.52885
-2318.118451,373,39.910888
-2304.418061,428,40.350947
-1505.109208,259,40.638429
-1994.762126,350,41.005474
-1394.788036,252,41.29095
-1226.425914,275,41.598501
-2046.622944,401,42.005471
-1606.730794,291,42.322665
-1921.300059,274,42.620244
-2559.64124,367,43.003831
-952.475369,265,43.300591
-2693.118832,469,43.770785
-2202.415656,355,44.145741
-1230.953829,326,44.485246
-1443.441381,264,44.781885
-1289.809294,251,45.069273
-2079.304359,405,45.48741
-2764.145543,569,46.040418
-2993.33502,360,46.41118
-2627.27592,405,46.830743
-1426.496112,251,47.11441
-1653.2147,290,47.434413
-1056.644616,492,47.892047
-1364.350847,233,48.165999
-1638.687123,444,48.58312
-1511.936241,340,48.939366
-1821.890815,343,49.302597
-2419.072177,495,49.789938
-1607.365191,335,50.148957
-2882.942119,775,50.852408
-1544.509066,277,51.156383
-1543.865787,394,51.56314
-1244.320834,253,51.8484
-1861.856193,363,52.230997
-1480.967844,309,52.567932
-2437.613769,501,53.057635
-2231.334383,482,53.529977
-2028.639322,634,54.131865
-1493.865934,353,54.507572
-2277.209509,446,54.969923
-2350.049736,383,55.366322
-2525.409591,425,55.788461
-1596.505069,291,56.107301
-1693.26495,292,56.422049
-1084.10543,232,56.699253
-1605.533923,326,57.049479
-2467.219295,393,57.448364
-1793.294726,305,57.782924
-1159.373446,284,58.09498
-2352.105462,446,58.542213
-1292.421274,225,58.805654
-2121.556884,347,59.16564
-2072.210858,392,59.568297
-2359.649172,360,59.940724
-1421.640252,398,60.353535
-1792.025414,523,60.860256
-2673.504307,643,61.474883
-1125.863198,299,61.800425
-2536.192071,415,62.220567
-1376.419835,219,62.479671
-1740.663607,245,62.761511
-3212.344296,810,63.507421
-1610.85597,307,63.839658
-2481.17145,679,64.480021
-3275.237432,694,65.127445
-2609.660603,582,65.677217
-1438.345027,239,65.95028
-3363.22632,624,66.529666
-1149.552278,271,66.834808
-1516.994585,254,67.128444
-2310.210045,372,67.51309
-2093.361407,402,67.916323
-2178.929078,323,68.265575
-2088.970947,427,69.20912
-1224.191949,296,69.540341
-1806.489423,351,69.910557
-2448.573808,533,70.425342
-2186.731507,463,70.897127
-2551.852334,439,71.339923
-1485.570089,280,71.657375
-2440.197172,579,72.217861
-2421.936264,501,72.711494
-1779.228683,348,73.081341
-2226.291805,386,73.47856
-1412.222318,335,73.840178
-3164.020274,566,74.398268
-1575.37739,361,74.783597
-2038.008169,389,75.18665
-1888.678799,496,75.677804
-2416.092597,346,76.045851
-1567.42116,268,76.341026
-1414.47032,281,76.649673
-1584.451173,306,76.991478
-1428.141881,255,77.286679
-1403.751228,397,77.69096
-1355.838657,233,77.96627
-1678.430054,314,78.311398
-1042.568632,231,78.583325
-1952.947678,340,78.945732
-2135.96077,382,79.340626
-2529.180016,787,80.066612
-1660.369355,241,80.350154
-1325.631285,241,80.62733
-1176.309445,250,80.913764
-2020.639504,369,81.30608
-2300.988747,359,81.687203
-1466.580839,281,81.998926
-1593.749442,296,82.329277
-1140.011478,513,82.818395
-1691.659634,328,83.17226
-1918.673267,344,83.535315
-3007.177722,592,84.108432
-1662.70267,289,84.428948
-2328.300711,409,84.855295
-1751.767209,1176,85.902771
-2033.468708,621,86.499697
-1916.111057,381,86.897047
-2269.557264,380,87.292563
-2035.507861,526,87.804079
-2445.324492,595,88.377766
-761.239338,265,88.677943
-1525.834237,254,88.969668
-2221.278226,452,89.426755
-1295.99929,243,89.712718
-2007.956003,428,90.131919
-3471.427448,573,90.676938
-2194.583763,358,91.056691
-2051.294843,399,91.466726
-1653.378237,267,91.768764
-1674.986433,253,92.064348
-2612.565566,556,92.61469
-1000.267163,218,92.876945
-1514.800824,262,93.177961
-1441.198845,318,93.522008
-2824.626698,543,94.043971
-1209.992201,254,94.339704
-993.838482,455,94.792897
-1819.681539,282,95.110719
-2176.220405,328,95.459911
-1889.038767,335,95.817444
-2342.957777,434,96.258214
-1888.425064,360,96.639359
-1297.486231,233,96.912749
-2091.045912,395,97.32289
-1595.486038,271,97.635799
-1454.504301,288,97.957376
-2117.970816,348,98.323349
-2155.867657,359,98.705457
-1876.524033,350,99.080012
-2148.170748,371,99.467146
-2326.441368,741,100.146845
-1748.2626,402,100.552411
-1326.314887,306,100.892748
-2462.351097,543,101.421505
-1621.220278,280,101.739774
-2077.125861,512,102.239017
-1785.686669,316,102.581797
-3737.396593,651,103.185385
-1905.37158,351,103.559686
-1733.888166,220,103.822518
-2044.42782,535,104.33941
-1477.733728,273,104.650406
-1766.415642,413,105.076256
-1555.455057,319,105.422084
-2067.980201,370,105.808215
-1971.548965,385,106.21488
-1697.055016,238,106.487231
-2576.061395,363,106.869952
-1298.016973,290,107.193077
-1274.357183,312,107.536854
-1878.724093,330,107.891083
-1167.296233,229,108.163913
-1622.737391,304,108.5026
-2722.076372,542,109.017653
-1592.204437,259,109.31776
-1228.951898,242,109.59923
-1479.657023,291,109.915956
-3075.214941,1084,110.884938
-1407.617229,293,111.213619
-1951.807281,347,111.587524
-2837.480049,332,111.941157
-1529.113307,285,112.263863
-988.584896,269,112.568169
-1528.627566,356,112.945862
-2559.178325,394,113.355188
-1611.492283,308,113.68824
-2615.92003,642,114.299202
-1931.601999,315,114.64035
-1947.788875,416,115.064199
-1360.650105,222,115.323634
-1461.741047,253,115.616903
-1786.721539,380,116.019517
-1304.787189,290,116.339059
-2273.676787,410,116.756326
-2563.884761,350,117.123524
-2354.816223,412,117.545387
-2095.26761,339,117.907155
-2972.38389,604,118.486365
-2230.899148,446,118.937245
-1512.98103,319,119.290139
-1316.824976,268,119.593232
-1619.653298,377,119.987186
-1902.575241,335,120.348585
-294.068587,295,120.66589
-2368.466908,453,121.12175
-1451.821153,260,121.415027
-1444.106027,265,121.720927
-1476.219992,253,122.008868
-1601.746645,266,122.31093
-1979.272,645,122.909122
-1552.096121,222,123.180073
-2742.636205,499,123.675891
-1746.593763,255,123.967104
-1326.971018,286,124.281584
-1550.064501,270,124.589423
-1365.537884,306,124.926498
-3008.128755,526,125.432166
-2076.38723,373,125.824665
-1429.050763,222,126.088571
-1391.374126,236,126.368571
-1732.657106,382,126.767024
-2093.158711,357,127.148616
-2563.346693,379,127.544277
-1162.448653,229,127.812678
-2825.681425,645,128.428235
-1031.535401,729,129.111999
-2112.762707,346,129.480274
-2179.934734,338,129.838134
-1387.267054,242,130.122265
-2079.373897,318,130.46812
-2724.841881,738,131.15728
-1244.796949,279,131.474126
-989.292735,318,131.814198
-1672.901794,261,132.111316
-2263.938882,397,132.521013
-1461.359529,273,132.823315
-2373.665026,394,133.232419
-2200.804522,390,133.639472
-1675.678667,346,134.01175
-1770.49314,426,134.443236
-2094.957543,356,134.817904
-1215.118024,471,135.291374
-1848.907223,323,135.640678
-795.164477,1140,136.641868
-1618.450818,273,136.949974
-1477.33963,231,137.733025
-1643.640632,356,138.115309
-3198.638175,643,138.720958
-2128.031617,367,139.10675
-2199.352962,646,139.713381
-3604.37969,924,140.565395
-1359.727028,268,140.866988
-2196.727752,397,141.276905
-1473.934647,253,141.561977
-1445.54188,282,141.878121
-2224.485533,338,142.233067
-2035.77705,379,142.630301
-1444.547901,316,142.976991
-2180.388605,355,143.353193
-1429.700776,356,143.737736
-1331.089928,253,144.029237
-2667.219583,528,144.54651
-1983.539924,490,145.034658
-1334.356736,228,145.303739
-1675.109566,303,145.636452
-1651.322713,257,145.931796
-1234.307126,353,146.292838
-2114.701301,404,146.7091
-1746.068287,290,147.026641
-2026.309089,580,147.587224
-1437.657595,250,147.877589
-1477.841318,291,148.202077
-1607.654059,295,148.537839
-1848.979295,373,148.928612
-2525.819304,536,149.448023
-2019.205166,345,149.815232
-1739.879821,314,150.155105
-2088.018608,322,150.502912
-2415.63381,638,151.10493
-1241.133727,258,151.397313
-1838.696344,366,151.782227
-2513.203985,410,152.199718
-2822.11503,559,152.739258
-1321.178514,282,153.056602
-2166.556027,457,153.507277
-1057.352748,290,153.822538
-1887.386661,381,154.221408
-2132.066595,420,154.647884
-1749.852723,327,155.004332
-2391.497657,592,155.57467
-1471.169717,346,155.944111
-1585.738106,341,156.300461
-2375.534883,359,156.676901
-1529.511284,369,157.068762
-1830.252553,396,157.47957
-1135.877279,265,157.777525
-2084.20076,367,158.162869
-2286.88415,360,158.538884
-1801.650281,387,158.940248
-1986.695907,415,159.371175
-2003.84195,428,159.804772
-1628.522386,294,160.125749
-1752.58253,321,160.472671
-1804.003102,1224,161.540628
-1503.826811,263,161.837995
-1466.004747,313,162.189177
-2174.289087,362,162.568022
-1652.643071,268,162.861467
-1532.753966,306,163.200841
-2206.079688,581,163.748073
-1766.43117,345,164.11411
-2664.102631,655,164.730348
-1967.839092,375,165.120788
-1986.842199,423,165.549579
-1994.84301,364,165.93576
-1704.069153,313,166.277598
-1224.221148,322,166.631081
-3310.986555,730,167.31158
-1960.227456,368,167.700364
-2818.366952,652,168.321994
-1381.287034,214,168.578537
-1070.423698,246,168.862051
-2580.227114,378,169.253811
-2299.616029,485,169.741767
-2183.357623,715,170.41385
-1720.001086,282,170.73342
-1378.832969,279,171.050566
-1295.423595,288,171.369273
-1983.785465,405,171.791908
-1233.517072,286,172.107665
-934.172929,436,172.548232
-1622.253195,417,172.97652
-1410.272712,265,173.277338
-1803.712578,319,173.623091
-1366.167746,509,174.123439
-2115.122996,324,174.471938
-1185.486131,262,174.773084
-1521.143916,273,175.076202
-2094.314439,402,175.48954
-1385.955981,239,175.76535
-902.650839,274,176.072457
-2968.802832,419,176.498035
-1853.114598,307,176.835206
-2240.067682,415,177.255476
-1931.097522,363,177.639749
-2711.633557,643,178.245436
-1958.969597,399,178.658876
-1482.290155,317,179.003829
-1430.94253,254,179.293996
-1698.323049,348,179.663837
-1865.147469,385,180.072711
-1704.469905,289,180.394431
-1641.832337,498,180.888668
-2219.136358,355,181.255268
-1492.981025,880,182.056206
-3508.358285,572,182.617214
-1315.306119,267,182.914082
-1887.885316,307,183.246502
-1830.40457,328,183.601534
-1665.455526,336,183.961752
-1865.717552,323,184.307517
-1925.851517,351,184.700322
-967.252186,316,185.03159
-1218.687033,346,185.403969
-2152.078352,345,185.772029
-2222.940191,422,186.20358
-1627.282465,339,186.566812
-1566.139972,345,186.937719
-1278.094617,284,187.253219
-1839.759297,278,187.567629
-1993.263402,386,187.972094
-2054.421964,403,188.385056
-1734.840056,311,188.72709
-1306.768859,266,189.02734
-1591.140484,338,189.391279
-1648.154073,337,189.757292
-2112.390105,446,190.207104
-2570.396342,544,190.741343
-1308.613786,250,191.027907
-1546.291491,276,191.335437
-1826.591204,333,191.694935
-2030.393728,324,192.044707
-1897.999702,425,192.471202
-1284.184135,234,192.746261
-2292.441134,338,193.104926
-2597.287641,404,193.511655
-3217.607483,772,194.209406
-2161.265384,343,194.572362
-2069.622365,436,195.012531
-1943.954041,351,195.384346
-2189.340676,309,195.721718
-1475.135205,271,196.028551
-2366.138443,366,196.407902
-1673.926422,348,196.77556
-2180.379646,365,197.152618
-2706.263826,512,197.660011
-1665.402221,237,197.933301
-1916.723208,282,198.253172
-1467.112763,260,198.545671
-1777.041173,260,198.830809
-1148.478444,349,199.205558
-2011.067111,402,199.621056
-1368.467319,273,199.927512
-2027.575808,390,200.334473
-2162.726197,393,200.744666
-1654.274002,292,201.063191
-1989.699121,360,201.441452
-1417.695963,255,201.733488
-1593.068527,350,202.107962
-198.266223,1129,203.113098
-1667.128189,387,203.517844
-2498.610357,389,203.921608
-1556.748412,308,204.260676
-1476.360166,305,204.597764
-3540.971854,734,205.280497
-1434.371023,277,206.090615
-1067.149777,246,206.3795
-1667.050464,319,206.732674
-1124.859498,282,207.049523
-2472.022534,635,207.654299
-1865.638113,390,208.060673
-2203.92624,374,208.447305
-2447.411228,452,208.896217
-1684.21193,275,209.211745
-2011.194603,398,209.62261
-1613.949484,309,209.967418
-2647.163328,600,210.541158
-1821.321178,437,210.983881
-2682.066359,501,211.475791
-2156.180735,406,211.89492
-1933.63259,329,212.252158
-1236.692348,238,212.531249
-2205.000651,487,213.007945
-2243.927333,345,213.372112
-2309.151974,368,213.763873
-1465.666383,340,214.132858
-1657.832528,313,214.482616
-2110.171586,442,214.933536
-1723.923041,346,215.305328
-1916.38177,381,215.706458
-2180.921188,528,216.208346
-2700.678027,579,216.759848
-2096.405437,381,217.162251
-1502.48385,257,217.4562
-879.569038,336,217.805059
-1140.596966,250,218.099621
-1893.385123,279,218.404452
-1887.650461,298,218.737169
-2384.182574,617,219.335512
-2950.983749,526,219.851773
-1520.89411,268,220.155545
-1445.272354,293,220.483789
-1870.875695,507,220.982105
-1633.426006,317,221.327466
-1530.028087,274,221.638789
-2198.705918,406,222.052812
-1344.460164,220,222.316786
-2875.753749,971,223.195839
-1859.193131,406,223.615742
-2668.546611,632,224.215309
-2397.622792,402,224.622372
-2668.076665,539,225.151555
-1725.395463,314,225.49312
-2910.854526,348,225.857453
-2669.934273,735,226.540309
-2188.526264,376,226.928125
-1353.276862,296,227.25481
-2614.142838,477,227.727377
-1835.412037,331,228.085036
-1677.255487,364,228.461313
-1591.016434,380,228.860839
