#{"t_start": 1702666639.5993147, "env_id": "modulating_slopeEnv"}
r,l,t
-1550.898659,273,0.896889
-1046.729386,514,1.696162
-1621.820909,265,2.175396
-1451.548527,300,2.696138
-1500.615955,261,3.159008
-1350.629603,215,3.548353
-1870.585444,307,4.054217
-1587.931737,297,4.575625
-1786.804802,361,5.186828
-1326.575749,285,5.666996
-3108.823465,617,6.569722
-1257.022674,411,7.190712
-1010.798499,273,7.655519
-1863.486221,332,8.190114
-1371.821277,410,8.827985
-1536.818179,276,9.297945
-1529.26316,321,9.820493
-1551.096735,283,10.291936
-1357.350431,221,10.69131
-1490.907023,286,11.171279
-1685.742269,264,11.627945
-1857.271811,300,12.113427
-1349.452933,249,12.533996
-1328.977404,235,12.942512
-1905.226005,305,13.454991
-1759.681646,293,13.938483
-1394.65439,289,14.420048
-1184.262816,241,14.836287
-1078.369371,282,15.300321
-1590.041248,298,15.786039
-1412.646735,287,16.265882
-1128.189957,301,16.774522
-1482.139817,321,17.297879
-1396.643331,276,17.765691
-1206.573873,281,18.233721
-1631.999179,314,18.755348
-1619.127513,338,19.294008
-1248.213233,259,19.743532
-1863.7277,361,20.319589
-1254.332197,305,20.835969
-2413.366362,435,21.487482
-1499.362783,316,22.00958
-1765.682828,307,22.523773
-1370.458476,299,23.011992
-1411.383925,326,23.54051
-1429.070323,259,23.99033
-1574.014726,310,24.509654
-1321.789801,292,24.992211
-1584.79223,305,25.497473
-1742.550746,319,26.019989
-861.13135,285,26.486387
-1115.112873,207,26.871493
-1570.829586,271,27.336386
-1429.044224,290,27.817548
-1457.233546,330,28.351609
-1261.797487,350,28.89822
-1591.818734,348,29.446893
-2382.227685,332,29.976669
-1691.758099,248,30.396076
-1599.33656,259,30.845324
-1420.734668,398,31.463319
-1480.333761,252,31.90628
-1410.149116,489,32.643967
-1069.638928,249,33.068627
-2077.632101,279,33.537828
-1221.03304,277,34.004803
-1456.028563,285,34.480872
-1188.641472,293,34.961621
-1188.060126,303,35.467615
-1451.556133,303,35.981194
-1220.381041,323,36.511506
-1068.799044,283,36.982318
-1606.493631,344,37.535604
-1762.231128,333,38.067392
-1248.648244,276,38.534102
-1483.45251,491,39.26447
-1711.709127,306,39.77382
-1117.057392,363,40.35529
-1457.675759,294,40.835026
-1708.715833,426,41.488662
-1933.414526,310,42.000323
-1061.92019,359,42.582367
-1343.583418,320,43.108258
-1212.815066,298,43.593054
-1515.769703,277,44.06516
-1247.17858,337,44.600533
-1456.816205,336,45.138923
-1968.653808,319,45.657801
-1212.566576,327,46.187424
-1454.449525,324,46.714544
-1366.082964,372,47.304147
-1123.376654,294,47.787726
-1463.791728,290,48.261476
-1602.58186,280,48.735001
-1288.354947,309,49.240333
-1879.265539,323,49.765244
-1560.578565,255,50.211489
-2222.065622,334,50.745851
-1587.601763,262,51.19951
-1346.135012,229,51.606198
-1457.286276,288,52.081309
-1621.820575,319,52.60185
-2042.705241,366,53.184647
-1558.563693,267,53.643755
-1654.09307,276,54.111444
-1982.013252,498,54.857225
-2090.258921,431,55.50808
-1461.824208,302,56.018941
-1653.730814,399,56.630597
-1326.068976,233,57.032786
-1494.621751,392,57.635754
-1285.30815,237,58.048218
-1361.623796,287,58.525847
-1653.346082,329,59.057412
-1073.367743,214,59.447398
-1311.028093,272,59.911572
-1297.329405,339,60.44852
-1778.222195,350,60.993978
-1014.290479,273,61.449934
-1328.516569,306,61.960244
-1752.766178,301,62.46462
-1342.923048,300,62.956895
-1358.949754,270,63.415998
-1590.602594,307,63.926975
-1312.378694,214,64.313937
-1090.736857,292,64.790409
-1685.287956,315,65.305967
-1242.41019,386,65.907333
-847.51252,243,66.319799
-2933.08567,511,67.088903
-1449.534609,291,67.570502
-1649.156824,280,68.040676
-1874.000108,699,69.028538
-1129.526485,276,69.48702
-1539.096742,250,69.914382
-1577.006532,277,70.384235
-1111.275454,328,70.914474
-983.367151,310,71.42904
-1405.389343,256,71.871332
