#{"t_start": 1702683043.4809437, "env_id": "modulating_slopeEnv"}
r,l,t
-1285.191723,245,0.889269
-1557.349834,274,1.377955
-2065.406699,305,1.935626
-1383.47565,290,2.422092
-1695.633217,317,2.94436
-967.801881,311,3.45688
-1262.756143,253,3.897738
-1916.466882,319,4.418974
-1591.561253,272,4.876832
-1247.39487,316,5.395177
-1409.486399,311,5.907135
-1180.730495,294,6.389962
-1485.76865,283,6.861935
-885.553402,263,7.307529
-1196.981738,280,7.774723
-1265.327456,295,8.248123
-549.663549,275,8.707065
-1347.05305,256,9.152362
-1673.793077,264,9.605794
-1513.578418,351,10.171368
-1497.469985,247,10.590837
-1412.878212,258,11.039692
-1079.00863,293,11.515694
-1273.320952,271,11.975147
-1190.288704,250,12.400205
-1206.497698,280,12.870938
-867.163338,245,13.281534
-2078.524438,321,13.802884
-1596.565347,358,14.373661
-1248.894963,284,14.840232
-1763.466375,300,15.327173
-1337.740115,291,15.808593
-1530.797749,338,16.350713
-1736.040309,298,16.838822
-1922.140296,272,17.300561
-1305.853658,387,17.90261
-1355.139114,265,18.362976
-1419.829265,240,18.778575
-1591.516458,244,19.197758
-1574.474721,291,19.681392
-2477.806796,420,20.331917
-1523.560961,273,20.815725
-1599.505897,277,21.30584
-1310.126193,275,21.798931
-1604.014374,277,22.266235
-1909.910606,327,22.796888
-1670.909174,327,23.321775
-1105.138993,249,23.752161
-1586.660541,301,24.252216
-1681.540406,269,24.711113
-1522.709075,284,25.187714
-1314.957887,290,25.659451
-1536.125677,280,26.127635
-1767.866539,327,26.649907
-1213.38063,224,27.050416
-1485.972457,250,27.475994
-1352.414881,219,27.867851
-1623.39203,257,28.313795
-1188.77207,279,28.780757
-1693.165902,308,29.29024
-2005.21881,426,29.945132
-1352.741814,261,30.394135
-1209.645546,254,30.839803
-1614.953941,273,31.298566
-1455.575937,317,31.81984
-1128.86128,224,32.219075
-1166.278937,267,32.67216
-1420.205491,290,33.150969
-1114.326165,252,33.591286
-1013.460289,355,34.162183
-1105.948689,263,34.611269
-1340.219778,269,35.068903
-2270.849504,301,35.567333
-1778.424923,273,36.035792
-1326.833204,358,36.609899
-2215.883344,323,37.14306
-1648.070329,258,37.589718
-1785.770221,285,38.055727
-888.73174,307,38.558081
-1689.146957,296,39.038588
-1447.854735,274,39.499515
-1648.966912,306,40.001976
-755.172336,270,40.454786
-1013.810137,291,40.930926
-1232.579197,243,41.345829
-1216.2149,330,41.874177
-1274.679856,263,42.327569
-1889.229931,429,42.983821
-1529.15791,311,43.49377
-1354.864424,318,44.009787
-1106.448598,446,44.682057
-1321.005331,275,45.147558
-1756.588039,270,45.600075
-1820.634652,482,46.325805
-1564.32375,290,46.8045
-1503.297352,283,47.271511
-2339.837205,484,48.001521
-1271.347261,297,48.483309
-1119.029522,272,48.945236
-1785.342056,424,49.597649
-1530.297448,249,50.023535
-753.951123,248,50.443416
-1760.932905,301,50.94655
-2631.450852,516,51.709961
-1439.66061,313,52.225663
-1842.455077,360,52.797213
