#{"t_start": 1696007237.8547428, "env_id": "plainCPGEnv-v0"}
r,l,t
524.834872,911,1.836926
-892.286277,914,2.67779
-1051.151917,1261,3.785468
1674.342028,1051,4.735186
806.286994,811,5.478377
1405.979324,1013,6.350326
1204.593173,1228,7.449418
247.673772,1029,8.385109
213.035439,2245,10.30434
2707.09705,1912,11.907469
10134.06157,5001,16.057188
275.995023,993,16.932488
1094.396207,1017,17.831616
309.138,953,18.704997
-372.692464,676,19.305689
299.37001,1423,20.562249
36.07157,785,21.261653
-1117.698315,1415,22.473467
-630.742684,1342,23.647681
478.491515,1671,25.073166
-1525.458674,756,25.748692
168.504022,2023,27.454501
610.278376,963,28.305484
409.717699,953,29.146418
-1107.770519,1597,30.966551
364.384295,981,31.858313
375.70099,1308,33.14496
244.983029,1347,34.349763
2486.364307,1861,36.041977
167.148318,976,36.9376
3242.785755,1876,38.57083
6644.797583,3145,41.309047
82.4463,1275,42.424302
85.778508,1074,43.351312
917.506634,1417,44.565022
704.137224,1508,45.868119
-29.746956,1168,46.892992
-88.644897,802,47.590312
1075.114598,834,48.315743
2360.220372,2070,50.034564
3745.555625,2033,51.74237
-337.997219,801,52.458879
77.096514,3854,55.705536
1241.321796,1450,57.041971
867.263951,1243,58.149399
1145.614507,1319,59.589161
168.39031,884,60.399435
1164.072228,1333,61.570338
459.49665,992,62.444923
2742.915878,2726,64.688811
906.449364,1385,65.861084
3299.577434,2285,67.773055
132.155851,2305,69.66782
618.636293,1231,70.737003
1141.932388,1063,71.662838
335.529403,832,72.403768
2170.314111,1900,74.054975
1794.409225,2843,76.520329
-1845.976579,914,77.419882
-1297.037744,834,78.212072
3855.243819,2063,79.985032
2517.570465,1003,80.910232
5336.635213,2414,82.970106
167.542587,821,83.704666
7614.639502,3160,86.373135
2383.546856,1952,88.428322
2384.780431,1570,89.766181
5411.878326,2146,91.555282
2958.25805,1635,92.909601
-197.232405,1245,93.965117
2164.637848,1168,94.958977
301.738616,1221,96.008339
-252.319658,918,96.799523
1310.814385,1556,98.111385
2250.091874,1558,99.396272
1351.102991,1442,100.610011
1080.217879,1950,102.245312
4347.931039,1644,103.619369
7258.846563,2900,105.992035
-151.697145,755,106.664885
3547.967597,1662,108.034577
303.627758,1546,109.314637
930.657177,825,110.026226
1307.25861,1651,111.426779
229.885331,1082,112.359716
2857.277929,1307,113.56448
-1495.605505,971,114.465125
2680.569007,1546,116.055174
1543.728454,854,116.808067
4004.009569,2225,118.680092
4452.853949,2340,120.670564
5659.532971,2896,123.088234
3156.25201,1397,124.298654
1429.520551,1506,125.600194
10734.366755,3212,128.230337
-756.107176,822,129.072166
-592.45871,856,129.851813
4335.499273,1869,131.480846
4826.951199,2516,133.6075
5021.607608,2400,135.743785
-233.523419,1439,136.980593
829.385958,1425,138.204377
2709.106263,1505,139.49257
6989.12945,2741,141.744493
8160.306241,2774,144.425535
6232.127915,2371,146.522668
5102.760905,2246,148.472222
1108.872615,995,149.346514
2334.680044,1222,150.382139
5542.731733,2490,152.432087
140.121727,772,153.117778
4754.469322,1928,154.744767
1723.85874,1521,155.990029
2836.917258,1632,157.346345
-217.561848,1148,158.331621
1907.997171,948,159.148222
-355.223876,1159,160.142165
1533.87404,1055,161.029978
156.173613,761,161.751328
5429.291424,2852,164.131858
843.730828,1115,165.099149
1179.589319,1698,166.53456
2632.094814,2344,168.483194
4901.90287,2589,170.638233
619.632529,1243,171.688005
346.55867,689,172.625267
3135.901655,1997,174.278791
2333.973439,1398,175.439479
6550.488938,2251,177.278555
2873.963064,1818,178.773297
1532.705654,990,179.650167
2486.375714,1437,180.948255
3606.142747,2269,182.878623
11117.780505,3415,185.774478
-328.694603,774,186.51765
450.976708,846,187.327223
7166.424592,2865,189.800468
1719.556853,1443,191.06502
5038.064465,2705,193.463426
4245.131501,1534,194.89589
861.003407,987,195.778618
129.775993,1123,196.788464
2981.171586,1550,198.157628
687.609711,909,198.955811
5130.001799,2273,201.151928
4791.338836,2132,202.931167
362.214292,945,203.762086
12342.493061,4324,207.295352
-1163.071325,767,207.971518
-449.470461,1000,208.84488
3087.763981,1959,210.525742
2241.248393,1282,211.62981
10172.175854,3798,214.871618
734.055191,946,215.761131
8568.607063,2656,218.054308
5944.51934,2755,220.431888
7229.520143,2555,222.540901
854.834207,914,223.336918
1185.841922,1129,224.310689
-572.948961,659,224.914462
12174.424807,4432,228.556562
840.955619,990,229.788089
14104.825406,4155,233.275569
4214.199732,1630,234.646736
1295.166737,1261,235.73136
6328.945286,2004,237.443061
-372.614799,677,238.077963
11986.057759,4282,241.60331
12779.484719,3739,244.758455
2011.827106,1332,245.956023
8168.099412,2862,248.471771
-493.861984,646,249.125893
8311.258915,3087,251.799631
16289.771156,4813,255.886802
12694.188676,4383,259.866984
10572.188381,4756,264.017536
1880.497482,1466,265.310361
-463.231786,749,265.997313
-19.628362,1199,267.016359
-348.054451,819,267.760444
15.924956,626,268.357637
4675.682734,1462,269.630476
372.380229,998,270.52755
4.639497,990,271.391025
-620.327973,1001,272.261307
17735.765449,5001,276.271682
759.427247,852,277.037569
2012.401592,1339,278.22499
15912.141553,4693,282.11689
5160.020849,2130,283.926482
11624.441145,3534,287.220144
-1026.816475,1114,288.184523
440.428365,1029,289.103351
323.045199,1085,290.044944
4537.061485,2152,291.836098
10323.956003,3340,294.52789
4087.216027,1663,295.941869
-354.906599,1000,296.800599
2093.292386,1289,297.898189
16366.166527,5001,301.956073
1828.540394,1512,303.248577
-168.284463,666,303.872329
5388.035311,1944,305.512602
5269.240681,2161,307.270469
14060.371038,4962,311.330255
9847.134603,3775,314.936458
2740.737518,1515,316.195459
8228.467671,2589,318.297298
7491.051485,2437,320.283896
747.371964,990,321.136109
12231.26687,3611,324.048642
1848.918145,1429,325.237419
18495.898432,5001,329.201277
4605.156659,1751,330.647295
8178.176245,2772,332.901661
9378.527108,2683,335.08495
16424.501646,4595,338.755078
2919.564636,1515,340.017368
11.984595,1109,341.257744
11285.341989,2938,343.640724
168.660028,932,344.448425
14758.002673,4260,347.85989
-755.723912,741,348.527548
-275.93563,1006,349.413578
-71.165557,623,349.976425
18883.445479,5001,353.986312
8045.356215,2703,356.169873
2457.294857,1326,357.306516
5374.700323,2084,359.014833
822.605305,974,359.867432
550.10028,1155,360.857829
16149.53371,5001,364.85864
12248.96517,3847,368.220237
1392.619505,1001,369.085196
-567.016866,937,369.903079
18047.213976,4845,373.758118
5338.099284,1708,375.182808
1213.734246,1031,376.069831
-13.933866,1017,376.935507
3011.015031,1364,378.076666
16891.078611,4828,381.953296
3657.793279,1521,383.237361
10704.367177,3074,385.722545
6581.075601,3215,388.293853
516.507323,882,389.056366
17314.355729,5001,393.038493
911.290602,963,393.882248
8981.402345,3152,396.719383
18523.662188,5001,400.714043
3362.144887,1513,401.981965
819.080006,972,402.813373
2190.183234,1942,404.426948
20080.560452,5001,408.409046
10678.342887,3534,411.265785
2357.224134,1383,412.436181
-525.364154,738,413.09339
7235.86193,2150,414.878432
12407.983232,4760,418.700638
-542.084764,867,419.479194
19005.593252,5001,423.771751
425.760022,1035,424.679654
11103.175057,3118,427.184712
2670.536379,1154,428.167523
19591.916864,5001,432.155325
917.049738,1143,433.119288
19816.473998,5001,437.128123
14588.223673,4732,440.919328
12938.509157,3725,443.88327
6596.301002,2314,445.772234
1869.409222,1254,446.838463
4526.706345,2592,449.245603
3486.315724,1284,450.338588
-52.977146,927,451.138523
18311.627149,5001,455.136427
2841.725658,1387,456.308883
2271.608906,1498,457.53923
10515.872949,3913,460.687709
18512.707697,5001,464.670396
1334.244623,1755,466.115719
1703.645666,1109,467.06668
2537.965452,1336,468.179426
6391.437531,2447,470.180471
512.196118,978,471.019985
7500.951967,2360,472.944698
8120.710178,2409,474.912099
5729.571817,1848,476.742867
3994.169527,1716,478.159084
58.313415,969,479.001262
13796.323983,4265,482.431897
946.905174,1270,483.51373
8463.48647,3500,486.322651
1181.04714,830,487.058209
15528.991212,5001,491.081274
6795.989494,2454,493.096849
15840.622134,5001,497.117193
3394.46347,1700,498.533581
17816.829422,5001,502.86815
4255.186387,1862,504.425196
10929.587802,3739,507.429538
4311.103745,1812,508.940827
6471.34447,2073,510.66696
-443.672361,919,511.471852
34.103516,1588,512.823443
4051.055021,1383,513.977353
8513.578222,3096,516.507321
12388.453064,4446,520.078881
18379.379475,5001,524.066586
8054.061319,3724,527.087569
570.251715,1445,528.307131
2790.845427,1365,529.449287
4161.980313,1549,531.058611
866.205771,1000,531.919661
4025.729159,1593,533.259434
3566.201115,1141,534.245207
15960.05181,4689,538.049287
3836.371407,1821,539.560606
10831.255085,2891,541.926492
10108.363259,3022,544.386595
1264.062677,1223,545.442222
4049.083089,1334,546.556737
17345.793428,5001,550.563853
16975.532179,4345,554.034244
19304.942628,5001,558.404754
5055.946666,2477,560.439386
18377.839227,5001,564.432034
17464.438377,5001,568.51418
-78.738772,1043,569.428655
3732.869194,1325,570.57757
17593.111665,5001,574.803509
422.659559,1090,575.755715
2031.466005,1453,577.016188
3535.281521,1308,578.138022
10359.586772,3505,581.048749
5064.708792,2196,582.930229
4593.094886,2566,585.540949
3709.051205,1563,586.898516
13098.262749,4699,590.788643
10984.164251,4508,594.634951
13625.95572,4923,598.57752
8778.882255,2801,600.91711
3612.705156,1817,602.464763
4784.339592,1990,604.155101
8611.297688,2324,606.05333
7279.243536,2512,608.166968
3189.036191,1686,609.570321
4119.293049,1509,610.816343
3175.915588,1385,611.95549
9276.766163,2622,614.396987
19294.692461,5001,618.419891
2890.377986,1766,619.918698
4117.412406,1464,621.148535
7518.600458,2532,623.294939
886.374694,942,624.123197
5311.212718,2498,626.175345
5950.906593,1704,627.617281
9589.90008,3028,630.060728
4343.578073,2662,632.252892
6368.574944,1807,633.757635
20966.415778,5001,637.803106
15475.20391,4690,641.937353
10217.8288,3308,644.582001
5742.870391,1737,646.010516
6520.41016,2768,648.327216
8987.675377,3210,651.053114
13950.556084,3966,654.410934
1313.139306,1266,655.472367
11354.475585,4164,658.800035
3763.726885,1188,659.796535
4680.640765,1515,661.053498
19443.894992,5001,665.031905
6482.433872,2057,667.002872
8369.904232,2367,668.936878
21005.472348,5001,672.956346
1256.259878,1125,673.917629
1669.629012,1835,675.421519
7552.136026,2509,677.457814
2840.081439,1753,678.910699
20420.606055,5001,682.902959
12589.090184,4444,686.452305
3265.903507,1562,687.738915
12447.084871,3293,690.389011
4367.408256,1274,691.451867
4148.935144,1336,692.570521
18535.963632,5001,696.847386
4691.090288,1866,698.392139
3710.344769,1969,700.01512
12636.608699,3138,702.542223
7638.710417,2162,704.310892
5677.957436,2114,706.027684
20365.5713,5001,710.016747
5191.3987,2138,711.765818
4095.943999,1303,712.865907
13713.017118,3420,715.615584
21121.370638,5001,719.585299
4255.338259,1328,720.987816
6032.616624,1607,722.313496
18044.023718,5001,726.301522
9370.942123,2750,728.524529
6499.197005,2155,730.273391
6260.160122,1870,731.806751
21475.920696,5001,735.794986
6291.143824,2047,737.468102
6153.735863,1836,738.973359
3904.932714,1467,740.190659
1865.486599,1046,741.076378
1259.195787,942,741.901471
937.738695,1134,742.877754
16139.348779,5001,746.89078
18569.017305,5001,751.210801
11133.510732,2972,753.623725
4411.636969,1292,754.712918
22894.603874,4920,758.677261
2462.705325,1368,759.824644
2406.078032,1397,761.003831
14365.414754,3409,763.767091
2585.726345,1927,765.374182
7310.63692,2500,767.414168
10022.961757,2567,769.503116
