#{"t_start": 1696948720.4360824, "env_id": "bridgeEnv-v0"}
r,l,t
5516.898852,1269,2.001266
203.159427,560,2.543167
79.987955,534,3.074822
1049.272432,606,3.65358
3772.575061,1160,4.776176
1366.046877,606,5.362657
-464.099159,444,5.785398
5729.894846,2055,7.69432
687.207689,751,8.415143
3115.014278,1061,9.334342
-221.543652,313,9.652813
303.334336,699,10.258564
7345.633723,1934,11.823483
2196.315814,1978,13.41738
2512.74081,720,14.047167
2075.609438,746,14.686089
-2.758977,315,15.010302
6653.510877,1069,16.261161
4614.350254,995,17.116064
2176.147032,1844,18.606273
2743.311043,1045,19.484896
3003.56076,545,19.987978
-861.736213,867,20.716512
3946.543253,1278,21.771091
1635.652329,698,22.396464
4182.928576,1131,23.348518
10818.230593,2708,25.532134
1863.025103,770,26.193358
5231.583708,1093,27.134725
266.333856,406,27.531237
4921.201346,1809,28.997612
6939.595149,1755,30.762902
-113.711688,306,31.077562
18376.136181,3860,34.213906
8784.885335,2027,35.865194
1901.411874,723,36.496906
2567.87669,1424,37.665773
-766.019594,265,37.94861
1299.917848,648,38.515604
5334.370614,1972,40.106807
4587.777405,1085,41.029345
836.17126,1015,41.883263
2379.482573,913,42.687011
1874.868231,883,43.430229
5028.871565,1019,44.635674
9246.606547,2034,46.282217
4434.579345,1092,47.201361
2743.732021,708,47.832808
2801.141498,831,48.546997
2542.294701,691,49.15747
1968.047159,1155,50.111583
2409.022117,915,50.885225
3729.516003,765,51.557708
3025.361917,709,52.183453
12243.364159,2169,53.96383
1353.509619,727,54.593665
10460.8759,1347,55.73183
5350.377864,1201,56.730085
3773.944417,858,57.481842
-265.737875,281,57.776962
2539.075976,802,58.824346
6012.111107,869,59.592981
3679.971543,1147,60.551146
-243.935669,294,60.858314
1864.569525,685,61.463588
11896.105852,1909,63.031935
3173.570505,672,63.637867
6221.851791,1620,64.974189
4892.095481,1010,65.834766
10056.256321,2144,67.578718
3812.781939,990,68.416236
9406.740778,1412,69.628556
4911.443082,1216,70.656366
-410.478713,272,70.947522
5653.960978,1230,71.970713
2790.153057,1065,73.181471
4196.683148,658,73.785527
11097.907233,2360,75.703937
2033.602938,488,76.159985
7782.382035,1528,77.419206
5771.631745,1360,78.546552
5655.274648,1199,79.555213
4290.103181,1215,80.565302
6413.309703,1103,81.500763
4779.040866,1535,82.752667
11865.709436,2205,84.576498
1431.386398,962,85.396636
3834.166066,844,86.128421
17359.258861,2457,88.426399
5628.602755,1149,89.409155
6393.759921,1269,90.463475
7340.198813,1191,91.475473
4802.988891,884,92.247453
2378.09672,514,92.732959
442.242187,409,93.128767
5727.719818,1076,94.034289
4811.139314,935,94.834703
5896.316088,1140,95.785158
8935.467727,1652,97.140628
1897.743453,515,97.624172
10232.524538,1181,98.626592
2339.656042,695,99.244144
3070.552729,1061,100.122896
7149.789779,1498,101.673092
5722.300142,927,102.473178
13432.166665,1903,104.060982
3006.460154,715,104.69352
1906.292035,496,105.159442
6320.81353,1555,106.441462
1177.45652,553,106.950697
6852.487517,1365,108.079181
3472.381688,894,108.853718
4856.841012,1278,109.914099
4315.911302,786,110.603296
3867.993654,769,111.276657
10195.295532,1485,112.494267
4558.181805,836,113.224761
5865.574774,940,114.048779
2846.423912,677,114.654405
4309.089012,749,115.644828
1596.910598,453,116.080786
1766.793167,506,116.549567
3477.42543,752,117.218329
6176.643011,880,117.981389
14824.597824,2032,119.664275
3750.672121,894,120.433198
3216.325573,808,121.132534
5588.960118,837,121.857694
4139.68659,768,122.546344
10509.240991,1411,123.724364
5696.224916,1385,124.889119
3071.009727,631,125.455761
3528.149751,866,126.209067
4302.242102,1217,127.223768
2450.952934,498,127.695915
5556.419844,1273,128.75729
6181.145826,1050,129.985298
6557.876624,1345,131.10643
10535.97834,1468,132.321154
3501.038954,809,133.024027
1661.35187,468,133.472933
3580.795907,894,134.232586
3466.688201,747,134.895886
5863.909726,1246,135.945678
2736.448556,794,136.633017
725.576364,437,137.04329
5000.100443,1015,137.91116
2150.87174,514,138.391886
4303.432705,1058,139.298589
1541.126708,609,139.860466
6034.572459,1110,140.799428
1284.640778,499,141.26158
6550.468669,1222,142.272774
3607.437645,976,143.094391
2523.839694,713,144.087199
3671.864626,661,144.684797
2515.16942,586,145.227763
7094.036611,1149,146.202948
7556.71929,1308,147.305645
4194.142748,1058,148.211606
4252.943492,986,149.055525
2188.935306,589,149.590527
2459.644453,826,150.302436
1444.028323,687,150.909172
6102.885841,1094,151.840154
2690.637154,578,152.370472
3696.151045,884,153.134947
2306.902042,659,153.72603
1853.602756,514,154.206849
2052.157266,383,154.595006
2538.183526,503,155.073521
7698.131358,984,155.912678
5601.623707,1183,156.908262
3019.542401,665,157.500491
7584.37731,1178,158.81372
3109.283707,802,159.506392
2147.948078,450,159.94099
1269.821418,377,160.320502
1323.765166,465,160.763808
3162.624979,581,161.297656
5074.220706,1047,162.18543
5166.753805,685,162.808297
3633.525536,765,163.473724
3970.228725,751,164.131217
4919.133213,845,164.863007
2916.887164,1078,165.760817
2461.495399,492,166.231323
5183.63826,883,166.994571
2613.366493,636,167.571275
2872.476547,771,168.24366
2403.923037,614,168.793155
3922.617417,770,169.471864
3092.538441,943,170.276302
1922.660327,475,170.733698
1946.036481,606,171.272664
3064.646302,672,171.866067
2187.178229,536,172.361216
6263.359377,882,173.124014
892.529211,378,173.82342
2257.83348,675,174.421512
2322.462227,473,174.876592
4316.31984,705,175.505894
7172.965399,1143,176.482561
7228.473313,1609,177.81076
2020.03652,562,178.335523
2672.134907,784,179.016541
7076.499842,1206,180.043636
2775.633191,535,180.543157
2945.888674,755,181.207612
2030.306407,659,181.792826
4623.157028,1248,182.834706
2427.58111,1016,183.697844
3144.05319,661,184.2895
2443.456891,673,184.895403
3621.134429,758,185.572466
3147.278244,677,186.16977
9777.61372,1554,187.443613
3895.212121,1198,188.769974
1307.625876,490,189.244366
5637.533277,1134,190.204476
4159.278957,752,190.872909
1282.190444,379,191.250582
3901.505453,797,191.951252
10681.127371,3067,194.413543
2382.062958,540,194.91932
2429.036542,499,195.394164
3395.108035,1045,196.287035
2001.036322,422,196.700711
3024.93759,565,197.221008
4338.137798,728,197.864985
4529.769276,666,198.470736
2517.619677,785,199.152878
2221.735575,447,199.586365
7242.414104,1164,200.563548
2223.694558,440,200.99012
3172.279482,909,201.768603
1278.678202,539,202.262988
6408.802031,938,203.396397
2194.966352,437,203.821077
2934.527657,540,204.325245
7235.87147,1501,205.561169
6092.952421,1172,206.562896
2942.385252,719,207.206302
3654.745157,1018,208.070835
2620.600432,664,208.663034
2091.790808,587,209.189738
2309.579788,485,209.652085
2128.218922,665,210.245531
3434.073033,1109,211.196097
2241.198923,600,211.743469
4278.955296,1074,212.661562
1702.173721,529,213.160211
2341.188862,483,213.621186
3376.920987,885,214.383233
1470.880196,390,214.767814
2604.663132,746,215.427475
1589.094719,394,215.819031
3045.354207,648,216.398853
5511.508638,1409,217.879111
3576.372836,908,218.666104
1311.23182,407,219.068956
4321.533788,940,219.872685
2138.071854,688,220.483797
2442.785207,459,220.927919
3705.691644,772,221.602491
3064.59241,800,222.298856
2711.363187,527,222.794603
1535.925742,363,223.16323
2486.605226,516,223.656192
3062.646439,783,224.352809
1732.285363,366,224.745407
3088.374516,818,225.460614
3029.294659,840,226.197459
2067.045234,672,226.803568
5401.828524,1235,227.851936
2254.478166,561,228.406471
4465.68378,875,229.185333
1897.718491,454,229.625825
1412.025479,535,230.114463
6871.872057,1474,231.350839
3364.974848,976,232.186755
2375.126436,567,233.051977
2239.65866,637,233.637634
2249.693808,475,234.097878
5532.9953,1887,235.637414
2523.541464,673,236.244252
3038.786813,558,236.765828
5010.421153,1338,237.888213
3273.298481,881,238.671164
2617.439548,777,239.355266
2516.019751,696,239.975163
2908.478441,799,240.679205
1739.800751,429,241.097213
2478.093145,795,241.788256
907.050953,499,242.25745
1401.232632,656,242.844848
2755.802538,729,243.499794
2297.324042,571,244.027176
1625.305725,693,244.654318
4086.968056,1105,245.595753
2670.353528,841,246.320848
4209.337741,858,247.43106
1285.70849,575,247.95376
2476.661441,696,248.581785
3167.137772,649,249.174119
1332.551916,497,249.640739
2957.004958,830,250.355731
4514.905461,1450,251.561327
5798.289702,1204,252.597512
1689.669291,502,253.081225
3244.758777,915,253.869306
4208.093828,1313,254.960713
2610.597381,803,255.656142
1855.844275,517,256.141548
4171.252701,1013,257.015965
946.441826,384,257.404907
4522.724976,767,258.092873
7850.509749,1975,259.72664
2798.422285,772,260.406501
4466.280108,973,261.237204
2230.253752,812,262.277292
2593.963005,740,262.938831
2730.046313,814,263.649201
8686.143443,2167,265.409931
1696.218485,665,266.000351
2451.984582,471,266.458841
6518.83227,1324,267.589843
5609.431695,1010,268.464068
1674.148157,517,268.948947
2428.382354,524,269.445925
5998.226528,1314,270.545508
2176.878319,464,270.996205
-771.654835,532,271.484563
4532.556874,1276,272.588227
5179.51563,1053,273.499877
2005.781969,555,274.009984
4060.104206,918,274.804765
6490.425786,1644,276.146378
9360.31066,2412,278.452421
1488.519514,491,278.91689
2169.140782,554,279.436858
2683.180149,897,280.210592
3288.162416,742,280.875419
2035.00686,705,281.510924
2843.479096,626,282.099672
2880.130454,592,282.64478
3939.80605,665,283.253095
3248.608622,590,283.805477
2637.582676,692,284.430347
9534.991379,2075,286.149875
3212.053372,753,286.822167
2202.92807,534,287.329232
1733.28217,588,287.863911
3022.412183,1149,288.825273
2440.347577,467,289.280221
2055.449861,490,289.753086
5109.886072,1580,291.387588
3827.839591,887,292.175075
10474.594754,2443,294.193981
7204.288157,1296,295.308971
3082.638317,502,295.787747
3375.220994,739,296.447509
8627.940045,2006,298.122882
5294.747455,1008,299.007865
2518.116582,705,299.637812
3798.889787,1068,300.545393
6235.601932,1096,301.484619
5666.885055,1104,302.45111
7546.352942,1786,303.934425
4136.777347,1080,304.859771
3070.612622,652,305.78287
2578.706578,567,306.316197
1695.733434,424,306.742547
3821.464088,844,307.494836
3241.190818,590,308.045456
2915.353033,755,308.725783
3549.902335,737,309.3885
6638.276906,1285,310.48319
7478.4352,1421,311.68939
7897.594865,1783,313.191683
8820.275697,1559,314.506766
3947.244599,702,315.142588
6699.210408,1139,316.118973
2899.127022,523,316.61823
5460.694849,1002,317.492317
2336.933737,712,318.122082
2354.080428,740,318.783571
3007.475961,582,319.329746
2485.865916,654,319.923511
2922.316555,624,320.819777
5257.768979,986,321.675135
1984.166688,624,322.255414
5528.14372,876,323.031275
8543.484439,1339,324.169357
6120.28937,1174,325.175686
6669.547811,1114,326.143372
2240.814494,520,326.63874
4488.834709,960,327.485134
5352.202334,1081,328.424485
4338.447449,826,329.164635
9656.307831,1654,330.569479
3113.416042,1068,331.482017
9493.491665,1875,333.049735
4872.78485,971,333.893595
5514.982964,981,335.093774
5163.321705,940,335.921757
8295.245866,1673,337.333655
6091.579089,980,338.197719
5309.334416,1015,339.081829
5265.844577,1044,339.986951
8067.363325,1378,341.167208
5278.773933,1142,342.152608
1730.896348,383,342.547122
8685.661808,1834,344.073428
3175.651383,810,344.794061
188.260212,791,345.484574
9269.858642,1619,346.845403
14568.569509,2735,349.446092
3807.369517,725,350.103174
12677.137354,2368,352.067821
4397.029592,740,352.741642
4436.275856,854,353.497761
5954.844806,1327,354.634889
6739.484385,1076,355.574831
13414.802836,2512,357.664055
6399.241088,1288,358.774503
2830.682382,552,359.29062
6002.062484,1108,360.254151
4925.983834,1002,361.130153
3863.547427,752,361.813276
2357.469115,486,362.29151
5078.525552,999,363.154742
7158.312734,1343,364.656797
3998.079921,726,365.316826
3427.537199,718,365.965644
6316.186386,1870,367.51425
9778.504941,1657,368.91199
6598.842036,1094,369.873155
7817.495321,1531,371.17456
14955.534074,2903,373.575682
8253.892562,1631,374.946619
3440.222332,692,375.580075
5386.679617,800,376.296644
4407.113667,712,376.943315
15414.740708,3378,380.056602
5642.78934,1072,381.00248
1287.728475,395,381.399211
12060.233729,1882,383.006855
5024.719211,820,383.750646
5330.725617,893,384.539061
3249.550794,869,385.298532
12352.714738,2502,387.363234
7995.873059,1207,388.419022
8041.267987,1518,389.698583
6296.35159,1640,391.055799
12275.498585,1951,393.061821
9754.699984,1720,394.524727
12410.323199,2107,396.281301
5591.210229,1264,397.382037
7896.289036,1360,398.547461
11660.941174,2068,400.285418
4974.462352,822,401.023109
4691.62171,940,401.847337
22890.139394,4798,405.772329
10280.9275,1827,407.654866
13647.174541,2503,409.738394
14222.973637,2763,412.033674
12582.861076,2038,413.758785
7810.495976,1298,414.885857
11785.798358,2331,416.813959
10934.887732,1873,418.402465
5386.374343,986,419.26075
4725.491337,736,419.925804
4885.754823,906,421.083783
9068.274979,1636,422.480285
