#{"t_start": 1696633178.4653199, "env_id": "bridgeEnv-v0"}
r,l,t
21787.286853,1839,2.63224
23267.40893,1772,4.116969
7040.516611,814,4.834988
22326.249787,2044,6.634417
22384.194092,1929,8.308947
23571.323897,1635,9.725939
21905.967035,1854,11.299082
22390.640131,2245,13.272593
21131.678182,1612,14.738368
1892.574283,589,15.274406
22490.65891,1983,17.239912
17904.468237,1650,18.608407
15696.61484,1419,19.808925
22830.243977,1622,21.157031
21510.694316,1894,22.72694
22737.23895,1763,24.178061
14787.793587,1581,25.496947
4628.356771,646,26.07292
21909.358181,1832,27.589008
22435.928225,1950,29.196245
22949.716346,1823,31.033532
22315.588839,1916,32.607164
22969.832032,2022,34.263596
21752.941936,1999,35.912015
22371.282404,1773,37.372117
19893.456828,1727,38.783778
1678.764242,537,39.270274
22946.68929,1711,40.68958
22274.19056,2057,42.386004
8553.351492,1018,43.5844
23202.08124,1898,45.141155
7555.328901,1079,46.063917
21038.739043,1988,47.695643
22719.229274,2225,49.517922
22405.63901,1816,51.025012
22271.4905,2253,52.870335
21849.274529,1853,54.389897
21699.895594,2006,56.031566
9368.249213,1578,57.696556
22412.979786,2089,59.431814
7165.725353,1449,60.630686
17990.269646,1773,62.101929
13256.256786,1413,63.286313
20842.02363,1851,64.827388
10091.460731,1268,65.90816
23165.011476,1931,67.515301
23375.70714,1871,69.075043
15781.465759,1486,70.321168
23403.375605,1991,72.301426
23193.359703,2139,74.08417
7794.529704,1218,75.107674
23059.555151,2297,77.010264
13614.472879,1489,78.264222
8572.0124,1048,79.163017
12504.071557,1604,80.510271
22599.914001,2410,82.505665
16612.420502,1810,84.019036
7485.134985,952,84.846315
7123.583285,1010,86.031834
10988.62187,1644,87.418593
11899.854071,1493,88.674209
22863.982199,2009,90.33907
13530.608161,1492,91.597754
22773.625853,2146,93.373548
11952.166361,1490,94.61584
22845.583558,2308,96.52315
7091.994292,1382,97.687334
23301.368569,2102,99.781744
18374.425334,1738,101.241634
23175.667657,1956,102.875023
8760.362599,1119,103.830098
18691.076992,1874,105.400776
19383.917784,2280,107.282186
3653.84863,756,107.952948
13654.040965,1903,109.545882
3931.510192,794,110.242801
18979.449726,2045,111.942875
22729.137474,2171,114.057167
17774.333549,1852,115.603909
23161.910519,1925,117.203035
5139.686356,865,117.951755
17804.756951,1769,119.42854
23340.75521,1970,121.06778
22707.468238,2502,123.139741
19252.006749,2062,124.866201
14024.363228,1778,126.360261
22061.834089,1937,128.293384
23020.71229,2176,130.100543
23191.211774,2232,131.951941
5271.208097,837,132.675254
11626.706874,1366,133.823091
9654.210308,1385,134.989412
3594.744977,926,135.784006
23195.834759,2163,137.573507
22757.151527,2049,139.28374
22753.550459,2299,141.523511
23234.577658,1987,143.183243
22778.400595,2062,144.905018
16478.157807,1529,146.197992
13662.363282,1500,147.4686
17587.606548,1602,148.810923
22986.162743,2078,150.534759
23031.410843,2420,152.530176
22568.748631,2654,154.720549
22759.849155,2215,156.889047
23322.54799,1788,158.394222
19974.233428,1682,159.811745
21113.965473,1895,161.402543
23163.088447,1834,162.932954
23314.975629,1847,164.482034
14549.265816,1433,165.695228
17985.073549,1700,167.116266
9984.652775,1541,168.415082
23181.012443,1747,170.215576
23074.410372,1959,171.865133
19940.355258,2144,173.646007
