#{"t_start": 1696533504.0037098, "env_id": "bridgeEnv-v0"}
r,l,t
-3753.543278,394,1.3627
-1992.739253,306,1.72819
-3416.893809,683,2.399189
-2718.8236,425,2.851306
-3115.356995,530,3.397192
-1976.509978,275,3.725518
-3489.672283,365,4.127323
-2080.862045,333,4.51671
-2571.261603,376,4.941747
-3669.904825,498,5.468073
-2245.487588,275,5.802911
-3523.794078,503,6.344882
-2314.806855,355,6.749659
-1978.886348,248,7.058713
-3768.715998,420,7.544399
-3537.75028,371,7.942537
-1196.685147,114,8.123253
-3334.748699,528,8.643915
-3551.356412,363,9.024524
-2120.316957,303,9.365286
-2348.451525,316,9.713881
-3716.692856,500,10.234876
-1978.804993,254,10.557049
-3513.375492,429,11.043823
-3308.144988,842,11.857323
-2829.454754,406,12.300882
-1695.491909,263,12.63041
-3563.38521,481,13.124623
-2019.965912,287,13.466582
-3527.940277,586,14.088955
-3600.769495,1029,15.027834
-3446.671613,442,15.479025
-3239.286099,633,16.083045
-1951.044104,259,16.40033
-3761.276622,464,16.907543
-3715.557207,744,17.644534
-3429.79315,763,18.370996
-3216.376707,512,19.228763
-1988.475003,289,19.565482
-2325.601794,332,19.942752
-3758.430274,378,20.349601
-3622.364623,353,20.733333
-3467.104903,458,21.208919
-3433.347592,523,21.753228
-3224.908256,617,22.369391
-2518.803184,473,22.874416
-3325.716561,453,23.353769
-3841.754677,557,23.915657
-3774.776728,381,24.329785
-3423.808152,449,24.799388
-3510.481839,529,25.333058
-3012.107702,528,25.877278
-3415.332309,671,26.52569
-3812.545124,344,26.904058
-2115.046051,361,27.301349
-3801.820968,585,27.875834
-3563.832914,595,28.46504
-3029.583219,412,28.900596
-3827.566062,501,29.412564
-3011.924343,444,29.885247
-3185.881354,431,30.335678
-3761.220698,433,30.800056
-3749.529375,680,31.498608
-3633.038196,711,32.213907
-2137.663056,320,32.579272
-3403.132709,627,33.244821
-3599.660184,440,33.750246
-2057.414935,353,34.21307
-2239.991307,308,34.622328
-2225.669981,311,35.005956
-1984.154017,288,35.381258
-3756.156794,386,35.824328
-3419.269304,463,36.714573
-2644.971195,348,37.18407
-1208.596094,114,37.387018
-1625.387031,217,37.706276
-3700.556592,513,38.280999
-3783.288516,525,38.896916
-3193.409625,419,39.375806
-2810.046607,528,39.928972
-2663.829568,492,40.45467
-2423.800069,299,40.802539
-3541.797029,510,41.420185
-3587.80001,532,42.021616
-3443.410078,375,42.4611
-2906.335617,480,42.998103
-3416.817408,550,43.562865
-3200.836327,440,44.066428
-3286.029902,357,44.472316
-3117.487961,444,44.949538
-3395.489954,362,45.358524
-3637.592834,447,45.846832
-3636.888975,487,46.361738
-3614.448847,509,46.897578
-2779.455488,384,47.322577
-3830.082141,471,47.808085
-3643.239608,341,48.19202
-3509.986955,414,48.638407
-3449.798949,564,49.218464
-2293.604815,341,49.600652
-2738.966877,364,50.002807
-3119.515944,380,50.425349
-2108.248347,273,50.755512
-3314.122636,550,51.341148
-1865.05527,275,51.681299
-3171.188538,646,52.335419
-3235.853572,502,52.867486
-3410.9995,360,53.266622
-3734.579844,370,53.674631
