#{"t_start": 1693629324.5061824, "env_id": "plainQuadruped-v2"}
r,l,t
-2703.106156,1327,4.566887
-2032.703536,4675,16.732126
3589.766892,5001,31.973055
-955.518743,5001,43.893709
39.109004,924,47.324794
4878.726157,2955,54.881261
3217.663886,2201,59.897461
8240.620808,4785,73.291293
59.825819,1022,75.489959
6216.164894,4794,87.421522
-2817.308907,1994,93.467739
-2285.500961,1322,97.880912
-2407.474208,990,101.370404
-2490.934752,618,102.609396
-1118.079521,2112,108.284684
-2624.531362,399,109.259565
-1071.209791,1661,113.77691
-2183.288241,919,115.439202
774.792455,1179,119.16259
-2433.176837,2128,124.310532
-2475.178978,1424,128.902214
-1602.882369,735,130.601232
-3440.380145,1326,134.902227
-2859.149889,1599,137.842266
-2085.147762,897,141.444073
-2387.633103,954,143.651081
-230.756948,3574,153.147959
-1714.334421,787,155.030661
5641.738234,5001,167.711278
7531.830922,5001,181.567038
4336.848728,2155,186.960256
5620.637185,4727,200.240334
8197.97417,3769,209.611629
6745.950977,5001,223.631176
5658.788085,5001,237.314836
2540.660475,5001,252.514525
8806.777778,5001,266.524114
5522.971101,4727,281.35204
6693.428389,4571,294.199741
4970.331283,5001,308.158467
5195.154618,3925,320.019408
8728.337006,5001,335.117128
2924.634355,5001,349.088984
4924.066546,5001,364.592683
5745.764671,5001,378.443809
7559.725113,5001,390.87826
4885.454423,3943,402.334923
7399.323261,5001,417.410131
5620.289275,5001,429.986086
5641.49232,5001,443.883738
5805.410447,5001,457.632754
8380.383849,5001,473.21531
8285.352017,5001,485.890013
7570.81481,5001,497.836629
10153.373482,5001,511.473259
8666.007673,5001,525.251101
6366.230223,5001,539.115157
7484.339185,5001,552.946053
10648.242165,5001,568.511691
9192.338321,5001,582.681996
10980.015708,5001,596.870129
10008.439423,5001,610.922706
2430.7196,5001,624.738921
11819.695311,5001,639.964148
9579.496043,5001,653.990331
12277.117465,5001,669.297569
10437.807233,5001,683.144117
9952.448339,5001,698.775648
11950.824838,5001,712.54743
6140.720642,2099,718.589474
8370.024855,5001,734.284427
12865.772541,5001,748.074834
12234.223459,5001,761.917686
12678.650799,5001,776.909148
-2584.211172,449,778.012635
7904.09515,3896,787.915863
6437.699181,5001,802.096877
9881.512444,5001,815.616671
2806.336816,2886,822.865276
-2631.035168,544,825.777181
11084.08631,5001,839.549894
8229.718348,5001,851.971344
6583.782668,5001,865.721771
6964.781398,5001,879.622974
6284.907923,5001,894.990131
2575.213644,1493,898.51557
3965.112072,5001,913.662123
6917.456599,5001,927.423574
9987.95493,5001,942.484309
2821.353204,2972,949.185823
7291.571337,5001,962.903512
10114.149634,5001,975.472227
4085.35713,5001,990.880532
3221.602779,4767,1003.152645
9185.751529,5001,1016.588067
12022.019741,5001,1031.483435
8189.492204,5001,1044.753983
1337.034267,2644,1053.666876
4758.250005,3032,1061.758846
18111.767221,5001,1073.990258
-508.306852,2389,1082.422596
