#{"t_start": 1694116880.4701433, "env_id": "plainCPGEnv-v0"}
r,l,t
-3025.281919,835,1.736432
-2594.38487,563,2.258878
-3528.013658,1412,3.406109
-3069.384634,943,4.209224
-2716.012609,724,4.846739
-3507.84956,1170,5.850384
-2237.090012,819,6.545917
-3065.679898,826,7.331605
-2441.799833,651,7.921268
-3238.39219,851,8.988842
-2433.552215,922,9.768675
-1979.981508,822,10.45887
-1891.665629,612,10.999872
-2518.71266,401,11.382174
-2577.511686,486,11.829617
-3193.173686,1098,12.744565
-2533.09297,487,13.19727
-3758.858913,1615,14.488736
-2066.134662,680,15.099368
-2390.285504,393,15.483793
-2904.57856,826,16.469435
-3388.720367,1065,17.357774
-2893.491768,632,17.916413
-2723.443409,597,18.459077
-2798.771627,759,19.112556
-3392.618855,1272,20.162642
-4447.487076,2035,21.78115
-2973.877702,712,22.397362
-1671.865056,959,23.486979
-2702.975264,625,24.039162
-2464.060054,585,24.567565
-2939.646021,854,25.296504
-3670.470305,1367,26.410451
-2190.165675,1086,27.313469
-2345.516362,460,27.742405
-3223.319926,916,28.518859
-3160.93939,983,29.333134
-3009.583134,842,30.32677
-3520.18113,1371,31.438428
-3051.855053,791,32.113456
-2916.37677,768,32.776634
-2771.0607,906,33.537056
-3253.345271,1058,34.421959
-2576.272655,580,34.93729
-2403.765184,794,35.62536
-2338.971048,549,36.126624
-3589.964862,1159,37.102069
-4139.177848,1517,38.687558
-2444.447048,519,39.174846
-2641.663149,421,39.594582
-1848.776281,858,40.357476
-3768.152591,1308,41.488878
-2502.772528,591,42.047995
-3263.724779,1080,43.000429
-1249.024893,568,43.545085
-2780.202132,622,44.160893
-1632.887487,759,44.867807
-1584.589111,864,45.9729
-1572.550893,521,46.462719
-3110.405212,954,47.346013
-2947.217526,1027,48.241849
-3202.300257,1068,49.139611
-3102.454733,1103,50.063952
-2630.787036,913,50.857654
-2750.783898,610,51.407359
-1266.873922,472,51.858282
-2891.63685,845,52.899815
-2569.430976,817,53.605366
-3069.695892,854,54.337888
-3546.037829,1156,55.296596
-1998.786162,1746,56.732664
-1703.174601,916,57.514559
-2281.52966,750,58.181805
-2736.886503,858,58.91455
-1137.50153,769,59.573243
-1431.911385,1110,60.843902
-1452.028556,897,61.614641
-2662.617658,573,62.136573
452.119844,1018,62.982398
-2047.309551,629,63.557716
-2103.147126,1069,64.453562
-2068.206074,1008,65.337506
-2007.06219,904,66.118662
-3439.657823,1107,67.040168
-1706.884181,869,68.069221
-5564.427638,2327,69.929996
-3118.285659,1977,71.506606
-3070.730556,1225,72.518876
-4953.853189,2396,74.746306
-2816.467214,1172,75.724809
-3257.732012,1174,76.751461
-2889.815245,1143,77.826043
-2488.091275,384,78.238456
-4484.089734,2388,80.199089
-2962.897932,1680,81.872977
-4002.558301,1769,83.275419
-3222.34162,987,84.0993
-3377.317332,1091,84.995784
-3453.802532,1560,86.244304
-3178.963722,1386,87.35723
-3365.704332,1153,88.581781
-4477.15551,1959,90.162824
