#{"t_start": 1693633566.354377, "env_id": "plainQuadruped-v2"}
r,l,t
-8679.651137,5001,11.327633
-6154.524724,2757,17.464147
-7411.452392,5001,29.799361
-8672.520041,5001,41.893167
-899.179609,298,42.744456
-6855.301049,2815,49.542582
-6567.153726,2312,55.052022
-2329.4394,751,56.838642
-7550.601408,5001,69.269196
-11934.99315,5001,81.48618
-12314.241538,5001,93.2861
-9009.777844,5001,105.551253
-1688.540785,560,106.986561
-1728.606012,573,108.477912
-10474.618842,5001,120.699128
-10452.217944,4806,131.901745
-1578.041659,517,133.220393
-10800.529513,5001,145.469678
-5799.580061,2342,151.081114
-8108.418638,5001,163.777464
-8983.680746,5001,175.366011
-1191.74003,392,176.428264
-14260.680622,5001,188.795676
-7332.896816,5001,201.277726
-8501.149969,5001,212.958519
-9598.633308,5001,225.13068
-4221.27229,1466,228.63099
-7823.222959,5001,240.255719
-2266.261995,727,241.98829
-8522.48488,5001,253.435479
-5521.154029,2037,258.798165
-903.799854,300,259.611904
-8375.861712,5001,271.167712
-10738.012266,5001,283.373655
-4306.730654,1496,287.032312
-7250.448352,3368,294.800661
-5756.417997,2380,301.021029
-818.0296,271,301.761247
-5007.448522,1815,306.17878
-1258.534877,416,307.3018
-2564.221789,892,309.529306
-5609.888092,2109,314.581955
-4229.138202,1550,319.075206
-9903.352151,4222,329.180856
-1173.904564,387,330.176913
-4178.538416,1520,333.735026
-4989.580516,1887,338.986222
-10333.195363,4000,348.206583
-5974.567408,2332,353.587565
-4251.725069,1630,358.267393
-7570.471512,3450,366.097039
-2566.587673,947,368.426657
-3744.482553,1408,371.737686
-1871.291814,638,373.321041
-3799.286626,1338,377.482514
-3546.583822,1275,380.232511
-3788.407714,1299,383.360937
-3589.568543,1377,386.718345
-1815.866013,600,388.227714
-5783.095299,2228,393.336185
-1570.722483,581,394.783152
-2987.015566,1098,398.357614
-4232.265997,1536,401.8425
-3643.468339,1259,404.926536
-4498.269119,1678,409.0219
-1771.121457,592,410.542764
-1846.933521,601,412.081429
-860.173562,285,412.8952
-1010.310453,334,413.778744
-2949.88019,987,416.259616
-5938.92392,2188,422.196309
-1757.51103,591,423.680077
-5368.36479,2032,428.442695
-1836.97644,621,430.078453
-3618.566088,1242,433.047945
-1254.697964,415,434.166219
-915.908945,301,435.007982
-764.24163,253,435.757661
-4673.274173,1726,440.887959
-1071.46332,355,441.771332
-5230.671705,1845,445.981167
-8305.878962,3204,453.189124
-5654.379097,1922,456.601184
-999.305766,329,458.191386
-7995.803049,2992,464.900639
-5438.645313,2003,469.555967
-8401.471463,3255,478.231813
-775.800942,257,478.899262
-1758.034665,578,480.274493
-2208.545493,798,482.222627
-3992.367141,1467,485.69878
-3500.449035,1267,488.817976
-3742.72953,1330,492.014019
-3870.370659,1344,495.147156
-1639.581314,553,496.614655
-5969.036583,2281,502.100153
-2058.46297,706,503.619352
-1856.447352,618,505.007611
-5390.816332,2044,509.671609
-3709.420889,1333,512.903423
-6673.967323,2446,518.939529
-3938.100129,1391,521.820354
-11027.134232,4574,531.903154
-2058.789155,689,533.638728
-8286.267634,3247,541.992619
-1313.903619,441,543.132653
-4290.15374,1543,546.80912
-3906.49095,1333,550.023072
-1262.404804,426,551.107055
-2646.429353,1006,553.489593
-4948.296895,1747,558.539216
-6954.800206,2498,564.318109
-3826.08492,1352,567.579031
-2158.979829,788,569.591061
