#{"t_start": 1695929872.501719, "env_id": "plainCPGEnv-v0"}
r,l,t
-2360.955294,625,1.619504
-2436.575964,532,2.185779
-2523.457668,1048,3.224738
-2488.579738,1116,4.311575
-2345.204242,553,4.89643
-1365.947137,798,5.858325
-1550.899501,992,6.809839
-2311.05802,606,7.418536
-2297.436384,583,7.999471
-2302.027973,1271,9.159864
-2398.317286,1020,10.236343
-2269.396152,828,11.042415
-2384.900857,923,11.899475
-2151.354201,663,12.547434
-2245.546956,577,13.113568
-2293.512757,480,13.769293
-2343.404326,508,14.303088
-2362.511273,618,14.908954
-2265.242692,571,15.485828
-1818.369502,461,15.98296
-2290.765308,647,16.622749
-2141.71365,619,17.225678
-2363.485064,839,18.14624
-2426.112134,840,18.944095
-2097.772212,470,19.45062
-2288.460797,526,19.989133
-2372.000767,608,20.592564
-2225.711186,559,21.148234
-1982.513359,633,21.941796
-2271.118114,577,22.514947
-2274.301509,573,23.098668
-2277.860213,644,23.722818
-2090.473532,613,24.30871
-2341.95495,727,24.999607
-2334.657218,792,25.740099
-2388.419317,674,26.557859
-2358.758259,495,27.052519
-2034.404194,688,27.707599
-2376.80988,569,28.258065
-2334.953126,669,28.889983
-2352.638011,631,29.49886
-2033.846376,525,30.189543
-2202.853937,642,30.811962
-2087.110483,699,31.509913
-2325.340143,615,32.106327
-2367.272625,661,32.749276
-2436.766773,2212,34.802181
-2331.720171,885,35.619189
-1960.37348,1107,36.647617
-2233.081291,782,37.386058
-2357.519515,786,38.284209
-595.739135,1027,39.201251
-2455.247434,2142,41.071916
-2234.499455,735,41.934623
42.794304,1791,43.562586
-2105.380497,853,44.410555
-2195.499036,2576,47.0279
-2357.089169,726,47.802782
-118.892505,3366,50.973809
-2351.486811,588,51.549108
-2096.735889,612,52.157904
-1205.853353,1501,53.517649
-2250.733113,496,54.182018
14625.582438,5001,58.691534
803.526051,2011,60.448169
948.615763,1948,62.314353
-1525.268831,1746,63.848455
-2366.227467,1680,65.480726
3036.261771,2163,67.338841
11627.480764,5001,71.75095
3032.455713,5001,76.312973
4333.863925,3344,79.170685
6963.301109,5001,83.749906
