#{"t_start": 1697813692.7355237, "env_id": "fullEnv-v0"}
r,l,t
-2359.88179,1297,2.207038
-1788.524548,3077,6.484919
-4028.900688,1747,8.735334
-3636.801966,1476,10.747708
-4526.299152,3074,14.712572
-2792.792693,779,15.800908
-3655.942288,2167,18.50998
-4079.010291,1923,20.937431
-2409.588082,744,21.925052
-1874.538998,481,23.027957
-1902.41095,1656,25.151246
-3619.158287,741,26.179877
-3341.227248,705,27.149083
-4167.851783,2696,30.504573
-4481.891482,2214,33.310891
-3595.364198,904,34.553928
-2402.62312,590,35.397022
-3047.380554,6377,43.699182
-3695.104003,1005,45.578987
-4331.336082,3254,49.817617
-4010.288345,1858,52.297001
-1810.142106,598,53.133066
-3495.294305,1424,55.033357
-3064.883348,1322,56.799282
-4890.013372,4091,61.986587
-2767.168034,1189,63.53191
-4389.804247,1388,65.367837
-3007.239967,1260,67.372488
-3267.097132,904,68.60286
-3895.549098,930,69.83983
-1704.359302,1932,72.354189
-5236.164513,4292,77.656741
-2298.784903,1143,79.220655
-2278.727937,573,80.052589
-4598.095502,3156,84.059921
-2334.653234,559,84.848364
-3363.360508,1041,86.212977
-2640.6236,1481,88.517957
-4004.399658,2434,91.599828
-2966.195952,2792,95.078365
-4759.419393,3138,99.067598
-2508.939424,418,99.704798
-3660.340615,3267,103.793362
-3959.926361,1617,105.954481
-2866.208275,1561,107.960356
-2718.919285,2904,112.060257
-3368.823902,517,112.803145
-2266.103928,502,113.533575
79.172416,1402,115.379336
-5379.931599,5205,121.95468
-3576.847728,710,122.935702
-3730.307619,1203,124.549417
-1408.152076,1046,125.950779
-1615.867184,762,126.985342
-4888.556446,3839,132.211883
-4044.825461,1023,133.563062
230.65249,1348,135.332442
-2943.727358,1297,137.03459
-1412.51858,2702,140.404882
-1907.152472,1051,141.804701
-2236.803916,766,142.853184
-4735.113745,2519,146.018053
-3518.728238,1399,147.829384
-3073.830893,2067,150.453711
-30.988005,2820,154.425043
-4633.251367,3835,159.150623
-1915.278032,2265,162.037021
-2024.614502,619,162.912046
-2734.10145,971,164.201552
-2980.628684,763,165.258567
-3538.979705,739,166.25382
-4191.571837,1525,168.276578
-2612.866419,767,169.378037
-2057.303236,511,170.145152
-4428.069852,2720,173.65729
92.839019,1824,176.400789
-4361.444838,2739,180.103924
-3232.420474,1680,182.510422
-1377.722907,970,183.904825
-4723.839676,3184,188.039013
-2480.248135,2242,191.045845
-4155.687233,2185,193.924771
-3873.294418,1241,195.573597
587.030714,5067,202.453315
-1650.941694,1491,204.508558
-2689.099736,10001,217.654745
-1206.756422,2158,220.769408
-1506.46449,997,222.084832
-1124.165428,950,223.337186
2388.695568,3158,227.419155
-1804.176285,1095,228.867182
1010.096097,1736,231.084194
1198.052409,1936,233.572304
-930.215168,925,234.817971
1136.885653,4321,240.698482
-1178.344537,927,241.932381
-3331.449167,1080,243.406422
9916.15173,2702,246.848916
-1354.34734,1587,248.872544
-831.95802,2908,252.575998
-64.884104,1118,254.080087
-78.881299,1113,255.550368
-23.765287,3977,260.626007
-1470.653925,4521,266.702548
-1822.435384,1220,268.325697
-1643.002433,1280,270.015683
28.363458,6804,278.63095
-3987.874082,1397,280.560689
3380.831915,3083,284.839848
1465.336884,1361,286.705641
-2205.477451,1685,288.962254
-2216.516072,795,290.136307
-2992.39741,1640,292.322235
-2678.865343,8761,303.682646
-96.095581,7492,313.63221
-2099.914512,1058,315.038123
2435.175352,2950,318.864487
-707.715538,3081,322.730954
4913.822513,2119,325.443424
-2674.743598,1343,327.559083
5180.902404,2113,330.263038
-753.850868,892,331.456844
201.261807,4884,337.684113
-1738.564272,638,338.564423
-60.719911,5657,345.539148
7427.051416,4054,351.034833
-2398.089248,3068,354.897544
-742.133183,3197,359.031055
1203.854713,1492,360.960756
-1886.222496,637,361.855293
521.502644,2129,364.545056
-2925.417152,3261,369.085428
-2830.636484,806,370.200318
2272.846702,1819,372.515227
4623.09175,1365,374.292102
264.431266,3271,378.53798
477.438343,1344,380.271363
2731.045366,1922,382.711034
886.986627,2124,385.572067
1804.801161,8415,396.614721
637.800824,2182,399.339469
-874.659185,2613,402.58909
-1807.813904,601,403.447158
2748.179773,2564,406.780312
-173.505809,1650,408.881191
2647.221627,6028,416.905348
-365.623681,1126,418.366184
1921.378202,2423,421.464539
1196.715186,1193,422.997342
4241.06894,1783,425.22638
3383.82104,1763,427.442413
709.972723,2757,430.978583
