#{"t_start": 1697854362.1025467, "env_id": "fullEnv-v0"}
r,l,t
-3246.507804,1545,2.575536
-4057.415061,1971,5.125633
-2629.483278,601,5.997892
-1385.073883,457,6.67804
-3825.517984,846,7.846664
-3113.675785,1402,9.695682
-1557.444946,908,10.928787
-2014.0409,376,11.508723
-2871.391212,791,12.599595
-3006.358509,921,13.855536
-4107.430141,1542,15.899566
-3659.235435,1059,17.32498
-4767.688963,2897,20.978418
-1865.819106,643,21.90276
-3890.517115,833,23.424942
-4577.26378,3851,28.317438
-3921.005658,1680,30.515872
-4250.195841,2109,33.242601
-3709.66691,2133,36.000523
-3936.453617,1728,38.278084
-3820.139959,1246,39.929767
-3499.3244,499,40.664532
-3644.851404,2249,43.574307
-4234.985215,1317,45.681603
-4705.060806,3011,49.571526
-3938.675165,4068,54.759118
-2088.624943,992,56.097481
-1563.340018,1322,57.886304
-2879.996594,1751,60.178432
-1722.894598,486,60.894728
-3399.66032,864,62.098327
-1799.515217,2675,65.543175
-1987.043555,883,67.14967
-2600.163303,848,68.315356
-3935.968313,1162,69.885964
-2326.370962,1351,71.673561
-4440.431902,2721,75.193381
-3704.139128,1059,76.641585
-3819.218534,822,77.791584
-3675.753445,575,78.62318
-3971.183957,1950,81.186789
-2687.986373,835,82.346534
-3283.745813,2097,85.060708
-4074.988926,1801,87.42699
-6115.836422,5144,94.351955
-4218.090618,3266,98.551613
-336.499257,1319,100.31335
-3684.196154,998,101.65338
-1874.221187,493,102.395715
-580.814655,995,103.742768
-1698.426747,491,104.470251
-3961.095336,2193,107.342847
-1646.750109,3946,112.712199
-3278.270251,695,113.677149
-3612.82776,1134,115.20199
-3432.337204,1569,117.285962
-3519.4719,768,118.349414
-4671.190954,7029,127.196547
-4262.72681,1816,129.611153
-1769.815312,1070,131.040182
-3733.352884,1450,133.348608
-4348.035945,2146,136.109533
-2727.446908,4678,142.074944
-1429.35464,828,143.229878
94.467616,3572,147.879259
-1558.397148,1317,149.642839
-4358.703673,2558,152.965965
-1886.940704,1462,155.255264
-1377.564896,885,156.460748
-1936.984799,921,157.715733
-1271.638585,3975,162.802993
-3566.432681,627,163.686046
-940.051117,1793,166.0159
205.255093,2483,169.213123
502.501771,1528,171.234301
-1343.715502,692,172.199804
-2844.075017,1871,174.650804
-1771.063432,3020,178.847751
1066.914584,2542,182.104829
-181.502785,1581,184.173362
-2179.296403,4376,189.690702
-2920.570092,2765,193.246154
793.594278,6288,201.549193
762.479492,3242,205.746799
-1486.863385,629,206.633607
-4891.360703,3392,210.926641
2489.634318,1778,213.262254
