#{"t_start": 1697910546.072652, "env_id": "fullEnv-v0"}
r,l,t
-3291.382877,1317,2.281209
-3994.211675,1041,3.678805
-3503.472499,603,4.571022
-3804.77249,1601,6.684453
-3949.079143,1606,8.813098
-3276.497955,1866,11.228312
-3822.420556,1314,12.990284
-4075.699052,2010,15.596815
-1661.962677,1596,17.690368
-2542.369351,1168,19.252157
-4030.127014,1793,21.561674
-3457.813211,2108,24.666389
-3956.434815,1303,26.417394
-4007.897789,1501,28.420526
-3929.898334,1978,30.994965
-2942.178016,1775,33.311028
-2545.261839,865,34.522822
-5808.304449,7681,44.487436
-4317.135344,2353,47.567495
-3599.205512,1023,48.974633
-4205.556705,2309,51.98721
-2840.365087,2354,55.028503
-3884.75159,1230,56.691428
-1697.591333,605,57.572691
-3554.110525,904,58.829244
-4852.132065,3141,62.853074
-2411.230017,1163,64.428668
-2055.210995,923,65.687843
-3957.889808,1432,67.956016
-3729.052148,1938,70.479933
-3907.630759,2121,73.240975
-3261.352539,1423,75.130768
-3737.234583,1073,76.5822
-5326.994053,4879,82.775439
-3811.314604,1516,84.774598
-4557.213617,2753,88.698912
-1911.15149,814,89.850498
-2438.316524,698,90.836354
-2811.485701,1431,92.771535
-3775.922844,1682,95.013894
-3698.092313,1718,97.28694
-791.865483,2819,100.929339
-4645.532853,7226,110.455259
-7008.737244,7516,119.963491
-3165.862365,10001,132.928862
579.036265,3281,137.167752
-3578.690721,836,138.324658
-5130.787455,5159,144.914385
-3332.717336,826,146.05712
-2842.756416,2210,148.955315
-2214.333081,532,149.739701
-3754.438491,810,150.869735
576.581507,4293,156.800889
-4746.324776,3066,160.729032
-2237.352007,1390,162.554988
-3551.702848,2363,165.630959
1333.973542,2379,168.737739
-4991.528154,2702,172.207798
-3890.726313,3684,177.302566
-6344.776424,9727,189.741469
-267.761709,835,190.896308
-121.1872,1592,193.033931
-1176.815657,1487,195.01083
1325.45714,4081,200.66159
-448.105407,4154,206.023525
42.646559,5849,213.530904
-150.504729,4999,220.283964
1371.494731,4259,225.749746
-414.426342,4094,230.940186
-640.517134,3337,235.243449
1312.347845,2661,239.072063
-7483.864404,10001,251.703847
-403.198714,3348,256.032957
1969.242419,3145,260.467683
-378.268021,1383,262.287765
1838.122445,1691,264.535483
2462.93292,1827,266.94548
1935.728729,1488,268.947339
1852.87633,2002,271.602666
598.843115,2281,274.577291
1788.502806,2595,277.97867
442.296351,1687,280.204613
909.613725,4520,286.332569
2291.000293,2339,289.38476
2633.686983,2819,293.011652
1039.227379,1835,295.427274
-1228.624125,329,295.949033
-151.150151,2824,299.606966
354.632278,2408,302.755858
2663.19554,1937,305.656101
791.065191,6085,313.446335
2504.634267,2124,316.247482
1074.489288,4798,322.434435
2339.193426,3523,327.319305
3305.547198,2512,330.575471
2909.207561,1842,333.008116
3016.862271,2244,335.942956
3964.234022,1594,338.035009
1624.184971,2529,341.329287
2078.837418,2736,344.882151
3251.68619,2630,348.636339
-1833.436322,627,349.525345
-3219.533635,850,350.687965
2843.100538,1924,353.219404
2621.934614,1561,355.318316
3345.146768,2765,358.900179
3093.362074,2855,362.587966
-2606.651367,1802,364.945541
2824.687378,1508,366.967334
3434.633499,2989,371.197976
2587.27382,1980,373.769123
-1048.073497,562,374.588467
4209.727605,1827,376.987489
2673.694137,1802,379.375791
-133.165449,1954,381.939017
5156.481108,3217,386.075639
4455.70505,2870,390.121758
2893.952438,2474,393.336602
3904.050817,1795,395.696863
987.46493,1383,397.554654
3242.926582,3238,401.754601
2546.66793,1716,404.055208
3252.030618,1833,406.489632
3629.745973,2135,409.266514
3430.603883,1760,411.610988
3542.910613,1549,414.011507
1641.692646,1614,416.152987
2705.466537,1771,418.485813
3749.571913,1716,420.74522
2900.695624,1962,423.315241
3450.671971,1415,425.198673
3474.901941,2157,428.007455
3749.356221,2175,430.836056
3789.839876,1981,433.415497
2495.735216,2190,436.649253
4742.316749,2305,439.665577
3361.215077,1846,442.103968
