#{"t_start": 1698083318.8145726, "env_id": "fullEnv-v0"}
r,l,t
-4415.568527,2084,3.132932
-3525.106652,607,3.98643
-4666.664042,2384,7.02533
-4223.626833,1472,8.941312
-4243.154687,1648,11.064663
-4048.11582,1766,13.343749
-4545.384512,2927,17.057488
-3881.194062,883,18.249743
-3216.985767,758,19.307565
-4195.456431,940,20.572178
-3867.169574,479,21.272686
-3698.802073,633,22.554954
-2814.325891,708,23.560108
-3436.275249,508,24.312718
-4628.486765,2170,27.123708
-1941.122858,988,28.453015
-3613.766994,697,29.419733
-3829.361948,1345,31.189175
-4079.388851,1060,32.618231
-3886.395236,653,33.55207
-4392.505277,2180,36.330784
-6759.620635,5583,43.285626
-1386.550363,286,43.755019
-4141.587311,1144,45.635934
-4703.122071,1865,48.057865
244.994404,2269,50.962312
-5102.841815,2989,54.761136
-1483.073576,661,55.706749
-3802.847103,771,56.769053
-2382.694163,984,58.105369
-3220.498002,873,59.310386
-5435.083473,3825,64.14373
-6886.109472,6647,72.756643
-2677.428179,1801,75.102996
-4193.417395,1665,77.255967
-3451.653951,904,78.48124
-1002.226462,472,79.193639
-4252.225939,2104,81.891867
-1445.377403,1010,83.240036
-3826.929974,901,84.492259
-4742.676671,2154,87.631484
-3579.112945,915,88.86682
-4359.826743,3695,93.528441
-2987.728613,978,94.859844
-2630.154762,770,95.918557
-3178.984018,1493,97.865688
-4027.001546,1095,99.339632
-3767.547196,1116,100.830745
-2404.540184,653,101.763083
-2926.865638,1783,104.063786
-4828.353677,2721,107.54513
-4276.732224,2916,111.599306
-1108.992759,2715,115.033419
886.944072,2012,117.619023
-2945.600751,4644,123.369312
-3621.217618,883,124.552518
-4802.355197,2688,127.924783
-3211.690872,10001,140.665584
-1521.028726,5370,147.32359
-2517.563308,1410,149.185531
-1703.531451,488,149.901811
-2620.891541,922,151.514117
-319.607478,1144,153.014906
576.920852,3301,157.139891
-2999.088115,1098,158.583032
-1541.685014,349,159.131974
-451.054246,752,160.174325
-2796.382314,1337,161.905298
-2346.162817,2337,164.833843
-4457.924718,9007,176.400948
203.780658,4265,181.729465
-3020.516756,1288,183.419832
-1327.620765,541,184.209356
-622.810688,1152,185.716969
-132.049235,5503,192.607174
484.330652,1293,194.668154
-1190.788618,2893,198.292425
-3095.420064,10001,210.726532
645.855978,3680,215.738692
218.321461,2852,219.390905
-2852.453936,1349,221.178231
-797.151698,5939,228.717442
258.059156,1291,230.413466
1146.454634,4094,235.953275
-1444.247367,486,236.680132
-586.099526,1266,238.350544
-3731.099222,9346,250.012525
-870.378816,430,250.662266
-1042.2609,6437,259.176457
-553.002003,552,259.970354
822.096103,8979,271.19549
-823.321305,1350,272.979614
1823.751288,3115,276.933112
-859.185636,5119,283.71723
1281.731365,1687,285.898637
-1667.140833,624,286.781957
-468.248818,1595,288.857868
346.137391,5532,295.821734
-511.128656,1457,297.740526
1891.975736,1273,299.797279
1500.567697,3236,303.930881
2081.845451,2996,307.745497
2909.278308,3066,311.672583
2696.885471,4095,316.82655
-1482.770354,602,317.693913
2689.172492,2523,321.297995
3819.208367,2767,324.84189
-1497.752996,863,326.030227
2189.377692,5143,332.540727
-112.931887,647,333.434558
1468.433355,1186,335.014263
2455.905628,2692,338.447218
2357.796001,3433,343.183274
2362.967352,2553,346.450428
2543.384965,3715,351.187408
2534.067585,2115,353.914064
2644.312328,2944,357.666745
3557.544113,2520,360.875121
-604.392049,714,361.862709
-833.945477,517,362.617735
-823.638954,625,363.86161
2060.502878,1464,365.776737
3002.362293,1608,367.855347
5840.327402,3668,372.420651
2345.471362,2929,376.164339
3183.884323,2114,378.872485
3696.168948,3079,382.736171
2845.143584,3032,386.972144
2369.09408,2473,390.162772
2025.564334,2393,393.263793
2746.595286,2850,396.918565
2956.997976,3570,401.468371
2948.499496,2066,404.159045
3179.460975,3702,409.177615
2697.706088,1968,411.72321
3604.197804,2786,415.22844
3001.992199,2202,418.062364
2730.666949,2843,421.701546
2817.846158,2552,424.912861
2549.222897,3257,429.416981
3031.012208,2190,432.24624
2902.045573,1453,434.165907
3633.568812,2839,437.746479
-4.935867,612,438.613327
3120.859723,2037,441.250487
83.596314,518,442.002903
228.076998,582,442.825277
2787.33864,1495,444.77052
2652.334501,2046,447.418972
3046.81199,2499,450.986894
2688.040628,1727,453.248953
1941.457184,1045,454.635605
3175.114523,3195,458.654165
-883.652918,731,459.657755
2659.130985,4209,464.975415
913.422377,1720,467.221767
-135.387164,638,468.11627
1999.63891,3291,472.688157
2934.444024,1217,474.286043
2072.393328,1212,475.892155
83.013428,742,476.907211
3568.264613,3586,481.407732
2936.527185,2944,485.161323
3503.512458,5112,491.987722
3240.7342,1980,494.54669
2759.751814,2533,497.78827
3155.468906,2331,500.760182
7757.615446,5159,507.128231
3143.073861,2535,510.340937
3847.805709,3324,514.854284
2545.86872,4558,520.545732
2625.032818,3506,525.016614
1828.165634,6202,532.780576
1723.135995,1264,534.7951
1963.914299,1813,537.128187
2831.415382,2570,540.394173
3402.087239,3231,544.418809
4121.561367,2357,547.403361
1079.352382,2314,550.341628
5148.364146,3534,555.09778
3454.468684,3392,559.396406
2332.295648,2003,562.006388
7148.803206,8341,572.226759
7046.311919,4328,577.985042
4021.24741,5045,584.218371
4412.149743,7268,593.161709
11519.852735,8389,603.875888
9840.433911,8292,614.04302
4559.066217,5509,621.239184
2970.125273,2877,624.892527
5152.926031,7422,634.014702
8488.838053,6952,643.088848
11647.554493,6980,651.676844
11884.524612,9243,663.402032
11557.372958,6498,671.339376
2352.493127,1754,673.591976
4218.083776,2322,676.523664
2905.851745,6045,684.403789
11970.238401,7846,694.101858
5486.026054,7860,704.155869
14972.328511,10001,716.319257
8208.104975,6317,724.50602
8334.160772,10001,736.810483
12220.836827,10001,749.446897
3386.161782,2382,752.467395
2517.370901,1148,753.960829
4743.520728,5384,760.578523
12490.106302,6998,769.628924
3061.859176,2625,773.013719
9544.377014,9686,785.326184
10854.921552,9606,797.121265
14603.808007,8074,807.463286
3444.285071,2444,810.566486
13074.89391,9149,821.785119
11635.472377,8620,832.676372
10912.128866,8191,842.702602
5209.949615,4779,849.031417
4824.900937,6658,857.283888
5272.429182,4080,862.375664
6348.236816,5517,869.611388
10241.509676,7259,878.546173
7336.237591,4241,883.791977
13254.001665,10001,896.49108
15183.198218,10001,909.212644
12539.944152,9215,920.537917
8010.707978,4909,927.017633
13410.928194,6632,935.184456
11811.261295,7269,944.159272
9787.502715,5502,951.336521
7225.613646,4237,956.598785
8926.579208,5016,962.791775
6410.869135,5299,969.741268
11124.995058,10001,982.118416
12951.501573,9943,994.699729
13586.285437,8131,1004.674981
12455.894731,10001,1017.431747
