#{"t_start": 1698089933.0787086, "env_id": "fullEnv-v0"}
r,l,t
-3991.881077,1180,2.029658
-4555.919741,1140,3.584802
-3893.055887,1199,5.163538
-942.018253,424,5.799263
-3769.521996,863,6.981801
-4429.211278,1711,9.218076
-3943.017299,1060,10.631059
-3958.868264,742,11.6494
-4330.426484,1262,13.348344
-4535.749896,2112,16.055508
-5485.027502,3341,20.279239
-3407.679372,1347,22.046512
-3769.69998,1011,23.789121
-4156.584347,1155,25.328222
-4311.495458,2027,28.006404
-3890.846746,2933,31.881859
-4262.723973,1643,34.072284
-4024.897472,1288,35.778126
-4479.525699,1687,37.987451
-4023.473706,1172,39.580297
-4047.075646,1226,41.246904
-3946.833322,641,42.138373
-4333.321458,1737,44.842956
-4083.134562,1231,46.61427
-4139.155235,1285,48.338899
-3907.064102,987,49.703989
-892.678596,506,50.480107
-4113.006691,1319,52.225625
-2927.098534,740,53.268659
-3655.74905,520,54.087191
-4259.599872,1680,56.425355
-4147.779459,1084,57.871884
-4093.887858,1277,59.586698
-4163.941207,1444,61.489691
-3925.092439,1065,62.91227
-3854.103219,817,64.012405
-4116.687727,1246,65.695245
-3686.011979,741,66.715581
-3990.719639,1333,68.971005
-4344.830356,2083,71.718301
-3947.031807,1067,73.158287
-4312.304873,1965,75.710353
-4343.154332,3081,79.630748
-4051.85367,1164,81.260245
-3797.424218,774,82.367112
-3774.369535,664,83.298367
-6142.413348,5861,90.96495
-3980.995093,1147,92.511369
-4052.799883,1351,94.384222
-3958.178021,710,95.41187
-3847.178354,927,96.661633
-4132.454899,773,97.720707
-4056.361291,880,98.912973
-4041.320363,842,100.051055
-4679.638188,2060,102.700083
-4179.313431,1681,104.879477
-3841.230084,1210,106.476612
-3872.716824,714,107.465119
-3667.450423,799,108.540909
-3815.396268,1243,110.172389
-4152.987422,1325,112.256757
-3758.146543,1239,113.878962
-4142.419759,1378,115.707408
-3957.679035,890,116.902223
-4014.157782,711,117.889849
-3999.764021,724,118.908197
-4056.265326,1036,120.310815
-3748.714765,717,121.313943
-4312.197291,1163,122.859938
-3832.112718,917,124.115235
-3508.744687,596,124.96312
-4825.736308,2788,128.535785
-4085.296773,1050,129.945912
-3935.8869,1219,131.567078
-4250.664984,1187,133.134243
-3922.16577,656,134.435556
-4128.407457,1262,136.081874
-4003.085742,1134,137.568198
-5133.903711,3321,141.747382
-3876.80226,796,142.812708
-2877.636964,720,143.81816
-4007.138102,770,144.877841
-4110.108303,1258,146.52248
-2250.4192,691,147.474978
-3266.947633,973,148.778923
-1925.512707,704,149.769396
-3091.119126,1157,151.294846
-3988.927119,861,152.467634
-4129.977246,1762,154.747196
-4268.115163,1161,156.63134
-4440.933881,2545,159.85403
-5212.159381,5411,166.624727
-3766.358068,721,167.627223
-3967.471082,1135,169.122746
-3257.470994,971,170.488515
-4059.908442,1077,171.922961
-1190.128749,540,172.690358
-4332.573566,1487,174.649145
-4047.007035,1317,176.372558
-4090.278297,845,177.86704
-3951.220986,1387,179.663581
-4084.85507,1519,181.621412
-3985.721325,3040,185.422853
-4269.040634,1903,187.849653
-3114.906829,870,189.017612
-5953.781916,4713,194.86877
-1689.895406,569,195.679004
-3054.15905,1567,197.687974
-4049.565175,2012,200.731508
-4103.688852,2331,203.733094
-1887.876298,10001,216.253781
-4049.950455,1504,218.25031
-1085.956221,2994,222.397972
-3534.657776,2283,225.297668
-904.220479,2540,228.517741
-5046.183822,3924,233.478633
-4606.150635,1924,235.932313
-922.738096,5907,243.662007
-2765.844217,3832,248.47683
-3986.126188,1052,249.893376
-4440.723225,7281,258.931495
-7311.480735,8759,270.266253
695.725442,3394,274.538714
1434.832286,1853,276.92951
50.096412,4343,282.383833
-802.720392,1346,284.493346
1773.53514,1976,287.05461
3119.781764,1897,289.493854
-1708.344681,679,290.438277
1149.09336,3730,295.145302
1410.380418,2250,298.028614
974.361893,1082,299.460775
894.668791,2350,302.472854
-6033.348702,4784,308.885986
1426.374437,3885,313.820251
1770.050174,1614,315.920439
1889.633815,1865,318.32414
1438.726129,2245,321.187307
2246.841764,1920,323.674896
1951.9169,3210,328.149086
1173.337686,1764,330.430355
1389.197633,2415,333.53448
1112.380193,882,334.721026
1965.948665,1596,336.779156
1700.237544,2451,339.92913
670.557616,1855,342.340431
1691.10059,1652,344.479969
1415.49519,1364,346.265786
2039.489824,3294,350.848675
3725.178862,2389,353.905101
582.412357,2235,356.776064
2526.22308,1924,359.255284
2927.105651,2323,362.242513
2610.584648,2330,365.212865
-1940.138481,856,366.388176
1719.503895,2103,369.480969
1814.500508,3161,373.51542
1930.272054,1714,375.73934
-299.086421,1053,377.14702
-707.093917,589,377.994372
-810.881831,1187,379.552837
3886.667781,2227,382.388523
1661.916293,2118,385.096578
2569.180062,2508,388.301994
727.214716,2156,391.435671
-780.681442,3578,395.951073
-1059.159722,1130,397.440757
1139.87415,3094,401.355754
1711.174814,1895,403.78066
-812.490838,1049,405.164533
-968.647876,472,405.859511
2390.654161,2289,408.774661
1283.331866,1725,410.985795
-2091.229018,677,412.301399
1024.49733,2753,415.831469
914.351674,1652,418.016276
2452.735646,2131,420.750682
1328.248182,1331,422.511746
2786.443191,1793,424.844323
1826.90114,2078,427.506817
975.50347,2626,430.891819
2620.409317,3257,435.427006
2181.927187,1881,437.84726
2693.668168,2993,441.638518
1999.401498,3043,445.461603
1374.614226,1649,447.56418
2759.187708,1977,450.120798
1171.400799,3833,455.301131
2336.537685,2585,458.601076
1447.088291,3002,462.411435
3213.05099,3144,466.367549
1629.528423,2137,469.100589
2646.736996,2862,472.724449
2902.522832,2660,476.502396
1568.877193,2001,479.080867
1817.882391,2211,481.88315
2170.542872,2243,484.718503
1841.329043,1618,486.7865
-5242.652118,3722,491.464397
-443.631708,777,492.508834
1816.261109,2237,495.330319
1732.620747,2740,499.158699
2642.049151,2410,502.234453
328.676506,3215,506.27597
1857.074138,2076,508.932502
3598.510418,2959,512.653671
1856.000713,2165,515.419235
2019.751565,2035,518.388444
-245.79816,486,519.088599
710.779283,2752,522.557137
3282.152498,2675,525.916612
3934.541602,3118,529.812737
2387.564614,3809,534.589697
3713.799789,4885,540.998862
1637.023793,2143,543.713549
2566.988122,3974,548.696782
2002.771494,2166,551.451431
3254.918819,3228,555.50162
1736.44844,1987,558.036943
1881.408767,2039,560.987131
3136.877818,3353,565.216491
1551.593919,1921,567.66601
-434.056758,1067,569.094159
2789.345959,2718,572.513821
6569.021157,4931,578.577637
2825.985585,2310,581.867829
4347.585302,4739,587.72964
2020.107061,2066,590.363428
2451.375092,3229,594.416849
