#{"t_start": 1697920675.7858326, "env_id": "fullEnv-v0"}
r,l,t
-4597.390254,3649,5.154585
-3662.87394,955,6.464072
-1224.735995,385,7.067952
-3336.766425,916,8.315805
-3997.870537,811,9.433276
-3062.135656,2282,12.414089
-2119.870582,1553,14.463716
-3490.98837,777,15.541914
-4400.899528,2563,18.840591
-3546.444789,1473,20.806724
-4068.216392,1194,22.415343
-3510.991226,1789,24.752565
-3398.39891,6819,33.25791
-3906.986105,723,34.275061
-3939.049553,935,35.548314
-3570.484529,1085,37.018386
-4050.575652,1823,39.401887
-3768.243706,723,40.425392
-4109.245407,1977,42.968279
-4284.900677,1969,46.224059
-3140.165257,895,47.46494
-2873.946354,784,48.556828
-2898.908067,479,49.283245
-3623.698359,1948,51.860105
-3757.513616,731,52.887912
-2620.088892,2477,56.097667
-716.547508,499,56.833931
-1944.718615,534,57.616855
-3775.471115,676,58.557374
-3467.769054,1080,60.049645
-2266.551623,693,61.009068
-3501.008203,1108,62.523539
-3148.104937,1082,63.983533
-3620.042865,1149,65.532536
-3436.752886,2184,68.371323
-3860.268095,1162,69.943961
-3558.674998,738,70.963216
-3665.850069,2469,74.149512
-2966.269845,1180,75.747651
-2839.523533,523,76.527042
-3088.558309,680,77.480965
-1541.150702,693,78.459835
-3634.741621,1394,80.301893
-3753.538053,1170,81.8842
-3680.642646,988,83.22456
-3784.411859,1741,85.510238
-3461.354606,762,86.580216
-1796.897177,885,87.805393
-3099.183088,741,89.518611
-3694.359289,1077,90.992065
-3251.04537,1128,92.522025
-3360.753939,915,93.794876
-2056.353196,2939,97.589902
-2919.43314,774,98.692582
-542.96277,791,99.796824
-3683.272221,1046,101.228714
-3792.45832,1113,102.757535
-3597.915066,2322,105.778148
-3601.264599,699,106.759797
-3252.560311,803,107.915425
-3870.329035,2155,110.748754
-916.482777,605,111.615334
-2220.123454,556,112.431651
-3753.684522,1297,114.169533
-3676.553056,1075,115.649479
-3399.496229,660,116.603621
-2375.741611,796,117.706655
-1780.650557,633,118.608766
-3955.077717,2046,121.282839
-3567.044711,885,122.49749
-4635.859605,2331,125.521394
-2517.912124,764,126.601538
-4502.164698,2078,129.31483
-3464.490929,925,130.595876
-1485.060011,594,131.458317
-6446.751742,5949,139.646699
-2708.254328,631,140.559471
-4096.456133,3679,145.239512
-1475.489036,1503,147.248829
-1237.901977,850,148.423063
-3415.886908,938,149.70592
-2966.117783,1257,151.390647
-2462.266275,839,152.565974
-4144.811179,2139,155.34767
-2924.279013,978,156.687371
-1661.319343,1461,158.639433
-1885.218942,985,160.004324
-2761.566965,998,161.336061
-2064.208137,771,162.422732
-3598.846302,525,163.192528
-3618.89319,2007,165.803137
-4269.649246,3677,170.48917
-3260.157737,722,171.512209
-3720.461497,787,172.610123
-3247.363241,766,173.686897
-3350.207221,1165,175.247092
-2839.893831,784,176.31806
-1044.001847,571,177.169232
-1013.47298,1506,179.855317
-3828.391147,769,180.945705
-1499.78111,771,182.038136
-3938.604448,928,183.337859
-2745.922056,2255,186.277723
-4219.342927,2623,189.682691
-1139.657511,1911,192.196064
-1955.064681,773,193.297715
-3021.373835,1265,195.005777
-150.571165,453,195.704055
-3222.653574,1432,197.629909
-2452.334791,1751,199.950974
-1516.163769,573,200.779297
-2761.071604,1066,202.249654
-2729.111737,1760,204.592359
-3257.865155,986,205.912125
-3557.509346,662,206.867622
-2989.181161,616,207.770756
-428.444844,1827,210.170661
-2556.915809,1296,211.888838
-3279.926621,1253,213.594585
-3637.582022,1030,214.990102
-3219.880383,1546,217.019705
-3056.999472,1323,218.809435
-3757.585731,2179,221.67644
-4124.549482,1290,224.098242
-3579.034087,1562,226.159557
-4014.3899,2051,228.857106
-4144.973232,2100,231.598127
-482.392813,1170,233.197334
523.775434,2139,235.961472
-1426.023735,410,236.607409
-3179.29013,3136,240.637426
-2071.369423,1018,242.009941
-1564.930294,1186,243.616146
-1174.054686,2030,246.264817
-2243.228207,1032,247.698453
-3476.87821,1628,249.845615
-3100.160464,729,250.88275
-1451.693444,1740,253.182864
-3141.401317,507,253.941347
-4114.061668,1483,255.912271
-2761.870142,3046,259.82651
-1892.195398,1055,261.266166
-3218.241015,1231,262.940167
-4272.612013,2496,266.149425
-3063.756275,1014,268.23578
-4326.371149,3609,272.831508
-2319.809498,757,273.90511
-4048.031552,1569,275.972295
-2581.816828,1050,277.393733
-170.62131,773,278.476073
-4919.034322,2801,282.067581
-2142.686571,1498,284.026885
-3769.322,2614,287.390253
-2296.063528,924,288.665963
-1090.337974,284,289.132669
-2872.698374,1223,290.765755
-1871.36822,1310,292.51785
-2027.870228,1297,294.242636
-1151.499522,1988,296.815749
-1144.4889,801,297.933439
-4218.079184,1803,300.306446
-3841.455908,1240,301.959623
-1909.83755,1257,303.657099
-3691.608397,1610,305.76579
-3810.72001,1286,307.484576
-3330.060382,2195,310.341817
-2265.654168,978,312.36629
777.091427,2425,315.526551
-4152.175349,1742,317.82513
-2672.175805,877,319.043509
209.579242,1144,320.576913
-1740.548433,1210,322.204215
-824.970956,2753,325.762019
