#{"t_start": 1698073033.3680713, "env_id": "fullEnv-v0"}
r,l,t
-3014.626271,1906,3.097755
-4229.565292,1962,5.752589
-3903.957964,1815,8.339276
-3866.263714,1994,11.179141
-3558.132834,844,12.771115
-2407.544296,1786,15.287243
-4033.109341,1679,17.653476
-4225.898625,1551,19.796819
-3808.194669,850,21.001647
-2194.75109,655,21.981033
-2796.046521,1339,23.784765
-4003.632481,730,25.14193
-3830.759847,699,26.138732
-3715.780507,844,27.327331
-3459.33433,621,28.2359
-3555.726538,788,29.340293
-2572.682522,459,30.050075
-3600.677077,923,31.337199
-3524.389011,948,32.639227
-3763.768229,1365,34.488942
-2267.011915,491,35.217022
-2954.56895,952,36.869371
-4242.45701,2145,39.745101
-4111.40093,1780,42.137614
-3339.487945,854,43.339386
-4007.682947,1795,45.737572
-2682.956638,946,47.035609
-2918.522246,1913,49.895389
-811.57384,539,50.680722
-2524.774298,2107,53.468016
-2859.298893,726,54.515109
-3972.345626,889,55.739656
-2798.235237,2587,59.438589
-4071.016938,1528,61.476304
-4169.114549,1694,63.758252
-4528.037783,2877,67.499543
-4208.720775,1608,69.952146
-4030.136362,1645,72.150295
-1417.507022,388,72.745473
-27.139444,760,73.820984
-3765.060954,1380,75.679358
-2824.983453,871,76.902793
-3233.014671,2386,80.017045
-3977.119006,925,81.624217
-2295.14033,948,82.937935
-1827.189057,771,84.031009
-3940.494728,1727,86.345017
-3785.811733,1471,88.329027
-2943.38623,599,89.203709
-3885.30183,1044,90.644022
-2459.067939,1826,93.42262
-2602.945426,541,94.218978
-3261.29981,622,95.12401
-3345.677294,1179,96.758692
-2907.429136,1657,98.935218
-4194.906076,1535,100.976763
-1980.972,810,102.115279
-3476.834869,748,103.179739
-2844.987025,649,104.106203
-1442.93146,2052,107.162807
-3625.400766,691,108.150069
-1951.655699,393,108.757202
-3942.915511,1979,111.371747
-2122.518852,624,112.276027
-1080.562029,966,113.603241
-1957.126403,387,114.193898
-3730.095648,1104,115.703075
-3550.436719,4231,121.516153
-1091.507439,1036,122.946952
-1883.694564,586,123.801439
-3420.898919,893,125.04873
-2932.988061,742,126.126164
-1429.919788,561,126.973263
-4139.410224,2397,130.451395
-3387.365404,865,131.666371
-1206.687804,943,132.968378
-345.096698,922,134.250588
-2158.338336,839,135.425056
-2229.963727,1096,136.940898
-2931.006943,1108,138.474884
-1373.531234,668,139.763162
-4024.084659,1324,141.576267
-1310.883958,1204,143.233096
-3574.247455,859,144.449905
