#{"t_start": 1697820441.3300738, "env_id": "fullEnv-v0"}
r,l,t
-3683.509714,829,1.696904
-3839.243442,2133,4.704556
-4010.49182,2114,7.730093
-3927.271361,1069,9.307108
-3611.694037,1266,11.215543
-3471.485279,2649,14.907556
-3917.335771,1758,17.282158
-2945.094716,1068,18.783866
-4214.458853,2690,22.337569
-4081.488692,2241,25.69804
-2735.652178,457,26.414514
-2913.843538,900,27.692449
-1427.277893,383,28.313875
-3397.845571,1123,29.899328
-4367.910957,3023,33.939199
-3880.23777,2136,36.760526
-3356.029581,1080,38.368438
-3712.159169,748,39.708985
-4817.702111,3131,44.132462
-2570.185903,400,44.791751
-3854.111976,774,45.960162
-4889.038351,4825,52.915897
-3619.13887,743,53.938654
-3620.389554,1037,55.375933
-1147.575915,511,56.134994
-2880.393122,1020,57.568523
-3796.809759,2467,60.862127
-1900.927891,1109,62.384629
-4062.746664,1023,63.81285
-3898.449953,1766,66.220597
-3945.780788,710,67.236309
-3864.282168,1206,68.853685
-4084.779799,1263,70.90818
-3873.387064,1042,72.322325
-2425.887696,427,72.969476
-4067.876508,1718,75.214242
-3985.663864,1919,77.763238
-3537.772446,601,78.692074
-3565.161702,1432,80.637646
-2353.668594,1325,82.419297
-3948.524967,1264,84.116948
-4037.082031,1760,86.450493
-4181.817652,2270,89.433042
-3676.912038,1265,91.125348
-4323.911515,1597,93.578234
-4592.457611,4640,99.420405
-4293.147552,3296,103.682124
-3616.809649,1269,105.406329
-4312.627265,3010,109.282056
-1793.217605,900,110.519847
-3925.223156,3582,115.471323
-3810.145683,1272,117.159445
-1851.945498,840,118.33513
-3965.551684,1334,120.124245
-3664.267457,1026,121.552465
-3651.285625,2393,124.655991
-3592.003955,1255,126.356828
-3270.156767,776,127.447931
-3409.991972,2373,130.569553
-3991.379802,746,131.622032
-4127.392215,2297,134.621665
-3252.452199,1983,137.590557
-1396.307656,982,138.918318
-2257.95906,851,140.106606
-3753.533632,1785,142.446226
-3454.109087,760,143.502064
-3709.872592,2115,146.260087
-3480.426835,1175,147.877588
-3619.31215,1128,149.415312
-1659.885512,1997,152.041522
-3996.730321,862,153.218848
-3957.729934,1961,155.798405
-3968.900244,1530,157.805149
-2314.126783,507,158.918046
-2789.704038,1209,160.558698
-4067.016496,1345,162.327792
-3909.030041,1398,164.196289
-2464.382679,1102,165.702709
-1370.095828,827,166.877924
-3958.844347,2188,169.801747
-4108.57471,2164,172.6519
-3831.775581,2260,175.572064
-4232.011575,1838,177.971903
-2857.351915,1315,179.73727
-3503.036465,665,181.124218
-3186.407852,773,182.264404
-4042.298289,1405,184.240945
-4110.301148,1520,186.324572
-4825.411659,3698,191.541288
-4022.906547,1876,194.151794
-3366.840387,1085,195.752549
-3530.356493,631,196.700014
-4489.412771,3701,201.689892
-4017.615598,1661,204.33104
-3772.030971,904,205.617467
-3932.56264,1222,207.257208
-3517.446646,1697,209.512947
-3184.979203,919,210.819053
-3734.337301,1259,212.612406
-3623.648341,1352,214.517495
-2191.50928,955,215.956129
-4151.201823,2288,218.891842
-2556.311396,863,220.111367
-3909.770247,1465,222.044958
-3313.936897,880,223.269592
-3792.80023,1353,225.063309
-1304.079697,574,225.904615
-3485.630213,1051,227.672562
-3770.906423,810,228.809758
-2100.921475,902,230.060734
-3734.320763,810,231.165273
-4358.421861,1982,233.731358
-4021.190619,939,234.997369
-3822.96676,1629,237.133187
-3997.231417,954,238.436383
-3908.969687,1679,240.606521
-3879.675228,1449,242.534292
-4075.216766,1633,244.69529
-4024.793035,1579,246.770867
-3932.150229,738,247.788323
-3765.203402,1528,250.171701
-3799.281436,1792,252.513874
-2435.245546,565,253.337978
-3562.151277,828,254.488199
-2971.785356,1137,256.035913
-3675.507156,517,256.786315
-3752.796358,1066,258.241078
-2607.440501,578,259.067295
-3560.544373,1896,261.555308
-3983.188148,1625,263.68778
-4004.736823,1860,266.110439
-2528.710813,1917,268.601053
-4054.460935,1874,271.392257
-467.86017,1529,273.393535
-4748.873697,3476,277.819379
-1652.150944,777,278.895138
-3926.965337,1600,280.993794
-3015.570037,1079,282.441228
-2817.590799,2463,285.583337
-2910.851282,1908,288.055268
-2864.777241,684,289.007242
-1802.083275,1005,290.362254
-3803.051787,710,291.358591
-2380.066189,882,292.572038
-1203.311429,788,294.007391
-3692.203181,1604,296.125882
-3901.396734,3227,300.270923
-3875.440061,1504,302.269693
-5024.877138,5175,308.76785
-3629.891171,823,309.886111
-3990.833611,2925,313.600521
-2346.166084,1932,316.472742
-3818.759164,1033,317.858385
-544.92095,5478,324.765248
-1834.014117,880,325.985736
-3804.146021,1235,327.647493
-4316.621056,2737,331.113785
-3360.289011,796,332.215968
-3788.777342,1072,333.657266
-4515.530618,2008,336.618097
-441.458364,801,337.732766
-1640.199413,573,338.568999
-1993.22863,2841,342.194699
-1765.208192,695,343.166376
-880.120168,2639,346.551864
-3824.916259,1421,348.421987
-2029.303097,606,349.31224
-3686.414202,1135,350.819701
-3271.109256,1716,353.043092
-1072.819411,963,354.342515
-4529.074782,6202,362.426925
-388.99237,681,363.376419
816.465041,1202,364.969784
-3103.572848,1299,366.696289
-3016.903995,909,367.944948
-2199.758483,1890,370.356767
-4918.298043,3764,375.114807
-2375.192177,906,376.36622
-279.711935,1100,377.816681
-2263.190914,739,378.854998
-805.370466,3121,383.156785
-1253.366317,1680,385.312238
-1698.198878,488,386.017941
-1687.329497,992,387.334238
-1813.398677,873,388.515013
565.938086,2622,391.837463
-160.316727,1605,393.907771
-1739.275318,885,395.113424
-571.302929,1014,396.465649
299.741506,3151,400.451993
-1633.064132,537,401.565924
-1273.196277,1217,403.171794
-1537.094122,897,404.386644
-900.38731,842,405.530625
-642.856817,1201,407.122089
396.811192,1967,409.653318
-774.698918,661,410.576032
-1495.445647,3030,414.389745
268.448455,1371,416.178602
-1088.966456,519,416.927213
-2315.265649,2085,419.599417
-2799.51275,1244,421.235943
-120.666018,2340,424.591014
2200.722511,3065,428.497144
-2779.710597,1237,430.116137
-1087.590392,1773,432.388447
1034.044832,2139,435.109225
-879.033833,2655,438.483182
-621.337621,3093,442.336407
-1029.538485,914,443.573566
372.796831,2031,446.55748
-864.048168,1155,448.081053
-660.848575,1009,449.425621
-1010.672911,551,450.232563
-639.451071,3326,454.380506
-2594.088929,1349,456.151839
894.482138,2419,459.244772
781.471251,2332,462.197262
284.527595,1363,463.993731
-1601.343342,1859,466.731359
2162.043253,2585,470.042081
2518.903613,2179,472.853943
-3432.979439,2295,475.744175
-1675.535277,547,476.53678
-847.111044,6339,484.509837
16.684483,4822,490.980165
306.317537,947,492.236192
1163.049784,1505,494.201562
-2079.430875,1445,496.084785
-438.246684,955,497.37053
209.039121,929,498.605945
-1824.291003,1039,499.996751
603.200786,907,501.208022
807.385847,2830,504.782486
-462.82061,732,505.797391
-318.783682,595,506.645458
-938.805376,2220,509.858494
1191.40557,1036,511.227547
-793.652023,1504,513.190756
16.783609,3893,518.090953
-1632.953095,1009,519.471819
1311.742462,1912,521.959044
2026.761407,2033,524.571494
-133.992122,2200,527.399379
1397.282724,1950,529.899218
-1198.36271,720,531.279222
1075.281041,1370,533.081317
-1612.295714,1028,534.451927
3833.674631,2368,537.492928
2869.446322,1341,539.257987
571.547083,1346,541.01051
80.340366,932,542.250732
-2443.039435,862,543.432441
113.374221,3565,547.897021
2333.54601,1944,550.36232
-3525.546593,1791,553.13144
-486.916223,844,554.286327
2027.412665,1492,556.213995
-2433.551418,1006,557.585094
-262.495229,2337,560.576339
-3615.408665,1911,563.023737
2837.858717,1260,564.680418
2193.424729,1344,566.451015
-1146.178329,659,567.372478
2258.70562,1476,569.289036
3120.246497,1336,571.060554
2002.290511,1173,572.603969
1283.532251,969,574.270089
5810.93429,1894,576.701609
3186.946259,1727,578.928135
1331.663397,866,580.099477
-1891.299488,1486,582.020572
-1575.29922,1319,583.748363
401.552385,1544,585.732059
1824.642611,930,586.983135
-501.479919,1037,588.360557
920.282066,1146,589.87695
2720.816626,1363,591.680073
2551.942985,1544,593.662448
1600.045997,1675,596.192458
1189.515829,1150,597.695467
112.543915,1151,599.229401
860.557498,1468,601.14748
1689.582247,1150,602.674539
2358.316117,1367,604.45441
-1134.039201,2296,607.408617
1010.527927,788,608.477092
-1583.995929,1638,610.595571
7021.461824,2068,613.264772
4858.03217,2075,615.918101
3211.627968,2466,619.424843
1720.442799,1960,621.970849
2888.720568,1248,623.605576
834.725814,3104,627.506147
3444.896071,1509,629.462592
2981.345885,1673,631.638589
4063.612335,1325,633.387586
2178.024053,1008,634.745004
1682.871493,1025,636.12367
1809.969901,1914,638.607615
2528.35213,1598,641.075722
2417.039164,1392,642.903221
2866.245043,1423,644.786018
4153.379384,1823,647.148095
2484.790861,1383,648.980271
3361.964255,1394,650.849599
2918.883363,1479,652.850229
2700.41865,1424,654.72861
5414.957158,2434,657.804617
5980.159561,2062,660.483407
2960.466011,1550,662.859941
4671.439236,2842,666.472891
2093.784957,1336,668.245198
784.221124,1342,669.996312
2676.423091,1239,671.64609
3915.324937,1227,673.267473
3069.377926,1273,674.954928
3193.021413,1590,677.035485
4722.49476,1762,679.33699
-951.337591,1419,681.212167
1522.922164,1505,683.524065
3652.764797,1691,685.736105
5067.311768,1964,688.269439
2926.272108,1569,690.32846
8047.442603,2557,693.634888
4370.420412,1474,695.584323
3491.111138,1519,697.588349
86.814783,1121,699.098018
4990.145994,1542,701.135223
4129.576912,6701,709.833341
9236.646245,3471,714.180547
8548.217459,4407,719.686645
3848.544875,1253,721.342122
33477.268619,7981,731.647496
4828.852308,2028,734.304192
3302.672758,1252,735.972852
42189.169414,10001,748.757091
1342.43231,1299,750.465907
4703.758182,1703,752.697508
-51.751167,1015,754.056289
1362.734589,1904,756.524711
47674.303946,9070,768.077087
3855.187112,1374,769.897197
-602.211188,2513,773.124319
2264.277689,1505,775.13257
14869.741361,3723,779.855107
23804.383223,4358,785.331611
3298.294076,1882,787.775341
6195.93922,1849,790.550878
3018.624844,1266,792.243555
36856.903771,9666,804.268857
2433.013603,1435,806.153145
4862.515702,1394,807.9813
39578.418058,8481,818.937706
48283.581481,7588,828.354707
8253.959062,2581,832.041744
10326.306184,3807,836.871498
8009.086854,2235,839.752609
34575.35493,6769,848.103329
4284.819275,1467,850.00721
4187.703145,1820,852.701305
40798.139834,9158,864.197719
47935.047126,9030,875.827356
48544.841463,7667,885.339657
44691.059108,8395,896.116143
10147.556187,3507,900.559417
2522.625443,918,901.807057
2175.003834,1288,903.492804
3781.039742,1264,905.179195
47811.787327,9820,917.781589
48615.22236,8778,928.707885
18799.917635,4335,934.199031
1945.310594,2971,938.383888
9415.042415,2799,941.975079
4120.645155,1600,944.058586
8479.951645,3221,948.19456
2882.783932,1252,949.87921
6787.705347,2224,952.742716
1261.946319,1035,954.117348
30922.03943,6258,962.340703
4434.301419,1615,964.447153
4149.109301,2235,967.297117
29685.62645,6186,974.947052
6310.200322,1946,977.815439
31972.543171,6384,985.791175
7512.766371,2761,989.331432
32621.099442,7457,999.090262
27348.882251,4153,1004.322904
3263.216094,1578,1006.375036
4354.297134,1469,1008.299127
5309.597957,1580,1010.365
5098.236582,1480,1012.293264
3049.087734,1150,1013.810453
40442.441044,7346,1023.289046
48246.450781,7614,1032.768261
13413.195984,7889,1042.882577
48343.287231,8066,1053.004411
3595.884754,1290,1054.713863
19364.42691,3256,1058.836712
5411.667194,1859,1061.248323
41365.876717,9961,1073.933804
47996.211611,8411,1084.85489
2967.419448,956,1086.151767
47889.650378,8381,1096.606718
31415.328304,6231,1104.659976
4239.600964,1548,1106.68829
-5352.146657,3552,1111.275714
15537.662611,4438,1116.88897
4002.214394,1144,1118.420042
9178.080261,5086,1125.130784
42646.553337,9917,1137.324704
18659.710902,4295,1142.813365
4168.136538,1123,1144.321343
12925.610586,3586,1149.23352
48352.93919,6988,1157.98745
48114.128162,7915,1168.195816
12163.006465,3310,1172.391446
15974.650029,4019,1177.458174
48374.892222,7740,1187.49314
3940.916707,1316,1189.264354
23021.953068,5312,1195.881355
31244.008816,5664,1202.897998
4048.211237,1142,1204.435707
44031.04216,6845,1213.334154
12526.541932,3545,1217.77493
48358.329734,8301,1228.15484
27960.968136,6032,1236.059221
2867.869268,959,1237.352309
3801.565256,1306,1239.101425
