#{"t_start": 1697831387.6649692, "env_id": "fullEnv-v0"}
r,l,t
-1899.591947,460,1.240085
-3307.457143,732,2.368572
-3338.069418,794,3.56064
-3701.290921,774,4.764206
-3918.514647,1371,6.81306
-3667.07133,851,8.149248
-4021.681182,911,9.485564
-5275.019324,5068,16.469639
-1325.745372,1164,18.14243
-2988.232415,727,19.236171
-1314.601954,1224,21.003177
-2157.380539,783,22.154568
-3475.674517,718,23.222143
-2382.87842,891,24.866469
-2170.22992,494,25.63264
-4085.628121,1461,27.666353
-3625.157316,1004,29.129544
-3683.042033,1327,30.982381
-1778.075706,449,31.680685
-3547.418373,1363,33.619454
-3687.418699,907,34.941142
-4138.27704,1358,36.840208
-4116.091102,2536,40.260474
-4449.298235,2683,43.884684
-5415.779241,5819,51.945615
-2919.876144,3751,56.987504
-3652.973029,624,57.944265
-1926.162379,1077,59.480536
-3155.877613,742,60.562253
-3876.724913,1140,62.168786
-2717.456168,3421,66.801066
-4178.47887,2699,70.833172
-2809.680478,1802,73.33135
-3370.527236,1122,74.924899
-4202.393218,2439,78.228947
-2610.981039,543,79.065282
-3861.591298,769,80.205158
-2907.648123,1019,81.655938
-3356.222724,757,82.773504
-3627.831249,686,83.79687
-4254.005175,3109,87.954209
-3320.050788,821,89.16507
-3444.506499,1579,91.352682
-3097.132574,1579,93.917379
-4377.426368,2432,97.204684
-2585.648978,1415,99.188499
-2771.626674,2452,102.495034
-3735.928041,834,103.709478
-2317.899742,1029,105.159924
-3040.643868,2253,108.224843
-2516.10066,2601,111.745659
-2431.245269,5518,119.493227
-912.514987,528,120.305716
-3613.67691,3897,125.494865
-3749.435746,2130,128.381431
-3291.463421,1311,130.228635
-4076.234849,1225,131.961835
-1245.179886,4528,138.012244
-3942.34374,1930,141.037813
-2360.021221,570,141.898018
-4499.577944,4924,148.434864
-4062.484994,7016,157.714432
-3371.80473,5743,165.688815
-2051.021135,998,167.102054
-2287.955294,1312,168.945006
-1803.203896,608,169.8853
-4689.718203,2676,173.502461
-128.887614,2332,176.702474
-1624.638133,690,177.723843
-3656.52654,2245,180.737134
-2867.798303,1897,183.341152
-1595.444084,2656,187.343656
126.105087,1654,189.605873
-155.803668,4109,195.057704
-4299.737293,2512,198.459576
-3299.377661,1272,200.242463
-721.125998,1375,202.12411
-3041.067237,1132,203.730791
-3144.64931,3886,209.290425
-1380.673196,1716,211.637703
-4606.133148,3072,215.73497
-1834.064794,2201,218.708371
-507.322632,3315,223.17025
-2136.654358,858,224.415692
-2476.607903,1032,225.918961
-878.21635,1420,227.863587
-2376.227671,1920,230.884532
-1501.946777,5543,238.240923
-3968.06171,2943,242.195972
1254.555889,1813,244.69233
632.915396,1509,246.785116
-1472.769039,618,247.716516
-535.713927,4264,253.761606
-2923.785952,903,255.071274
-5347.049637,4748,261.40911
-3306.060317,2192,264.349204
-750.468377,1186,265.997521
-4094.01463,1925,268.617377
-2384.216088,3082,272.748886
778.487092,2445,276.429209
1987.66768,3552,281.203643
-543.308603,2496,284.551467
-3862.875494,10001,298.129105
255.918801,3859,303.305093
1427.335372,1853,305.839104
305.450876,2761,309.604902
-917.15408,7024,319.286492
-707.588199,5104,326.130084
658.087774,1961,328.816685
740.032132,1136,330.395478
441.017133,1877,332.973608
-376.768402,4365,338.764783
-87.703425,3316,343.662709
730.679269,4110,349.225322
151.07316,3440,353.823932
-2141.071993,552,354.679662
-641.13713,5737,362.310504
-3566.769973,962,363.71253
-1956.268922,773,365.241464
878.346894,5046,372.080014
-977.79964,3580,376.951912
-86.809796,2911,380.919949
1569.000841,2172,383.894845
-552.387966,1974,386.593825
2253.038196,1913,389.60006
238.131434,8707,401.082558
-1009.581659,1031,402.54419
-579.139467,7186,412.439328
289.874438,1663,414.761553
2058.674351,3734,419.807911
-512.299761,752,420.90403
-332.663131,6309,429.388055
1691.833826,2800,433.617296
-729.492237,6888,442.719509
505.060789,2988,446.764706
1483.378427,1780,449.210713
986.790706,2611,452.736224
1029.563509,1524,455.260759
-1105.588585,1755,457.63922
1252.099153,1677,459.982552
-898.561114,662,460.977413
1698.513906,2015,463.766351
2187.330778,3671,468.769956
253.627427,4244,474.525901
-627.40073,384,475.149738
-319.34347,1363,477.439489
2563.178471,2164,480.390878
916.216149,1558,482.545604
2724.715231,3001,486.621842
258.235652,3501,491.36036
790.828387,871,492.613039
-1430.225236,544,493.433686
-35.765527,7275,503.461403
1622.726583,5988,511.512275
1626.049102,1832,514.074288
1427.263648,2226,517.128861
994.047567,890,518.411174
1422.460039,1540,520.544054
1626.411896,1796,523.393974
921.625409,2488,526.831984
1502.543312,1354,528.734482
-2474.218254,1960,531.412452
1458.528551,2106,534.31853
-711.955813,458,535.053624
1934.925841,1192,536.716822
-1745.058146,1053,538.223372
1273.654552,4848,544.695627
1426.786753,2485,548.428157
1967.756464,2430,551.72821
1373.346397,2483,555.079776
2494.848355,2922,559.02499
779.821501,2284,562.090424
2562.214757,3434,566.697067
1997.735173,2153,570.043055
1951.617679,2096,572.916136
1327.327198,2874,576.865696
781.538934,3719,581.897323
1301.275259,2037,584.671301
1153.242527,2524,588.164147
2232.011469,3527,593.25614
1965.073661,2247,596.323054
846.426144,5058,603.113962
833.435831,2471,606.452072
337.926105,882,607.711912
1737.290158,2002,610.474499
2417.866497,2410,614.179644
2495.418147,1612,616.442926
876.522481,1527,618.575945
2576.398635,2561,622.080016
2293.306485,2635,625.682505
2197.263178,2264,628.783466
2775.577495,2997,632.875108
1465.951763,1482,634.949965
589.041759,631,635.908656
1913.531998,4550,642.28946
1231.055897,3019,646.330661
1003.310877,2762,650.048174
3240.43409,3677,654.968088
2358.787727,2488,658.357229
1951.996232,1497,660.812294
15.386693,5855,668.58054
1189.525749,3436,673.285349
-1414.281769,601,674.185265
401.817569,3851,679.354928
-514.2472,6135,688.039939
-23.487626,1533,690.121645
907.786856,4688,696.400536
-898.516058,606,697.307485
2609.783617,3175,701.600092
1410.228599,4111,707.534037
1319.318423,3727,712.524537
2518.751095,2587,716.056843
1138.193619,823,717.252589
1006.275342,5837,725.027988
1628.308207,2174,728.401859
2733.416311,2737,732.099801
2272.71221,2083,734.951904
1081.47289,953,736.295861
2758.535829,5456,743.637357
1250.568971,750,744.712008
3057.416698,1921,747.368558
2377.588894,3415,752.408137
1631.918965,5608,759.887938
2215.017689,2518,763.330105
1344.359,6353,772.221595
3477.162388,2501,775.615028
2890.288726,4232,781.257785
2364.054757,3004,785.311474
2253.76287,2293,788.411393
3467.227501,1988,791.122513
3642.822412,4054,796.974444
3089.504748,1831,799.5741
2738.035363,3137,803.989949
1824.87164,2671,807.803052
2701.891266,3090,812.173541
1395.63247,3630,817.752092
683.823792,1931,820.486981
1590.288735,2734,824.405093
1708.009414,2651,828.299483
2061.727747,3475,833.509265
2303.004198,3179,838.056836
4277.893228,2044,840.956864
1655.927228,1457,843.541006
2564.415362,1335,845.452869
2866.331323,2396,848.740402
1861.097073,2864,852.687829
2727.525916,2177,855.696909
1913.813148,1048,857.184869
3237.469377,4804,863.713182
3123.336252,3423,868.718393
2620.488494,2381,871.984951
2032.307035,1311,873.859142
422.967634,1858,876.438565
1735.609408,3552,881.259674
803.859736,1102,882.856071
1280.029374,2594,886.396894
1338.435013,4783,893.27606
3558.110712,2157,896.249848
4535.565293,2804,900.056232
2834.487815,4059,905.548218
2229.561284,1654,907.846318
403.338532,7342,918.117328
2761.023709,1998,920.870296
3041.698795,1855,923.466302
1609.407662,2896,927.418224
2280.075651,1298,929.225812
2473.430329,1830,931.78224
2062.131635,5842,940.101947
2361.786108,2071,942.942566
2377.4497,1157,944.587452
2777.955034,3705,949.584334
2724.072833,3102,953.816887
2600.43173,4303,959.972901
1615.566867,4924,966.695327
1842.007213,2310,969.894192
2858.827446,2302,973.095763
2058.355603,3975,978.845973
2007.378489,1635,981.114639
1495.455019,2497,984.567779
3615.795554,2451,987.893895
2172.81092,2710,991.608567
1522.468598,2062,994.482796
3329.462155,2420,997.810364
4044.357157,2120,1000.697523
893.985512,693,1002.087887
523.284649,6832,1011.326076
1615.514844,2441,1014.736925
2761.304348,6034,1022.863519
2268.879421,3036,1027.38644
1583.904115,2868,1031.318424
2434.128905,3583,1036.242553
2648.108387,3096,1040.486511
2058.579262,3002,1044.66579
5164.286052,3462,1049.837879
3507.379717,4867,1056.54271
2289.463987,3011,1060.758232
2024.615862,1906,1063.498411
1897.352478,3345,1068.042595
1570.790388,2097,1071.270238
2307.434113,4826,1077.730289
2353.918896,4229,1083.424299
2310.95281,4152,1089.071115
2890.623076,5999,1097.600305
3414.296189,6211,1105.918412
3189.272334,1442,1107.951259
2157.406954,2415,1111.261535
1555.884192,4668,1117.982129
2988.609868,3828,1123.172626
2436.543743,2594,1126.707279
2425.111233,4594,1132.890777
2386.566056,5278,1140.425047
1687.107456,2568,1143.99395
2021.815018,3233,1148.465954
2147.084981,1118,1150.053012
2736.975344,4270,1155.901806
2048.278495,8413,1167.801468
1185.667358,918,1169.225448
2735.910613,2238,1172.426064
1621.724443,1129,1174.138308
2934.338002,2854,1178.089749
2132.361622,4501,1184.728419
2433.044705,3443,1189.541936
2324.031958,1034,1191.059263
2875.576744,2558,1194.729247
9354.533368,9518,1208.197962
6980.964001,5776,1216.196238
1841.246661,4855,1223.197938
3219.120193,3981,1228.828441
1434.558385,902,1230.166398
6628.616536,5018,1237.565515
2524.004071,7369,1247.558293
2310.477442,3178,1251.898477
2650.625901,2169,1255.297453
2980.712384,2026,1258.090999
3698.66557,3051,1262.25221
2125.27987,1163,1263.890629
1665.838111,1250,1265.653481
3036.404644,2769,1269.44399
2058.992731,3748,1274.508406
113.028094,860,1275.751103
3220.164682,3383,1280.785816
3906.350425,10001,1294.022294
2971.161475,5738,1302.153651
2167.818057,6272,1310.639898
2459.164119,1473,1312.704735
172.230002,924,1314.02699
4817.832072,10001,1327.550089
2961.798888,1614,1329.815982
2785.549759,2961,1333.870565
2591.358661,3921,1339.195794
1662.230167,829,1340.382234
3551.133763,2868,1344.587983
3499.621414,3501,1349.372879
8925.640307,8813,1360.901338
3654.809659,4039,1366.680994
2561.097732,5393,1374.02085
8026.070389,6520,1382.689298
2549.429122,1118,1384.294754
2485.267823,3083,1388.491638
4122.750328,5642,1396.466477
2816.209802,1490,1398.555645
2544.392489,1135,1400.16425
3749.485708,4100,1405.607947
2341.574762,3216,1409.976175
25339.002949,9966,1423.423533
2191.916228,1731,1425.84494
2160.022276,1125,1427.455901
3179.306298,2874,1431.389252
6299.852587,5775,1439.584209
3355.335012,2927,1443.597874
2037.307923,1139,1445.225881
2270.358891,6910,1454.43746
2985.178655,4476,1461.150883
3151.164168,2216,1464.248854
2788.518154,1232,1465.9982
2453.756185,2518,1469.455024
2892.43882,2986,1473.547829
635.512177,741,1474.631687
3019.635734,3738,1480.137598
3048.398043,4139,1485.702704
2339.269101,2307,1488.894974
2198.571621,2504,1492.372076
2491.192558,3081,1496.581965
2130.806768,967,1497.977938
12696.560724,8938,1510.149799
2733.1716,5507,1517.713543
2746.9998,3449,1522.417506
3363.682831,3592,1527.690009
1898.911129,1572,1529.914589
3175.707091,5424,1537.332386
3322.325044,3693,1542.27196
2939.93661,4852,1549.201871
2725.631714,3944,1554.564907
2099.110215,1509,1556.673611
3406.924812,4488,1562.730237
3074.640826,4609,1569.043134
3142.131879,3570,1574.545451
2792.563068,2804,1578.700451
4219.558525,10001,1592.186339
2308.218217,1192,1594.194982
4032.671715,5420,1601.323524
2702.166853,8282,1612.414477
6827.517398,5985,1620.515288
2487.707672,1967,1623.1998
3179.917051,5208,1630.148722
3043.956685,4532,1636.161932
3500.110109,4462,1642.510952
2854.534762,3406,1647.081654
3838.119329,3697,1652.009525
2770.053153,7092,1661.778273
3152.449107,1341,1663.638855
1566.647092,1081,1665.130956
14714.384476,7397,1674.619228
7999.664797,6781,1683.821201
2817.519873,6314,1692.304773
1416.065685,1036,1693.737108
7445.128906,8110,1704.660618
1307.172942,1193,1706.296614
2850.804755,4853,1712.750255
2785.691664,3371,1717.256532
779.24301,765,1718.370417
2572.679113,3440,1723.066058
3429.496131,6568,1732.743017
2058.912848,1208,1734.500927
3886.310013,10001,1747.63394
1908.284711,974,1749.37897
1911.74039,1134,1750.948674
3261.657569,10001,1763.94321
3140.773152,3042,1768.023774
2227.791094,1472,1770.05443
4094.699049,4706,1776.622596
1508.344861,1994,1779.307787
23884.489613,10001,1792.080216
2848.953272,1255,1794.188061
20396.37875,10001,1807.119061
2641.218001,6519,1816.08546
2590.265429,4235,1821.715158
2018.066009,1113,1823.260196
2846.710346,1172,1824.90449
3448.800253,5678,1832.392158
4799.457106,9532,1845.068133
4500.742927,9577,1857.445607
6175.918648,6604,1866.331959
1849.333195,1474,1868.392597
4668.250024,10001,1881.793254
18694.754338,10001,1894.678625
3058.036389,3694,1899.601977
1465.732801,1045,1901.050736
3586.066152,10001,1914.65639
4085.896139,4123,1920.064408
4234.664568,6540,1928.989846
1809.374949,1389,1930.898833
3134.336575,6428,1939.472309
1306.359693,1097,1940.992411
3841.776128,10001,1954.441956
9149.183122,6443,1962.771917
2335.209079,7447,1973.318982
6792.278122,10001,1986.95863
4069.106808,3584,1992.161752
3537.807569,3357,1996.619128
2169.169831,1967,1999.436594
2669.758092,6581,2008.259999
1443.931204,1107,2010.008591
19007.154399,10001,2023.663244
3513.497852,3818,2028.889104
3545.62931,6903,2038.272603
21358.132781,10001,2051.177214
26926.592165,10001,2064.280811
1092.940788,984,2065.629692
15170.247191,10001,2078.907674
16725.070998,6978,2087.830045
3782.357875,4281,2093.418501
