#{"t_start": 1697840477.150946, "env_id": "fullEnv-v0"}
r,l,t
-2568.200162,781,1.69742
-1981.805521,1128,3.384656
-3704.816896,669,4.434758
-4637.666747,2143,7.362531
-3825.36161,1459,9.343124
-1313.116779,517,10.118735
-4100.506125,1615,12.289656
-3940.814074,2224,15.228987
-3483.669781,1980,17.824583
-3894.276054,961,19.166769
-4048.092329,4875,25.814964
-3302.746096,1298,27.595412
-4107.964379,2299,30.618785
-2506.340628,1873,33.121212
-1161.261398,875,34.346614
-3614.423707,1144,35.910512
-3966.328615,1920,38.469661
-2240.828007,639,39.39764
-3805.137603,1630,41.573665
-3668.853048,958,42.92573
-1545.957262,1354,44.764279
-3888.757655,1018,46.540664
-3899.461398,1151,48.130228
-1262.981027,506,48.907277
-3017.911566,764,50.00832
-3745.241943,1003,51.408444
-3313.365222,1429,53.363595
-4040.90888,2111,56.159877
-819.325932,707,57.180242
-2921.517312,1324,58.986534
-4356.017778,2395,62.16416
-1047.563035,1185,63.794308
-1755.943404,430,64.455704
-3648.314286,732,65.508208
-4133.318489,1601,67.682439
-3524.344083,1302,69.830337
-3233.415636,823,71.011354
-3997.927528,2232,73.964611
-3523.125651,1011,75.390944
-3869.338823,1819,77.789782
-3583.420819,1026,79.209339
-493.096773,920,80.49096
-2715.043268,579,81.335488
-3449.199431,1023,82.756568
-4184.24501,2208,85.689007
-3743.787256,9372,98.09884
-30.467664,4544,103.946162
-1252.040699,572,104.785174
-3036.282039,1476,106.775415
-3199.068045,581,107.620417
-3255.208284,2495,110.895211
-3157.573432,1019,112.302681
-4282.104165,2181,115.551474
-1265.001896,486,116.2807
-999.878648,559,117.106903
-58.115548,2585,120.497284
-1742.007684,1925,123.026191
-196.588608,1952,125.616218
-2685.750642,2172,128.468604
-1012.867864,1033,129.896619
-4714.58983,3894,135.331461
193.564556,3372,139.810949
-1035.941876,932,141.122155
-598.80928,3436,145.61606
-3688.576833,1507,147.656878
-3930.970299,1260,149.396495
-3511.600882,747,150.461352
-3764.68084,2093,153.238464
-987.750791,1240,154.936646
-3741.278257,1587,157.083701
-611.461027,915,158.767654
-5015.772076,2331,161.840238
-2076.9396,1905,164.381435
-3909.892799,952,165.736386
782.141682,1723,168.043059
-601.148402,1497,170.066576
-1863.508019,1880,172.578628
479.20223,1029,173.998953
521.920808,2201,176.974257
-47.549768,4101,182.720071
-1649.50109,694,183.724734
94.704774,1781,186.131089
3.442643,1179,187.720278
-2901.20028,1901,190.237308
-442.654821,1662,192.442202
-1766.370243,545,193.241519
-744.217722,3460,197.79621
-2795.679759,805,198.939904
-1164.760066,1659,201.159762
-3179.263297,4157,206.945807
-31.754089,1602,209.102957
1183.187544,2545,212.433246
-2370.358283,1918,215.003113
-1032.021977,597,215.862564
-1203.788119,1792,218.208804
-4589.591982,3073,222.207243
73.25526,2363,225.70432
1537.417763,2049,228.404949
-837.653805,459,229.131771
-1596.223781,1082,230.617315
1002.934005,1090,232.117749
-503.260376,2286,235.104955
-3891.478418,1287,236.84278
972.985081,3986,242.043563
-1588.219956,496,242.788296
-1512.439137,785,243.904068
-1414.805638,968,245.249727
73.522651,1520,247.698616
1104.908419,1333,249.48439
-695.953676,1037,250.899652
-1773.038014,1448,252.851044
-883.741059,1268,254.576288
609.204632,1335,256.416215
-1227.569256,1194,258.042813
-1724.542727,849,259.227593
567.691249,964,260.572469
2228.548303,1796,262.978303
940.429803,1227,264.652551
-765.160637,3552,269.702577
-932.734475,934,271.006152
-230.417948,2563,274.426738
-3068.871002,1972,277.077478
-907.301009,554,277.900141
1660.159137,1282,279.677292
285.252886,1197,281.29821
890.738801,1131,282.862378
-291.067776,1277,284.603499
567.322249,2257,287.590116
-1475.013214,542,288.379517
-1514.32815,649,289.311674
1412.376474,1638,291.533315
-3046.637817,1141,293.477526
1635.070136,1374,295.318974
917.659191,1513,297.346753
-186.104732,1566,299.466618
3270.675815,1569,301.594264
1155.581656,1790,303.97628
2712.871073,1342,305.800652
2921.290406,946,307.124385
1920.986994,1826,309.5403
-3356.599661,972,310.864997
-2436.086545,658,311.821868
1842.363236,1025,313.248057
1112.08802,776,314.730941
-3970.305515,1511,316.781623
1683.040815,1152,318.365583
1285.124809,1860,320.835448
-2445.00472,565,321.665796
1841.428344,1361,323.549556
2866.018151,1334,325.386574
11.966189,955,326.7272
2651.057044,1300,328.496003
516.16518,773,329.584978
-534.511296,1813,332.008709
-3119.923333,2515,335.287379
-1472.924253,579,336.138672
-1157.11566,504,336.892298
2046.252737,1339,339.091261
82.013229,1780,341.44243
1398.724012,1450,343.39573
-981.477833,780,344.497123
-2486.531025,2281,347.479495
131.789075,1063,348.926351
2288.785346,1562,351.028023
2977.140324,1286,352.803805
2066.373456,1136,354.353345
457.213554,1676,356.603028
-1072.754654,490,357.324661
3525.762998,966,358.669783
-247.662588,1439,360.96065
786.008826,1371,362.83783
1590.99284,1520,364.897406
2882.340426,1242,366.609008
3455.472449,2129,369.441417
3052.997835,1223,371.121411
1740.728064,1735,373.45398
929.414336,1797,375.874854
3368.684731,1423,377.81271
2525.563417,1387,379.7001
-1167.021581,1176,381.29705
-639.683171,1577,383.804816
3241.889387,1386,385.697721
1594.850173,1404,387.624062
3143.114419,1042,389.065954
4707.260489,1577,391.183202
2656.238669,1385,393.061757
1045.870991,1728,395.38225
831.452259,945,396.689331
3005.534225,1139,398.244193
2363.028909,1758,400.601649
1544.749904,1750,402.946211
-1300.908235,559,403.771309
2551.30821,1559,406.248343
3420.841666,1389,408.143087
3057.361319,1423,410.074963
1680.136093,1402,412.008931
1738.461509,783,413.125329
1081.197556,1685,415.410559
1012.905048,1801,417.854311
3603.490859,1780,420.253882
776.55311,1809,422.711745
2304.199559,1640,424.905333
1675.92543,1549,426.990542
2695.701131,1431,429.419328
2756.379308,1576,431.545127
2413.303728,2076,434.316463
-1253.842665,888,435.559521
3513.193033,1446,437.509591
3290.405349,1390,439.395486
1802.845667,1355,441.275484
3770.563778,1510,443.332074
1949.656444,1495,445.355481
1212.86943,1584,447.534046
3971.904729,2069,450.665414
1989.964624,1582,452.836519
2341.376678,1686,455.120758
2796.488295,1183,456.776001
2695.851824,1339,458.609543
2935.111137,1350,460.453559
-605.503773,840,461.634559
2976.300442,1535,463.752155
3160.775805,1496,465.78563
2648.67563,1061,467.263535
2931.100942,1289,469.037204
2682.389221,1329,470.868256
2260.879629,1602,473.434815
2565.977612,1785,475.853019
3513.096863,1643,478.072327
2438.928273,1173,479.699675
2698.058835,1447,481.668858
2086.092198,1505,483.723365
2366.148294,1449,485.691609
4022.91244,1418,487.609104
-801.296897,603,488.512057
3028.681824,1490,490.542522
2297.713891,1988,493.197923
2531.891794,1364,495.077251
2427.18841,1394,497.376104
554.087946,702,498.396275
2739.476146,1384,500.304377
2895.195625,1506,502.374216
2021.408465,1409,504.321649
4396.407986,1764,506.711921
2839.394886,1376,508.611441
3024.863002,1388,510.531972
4021.4009,1763,512.910651
3642.747205,1591,515.071875
3286.767698,1627,517.287514
2666.988259,1517,519.737057
3884.729611,1637,521.946633
3081.285906,1432,523.902266
3703.688141,1571,526.029602
2499.207173,1749,528.386326
2767.02449,1457,530.376632
4107.540732,1561,532.510313
3482.951913,1735,534.857851
2781.852313,1575,537.001646
2309.728672,1650,539.220312
3229.205656,1380,541.108707
3474.562253,1648,543.736632
3212.145874,2057,546.522757
3479.262169,1783,548.921898
2794.580267,1592,551.10509
4604.756233,1557,553.229172
3346.316923,1618,555.426162
3025.865651,1684,557.726629
3023.640942,2183,560.636747
2417.972177,1508,562.709109
3348.704996,1752,565.4716
2509.133654,1706,567.783512
3002.109148,1594,569.947965
3124.190655,1949,572.560718
3091.185766,1624,574.758207
2456.061668,1553,576.887771
2527.815643,1812,579.337374
2185.328048,1699,581.619504
318.145122,919,582.896865
422.871649,781,584.003555
1795.510186,1684,586.26908
2214.905971,1541,588.783906
3876.261526,1745,591.151224
4288.721204,2129,594.022577
2593.793961,1755,596.412979
3354.467102,1596,598.553069
2501.29339,1754,600.962032
3053.941052,1508,603.023207
2661.915011,1413,604.964087
3325.657127,1723,607.29496
2919.984641,1681,609.965195
1837.541158,1950,612.608239
3334.234181,1533,614.673051
1799.316635,2190,617.588078
2705.332825,1710,619.904795
2936.819042,1495,621.947145
4748.590756,1808,624.384076
2939.515233,1362,626.251544
3456.519775,1478,628.250644
2201.186467,1454,630.242573
3407.351797,1654,632.885734
2489.192547,1821,635.345807
2499.177773,2048,638.112751
4207.468343,1811,640.574769
3369.543958,1768,642.964221
2386.43959,1746,645.328487
2403.944737,1660,647.596636
2929.218073,1745,649.943488
2457.741582,1717,652.280477
3479.814256,1763,655.017837
3882.659926,1619,657.209038
3974.073506,2123,660.0543
3329.054206,1655,662.309782
5483.803501,1890,664.838989
3123.026435,2071,667.620884
3155.207544,1773,670.021346
2905.649042,2101,672.851705
2842.429047,1868,675.360283
3943.912984,1814,678.197922
3162.798824,1871,680.719647
3105.159464,2255,683.771079
1880.763382,1622,685.984214
2112.5973,1479,688.004433
4195.043338,1538,690.081486
-1708.682613,908,691.354463
2771.725623,1873,693.898188
2706.491028,1665,696.190057
5056.178134,1724,698.503729
3089.720857,1746,701.23448
3517.853793,1534,703.330657
2830.215528,1678,705.623156
2918.927484,1421,707.579232
2407.21955,1636,709.784063
3831.186357,1553,711.884063
2651.351768,1837,714.357494
3492.830808,1707,716.673064
2281.349494,1469,718.702342
2687.521164,1855,721.195382
3305.105323,1670,723.802194
3779.513679,1881,726.331842
3525.892829,1729,728.666721
2767.424216,1935,731.26287
4380.826416,1680,733.548108
3737.729441,1717,735.883034
4021.984238,2014,738.597675
3700.834884,1849,741.094097
4516.992506,1933,743.661961
4241.973017,1873,746.579194
2222.483562,1752,748.94464
3457.048025,1871,751.426221
4154.682418,1551,753.532711
3823.181835,1779,755.913524
3551.825379,1604,758.070762
3071.928813,1986,760.707294
3083.39209,1392,762.586073
1541.281854,1426,764.547796
2548.391537,1793,767.346766
3557.564819,1681,769.605628
3444.312433,2025,772.304936
2269.607815,2046,775.026428
4508.082428,1736,777.340573
409.563333,1223,778.997473
2927.497541,1672,781.23408
2783.786524,2170,784.111875
3944.87289,2136,786.945004
2122.892763,1848,789.743244
