#{"t_start": 1696434420.9881163, "env_id": "plainCPGEnv-v0"}
r,l,t
-1902.164521,1089,1.944682
-2064.674687,501,2.451237
-1823.779256,528,2.973736
-2601.645859,1108,3.956155
-953.812947,893,4.803385
-1690.944596,635,5.414368
-2459.742909,920,6.26384
-2375.848708,645,6.885709
-2861.806715,2757,9.274074
-2062.472786,891,10.094284
-2154.100722,997,10.991917
-1817.504114,1419,12.266725
-2240.416435,658,12.895891
-1682.505422,857,13.695707
-2213.533694,419,14.133376
-1586.984304,545,14.673495
-2393.923706,1110,15.683297
-2336.691351,599,16.62142
-2252.582763,355,17.001642
-2170.277186,1251,18.115477
-2150.505865,876,18.932437
-2310.718446,523,19.446574
-1966.279067,406,19.866648
-2483.838233,1757,21.433649
-2126.443568,381,21.845909
-2328.452139,608,22.461383
-969.382343,600,23.05478
-2429.35796,1046,24.023921
-2398.188335,910,24.892898
-1301.38073,666,25.535026
-2368.14362,781,26.270782
-2816.975206,1837,27.86769
-1717.544022,1201,28.964726
-1797.563616,1491,30.289298
-2668.924142,1050,31.242343
-2248.511549,449,31.709277
-2355.108755,1393,33.275971
-1175.153122,1328,34.458168
335.092739,715,35.133888
-2346.464656,991,36.025657
-1317.498183,1461,37.318355
-2285.45446,1337,38.504448
-2167.789882,1956,40.201181
-1741.982591,940,41.063186
-1092.084086,379,41.470509
-1403.211818,861,42.279111
-1434.186341,1902,44.00437
-1737.758688,1869,45.635264
-2664.221729,2455,48.074192
-2301.914758,1416,49.326133
-183.036348,1586,50.707771
-2180.196422,960,51.571697
-2070.624436,1357,52.769094
-2421.392101,902,53.628647
-2418.190523,1193,54.715833
-2267.081123,751,55.44567
-654.241276,774,56.186934
-1675.548148,955,57.069581
-2327.148011,1711,58.55071
-1469.565799,1746,60.113935
-2362.118803,991,60.991261
-494.363476,683,61.621032
-2267.086214,1416,63.182306
-2219.370986,565,63.727535
-2410.251775,1723,65.192018
-2308.050222,651,65.806454
-1397.772041,1323,66.939692
-2438.466709,1091,67.90311
-1404.598345,1101,68.858805
