#{"t_start": 1696435365.3458734, "env_id": "plainCPGEnv-v0"}
r,l,t
-2105.414621,1403,2.059029
-2425.043971,2100,3.722368
-2350.806256,1403,4.861591
-2254.367767,463,5.291001
-331.908815,1202,6.268233
-778.261181,475,6.712519
-2303.316659,1195,7.705361
-2275.7277,637,8.264349
-2211.231838,507,8.726237
-2007.633855,658,9.307483
-2597.222812,2273,11.099202
-2258.858993,987,11.918705
-2319.771775,1246,12.94615
-2409.015235,678,13.537094
-2201.34045,1315,14.920987
-2260.223303,800,15.609778
-2167.369345,1485,16.804239
-2274.917257,548,17.325569
-2282.102748,1026,18.205183
-2438.020233,1106,19.124184
-2293.639039,1396,20.257716
-2438.184601,1441,21.434241
-2302.473405,1343,22.539512
-1702.143269,779,23.21611
-2348.840088,787,23.895514
-2224.37452,479,24.33562
-2337.218282,1332,25.416537
-1912.730139,787,26.091024
-964.176105,587,26.616657
-667.478079,1948,28.182881
-2008.260524,744,29.145827
-2488.45572,1402,30.296241
-1950.508297,715,30.932132
-2444.213232,1199,31.923046
-2575.842873,1868,33.441314
-1327.414673,668,34.031715
-1059.732987,677,34.627045
-1170.27409,1142,35.573484
-2648.107975,1748,36.999407
-2085.720006,370,37.371911
-354.911167,744,38.021652
-1556.417178,951,38.828159
-1218.746195,1118,39.761589
-2129.739613,636,40.335854
-1955.08814,1068,41.219527
-2135.719154,720,41.844153
-2597.258261,2118,43.875466
-2470.511264,1495,45.108466
-1150.194401,591,45.641422
-2162.514501,1350,46.755284
-2460.1827,1213,47.760626
-1916.159523,414,48.152009
-1055.885821,1050,49.039596
-1244.906247,915,49.829625
-376.30996,1342,50.938128
-2519.376233,1200,51.931203
-2292.188085,512,52.399371
-2403.519205,1582,53.671562
-2185.025464,449,54.098217
-1598.352542,680,54.707711
-291.668944,955,55.516952
-1226.082216,526,56.001721
-2464.349718,849,56.724285
-1905.85322,835,57.760264
-1377.518115,606,58.30788
-1772.996462,789,58.990928
-2249.638979,760,59.650959
-891.79514,867,60.41072
-2493.350414,923,61.187746
-2633.53066,1276,62.248172
-1729.263354,988,63.118308
-2642.475698,2387,65.009597
-2424.787575,1428,66.170062
-1169.256475,458,66.601872
-2287.100498,980,67.421899
-2478.976015,1043,68.298366
-1229.591777,688,68.908405
-1095.041426,696,69.507224
-1526.343539,634,70.073382
-2553.918486,1535,71.67469
-981.131331,895,72.436355
-1347.014663,1282,73.48888
-2086.840272,1260,74.558093
-2080.646373,944,75.352084
-963.538416,503,75.826537
-1857.813906,553,76.343271
-1236.969626,688,76.951528
669.426335,1398,78.100151
-1967.510416,1176,79.0834
-2281.224758,412,79.485456
-1333.860072,565,79.995537
569.680578,713,80.627673
-2440.696136,938,81.422598
-1048.796205,895,82.191349
-2431.176933,1394,83.336545
-2460.706942,1075,84.23876
-2458.69234,1103,85.175858
-2293.251142,1030,86.402649
-238.240681,817,87.119786
-1942.813081,1362,88.254343
-1101.649703,1146,89.22334
