#{"t_start": 1699031841.2340739, "env_id": "modulatingEnv-v0"}
r,l,t
-902.670428,293,2.285558
-1537.124991,257,3.763616
-1299.231578,346,5.345193
-2240.382262,276,6.776495
-1560.545824,267,8.260004
-2926.763207,523,9.971088
-1816.396826,451,11.583823
-2955.707713,725,13.472824
-1197.707839,304,14.918186
-1439.41477,262,16.355461
-1329.608316,390,17.890556
-2315.103744,411,19.481411
-1419.786139,331,20.99571
-1391.256335,338,22.522162
-3210.406514,470,24.171196
-1795.55782,339,25.705856
-1758.188733,313,27.201447
-1577.666075,568,28.937497
-1499.401937,349,30.469442
-1453.45989,240,31.918704
-1701.864415,248,33.363945
-1986.821635,386,34.944813
-2329.993899,564,36.692324
-1257.947309,250,38.164519
-2588.43136,509,39.84849
-2408.287293,332,41.40939
-1211.568969,318,42.930798
-1761.652792,298,44.455983
-1114.771372,279,45.966737
-2250.062945,427,47.606434
-1221.639335,286,49.10056
-2038.760281,404,50.699039
-2433.223425,493,52.345417
-999.979307,378,53.929467
-1597.563036,286,55.424908
-2948.32031,412,56.986095
-1819.319867,288,58.47877
-1235.725545,255,59.963905
-2157.36969,345,61.526495
-2289.811654,444,63.140387
-2209.080515,427,64.76694
-2148.515031,384,66.351536
-1402.16606,284,67.831378
-1664.840123,335,69.373368
-1477.75994,318,71.295576
-1140.992454,329,72.847046
-3080.783498,829,74.795439
-1449.593027,244,76.274354
-1444.545032,301,77.790896
-985.957595,337,79.330305
-2562.624397,519,81.036888
-1296.959637,260,82.505264
-1757.72283,368,84.081139
-1538.577216,291,85.550947
-1039.233061,292,86.989499
-2127.370274,365,88.532354
-2379.657417,406,90.122439
-1686.563724,267,91.612933
-2046.791858,520,93.323773
-575.04634,548,95.026151
-1908.21528,395,96.623085
-1371.905404,233,98.082765
-1386.930069,374,99.613553
-2744.02356,448,101.276462
-1468.478159,255,102.729509
-2331.633586,335,104.288166
-1363.695723,274,105.774008
-2062.930366,336,107.317825
-2003.922694,291,108.830711
-2552.699086,359,110.409694
-1288.552192,248,111.884136
-1374.539349,364,113.463367
-1223.876731,264,114.954045
-2203.623364,493,116.650987
-1830.903733,264,118.126256
-3338.343193,517,119.825973
-3264.867975,698,121.688294
-1833.936031,443,123.322669
-3626.47954,970,125.407722
-2264.139537,505,127.079485
-3687.546621,786,129.007855
-3613.601678,784,130.948221
-3160.763281,613,132.733446
-2405.052249,378,134.714431
-1174.651346,411,136.331667
-2232.98243,549,138.049662
-1687.666317,471,139.702816
-1193.248156,266,141.139249
-2251.978734,393,142.69243
-1822.006934,330,144.166194
-1829.985686,295,145.620287
-1699.111664,284,147.092267
-2793.529571,584,148.814509
-1445.785175,332,150.360039
-1466.492529,331,151.901616
-2201.585108,397,153.496886
-2997.68645,697,155.363341
-1112.459028,265,156.850806
-1382.350822,240,158.322241
-1229.515281,273,159.759324
-1913.472021,365,161.290306
-1448.185762,392,162.869239
-1369.063334,284,164.376043
-1676.510086,398,165.962544
-1598.018248,248,167.44569
-3153.157986,478,169.123676
-1246.042728,414,170.723895
-2484.13855,448,172.366786
-1730.261986,353,173.91429
-1791.458035,354,175.465647
-1545.685447,258,176.887881
-2152.387825,691,178.720044
-2688.407986,491,180.3601
-3297.089247,947,182.406645
-1391.332178,250,183.866189
-994.03607,369,185.429518
-3037.363768,519,187.125273
-1349.289057,356,188.667964
-2187.530107,672,190.490673
-2665.936517,361,192.058691
-1360.224687,263,193.537389
-1427.637969,280,195.040481
-1359.836308,284,196.521067
-2087.671767,312,198.053113
-2101.810292,342,199.989736
-2990.301102,674,201.838058
-1384.001261,288,203.300519
-1902.739647,477,204.974514
-1923.432448,322,206.512885
-1783.875729,311,208.051266
-3173.891034,744,209.951646
-1642.099391,374,211.529534
-1594.720748,336,213.081998
-2813.829546,537,214.817549
-1975.503881,340,216.360144
-2248.717356,307,217.877064
-2127.882296,437,219.514174
-2059.868464,403,221.133802
-1612.164626,408,222.742643
-1961.477352,773,224.652319
-1392.437409,234,226.119406
-3725.430317,559,227.856676
-2759.861053,472,229.531726
-1651.54919,274,231.037209
-2264.925652,448,232.686383
-2283.113165,370,234.266437
-2489.299831,512,235.984729
-2805.874404,417,237.581223
-2270.501304,407,239.171659
-2732.355132,564,240.923358
-2657.281643,411,242.535219
-1878.301187,282,244.036766
-2193.063851,672,245.849078
-1472.01773,391,247.441055
-2274.427135,497,249.120247
-2728.685001,482,250.808454
-2294.875731,288,252.309351
-2604.574635,448,253.960458
-1710.430314,298,255.492905
-2440.609637,434,257.076674
-1557.002311,359,258.586895
-2295.745102,345,260.133366
-1683.185645,425,261.709856
-1758.198592,362,263.646909
-3351.729287,718,265.46983
-1343.759869,385,266.959754
-2011.28094,416,268.484853
-2062.46836,412,269.99974
-2474.152385,487,271.579139
-1945.067221,357,273.090088
-1789.44923,458,274.641702
-2558.853132,390,276.133298
-3232.25663,630,277.850415
-2413.43142,837,279.77282
-1013.412372,416,281.290873
-1431.695206,281,282.721122
-1860.555747,354,284.249074
-1901.101428,399,285.821765
-1510.093614,282,287.232192
-1820.64929,552,288.894398
-3025.885502,365,290.40532
-1860.068621,337,291.82018
-1603.850737,422,293.408645
-2444.777785,360,294.924414
-1119.254647,286,296.390652
-2247.493746,340,297.914929
-2363.584833,395,299.454423
-2161.279843,364,300.931656
-1567.300404,258,302.402967
-1769.092997,678,304.216578
-2674.960694,504,305.897328
-2795.840162,482,307.518244
-2280.796466,495,309.153066
-1983.295039,381,310.719255
-2241.195921,322,312.241109
-1698.276569,548,313.913222
-1576.218185,304,315.403468
-2523.856911,473,317.059482
-1501.151417,335,318.576256
-2006.363034,408,320.188319
-1797.604152,333,321.655683
-1908.444039,330,323.622721
-1430.618894,301,324.989522
-2205.836178,466,326.396719
-2299.251591,320,327.755077
-1857.244689,278,329.163278
-1503.942771,351,330.582471
-1783.9547,340,332.068435
-1292.114568,391,333.616472
-2684.26553,571,335.387684
-2883.178981,430,337.081098
-2299.818868,408,338.731509
-1420.949338,250,340.217983
-1960.787283,390,341.856885
-1356.768054,278,343.206856
-1465.494541,394,344.48055
-914.557825,318,345.974356
-1703.581337,375,347.493265
-1784.480229,353,349.038138
-1447.930205,773,350.787752
-3826.756545,585,352.325319
-2150.22284,574,353.856552
-1119.181251,291,355.236796
-1605.087055,510,356.982527
-1476.855574,306,358.529674
-2015.650978,368,360.147445
-1856.58011,381,361.673875
-3396.875847,805,363.631739
-2059.386313,461,365.187493
-1991.688712,577,366.953966
-1857.343857,353,368.554091
-2577.43669,514,370.055712
-2096.353933,336,371.459442
-2729.169127,571,373.157142
-2450.969545,1006,375.157451
-1312.250267,271,376.488423
-2579.631242,444,377.954337
-1844.971019,392,379.462463
-1552.977109,225,380.919271
-2432.505647,477,382.948019
-1275.978569,382,384.519254
-1918.59657,380,385.951286
-2706.66138,381,387.38743
-2911.054686,444,389.010037
-2487.29653,643,390.869805
-1133.167798,426,392.383132
-1864.766265,558,394.034921
-2797.015791,778,395.738971
-1822.072485,362,397.326819
-2121.786678,349,398.674135
-2218.865165,668,400.485423
-1730.651776,309,401.955152
-2850.069291,776,403.890387
-2264.625677,644,405.747342
