#{"t_start": 1699900731.667802, "env_id": "modulatingEnv-v1"}
r,l,t
-1432.901375,258,0.981994
-729.890751,269,1.501113
-1891.329496,388,2.169649
-1398.74777,262,2.670981
-1627.192398,274,3.193361
-2289.138339,369,3.822251
-949.483617,284,4.31763
-2569.625585,414,5.017187
-1929.978064,399,5.692016
-1860.245323,350,6.28295
-1680.666454,950,7.701417
-1140.282887,302,8.243255
-1073.892783,275,8.731697
-1507.69359,488,9.488168
-1388.195806,272,9.958391
-2034.21328,291,10.461053
-2462.012849,363,11.070821
-1500.941767,288,11.565619
-2209.226706,429,12.258249
-1889.26118,234,12.673979
-1646.62612,304,13.2098
-1633.42085,276,13.690828
-1975.16286,297,14.202616
-2126.113911,397,14.837306
-2522.967517,391,15.474501
-1490.928732,284,15.967185
-1758.625096,272,16.448259
-1763.581558,244,16.888188
-1474.008258,278,17.371931
-1721.110074,356,17.968663
-2130.424976,326,18.509501
-1558.588757,242,18.943337
-1418.005299,226,19.363241
-1636.074751,249,19.809119
-1425.867554,236,20.24136
-3190.7002,438,20.92409
-1746.145192,324,21.469102
-1078.116659,267,21.937132
-1966.274259,291,22.441277
-2408.960144,371,23.051114
-1955.708854,1419,25.07212
-1778.25696,298,25.578929
-1481.662095,235,26.001945
-1435.140721,259,26.466252
-2247.18842,364,27.066632
-1866.338289,311,27.594033
-1797.741655,249,28.039037
-1653.375784,277,28.767643
-1558.400942,266,29.251993
-2393.337674,348,29.819016
-1538.465583,276,30.303515
-1287.144321,260,30.775983
-2018.922852,297,31.284496
-1491.519777,243,31.718991
-1395.355541,269,32.192968
-2277.433221,371,32.799469
-1695.47847,304,33.3219
-2257.555082,364,33.919353
-2176.429776,300,34.429007
-2208.716558,402,35.084376
-1381.75647,233,35.501228
-2265.196185,296,36.016343
-2763.283277,393,36.662657
-1821.66223,287,37.162287
-1430.502802,212,37.567366
-2048.238689,323,38.123499
-2974.340474,392,38.75605
-1966.289264,418,39.439373
-1477.351067,301,39.969604
-1217.669373,267,40.449292
-1550.421316,262,40.931805
-1440.026866,250,41.365686
-1247.506897,250,41.800298
-1828.192556,364,42.401623
-773.169764,279,42.878945
-1865.168297,364,43.485219
-1140.124719,254,43.943973
-1703.580414,251,44.411175
-2445.210714,465,45.143641
-2550.115339,351,45.737111
-1044.811981,272,46.215588
-1238.523344,300,46.716861
-1799.402959,312,47.260517
-2243.940447,383,47.888505
-1387.189258,269,48.364455
-1161.39393,239,48.794518
-1846.866936,276,49.284575
-1797.832024,314,49.833205
-1497.582544,274,50.311451
-1248.646007,249,50.781574
-1339.269529,313,51.317175
-1916.984279,298,51.827478
-1566.6195,219,52.238812
-1420.865357,248,52.67435
-1554.598122,292,53.173913
-1842.558272,301,53.708183
-1225.107445,279,54.186962
-2230.185248,370,54.805196
-1708.32026,232,55.241648
-1204.077067,256,55.697529
-2241.514145,330,56.247615
-1320.571278,276,56.967791
-2381.291553,332,57.523336
-2318.386177,391,58.151807
-1518.886954,204,58.553789
-1445.629041,277,59.036843
-1302.181129,212,59.443982
-2406.263732,329,59.998793
-2381.410063,421,60.674214
-1824.306066,270,61.152001
-1817.740403,290,61.654412
-1933.836486,304,62.187077
-1705.669912,298,62.697314
-1778.228977,320,63.247985
-1923.84521,336,63.806576
-1572.965791,292,64.311048
-2161.52117,396,64.943817
-1887.094759,335,65.498154
-1118.974359,283,65.977856
-2433.205434,422,66.653944
-1826.313913,325,67.205381
-2402.326496,391,67.838594
-2173.847755,391,68.468728
-1584.15264,287,68.970264
-1200.430848,255,69.433849
-1799.261599,258,69.896899
-1789.29442,442,70.590399
-2157.803889,333,71.148727
-1391.959784,240,71.583485
-1616.972849,284,72.073649
-1650.409037,242,72.509248
-1596.145359,305,73.048966
-1808.335431,307,73.579318
-1904.949622,298,74.089603
-2679.566912,394,74.715212
-1189.732949,252,75.174337
-2376.943137,321,75.723427
-1148.037575,282,76.207543
-1963.329222,289,76.708939
-1688.036586,260,77.179839
-2424.725964,351,77.773129
-2254.802537,306,78.307881
-1563.363905,257,78.777086
-2200.194091,337,79.346712
-1601.106629,269,79.833657
-1673.485534,261,80.307638
-1644.282292,345,80.880718
-1795.857763,265,81.354783
-1931.837694,313,81.889079
-2052.664163,276,82.37114
-2232.385211,323,82.915713
-1951.850658,275,83.399192
-1529.138167,275,83.882977
-1838.365654,447,84.585607
-2690.316903,303,85.369695
-1733.254366,286,85.874417
-2275.257614,375,86.489548
-1755.754061,274,86.973155
-1802.314679,285,87.468634
-1953.255553,412,88.142799
-2531.747376,346,88.724632
-1565.486671,292,89.219027
-2091.436712,407,89.894739
-1968.047228,318,90.431713
-2510.976498,374,91.043197
-2004.796793,431,91.73716
-2231.42815,296,92.238155
-2136.28469,296,92.7458
-1375.86552,283,93.24106
-983.303863,270,93.709809
-1842.908321,347,94.280971
-1176.730942,245,94.710347
-2043.601437,339,95.281194
-1467.287756,224,95.700411
-1228.039717,298,96.197916
-1925.719738,317,96.741343
-2528.123263,318,97.275811
-1697.273382,279,97.758119
-1566.628907,249,98.198963
-1623.631678,223,98.613201
-1247.492175,251,99.061877
-1482.067074,266,99.539011
-1410.48327,236,99.965248
-1838.534364,281,100.454413
-1671.003145,303,100.976514
-1592.501753,256,101.435893
-2232.102834,418,102.119506
-1391.052968,261,102.587769
-1568.7596,292,103.077996
-2008.418675,391,103.713072
-1761.723476,315,104.249935
-2466.023346,355,104.846764
-2026.249867,390,105.484146
-994.218646,285,105.971626
-1494.274499,285,106.465421
-1353.880996,266,106.933348
-2038.512124,302,107.460698
-1032.564777,288,107.951254
-1391.309284,302,108.479917
-1489.471497,267,108.948865
-1770.176145,491,109.719184
-2317.79314,393,110.357203
-1171.418536,265,110.824647
-710.849913,274,111.300153
-1641.776235,357,111.892658
-1544.854912,263,112.36781
-1646.811782,246,112.804313
-2176.334827,357,113.644994
-1770.328682,341,114.21506
-2161.208798,319,114.764971
-1682.395717,308,115.297603
-2255.184031,439,115.992824
-1121.957409,276,116.475755
-1097.909776,340,117.04592
-2013.738879,260,117.518778
-1630.658018,296,118.024238
-1880.514487,424,118.709444
-1968.671426,390,119.344522
-2093.949843,316,119.880153
-1114.532292,269,120.34845
-1568.964293,269,120.832012
-1148.87718,249,121.273197
-1719.259016,291,121.779996
-2742.740307,410,122.454921
-2120.769775,325,123.011183
-2362.591625,377,123.63013
-2328.539275,361,124.233589
-1666.991058,314,124.767423
-1970.000572,424,125.448529
-1420.611037,227,125.867085
-1319.186587,263,126.36237
-1462.271128,276,126.843784
-2206.102782,382,127.454712
-1821.929559,305,127.986854
-1620.791378,308,128.512604
-2169.853477,341,129.072214
-2505.570745,432,129.764672
-1402.161889,290,130.257151
-1565.369378,255,130.722812
-1033.114496,307,131.247765
-1301.606021,278,131.724597
-1154.240004,276,132.200645
-1928.09153,287,132.697011
-2255.557674,392,133.33046
-1776.710522,282,133.831398
-1515.000765,301,134.363855
-2397.734417,434,135.058106
-1144.016974,277,135.540578
-1254.895581,255,136.006605
-1604.494578,511,136.815289
-1564.690935,350,137.392037
-1772.814893,332,137.953247
-1769.080313,271,138.437847
-2636.755864,404,139.103722
-1904.235363,284,139.59655
-1531.354053,962,141.276567
-1399.569043,287,141.775602
-895.64843,282,142.261147
-2121.143621,382,142.880848
-1123.142399,285,143.364687
-1035.972141,268,143.834229
-1296.784811,226,144.249138
-2247.426335,441,144.935849
-1504.92448,252,145.398058
-1357.108252,265,145.864738
-1715.607231,300,146.365731
-1842.45162,383,146.982848
-2352.212014,366,147.591933
-1379.717604,291,148.081343
-1777.274834,364,148.681351
-1324.91566,266,149.150941
-1477.598725,271,149.61978
-1316.76883,266,150.090532
-1636.299249,281,150.576643
