#{"t_start": 1699925771.0033755, "env_id": "modulatingEnv-v1"}
r,l,t
-1140.194414,283,0.9605
-1168.64185,233,1.411292
-1308.347506,287,1.904018
-1381.791659,237,2.316747
-1330.383631,490,3.029987
-1071.398542,245,3.44633
-1115.406373,280,3.908734
-1391.043161,231,4.308608
-1137.768454,237,4.716157
-1020.207789,248,5.130797
-1120.140043,270,5.589368
-874.244273,324,6.105027
-931.102086,258,6.545866
-1347.812975,268,7.000013
-1668.728139,368,7.576795
-1530.415468,292,8.045831
-1133.789601,268,8.496481
-1281.79742,227,8.896589
-844.101488,274,9.356903
-1495.392864,328,9.873032
-1411.276522,272,10.332204
-1140.940189,272,10.786813
-1304.412791,227,11.183504
-1120.552362,239,11.591897
-1146.516833,244,12.00522
-1119.750571,250,12.424619
-1448.349468,239,12.831037
-1419.668744,267,13.283328
-1248.516965,196,13.635096
-1419.325464,256,14.07732
-1027.12954,279,14.539336
-1294.659595,378,15.125431
-1169.150777,268,15.577503
-928.963099,250,16.000508
-1238.940241,220,16.394914
-1200.830948,278,16.858757
-1130.226087,209,17.242069
-1179.55974,254,17.682681
-1565.466378,255,18.125053
-1261.253188,285,18.59203
-1371.613238,294,19.063491
-1186.984569,267,19.517528
-1536.677167,244,19.93235
-1108.890269,229,20.330866
-1035.648853,242,20.741895
-957.035859,282,21.204984
-1036.044377,257,21.650926
-1233.066124,289,22.120261
-1331.181917,272,22.579612
-1321.018362,273,23.038266
-1224.432581,257,23.479046
-1163.084622,229,23.880115
-1763.057271,261,24.32877
-977.414571,213,24.710795
-971.787311,236,25.116513
-1294.358407,254,25.554598
-1301.359723,208,25.933869
-1429.815001,443,26.599408
-1204.106533,272,27.052107
-1473.212309,277,27.515564
-1232.758942,234,27.919771
-1062.252529,230,28.577425
-1091.396354,253,29.024549
-1350.327971,244,29.443399
-1212.519451,264,29.885942
-1196.374043,227,30.292223
-1237.437146,213,30.679953
-1182.754211,228,31.08286
-1091.774039,333,31.61402
-1288.823921,375,32.196668
-1328.480168,251,32.635998
-1343.621285,238,33.04638
-1406.955238,231,33.452477
-1098.676161,222,33.854358
-966.925307,411,34.496528
-1446.118397,255,34.938849
-1130.259725,267,35.39718
-1163.357646,253,35.839458
-1187.297083,321,36.357387
-1382.023598,317,36.871314
-1146.936122,253,37.313577
-1095.51098,274,37.77301
-1053.563008,297,38.255042
-1255.797316,248,38.674446
-1419.374036,281,39.142162
-1320.664985,231,39.545831
-1146.732538,264,39.998167
-1164.949148,171,40.330562
-1233.385478,272,40.788481
-1245.09009,243,41.209224
-1596.325139,285,41.679824
-1277.603062,214,42.070694
-1162.515293,271,42.532433
-1025.653492,260,42.982441
-982.750375,228,43.387483
-1207.423413,266,43.844836
-1619.054622,393,44.457036
-1341.534185,267,44.910566
-1110.154686,250,45.330008
-1260.578013,213,45.720725
-1278.470347,226,46.121081
-873.606735,426,46.767358
-1160.166361,197,47.123194
-1699.410179,247,47.543707
-1239.618471,209,47.928545
-1342.898816,246,48.346125
-1280.244504,239,48.761673
-1178.605242,226,49.163714
-1187.684233,252,49.605809
-1115.584062,214,49.997084
-1252.556614,257,50.446614
-1355.618659,251,50.889923
-1332.766647,248,51.310642
-1297.195059,237,51.724767
-1207.471178,195,52.081085
-998.81736,246,52.500504
-1238.164957,245,52.916021
-1150.685086,323,53.440099
-1203.656216,267,53.895226
-1437.261868,251,54.346858
-1147.748511,232,54.759928
-1555.801318,281,55.229077
-1213.338715,242,55.653368
-1143.137242,405,56.529782
-1207.062847,294,57.005678
-1098.595502,309,57.516655
-1079.782317,213,57.903519
-1394.025751,273,58.369346
-1603.284683,380,58.960239
-1177.061741,260,59.407305
-1312.780374,252,59.850233
-1481.596389,262,60.30053
-1219.743567,260,60.749935
-764.378895,405,61.380751
-1188.394275,246,61.798348
-1483.370331,219,62.186279
-1267.225603,285,62.662824
-1255.21131,211,63.046708
-1429.190046,290,63.524228
-1158.053434,296,64.001304
-1203.821615,297,64.478669
-1258.029689,282,64.944996
-1001.997466,245,65.360028
-1303.719427,252,65.799259
-1309.086332,289,66.275997
-1130.627804,244,66.694534
-1153.479205,233,67.101383
-1397.749845,267,67.555746
-1176.956568,222,67.948985
-1467.223357,287,68.423962
-1597.305076,335,68.952495
-1145.897787,265,69.402534
-1478.5272,255,69.845243
-878.55195,255,70.277571
-1262.252395,218,70.66677
-1566.462496,281,71.133981
-931.205129,391,71.730208
-1165.076252,251,72.169164
-1068.395877,290,72.642386
-882.786241,275,73.105004
-1233.35175,211,73.48934
-1296.790982,257,73.929759
-1411.028657,398,74.538656
-1463.641835,231,74.940283
-1501.693852,274,75.396427
-1026.357012,378,75.98637
-1338.25852,332,76.513661
-1435.405375,268,76.96739
-1069.429082,269,77.423034
-1332.796112,268,77.879716
-1226.979529,301,78.379569
-1144.658493,239,78.789802
-1278.114727,227,79.188656
-1164.341128,210,79.571979
-1099.119929,253,80.010991
-1153.38838,282,80.477096
-1196.548964,243,80.893488
-1298.143225,234,81.300629
-1326.844375,225,81.700231
-1215.131959,272,82.158967
-1096.23464,206,82.535891
-1337.159748,222,82.925674
-986.002296,288,83.396906
-1508.410075,398,84.241828
-1211.885841,313,84.753135
-1271.918878,235,85.164146
-1289.174957,252,85.609587
-1058.909009,197,85.964872
-1330.558449,216,86.359383
-1439.796099,263,86.808882
-1229.146524,275,87.272207
-1494.204885,279,87.73964
-1114.887841,249,88.162232
-1166.961362,256,88.611642
