#{"t_start": 1699984216.1848083, "env_id": "modulatingEnv-v1"}
r,l,t
-1003.81641,298,1.026129
-2676.319436,396,1.704249
-1190.81976,292,2.228391
-1967.379852,396,2.900712
-1691.218205,275,3.382138
-1224.15743,257,3.833178
-1874.788979,295,4.32005
-1555.310761,463,5.078045
-1416.777925,354,5.648235
-1371.869707,285,6.182442
-1495.707622,301,6.708369
-1515.219153,318,7.279906
-1544.079682,263,7.735657
-1358.840102,298,8.237415
-1117.732255,291,8.714543
-1295.948782,332,9.24345
-1099.247433,336,9.774836
-1321.876628,295,10.251883
-1476.871651,258,10.69004
-1675.547955,464,11.399968
-1361.728141,283,11.872133
-1594.918714,246,12.291779
-1123.687935,249,12.708133
-1010.884093,256,13.156988
-759.581657,277,13.614211
-1448.538605,328,14.14383
-1577.653812,271,14.598679
-2439.709082,384,15.199481
-1765.345273,433,15.874331
-1605.449923,241,16.28949
-1260.174227,230,16.697121
-1378.510007,266,17.152779
-1548.718121,260,17.60717
-1837.085591,279,18.074825
-2202.779707,540,18.858048
-1465.1238,291,19.341339
-1483.304669,229,19.742107
-934.825416,284,20.206689
-955.407821,312,20.719892
-1546.953657,278,21.189016
-1312.990094,237,21.602072
-1319.458089,236,22.012715
-1262.349446,229,22.414743
-2209.104292,402,23.05481
-1839.520117,336,23.586402
-1291.482725,240,23.99773
-1163.738081,285,24.47387
-1677.174274,357,25.049488
-922.255769,343,25.590531
-992.549805,247,26.009041
-1167.76348,221,26.401743
-1508.307967,319,26.917922
-1630.88388,354,27.490122
-1657.840961,268,27.941487
-1383.056659,257,28.385503
-1477.453535,280,28.848806
-1558.364374,244,29.26047
-1378.147751,308,29.767674
-1568.430626,290,30.239872
-880.765632,549,31.025224
-1652.840385,227,31.428228
-1340.729324,285,31.897507
-1584.650942,258,32.345085
-2083.148829,427,32.999429
-1555.214642,275,33.45642
-1616.79066,253,33.899055
-1423.51099,253,34.338672
-1757.948224,282,34.805211
-1145.730447,296,35.285221
-1381.535703,258,35.728337
-1175.199576,456,36.422705
-1496.66424,256,36.865889
-758.546271,285,37.335191
-1045.533703,297,37.810321
-2173.542426,431,38.470293
-1826.485787,284,38.943646
-2255.674989,518,39.711872
-1604.824695,260,40.164597
-1321.215307,263,40.613946
-938.736908,275,41.076208
-1193.909908,231,41.48031
-1764.778493,322,41.996364
-1578.816032,230,42.3971
-1834.070006,307,42.898561
-1456.863046,254,43.343402
-1664.134702,479,44.061053
-1439.641837,246,44.477224
-1123.740106,267,44.928459
-1722.620107,330,45.452296
-1970.824406,380,46.040329
-1533.132451,384,46.634506
-1158.331367,236,47.043632
-1381.647635,475,47.761132
-1284.627697,267,48.216537
-1157.37885,226,48.615201
-1814.561244,295,49.093294
-1611.840107,299,49.575601
-1176.911666,259,50.022825
-1396.308723,239,50.433103
-1343.220975,455,51.126892
-1805.449319,302,51.628513
-2029.516051,570,52.454666
-1436.727195,280,52.923359
-1002.974832,325,53.443912
-1171.50518,223,53.836785
-1386.222759,242,54.251968
-1906.65511,417,55.229921
-2181.718917,381,55.845232
-1709.895566,291,56.334112
-822.411652,263,56.788421
-1968.197075,281,57.25418
-1369.598989,242,57.673027
-1606.918751,316,58.191037
-1552.503221,334,58.724287
-941.989529,245,59.140356
-2064.155704,396,59.757636
-1775.870292,360,60.332831
-1212.833798,227,60.740063
-1768.503951,310,61.254919
-1560.529151,291,61.735039
-2382.669776,410,62.377215
-1133.804362,391,62.992369
-1512.288747,259,63.442316
-1540.331585,273,63.9075
-1120.053327,273,64.369601
-1360.815599,282,64.844231
-2337.227509,349,65.391671
-1672.233877,311,65.904907
-1243.342626,271,66.367584
-2012.130869,343,66.917417
-1348.645237,269,67.380686
-1583.428174,252,67.826404
-1250.348682,303,68.338231
-1518.998597,311,68.863163
-1393.062695,310,69.37871
-1371.027133,279,69.847845
-1472.432028,314,70.364832
-1637.918781,338,70.901994
-1957.238495,423,71.561137
-1753.985253,462,72.265157
-1550.20724,284,72.742195
-1408.892033,242,73.156276
-1663.248977,329,73.692503
-2083.32864,341,74.231338
-933.661897,314,74.750847
-1672.455689,281,75.221195
-1172.209338,437,75.891693
-1344.257611,271,76.351355
-1523.246323,316,76.872194
-1187.900586,267,77.331591
-1308.027335,263,77.786267
-1407.810367,258,78.235742
-1238.008962,226,78.6399
-1816.940569,341,79.179917
-2513.818141,387,79.783577
-1783.86544,277,80.252496
-1176.779711,240,80.667728
-1864.277726,275,81.129475
-1534.289317,269,81.587234
-1194.170048,238,82.006939
-1450.845002,252,82.45398
-1304.347844,299,82.941144
-1171.970845,303,83.451386
-1402.296371,298,83.937543
-1020.414285,290,84.411923
-2093.22618,409,85.052163
-1388.910433,265,85.512156
-1189.101445,315,86.028845
-1573.315938,321,86.556309
-1774.016482,303,87.059822
-1265.625493,281,87.533955
-1605.196231,337,88.073825
-1693.973408,249,88.49846
-1748.283306,431,89.164675
-1608.807458,272,89.625648
-1386.089473,313,90.136322
-1327.600819,240,90.553784
-1733.287674,281,91.025613
-1377.312063,290,91.503327
-1354.646012,248,91.927876
-1392.160527,254,92.373158
-1152.058009,252,92.819379
-1675.571126,351,93.386359
-1166.922866,280,93.854934
-1308.520014,254,94.303988
-1911.193936,347,94.849431
-1628.552937,274,95.312742
-1624.184233,370,95.901931
-1333.588891,277,96.365741
-1693.76158,311,96.882409
-1392.633499,251,97.325496
-1478.400429,271,97.786759
-2278.864031,487,98.508125
-2437.365496,322,99.05199
-1780.99135,292,99.533968
-2995.641251,591,100.378833
-2798.11336,485,101.107234
-2134.805276,539,101.89792
-690.124729,274,102.362994
-1352.680375,261,102.817557
-1514.033408,245,103.243604
-2448.974599,471,103.953032
-1317.856577,268,104.412114
-832.43887,580,105.260668
-1633.292984,290,105.738241
-1481.552234,257,106.188231
-1329.143083,314,106.699268
-1224.202944,328,107.229735
-2272.855529,406,107.862288
-1218.158527,225,108.265107
-1106.667629,309,109.106325
-1530.827604,267,109.562212
-1294.678603,284,110.033942
-1633.718512,441,110.701785
-1610.390013,255,111.14429
-1877.454875,286,111.612595
-797.79906,541,112.403212
