#{"t_start": 1699994079.4187422, "env_id": "modulatingEnv-v1"}
r,l,t
-1303.027567,257,0.923902
-1549.497065,254,1.397298
-1803.992526,266,1.857279
-2497.466052,381,2.477086
-1380.345172,261,2.950361
-1772.649465,354,3.520961
-1270.237131,257,3.98444
-2113.509175,377,4.586143
-1444.66655,312,5.10446
-1702.727981,286,5.576221
-1212.348875,253,6.019267
-2957.92947,576,6.85854
-1331.820233,273,7.365836
-1368.82582,251,7.84571
-1495.912771,246,8.272243
-1507.9267,243,8.689335
-1305.995212,258,9.137738
-1622.458379,375,9.737617
-1168.260477,268,10.215281
-1009.400347,278,10.705869
-1596.319028,440,11.400847
-1349.25224,276,11.871903
-1553.281144,404,12.522085
-2004.216122,298,13.012295
-1716.339537,430,13.719014
-1625.945519,271,14.18502
-1648.073703,297,14.672971
-1742.842101,397,15.290581
-1709.656697,293,15.791652
-1359.174264,261,16.248582
-1253.890589,249,16.690547
-1339.665603,406,17.351651
-1422.520697,322,17.890826
-1149.154924,289,18.367283
-1315.415293,221,18.764863
-1483.596618,264,19.241435
-2027.327197,500,19.98687
-1331.880531,289,20.486665
-1754.607803,399,21.10081
-1299.305798,415,21.772552
-1120.236361,299,22.282675
-1134.312819,227,22.689512
-1426.903416,240,23.12072
-1425.763947,307,23.636613
-1849.48833,324,24.166898
-1652.706268,332,24.700865
-1420.76371,442,25.421261
-2477.011722,402,26.073467
-1261.729564,277,26.548135
-846.977016,238,26.97334
-1515.804209,247,27.398624
-1754.863594,270,27.8572
-1267.209937,291,28.351049
-1568.146629,310,28.862938
-1485.869141,284,29.337959
-2516.164221,422,29.98559
-1593.619332,264,30.437662
-1661.852113,269,30.894822
-848.765536,281,31.362534
-1229.876211,253,31.832921
-1405.747831,259,32.322943
-1945.697375,349,32.901389
-2149.722129,328,33.478842
-1107.233508,450,34.197537
-1469.790737,255,34.646179
-1845.044137,428,35.345006
-1095.073483,457,36.059821
-1750.582293,400,36.678062
-1634.080341,313,37.200557
-1672.128062,267,37.68543
-1190.467716,274,38.194154
-1850.075509,279,38.685227
-1327.733883,435,39.39909
-1590.442873,421,40.079713
