#{"t_start": 1700011514.2868874, "env_id": "modulatingEnv-v1"}
r,l,t
-1265.943976,284,0.974009
-2020.554223,366,1.594219
-1408.689069,278,2.085999
-1490.204312,429,2.785852
-1661.750278,534,3.626496
-844.797237,320,4.183524
-1257.380924,279,4.686179
-1961.155686,381,5.295907
-1887.017797,400,5.920072
-2299.862402,351,6.503037
-1551.975686,475,7.236521
-1428.799111,272,7.710333
-1184.488377,217,8.117776
-1792.679046,269,8.5925
-1778.255581,298,9.093195
-1150.729765,218,9.499841
-1135.725258,248,9.928565
-1205.856215,286,10.41381
-1628.385781,273,10.884474
-2245.123619,365,11.478467
-1435.588229,259,11.938527
-1302.293682,323,12.476565
-2202.33208,442,13.163996
-1993.193061,392,13.789733
-2041.832481,461,14.500111
-1336.0891,328,15.044281
-1892.0756,353,15.632277
-1598.649617,344,16.187386
-1403.302056,234,16.609701
-1234.118532,268,17.07656
-1372.709792,314,17.607254
-1236.646191,285,18.098608
-1861.571453,260,18.561971
-2227.168313,326,19.104203
-1161.729745,448,19.805501
-1075.04412,254,20.262609
-1556.632465,347,20.828791
-2021.373873,307,21.355365
-1286.830055,243,21.78721
-1445.107482,261,22.246444
-1086.314741,276,22.723542
-1417.903993,287,23.212008
-1646.440844,353,23.795106
-1324.577534,254,24.253084
-1546.587072,266,24.717473
-1459.776237,353,25.296402
-1502.209404,318,25.833561
-1391.927608,285,26.320238
-1418.953466,285,26.80301
-1874.847652,365,27.395105
-1087.996457,335,27.947344
-1095.765831,316,28.477808
-2037.21351,339,29.038973
-964.707873,269,29.502924
-1217.38644,286,29.98021
-1599.37572,257,30.441653
-1327.115584,262,30.908366
-1101.38871,199,31.279974
-1853.551491,252,31.737963
-861.559067,259,32.19771
-1248.097013,335,32.746141
-1445.140347,292,33.239739
-1620.179281,226,33.651699
-1319.220492,235,34.071034
-2443.249002,444,34.755414
-1218.824704,271,35.229039
-1233.108871,212,35.631751
-1089.389347,290,36.12269
-1655.668425,284,36.60813
-1500.356889,267,37.075844
-1662.503239,287,37.569293
-2268.760568,298,38.064305
-1527.93046,272,38.534946
-1580.581693,220,38.938421
-1490.201992,260,39.402647
-1511.982485,327,39.94012
-1194.891583,427,40.616472
-1766.298251,317,41.148193
-1409.428222,247,41.582485
-1129.388408,366,42.182402
-1712.675669,311,42.711375
-860.278364,310,43.234697
-1281.888547,258,43.699841
-1694.973536,252,44.155481
-1493.870825,317,44.691469
-1506.084261,266,45.163979
-2296.835149,499,45.918233
-1327.94421,340,46.476166
-1159.102062,223,46.886457
-1814.085084,469,47.616899
-1266.993961,301,48.143124
-1514.275204,292,48.637935
-1705.532691,282,49.124976
-1775.541777,370,49.735871
-1767.776111,396,50.361161
-1114.588921,307,50.884577
-2046.109036,375,51.494837
-1164.501529,275,51.968877
-1358.603142,252,52.426365
-1810.087593,288,52.91309
-1061.757353,269,53.376714
-1400.983263,260,53.835452
-1339.825628,242,54.265125
-1556.053261,330,54.81426
-1091.632313,325,55.355319
-1566.858943,275,56.19263
-1484.431582,342,56.757637
-1469.66653,282,57.250543
