#{"t_start": 1700052123.0109534, "env_id": "modulatingEnv-v1"}
r,l,t
-1058.254595,296,0.995473
-1585.250363,275,1.487138
-1566.063054,345,2.029294
-2080.622613,272,2.487741
-1719.431096,249,2.9089
-1207.125953,263,3.366336
-1303.916937,297,3.852402
-1484.837706,267,4.308609
-2109.731118,415,4.940524
-1574.727445,295,5.420476
-1535.88622,239,5.82939
-1464.99235,267,6.278738
-1160.348309,271,6.735572
-1605.391696,402,7.371629
-1035.206521,224,7.767602
-1324.596704,314,8.276906
-1296.849586,264,8.732227
-1033.589323,254,9.176882
-1430.666267,237,9.580602
-1641.023594,431,10.240317
-1550.299487,277,10.697383
-1927.944124,310,11.204772
-1336.876716,325,11.727077
-1229.002318,212,12.111758
-1292.851431,283,12.579407
-1674.961259,293,13.055176
-1545.860799,368,13.63497
-1739.710036,298,14.113729
-721.740684,301,14.612985
-1525.77402,272,15.068859
-1317.203652,244,15.483896
-1840.868681,288,15.955155
-1190.658574,214,16.343128
-2337.887819,581,17.173718
-1623.649487,300,17.662105
-1202.730467,438,18.326566
-1433.021562,238,18.734331
-1764.038463,328,19.259046
-1627.080715,236,19.660544
-1444.849634,397,20.267917
-1348.669946,267,20.722234
-883.586912,235,21.123708
-723.255447,360,21.699807
-994.380819,264,22.147664
-1495.828511,253,22.582335
-1626.843851,392,23.187449
-1690.542186,307,23.690249
-1423.747075,452,24.385582
-2416.461514,359,24.949505
-1325.216761,235,25.355754
-1461.43295,244,25.771438
-2182.776997,390,26.37962
-988.956646,264,26.824593
-1649.817208,284,27.293885
-1999.127322,301,27.791799
-1467.013004,295,28.271408
-966.960691,274,28.730671
-1860.693099,470,29.432971
-1299.026455,234,29.841168
-1369.973768,262,30.295033
-1341.778167,239,30.705378
-1416.088914,326,31.227563
-1254.939553,246,31.645319
-1390.257282,240,32.056312
-1103.523131,278,32.517817
-1512.936623,254,32.957324
-1314.873848,266,33.408568
-1238.723865,251,33.846793
-1433.326519,332,34.380144
-1348.717533,328,34.904057
-1711.365552,254,35.343146
-1182.29014,807,36.462991
-1395.505145,308,36.998382
-1410.719553,267,37.449686
-820.593862,283,37.914658
-1521.605827,296,38.396098
-2352.155896,417,39.041183
-1636.724963,277,39.500618
-1361.806993,244,39.914214
-1493.960616,258,40.357819
-1418.89693,295,40.835971
-1529.425738,260,41.282036
-1005.149248,275,41.734337
-1475.458019,266,42.196361
-1468.250844,245,42.609084
-1288.669792,265,43.060753
-1504.764212,264,43.508522
-2305.009632,298,43.983036
-1273.315961,259,44.429848
-1007.379473,297,44.909287
-1469.55245,273,45.366701
-1816.057375,436,46.033077
-1603.922716,255,46.473907
-1284.83227,389,47.077462
-1260.636724,284,47.539119
-1641.000017,328,48.066828
-1260.966366,271,48.525753
-1308.519273,294,49.006104
-1740.361799,334,49.534327
-1002.391252,282,50.002012
-1533.72232,256,50.446885
-1382.734008,368,51.031641
-1473.392462,245,51.450937
-1503.799315,252,51.891408
-2018.359403,319,52.403602
-1288.710137,249,52.821535
-1538.764398,253,53.259511
-1451.482612,280,53.723656
-1441.717726,303,54.547227
-1715.119033,365,55.131923
-930.306003,293,55.613647
-1597.346334,259,56.069847
-1256.673448,254,56.515855
-2061.466451,316,57.035282
-1119.670945,275,57.492344
-1996.143609,331,58.024931
-1462.992396,254,58.468742
-1560.867861,416,59.123197
-2136.428825,352,59.688025
-1438.357087,232,60.094781
-1321.669111,248,60.516507
-1342.435111,297,61.018913
-1688.903454,320,61.540871
-1409.534741,328,62.072799
-1630.498003,380,62.669255
-1900.482589,320,63.190322
-1124.750153,299,63.673031
-1479.68013,268,64.131498
-1363.414119,224,64.532794
-1025.166576,288,65.005828
-1343.29965,410,65.650874
-1295.804562,246,66.074691
-1272.592312,243,66.495183
-2390.4304,335,67.024061
-1795.135141,310,67.535951
-2106.842945,429,68.19471
-1341.088924,252,68.641862
-1081.061522,242,69.062804
-1218.095431,242,69.48172
-1764.02613,337,70.020937
-1577.002846,457,70.720105
-1030.309776,248,71.141557
-1789.689269,510,71.902842
-1432.659399,280,72.37427
-1394.651581,284,72.849069
-1514.218526,248,73.275812
-991.673742,340,73.812549
-1324.743337,365,74.393116
-2007.312159,581,75.247845
-1952.531951,291,75.722076
-1295.136496,271,76.185845
-1417.833048,312,76.701364
-1839.612692,392,77.309596
-1633.520766,342,77.850813
-1950.516436,367,78.438588
-1521.108429,298,78.920964
-1232.523932,303,79.433754
-1401.838725,269,79.893875
-1431.306009,261,80.349421
-1439.180344,249,80.776361
-1133.262808,274,81.242259
-1165.28812,268,81.699104
-1628.348856,277,82.171579
-1759.932762,377,82.760493
-1171.551736,244,83.181139
-1501.378002,257,83.630554
-1158.889769,240,84.050263
-1685.283805,416,84.694869
-1905.869136,463,85.409786
-1766.428047,303,85.922173
-1766.028934,408,86.562931
-1652.518634,257,87.013934
-1586.185117,286,87.487754
-1051.180379,293,87.963167
-1123.381444,272,88.427999
-1182.358015,286,88.899839
-2316.032222,369,89.484823
-1366.75586,280,89.955309
