#{"t_start": 1702092039.4124024, "env_id": "modulatingEnv-v1"}
r,l,t
-1454.695846,267,0.939307
-1538.064675,263,1.42551
-1392.538055,250,1.866475
-1567.539851,437,2.542272
-1391.344849,548,3.34218
-1586.900398,318,3.881078
-1081.450328,322,4.441553
-1688.582759,281,4.918369
-1330.934853,309,5.433131
-1433.128367,247,5.856339
-1783.179267,340,6.398937
-1970.114689,417,7.044072
-1754.029535,293,7.5233
-1422.150472,268,7.979822
-1355.309439,247,8.397303
-986.404973,475,9.114783
-1363.724436,275,9.578719
-1609.753201,256,10.02416
-1681.094679,247,10.443754
-1012.934464,264,10.894509
-1917.209415,357,11.465558
-1279.962717,326,11.992564
-1825.113597,289,12.467501
-1275.209401,257,12.914749
-1325.070953,237,13.326946
-1679.466394,346,13.871537
-2396.841333,567,14.703536
-1373.528542,290,15.180438
-1312.312943,294,15.656404
-956.906678,294,16.131428
-1189.017127,274,16.593115
-1271.767673,263,17.044796
-1473.73996,292,17.520417
-1323.549803,640,18.435249
-1565.583793,270,18.894341
-1583.361056,226,19.294452
-2036.244149,324,19.823613
-1771.244043,289,20.293212
-1561.140209,305,20.804767
-1395.90857,269,21.264683
-2950.971197,419,21.903379
-754.357843,261,22.349099
-1175.260757,238,22.760794
-1091.309254,302,23.263418
-1367.036027,267,23.717695
-1222.009677,246,24.135956
-1281.947209,231,24.54117
-1220.117538,275,25.007282
-1556.94444,259,25.455635
-2140.14758,368,26.038985
-959.220664,271,26.496474
-1437.036321,286,26.972176
-1502.660557,717,27.987171
-1294.458459,253,28.43247
-1346.409049,328,28.963758
-1550.149689,516,29.738663
-1755.225545,290,30.212235
-1870.616419,339,30.75089
-1344.383276,247,31.171555
-1656.420252,250,31.591838
-1357.32799,275,32.055183
-1443.536182,238,32.468956
-1137.250784,222,32.866209
-884.606954,269,33.323201
-1439.546677,250,33.747285
-1289.222789,301,34.247421
-1583.050771,300,34.734807
-1903.389805,340,35.270058
-750.830163,256,35.716352
-885.891402,296,36.197754
-1472.540804,339,36.742408
-1184.920364,381,37.338376
-1223.688548,279,37.810823
-1503.621608,252,38.256438
-1491.182361,268,38.716709
-2617.024625,456,39.407313
-1627.787952,275,39.870625
-1583.549586,280,40.337542
-1715.707944,301,40.842046
-941.720595,280,41.307571
-1320.635675,269,41.767564
-2052.419435,389,42.372862
-1768.107067,416,43.017876
-1509.743555,275,43.479619
-1599.876588,270,43.94067
-1487.543125,293,44.424259
-1367.932734,368,45.006112
-1219.507921,259,45.456163
-1539.640754,335,45.990536
-1379.165849,268,46.450848
-1191.170734,339,46.993226
-1390.956113,287,47.467369
-1363.336065,265,47.924482
-1402.130593,319,48.448287
-2270.922774,316,48.961838
-1247.235244,247,49.383528
-1292.367526,433,50.053414
-1384.639621,288,50.530234
-1541.45992,266,50.982272
-1039.280954,250,51.401135
-2076.006863,367,51.984096
-1454.745155,460,52.69229
-1353.307594,279,53.162341
-1257.784508,510,53.937131
-1403.457702,289,54.413697
-2215.314305,583,55.250442
-2402.485623,418,55.89728
-1554.708384,268,56.352301
-1285.702134,305,56.863889
-1427.612314,313,57.382218
-1159.660775,302,57.883068
-1212.300794,238,58.298111
-1318.980374,262,58.753476
-1869.765866,301,59.256225
-1501.119135,272,59.717339
-1433.671142,260,60.167984
-1340.064561,229,60.572428
-1309.420902,279,61.041819
-1604.516671,269,61.501679
-1354.575798,285,61.973779
-1528.554035,284,62.446267
-1936.87624,327,62.975281
-1482.785805,244,63.394757
-1686.239633,490,64.128101
-1839.949321,332,64.660686
-1327.854147,292,65.142318
-709.195395,499,65.886861
-1139.063292,223,66.288484
-1221.34201,262,66.739372
-1606.479002,305,67.248067
-1615.748729,329,67.780145
-2251.79307,497,68.507638
-1286.416589,254,68.953187
-1394.433171,293,69.432263
-991.784708,264,69.881792
-1193.110004,290,70.350587
-1170.398484,220,70.744912
-1408.606431,517,71.511989
-1313.782927,268,71.972162
-1547.684172,281,72.449174
-1601.877869,328,72.985915
-1178.109626,283,73.460213
-865.383343,299,73.940971
-2142.734143,534,74.735616
-1302.670176,469,75.449954
-1487.056596,267,75.909021
-1349.470595,255,76.35913
-1713.408583,290,76.839959
-1787.800396,437,77.516785
-2860.083255,517,78.287531
-1391.342542,263,78.745045
-1550.331744,295,79.227594
-1550.251439,284,79.706862
-2187.784289,350,80.255727
-1483.572112,275,80.731697
-1278.967559,304,81.242284
-1589.833365,260,81.695612
-391.224785,635,82.61203
-1946.893482,281,83.079903
-1392.61172,229,83.477551
-1589.631159,356,84.048297
-750.894406,288,84.519813
-1178.230451,261,84.970048
-1853.179425,323,85.497241
-1262.799175,257,85.947235
-947.122531,259,86.38949
-1669.801804,311,86.901357
-1249.281795,244,87.3187
-1196.427455,312,87.829508
-1189.343963,269,88.290747
-1363.035433,287,88.765966
-1640.473251,443,89.432545
-1661.2498,309,89.950374
-1274.506707,261,90.402276
-1852.142871,529,91.191535
-1521.059911,306,91.706341
-1916.453767,415,92.357609
-1527.999459,244,92.777691
-1683.103784,287,93.254573
-1267.81207,269,93.717689
-1380.931294,246,94.137818
-2200.94774,380,94.729985
-1435.250198,260,95.180628
-1642.482789,278,95.646917
-1319.479015,250,96.071579
-1392.917708,302,96.576303
-1487.640721,281,97.050083
-2126.593149,415,97.694699
-983.739289,309,98.203339
-1778.53034,260,98.651841
-1769.604158,294,99.132978
-1446.932617,283,99.606691
-1624.423845,321,100.13593
-1612.848571,274,100.605647
-2259.604498,499,101.35018
-1925.845891,297,101.833514
-1573.67223,249,102.260183
-1663.983822,266,102.717828
-1517.40378,293,103.2028
-1410.924959,326,103.734003
-1508.884246,248,104.156183
-1238.314945,283,104.62965
-2374.559174,399,105.236505
-1574.183864,288,105.711706
-1539.26425,295,106.198856
-1476.651512,314,106.720223
-1037.574749,267,107.167024
-1095.942648,241,108.104591
-1747.967386,287,108.586824
-1622.648001,267,109.046236
-1267.893231,332,109.585639
-1901.16742,607,110.47677
-1339.027399,245,110.901242
-2125.715464,458,111.610801
-1403.539156,266,112.074757
-1311.048117,332,112.621309
-1525.488281,331,113.166598
-1025.365935,313,113.695286
-1114.195503,375,114.292227
-1399.05738,281,114.768266
-1346.266297,246,115.197165
-1195.472076,296,115.68832
-1173.590423,251,116.136498
-1899.640899,329,116.67011
-2057.200478,403,117.299732
-933.013806,289,117.777278
-1834.855782,313,118.298322
-1650.80378,338,118.841241
-2071.33836,483,119.56019
-1735.741935,321,120.093058
-1605.63013,314,120.615921
-1697.772866,302,121.128978
-1588.000371,269,121.591607
-1208.900835,367,122.180425
-1720.292822,298,122.671256
-1753.088972,318,123.19703
-1329.14698,253,123.645833
-1338.087583,265,124.109243
-974.58294,292,124.592624
-1680.390549,298,125.080601
-1616.603194,236,125.493894
-1576.184643,266,125.957154
-1686.040212,310,126.47288
-2246.271498,522,127.259471
-1283.541945,265,127.721649
-2269.9603,342,128.26276
-1492.043078,307,128.777603
-1189.400624,347,129.328788
-1529.290015,301,129.83856
-1914.62533,379,130.433963
-653.292499,270,130.893771
-1844.385698,325,131.421997
-1383.379014,290,131.907593
-1370.304225,316,132.4332
-628.219411,309,132.952902
-1348.367146,284,133.432254
-1283.636091,238,133.851958
-1653.223429,304,134.362442
-1293.696016,240,134.78569
-3171.690678,751,135.864703
-2387.213382,354,136.453138
-1631.202287,419,137.108704
-1499.579587,264,137.570191
-1023.448326,269,138.033555
-1224.623997,278,138.506337
-1392.309745,336,139.051057
-1941.123085,432,139.717494
-1562.240179,312,140.240486
-810.191875,257,140.69586
-1663.136746,424,141.356338
-1868.233504,280,141.831003
-1506.692238,268,142.295718
-916.334653,315,142.823415
-1341.202482,452,143.530457
-1412.550691,269,143.993728
-1517.643895,301,144.503857
-1566.997707,267,144.965075
-1402.550771,283,145.444367
-1407.555962,279,145.919326
-1111.566643,240,146.341898
-1331.769969,287,146.822915
-1325.973925,777,147.924108
-1562.873169,242,148.364066
-2034.100453,375,148.968724
-1472.809993,594,149.835196
-1335.768082,347,150.386827
-1317.1757,281,150.865718
-1182.209817,210,151.255506
-1596.658025,293,151.744748
-1554.248288,308,152.262886
-1166.862371,309,152.781779
-1987.492612,301,153.287444
-1843.904728,319,153.812778
-1148.894018,220,154.216966
-1445.782174,221,154.613517
-1350.185958,235,155.03188
-1712.346392,372,155.619342
-1556.58797,269,156.083246
-2002.866284,316,156.606978
-1662.971064,243,157.025783
-1989.500805,305,157.54599
-1649.891384,271,158.007066
-1547.900526,286,158.487837
-1585.293425,257,158.942741
-1143.47791,349,159.494764
-1385.852315,310,160.014728
-1087.491258,281,160.493294
-1386.345863,282,160.968803
-1435.375791,306,161.484976
-1175.429851,346,162.034174
-1494.216465,305,162.549477
-2093.310905,487,163.294437
-1725.204658,318,163.81598
-1302.803237,282,164.296134
-1823.554683,281,164.769199
-1488.896546,275,165.242838
-1756.131325,289,165.721786
-1134.344206,349,166.277655
-1408.433635,274,166.746213
-1405.845352,293,167.231257
-1328.223876,275,167.704908
-1092.039914,277,168.169051
-1737.768494,240,168.588422
-1366.920779,267,169.049099
-1632.762366,260,169.508897
-1625.516618,313,170.027411
-1495.488876,535,170.808287
-1406.228711,315,171.335074
-1019.410037,300,171.821208
-1590.577357,382,172.422704
-1542.427296,308,172.942458
-1661.017733,292,173.428275
-1714.788981,411,174.07334
-1524.432903,295,174.559345
-1268.306282,438,175.239294
-1344.759676,380,175.839394
-1258.563413,258,176.294632
-1280.875834,384,176.90058
-1588.793532,345,177.453924
-1324.494333,279,177.931325
-1104.868152,320,178.459999
-1028.93476,269,178.920558
-1799.237598,287,179.399168
-1210.465305,305,179.913725
-1681.804657,307,180.42935
-1599.494099,288,180.915029
-953.274492,282,181.386145
-1975.478182,305,181.897432
-1783.576243,285,182.379073
-1603.349158,250,182.808771
-1462.10582,301,183.321939
-1486.659131,297,183.811117
-1556.589999,244,184.235802
-1350.260282,288,184.724205
-1285.27304,345,185.274184
-1415.019787,313,185.820255
-1068.380572,295,186.330049
-1341.159732,352,186.905641
-1423.073032,308,187.423354
-1366.17241,247,187.849915
-1169.054729,277,188.322559
-1134.931174,281,188.799384
-1124.551467,290,189.283269
-1822.188571,313,189.801235
-1647.08063,284,190.277802
-1357.016133,342,190.824574
-2290.506401,427,191.492323
-843.519108,265,191.951545
-1801.523466,270,192.419393
-1236.145558,243,192.843759
-1560.340597,255,193.29182
-1633.770011,341,193.83763
-1377.607882,417,194.493355
-1443.271933,297,194.984475
-1527.833923,221,195.386822
-1520.936898,302,195.895306
-1090.819369,246,196.313914
-1342.251282,296,196.80218
-1570.504607,285,197.284529
-1170.075154,338,197.82975
-1532.377865,326,198.3653
-1341.069558,280,198.841116
-1518.340219,274,199.310789
-1531.516288,352,199.890413
-1909.633323,412,200.53537
-1812.524874,259,200.991075
-1685.142199,310,201.511492
-2234.249737,354,202.083987
-1169.798161,281,202.557437
-1485.852109,264,203.017593
-1479.29908,244,203.442606
-1407.635201,255,203.891284
-1477.593896,267,204.354309
-1542.963761,278,204.825484
-1539.818115,278,205.299598
-1525.081319,263,205.760161
-1438.828353,259,206.217272
-1150.945821,337,206.76038
-1147.681492,263,207.22301
-1274.263014,236,207.638331
-1167.279855,267,208.09699
-1180.371443,472,208.815992
-1083.395986,537,209.620595
-1237.431343,307,210.138813
-1236.725881,201,210.524168
-1343.373704,324,211.063371
-1351.846233,283,211.538366
-1716.202228,262,211.993938
-1229.455108,255,212.440697
-1141.359584,304,212.95244
-1376.17017,370,213.541402
-1330.341287,285,214.027457
-1572.712921,321,214.554372
-1500.01323,298,215.040418
-1628.80048,263,215.497416
-1701.564946,308,216.011605
-1058.405487,670,217.506039
-1933.059184,271,217.974362
-1294.563657,266,218.435567
-1163.782428,284,218.91355
-1053.967101,419,219.559475
-1302.447138,289,220.038568
-1226.753052,259,220.486914
-1392.64198,269,220.953191
-1338.034865,287,221.429822
-1271.209505,302,221.939803
-1463.143548,352,222.514117
