#{"t_start": 1702147301.6875196, "env_id": "modulatingEnv-v1"}
r,l,t
-1653.278123,300,0.960214
-1197.543205,273,1.44091
-1342.789551,312,1.955693
-1365.862727,271,2.416154
-1153.401791,293,2.896365
-2079.814555,430,3.562389
-1218.535697,334,4.094482
-1527.87853,267,4.556648
-1317.477412,296,5.037243
-1747.81588,311,5.545781
-2443.698245,396,6.149963
-1348.807598,478,6.873538
-1402.726913,306,7.382039
-1284.665691,265,7.835237
-1808.255549,328,8.366964
-1307.012534,293,8.844094
-1650.920358,305,9.35057
-1667.516732,372,9.932756
-1483.421711,298,10.41544
-1488.74886,270,10.876593
-1672.296908,323,11.401765
-1644.72858,264,11.849804
-1764.987208,292,12.331144
-1437.746415,241,12.740426
-1199.853364,295,13.219417
-1258.844306,265,13.673184
-1618.467298,305,14.180348
-1184.215024,297,14.660586
-1230.789923,238,15.071289
-1190.777578,302,15.573617
-1080.315285,252,16.018731
-1242.362468,258,16.46227
-2049.259346,388,17.049764
-2677.435145,435,17.702292
-1938.764536,350,18.248538
-898.086701,325,18.762267
-754.655139,361,19.33365
-1812.296817,314,19.841641
-1752.585649,315,20.358092
-1149.200525,245,20.77828
-1430.076318,244,21.195025
-1129.783752,234,21.606318
-1928.347826,275,22.062267
-1398.178076,318,22.583642
-1712.581679,517,23.356644
-1504.633331,287,23.829405
-1520.895627,270,24.287131
-1680.728847,311,24.800476
-1790.801336,322,25.314937
-1462.173049,323,25.839193
-1299.36735,294,26.314476
-1481.415768,301,26.817435
-1268.899874,302,27.322727
-1288.163169,487,28.052872
-1444.299596,366,28.628162
-1532.168605,318,29.149593
-1870.101056,302,29.651184
-870.31329,260,30.096608
-2034.767061,516,30.865046
-1456.668508,262,31.318843
-1459.747374,280,31.783944
-1369.400605,276,32.251288
-4112.838863,796,33.359503
-1749.323585,398,33.98262
-1700.316462,263,34.432835
-1407.320122,304,34.938663
-2087.304754,306,35.449021
-1286.361798,310,35.962912
-1412.317396,232,36.366935
-2134.141209,398,36.973953
-1587.901157,296,37.45282
-1489.130471,266,37.904511
-1404.533611,277,38.370049
-1475.334501,292,38.848345
-1334.188095,287,39.31676
-1817.04149,335,39.848194
-1353.019793,388,40.445547
-1426.972651,279,40.913399
-1160.907867,301,41.419863
-1183.497754,261,41.870572
-1412.216941,262,42.323048
-1167.761777,346,42.865072
-1714.637809,296,43.351238
-1682.260597,279,43.81238
