#{"t_start": 1699240497.8925807, "env_id": "modulatingEnv-v1"}
r,l,t
-1224.003084,299,0.950088
-1013.12952,268,1.431785
-1357.758217,257,1.875743
-898.420072,284,2.341651
-1827.43451,413,2.973656
-924.855758,758,4.030169
-1494.618108,268,4.511238
-2050.918358,350,5.053038
-1337.181984,249,5.472713
-1984.654864,309,5.97562
-2013.287302,305,6.470376
-952.542696,229,6.871789
-1763.743168,316,7.383419
-829.621292,390,7.979295
-994.406614,313,8.489993
-1307.309742,305,8.994385
-1509.808887,295,9.484071
-1346.693576,384,10.080603
-1730.118854,442,10.75903
-1440.776827,255,11.199936
-1963.058334,305,11.704717
-1183.447161,352,12.277585
-872.149442,306,12.779764
-912.670663,423,13.427198
-1909.89665,380,14.011284
-1310.109329,302,14.508039
-1595.252918,240,14.915087
-1172.709114,197,15.272979
-1166.16947,252,15.710526
-1420.107586,243,16.123925
-1438.844471,257,16.571195
-1649.444564,291,17.041589
-1406.921533,271,17.498009
-1642.612097,368,18.070259
-1891.803393,441,18.744681
-1211.956068,264,19.191462
-1479.795433,270,19.653259
-1484.430553,261,20.110017
-2145.469256,405,20.747885
-1285.184806,248,21.192444
-1671.082912,257,21.679778
-1386.313563,271,22.136737
-1395.745875,262,22.584886
-1218.669852,275,23.036746
-1810.104103,310,23.545432
-1316.205777,301,24.03973
-1194.179167,343,24.563275
-2243.434558,339,25.092082
-1487.036791,298,25.569233
-1147.455197,273,26.035553
-1896.017209,301,26.527971
-1426.030407,341,27.060865
-1383.225624,286,27.907745
-1076.080195,234,28.310138
-1655.887951,356,28.876262
-978.444547,290,29.349504
-1283.540937,231,29.753676
-1563.850622,324,30.279725
-1811.001994,265,30.732196
-1379.934784,297,31.212015
-2105.250366,352,31.778896
-1326.976791,284,32.252721
-907.62752,279,32.717427
-1219.587814,240,33.133447
-1149.484021,261,33.58375
-1646.285867,397,34.181941
-1440.111133,245,34.600196
-1493.408987,284,35.070711
-1653.039724,266,35.527031
-1516.283813,259,35.978005
-1111.513877,301,36.478691
-1452.935031,310,36.991936
-1465.749085,232,37.396506
-661.702228,282,37.863031
-1409.035534,284,38.333266
-1467.001143,274,38.792002
-1604.847414,265,39.250544
-1903.153958,476,39.96252
-1165.015997,230,40.368155
-1286.336803,252,40.806072
-1300.267949,249,41.22648
-1427.370811,310,41.738519
-1372.754927,296,42.219398
-1554.352328,261,42.669394
-1891.761483,375,43.257396
-1510.464125,269,43.717528
-1399.37506,315,44.232131
-723.819436,257,44.673001
-830.680816,267,45.123865
-1440.265875,287,45.599722
-1612.789913,289,46.075079
-1143.678851,272,46.538945
-888.453109,267,46.988941
-1576.33596,259,47.435692
-1196.472688,234,47.842546
-923.557814,290,48.311118
-1072.605106,268,48.7655
-1771.59419,307,49.270913
-1036.94547,440,49.933719
-1289.783021,226,50.337632
-821.979825,307,50.847285
-1002.932137,315,51.362236
-2383.672155,441,52.027368
-1290.762157,251,52.46874
-1617.962213,244,52.885854
