#{"t_start": 1699275977.1828895, "env_id": "modulatingEnv-v1"}
r,l,t
-1525.594262,250,0.858744
-1158.761972,267,1.333804
-2477.64288,401,1.990185
-2038.062974,361,2.567984
-1249.492027,268,3.037022
-1147.303339,227,3.451521
-1330.666767,343,3.997084
-1853.918086,522,4.774589
-1308.216036,370,5.370123
-1538.123671,341,5.918319
-1403.704451,239,6.32781
-1801.184762,359,6.897409
-1320.32088,217,7.285481
-1809.914239,494,8.013963
-1729.079637,262,8.459064
-1134.803075,284,8.921294
-1268.010032,266,9.373558
-1688.723537,259,9.820346
-1997.297667,396,10.425157
-1489.212219,239,10.837423
-1450.803926,272,11.294234
-1571.710381,330,11.823094
-1362.727366,316,12.335781
-1187.438984,297,12.813819
-1355.446327,302,13.313473
-1506.372308,369,13.893541
-1419.863156,308,14.422093
-2939.238106,401,15.044353
-1979.172115,337,15.573065
-1054.641293,278,16.032587
-1508.417599,256,16.472872
-1525.910067,302,16.977057
-1316.906907,283,17.443188
-2012.501763,385,18.041656
-824.992166,316,18.554684
-1926.415749,453,19.244188
-1406.961534,330,19.764817
-2076.3643,339,20.297271
-1161.861931,235,20.697752
-1675.288919,553,21.508697
-1196.164992,407,22.145682
-1130.180469,266,22.594856
-2557.235653,370,23.173637
-1428.127707,301,23.677986
-1349.594014,270,24.133205
-1348.171149,281,24.596888
-1384.885512,303,25.10097
-1488.113115,255,25.542711
-1904.950564,339,26.077132
-1379.679487,265,26.530413
-1098.209216,302,27.406941
-1793.752644,593,28.263073
-1602.113197,258,28.70979
-1739.667332,440,29.393179
-1413.759168,261,29.844932
-1086.739114,300,30.332999
-1499.501254,294,30.813483
-1619.985232,332,31.350849
-1686.503448,269,31.807745
-1541.937614,249,32.23028
-1714.864151,285,32.702634
-919.995682,289,33.175702
-1380.911873,250,33.593639
-1397.699837,233,34.002163
-1455.10921,290,34.478754
-1408.780469,241,34.893708
-1783.476567,418,35.543226
-1362.981849,258,35.991026
-1282.432754,241,36.405317
-1942.992332,359,36.979417
-1062.633514,456,37.678827
-759.191332,264,38.127506
-798.026673,370,38.714886
-1433.484723,267,39.172928
-1243.239393,223,39.572644
-1298.986321,282,40.043881
-1864.077965,407,40.683223
-1139.088989,234,41.089527
-1803.20501,274,41.546753
-854.805985,248,41.965347
-1119.195477,242,42.383798
-1443.708731,302,42.889913
-1125.217435,265,43.347387
-1381.869846,255,43.793376
-1201.357926,260,44.244355
-2013.191598,402,44.885081
-1632.157576,291,45.357937
-1530.350359,239,45.769471
-1389.724186,283,46.235682
-1322.985758,238,46.647799
-1233.62202,254,47.092018
-1557.609404,265,47.546909
-710.93725,257,47.986763
-1304.532648,237,48.394875
-1326.228769,280,48.864186
-1465.216223,281,49.332321
-1330.732424,271,49.791562
-1737.001016,262,50.243436
-1189.680639,227,50.644328
-1564.303294,283,51.11133
-2333.912226,399,51.721386
-1218.287991,218,52.115642
-1226.459502,205,52.499091
-1249.615831,339,53.039844
-1788.289795,289,53.518104
-1700.72936,286,53.993911
-1448.446045,271,54.452348
-1710.870715,296,55.321078
-1668.4167,267,55.782125
-1215.210167,219,56.178285
-1263.198391,236,56.593739
-1439.49289,284,57.073061
-991.380265,274,57.534855
-1406.536509,260,57.986845
-1259.071447,266,58.447789
-1391.476879,232,58.851925
-1182.249243,247,59.276486
-1982.105741,347,59.820905
-1092.88398,237,60.228365
-1560.613263,316,60.755268
-1692.687782,322,61.279354
-1465.374739,254,61.733669
-1130.103015,238,62.150727
-1266.255448,297,62.640647
-841.824964,254,63.084737
-2169.543221,471,63.801703
-1154.496967,331,64.337427
-1614.119199,410,64.985594
-1046.366378,263,65.438436
-1271.283451,265,65.891402
-1262.094206,241,66.305734
-1527.720225,324,66.842538
