#{"t_start": 1699289030.653074, "env_id": "modulatingEnv-v1"}
r,l,t
-2204.021669,429,1.130554
-1626.77297,284,1.619218
-1550.86141,299,2.122251
-1142.542872,286,2.606826
-1245.201333,622,3.55671
-1693.765883,247,4.013822
-2244.20396,300,4.528246
-1484.978038,299,5.035724
-1629.756292,411,5.706977
-1226.588072,268,6.189118
-1933.542027,250,6.62977
-1212.833763,276,7.114131
-1381.576758,291,7.611656
-1693.033929,303,8.134257
-1458.122392,247,8.585247
-1317.059836,299,9.094811
-1119.896808,393,9.743704
-1598.93094,260,10.213534
-2173.801917,372,10.827648
-1072.993131,268,11.303137
-1360.581846,278,11.812699
-901.339954,263,12.281981
-1109.490903,212,12.694506
-1517.374692,258,13.160239
-1467.141021,294,13.664963
-2001.130133,384,14.297748
-2015.346877,337,14.863171
-1577.844174,312,15.406852
-1277.853786,264,15.882842
-1674.114651,282,16.370399
-1303.207347,472,17.105773
-1685.12221,387,17.727651
-1336.733566,296,18.231557
-709.243071,255,18.693574
-957.179831,413,19.369057
-2012.679076,455,20.107943
-1488.876814,300,20.608878
-2318.949407,394,21.259106
-1686.686325,395,21.901772
-2513.208648,413,22.572335
-1397.395985,270,23.051697
-2221.759218,583,23.942825
-1098.703099,263,24.408061
-1402.908545,267,24.883724
-1520.604029,255,25.350121
-1664.726542,415,26.029967
-1331.73959,237,26.46153
-1635.77931,279,26.951268
-1384.744369,287,27.444705
-1462.15069,335,27.99762
-1472.723456,401,29.074031
-1509.701839,217,29.489107
-1564.662222,371,30.101385
-1345.202717,235,30.531708
-919.867232,283,31.028149
-1297.219666,322,31.580168
-1422.633329,261,32.059848
-1517.929809,276,32.546915
-1370.596627,287,33.050245
-1316.684175,289,33.554674
-1508.642341,330,34.115154
-1456.928135,233,34.54548
-1568.585317,255,35.010198
-1535.952667,290,35.511375
-1172.672228,328,36.067829
-2146.944148,324,36.616951
-1477.273083,243,37.054482
-1497.498387,270,37.53855
-1117.557326,338,38.125663
-1514.874896,253,38.595918
-1830.006506,422,39.295539
-1777.294587,288,39.798152
-1452.594553,314,40.343606
-1421.639074,234,40.772211
-1928.595213,299,41.28406
-1040.76833,279,41.777374
-1701.578583,285,42.27615
-1310.487648,238,42.711471
-1153.553673,344,43.282125
-1540.749403,259,43.75502
-1315.356575,258,44.222726
-1562.331238,298,44.732794
-855.899613,344,45.309859
-1409.691093,287,45.815485
-952.309081,349,46.397525
-1550.146163,308,46.942812
-1335.1059,223,47.363302
-1446.223792,252,47.82768
-1242.293743,434,48.537128
-1305.40264,344,49.107831
-1257.13927,268,49.590429
-1783.639297,289,50.088995
-3653.875486,670,51.088621
-1752.036226,332,51.654115
-1271.168443,338,52.222342
-1263.68785,279,52.719673
-1185.679228,450,53.432934
-1364.650198,251,53.90258
-1876.810905,442,54.609789
-1360.735512,260,55.088043
-1636.860861,254,55.558862
-1017.065076,506,56.367866
-1452.135539,286,56.861506
-1413.889416,323,57.827285
-1173.693228,234,58.260489
-812.457425,326,58.814951
-1702.776736,276,59.306736
-1124.209662,232,59.735489
-1909.245298,293,60.235098
-1067.937372,524,61.055329
-1292.97088,250,61.506898
-1651.526249,327,62.07034
-1225.1156,265,62.548571
-1548.355662,244,62.985888
-1643.537037,244,63.425393
-708.58804,285,63.921054
-1307.025988,286,64.424463
-1436.851877,267,64.904053
-995.611521,216,65.317906
-1663.072625,287,65.823469
-1142.465953,427,66.523644
-1196.72097,291,67.029969
-2305.718259,397,67.681769
-1109.339036,262,68.164631
-1724.135038,312,68.711768
-1363.728508,228,69.137436
-2127.815389,295,69.640368
-1458.879309,247,70.084362
-948.270442,249,70.529599
-1530.248335,266,71.008162
-1672.462637,286,71.509575
-1832.377107,266,71.987181
-1391.711863,271,72.480495
-1411.496366,298,72.999381
-1514.9265,260,73.474456
-1697.171278,286,73.980012
-1263.034368,265,74.45376
-1346.308667,318,75.001242
-1378.358181,234,75.431819
-1515.975822,284,75.933938
-1299.038117,268,76.440108
-1654.320999,290,76.954131
-1206.596164,239,77.421909
-1630.334817,389,78.053686
-1516.519492,358,78.657738
-1704.933468,277,79.149364
-1432.803196,238,79.589484
-1370.063605,277,80.087573
-1753.990432,342,80.654071
-1525.275662,273,81.142865
-1325.232172,313,81.685981
-1173.078758,238,82.121799
-1155.691752,326,82.677418
-1434.627789,281,83.177358
-1601.795505,266,83.65381
-1472.713322,273,84.138547
-1761.598376,376,84.760649
-909.089078,308,85.300412
-1414.197678,239,85.734825
-1302.781778,263,86.621166
-1265.127503,285,87.121525
-1203.537961,245,87.567886
-1942.900514,466,88.319203
-1950.599399,389,88.948851
-1709.145928,279,89.440277
-1383.706771,240,89.877384
-1810.981265,360,90.481758
-1310.093484,259,90.956927
-1368.813908,214,91.371948
-1420.620295,283,91.869182
-1993.561247,357,92.477252
-1602.58134,255,92.951045
-1484.764372,256,93.424685
-1277.517487,210,93.83287
-1174.877342,309,94.37632
-2642.366624,553,95.229124
-1525.042103,346,95.804976
-904.948099,211,96.213702
-1531.295283,270,96.691059
-1310.513483,256,97.163158
-2233.860743,402,97.822229
-1363.470863,302,98.357341
-2017.504359,370,98.978368
-1406.535623,254,99.445094
-1166.398075,240,99.883918
-1355.343694,277,100.378953
-2259.825289,333,100.93561
-1663.058289,450,101.659114
-1624.535693,272,102.149021
-1398.702698,260,102.627095
-959.73297,279,103.116298
-390.215587,598,104.024441
-1783.227841,323,104.57835
-1596.810792,276,105.07203
-1398.633258,244,105.516858
-1881.838421,442,106.230861
-1499.35674,234,106.667777
-676.807412,424,107.341822
-1528.721539,276,107.832481
-1540.976884,281,108.321921
-1628.740655,465,109.057882
-1157.030553,245,109.505129
-1516.614245,264,109.988381
-842.701983,311,110.5331
-1695.073376,442,111.250149
-1746.497898,449,111.975485
-1618.630149,269,112.455471
-1718.593291,245,112.894603
-1306.191335,243,113.334033
-1660.584858,277,113.823827
-2108.97856,451,114.568957
-1606.21707,277,115.488683
-1222.254723,224,115.913358
-1442.309999,273,116.411153
-1730.40674,324,116.962124
-1040.019722,348,117.541345
-1750.299351,295,118.043838
-1330.483998,261,118.517481
-2171.33935,397,119.165368
